timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,2.768,2.791,2.761,2.782,124023.14,345004.97,ACE
1732514400,2024-11-25T06:00:00,2.782,2.785,2.733,2.742,109920.43,301373.13,ACE
1732518000,2024-11-25T07:00:00,2.742,2.781,2.732,2.763,168379.62,465192.48,ACE
1732521600,2024-11-25T08:00:00,2.763,2.787,2.757,2.787,114274.69,318458.88,ACE
1732525200,2024-11-25T09:00:00,2.787,2.853,2.785,2.827,436855.59,1234913.87,ACE
1732528800,2024-11-25T10:00:00,2.827,2.85,2.786,2.842,201845.25,573611.7,ACE
1732532400,2024-11-25T11:00:00,2.842,2.877,2.803,2.816,172025.25,484390.94,ACE
1732536000,2024-11-25T12:00:00,2.816,2.826,2.764,2.801,229088.57,641630.81,ACE
1732539600,2024-11-25T13:00:00,2.801,2.809,2.72,2.748,172373.68,473682.87,ACE
1732543200,2024-11-25T14:00:00,2.748,2.787,2.685,2.69,305261.61,821153.73,ACE
1732546800,2024-11-25T15:00:00,2.69,2.839,2.64,2.815,385580.05,1085407.84,ACE
1732550400,2024-11-25T16:00:00,2.815,2.825,2.732,2.763,218818.46,604595.4,ACE
1732554000,2024-11-25T17:00:00,2.763,2.763,2.687,2.728,209425.48,571407.83,ACE
1732557600,2024-11-25T18:00:00,2.728,2.743,2.675,2.695,203375.17,548096.08,ACE
1732561200,2024-11-25T19:00:00,2.695,2.724,2.676,2.705,138364.49,374275.95,ACE
1732564800,2024-11-25T20:00:00,2.705,2.765,2.692,2.764,127541.51,352524.73,ACE
1732568400,2024-11-25T21:00:00,2.764,2.774,2.695,2.735,108671.14,297185.85,ACE
1732572000,2024-11-25T22:00:00,2.735,2.756,2.626,2.751,178196.99,490170.9,ACE
1732575600,2024-11-25T23:00:00,2.751,2.764,2.701,2.722,120445.24,327851.94,ACE
1732579200,2024-11-26T00:00:00,2.722,2.786,2.687,2.733,179771.22,491265.61,ACE
1732582800,2024-11-26T01:00:00,2.733,2.766,2.725,2.765,104250.69,288253.16,ACE
1732586400,2024-11-26T02:00:00,2.765,2.828,2.757,2.779,207711.73,577230.9,ACE
1732590000,2024-11-26T03:00:00,2.779,2.854,2.75,2.807,815404.84,2288841.39,ACE
1732593600,2024-11-26T04:00:00,2.807,2.811,2.726,2.752,576231.23,1585788.34,ACE
1732597200,2024-11-26T05:00:00,2.752,2.785,2.752,2.779,90870.46,252529.01,ACE
1732600800,2024-11-26T06:00:00,2.779,2.793,2.749,2.764,148479.42,410397.12,ACE
1732604400,2024-11-26T07:00:00,2.764,2.764,2.681,2.701,166781.44,450476.67,ACE
1732608000,2024-11-26T08:00:00,2.701,2.701,2.61,2.631,239975.97,631376.78,ACE
1732611600,2024-11-26T09:00:00,2.631,2.672,2.587,2.63,219502.82,577292.42,ACE
1732615200,2024-11-26T10:00:00,2.63,2.638,2.547,2.549,322853.85,823112.66,ACE
1732618800,2024-11-26T11:00:00,2.549,2.578,2.484,2.55,511290.55,1303790.9,ACE
1732622400,2024-11-26T12:00:00,2.55,2.578,2.488,2.516,267842.69,674025.22,ACE
1732626000,2024-11-26T13:00:00,2.516,2.555,2.501,2.517,163349.62,411190.95,ACE
1732629600,2024-11-26T14:00:00,2.517,2.577,2.486,2.556,128937.46,329564.15,ACE
1732633200,2024-11-26T15:00:00,2.556,2.564,2.501,2.502,146771.98,367223.49,ACE
1732636800,2024-11-26T16:00:00,2.502,2.572,2.491,2.557,105841.8,270637.48,ACE
1732640400,2024-11-26T17:00:00,2.557,2.561,2.527,2.545,40293.88,102547.92,ACE
1732644000,2024-11-26T18:00:00,2.545,2.551,2.457,2.5,252932.04,632330.1,ACE
1732647600,2024-11-26T19:00:00,2.5,2.516,2.477,2.508,102647.58,257440.13,ACE
1732651200,2024-11-26T20:00:00,2.508,2.554,2.494,2.543,89175.9,226772.74,ACE
1732654800,2024-11-26T21:00:00,2.543,2.556,2.511,2.536,76494.14,194007.41,ACE
1732658400,2024-11-26T22:00:00,2.536,2.58,2.525,2.555,68657.59,175436.15,ACE
1732662000,2024-11-26T23:00:00,2.555,2.58,2.546,2.573,64048.37,164794.56,ACE
1732665600,2024-11-27T00:00:00,2.573,2.617,2.544,2.544,109012.18,277352.77,ACE
1732669200,2024-11-27T01:00:00,2.544,2.597,2.534,2.595,83163.51,215849.29,ACE
1732672800,2024-11-27T02:00:00,2.595,2.679,2.564,2.679,159166.97,426439.51,ACE
