timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,2.191,2.228,2.177,2.199,162585.93,358044.25,ARKM
1732514400,2024-11-25T06:00:00,2.199,2.203,2.149,2.149,12223.62,26629.56,ARKM
1732518000,2024-11-25T07:00:00,2.149,2.169,2.138,2.153,10558.3,22716.04,ARKM
1732521600,2024-11-25T08:00:00,2.153,2.178,2.14,2.178,14887.71,32076.45,ARKM
1732525200,2024-11-25T09:00:00,2.178,2.228,2.178,2.217,28371.37,62943.13,ARKM
1732528800,2024-11-25T10:00:00,2.217,2.222,2.179,2.214,16940.76,37299.44,ARKM
1732532400,2024-11-25T11:00:00,2.214,2.23,2.173,2.193,5544.31,12241.32,ARKM
1732536000,2024-11-25T12:00:00,2.193,2.215,2.177,2.205,14502.05,31770.39,ARKM
1732539600,2024-11-25T13:00:00,2.205,2.207,2.143,2.165,10924.2,23689.37,ARKM
1732543200,2024-11-25T14:00:00,2.165,2.187,2.098,2.107,21744.11,46909.17,ARKM
1732546800,2024-11-25T15:00:00,2.107,2.178,2.057,2.165,38093.13,80752.29,ARKM
1732550400,2024-11-25T16:00:00,2.165,2.244,2.122,2.142,146508.06,316975.03,ARKM
1732554000,2024-11-25T17:00:00,2.142,2.142,2.082,2.11,18896.96,39794.28,ARKM
1732557600,2024-11-25T18:00:00,2.11,2.122,2.088,2.098,9736.75,20489.74,ARKM
1732561200,2024-11-25T19:00:00,2.098,2.133,2.085,2.115,14255.45,30072.71,ARKM
1732564800,2024-11-25T20:00:00,2.115,2.15,2.102,2.137,38474.21,82276.08,ARKM
1732568400,2024-11-25T21:00:00,2.137,2.139,2.081,2.1,28314.53,60021.36,ARKM
1732572000,2024-11-25T22:00:00,2.1,2.111,2.04,2.109,58008.7,120300.15,ARKM
1732575600,2024-11-25T23:00:00,2.109,2.164,2.091,2.1,89384.79,190932.74,ARKM
1732579200,2024-11-26T00:00:00,2.1,2.152,2.077,2.127,61212.84,130963.76,ARKM
1732582800,2024-11-26T01:00:00,2.127,2.177,2.127,2.166,16061.14,34705.79,ARKM
1732586400,2024-11-26T02:00:00,2.166,2.181,2.162,2.166,9066.03,19696.27,ARKM
1732590000,2024-11-26T03:00:00,2.166,2.169,2.129,2.142,5568.27,11930.69,ARKM
1732593600,2024-11-26T04:00:00,2.142,2.142,2.118,2.132,4777.43,10194.18,ARKM
1732597200,2024-11-26T05:00:00,2.132,2.141,2.123,2.14,14987.39,31961.85,ARKM
1732600800,2024-11-26T06:00:00,2.14,2.142,2.108,2.108,14833.62,31652.18,ARKM
1732604400,2024-11-26T07:00:00,2.108,2.108,2.061,2.061,3465.63,7233.58,ARKM
1732608000,2024-11-26T08:00:00,2.061,2.067,2.015,2.032,17527.14,35585.45,ARKM
1732611600,2024-11-26T09:00:00,2.032,2.05,2.012,2.04,5902.87,12008.16,ARKM
1732615200,2024-11-26T10:00:00,2.04,2.042,1.98,1.98,13828.73,27719.04,ARKM
1732618800,2024-11-26T11:00:00,1.98,1.996,1.932,1.982,23291.47,45748.63,ARKM
1732622400,2024-11-26T12:00:00,1.982,2.009,1.96,1.969,17491.82,34661.1,ARKM
1732626000,2024-11-26T13:00:00,1.969,1.99,1.967,1.973,10245.06,20275.07,ARKM
1732629600,2024-11-26T14:00:00,1.973,2.022,1.948,2.015,29762.63,59752.14,ARKM
1732633200,2024-11-26T15:00:00,2.015,2.018,1.967,1.967,16682.97,33358.2,ARKM
1732636800,2024-11-26T16:00:00,1.967,2.026,1.957,2.001,6095.67,12150.85,ARKM
1732640400,2024-11-26T17:00:00,2.001,2.008,1.983,1.999,10999.19,22006.07,ARKM
1732644000,2024-11-26T18:00:00,1.999,1.999,1.935,1.961,28012.56,55061.02,ARKM
1732647600,2024-11-26T19:00:00,1.961,1.972,1.939,1.97,18552.65,36330.18,ARKM
1732651200,2024-11-26T20:00:00,1.97,2.005,1.962,1.996,35362.12,70146.65,ARKM
1732654800,2024-11-26T21:00:00,1.996,2.01,1.986,1.998,13089.0,26150.61,ARKM
1732658400,2024-11-26T22:00:00,1.998,2.02,1.995,2.007,15219.33,30662.71,ARKM
1732662000,2024-11-26T23:00:00,2.007,2.017,2.001,2.011,12741.93,25588.07,ARKM
1732665600,2024-11-27T00:00:00,2.011,2.029,1.983,1.988,39173.3,78506.82,ARKM
1732669200,2024-11-27T01:00:00,1.988,2.021,1.977,2.018,36550.7,73010.0,ARKM
1732672800,2024-11-27T02:00:00,2.018,2.033,1.999,2.032,8902.64,17961.93,ARKM
1732676400,2024-11-27T03:00:00,2.032,2.037,2.009,2.014,10679.9,21571.79,ARKM
1732680000,2024-11-27T04:00:00,2.014,2.044,2.011,2.016,3369.97,6847.69,ARKM
1732683600,2024-11-27T05:00:00,2.016,2.029,2.006,2.009,2496.93,5035.7,ARKM
1732687200,2024-11-27T06:00:00,2.009,2.042,2.009,2.025,3530.37,7180.86,ARKM
1732690800,2024-11-27T07:00:00,2.025,2.053,2.025,2.047,11543.18,23531.34,ARKM
1732694400,2024-11-27T08:00:00,2.047,2.079,2.046,2.075,5664.8,11693.16,ARKM
1732698000,2024-11-27T09:00:00,2.075,2.075,2.048,2.059,2880.78,5909.43,ARKM
1732701600,2024-11-27T10:00:00,2.059,2.124,2.058,2.104,46814.81,98171.73,ARKM
1732705200,2024-11-27T11:00:00,2.104,2.107,2.074,2.103,5266.37,11018.58,ARKM
1732708800,2024-11-27T12:00:00,2.103,2.103,2.058,2.083,18052.62,37551.68,ARKM
1732712400,2024-11-27T13:00:00,2.083,2.12,2.08,2.12,18460.44,38729.1,ARKM
1732716000,2024-11-27T14:00:00,2.12,2.14,2.112,2.139,12080.26,25741.77,ARKM
1732719600,2024-11-27T15:00:00,2.139,2.172,2.136,2.16,22366.92,48174.39,ARKM
1732723200,2024-11-27T16:00:00,2.16,2.178,2.141,2.151,13176.18,28568.82,ARKM
1732726800,2024-11-27T17:00:00,2.151,2.184,2.138,2.18,7334.35,15849.51,ARKM
1732730400,2024-11-27T18:00:00,2.18,2.183,2.167,2.169,25587.59,55597.29,ARKM
1732734000,2024-11-27T19:00:00,2.169,2.172,2.156,2.164,6319.66,13666.31,ARKM
1732737600,2024-11-27T20:00:00,2.164,2.185,2.164,2.172,21383.91,46550.14,ARKM
