timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,8.594,8.673,8.578,8.642,29627.1,255495.63,ATOM
1732514400,2024-11-25T06:00:00,8.642,8.732,8.585,8.611,70791.14,612840.61,ATOM
1732518000,2024-11-25T07:00:00,8.611,8.726,8.565,8.629,34644.84,299635.81,ATOM
1732521600,2024-11-25T08:00:00,8.629,8.734,8.625,8.731,21207.69,183816.13,ATOM
1732525200,2024-11-25T09:00:00,8.731,8.842,8.709,8.784,35609.2,312864.61,ATOM
1732528800,2024-11-25T10:00:00,8.784,8.79,8.654,8.684,36024.56,313976.54,ATOM
1732532400,2024-11-25T11:00:00,8.684,8.811,8.595,8.643,39836.51,346103.42,ATOM
1732536000,2024-11-25T12:00:00,8.643,8.757,8.599,8.67,38623.57,335166.69,ATOM
1732539600,2024-11-25T13:00:00,8.67,8.698,8.439,8.442,46646.55,397538.32,ATOM
1732543200,2024-11-25T14:00:00,8.442,8.561,8.265,8.265,88214.2,742319.96,ATOM
1732546800,2024-11-25T15:00:00,8.265,8.398,8.122,8.32,113021.03,934253.33,ATOM
1732550400,2024-11-25T16:00:00,8.32,8.374,8.159,8.202,59112.26,490302.14,ATOM
1732554000,2024-11-25T17:00:00,8.202,8.202,7.905,8.032,109859.58,880536.5,ATOM
1732557600,2024-11-25T18:00:00,8.032,8.11,7.964,8.025,92472.54,743150.17,ATOM
1732561200,2024-11-25T19:00:00,8.025,8.128,7.983,8.067,51180.56,412772.67,ATOM
1732564800,2024-11-25T20:00:00,8.067,8.165,8.029,8.118,85495.55,693153.22,ATOM
1732568400,2024-11-25T21:00:00,8.118,8.148,7.918,8.015,57705.54,462560.9,ATOM
1732572000,2024-11-25T22:00:00,8.015,8.042,7.776,8.005,134289.21,1059367.78,ATOM
1732575600,2024-11-25T23:00:00,8.005,8.03,7.914,7.921,45261.66,361581.48,ATOM
1732579200,2024-11-26T00:00:00,7.921,8.071,7.863,7.958,72267.23,577762.12,ATOM
1732582800,2024-11-26T01:00:00,7.958,8.084,7.951,8.08,38066.62,305861.08,ATOM
1732586400,2024-11-26T02:00:00,8.08,8.093,8.026,8.035,36750.84,296505.29,ATOM
1732590000,2024-11-26T03:00:00,8.035,8.043,7.933,7.996,44053.03,352019.13,ATOM
1732593600,2024-11-26T04:00:00,7.996,8.013,7.909,7.98,46463.7,369518.31,ATOM
1732597200,2024-11-26T05:00:00,7.98,8.117,7.975,8.117,29812.11,240240.33,ATOM
1732600800,2024-11-26T06:00:00,8.117,8.143,8.054,8.068,19342.84,156885.74,ATOM
1732604400,2024-11-26T07:00:00,8.068,8.068,7.907,7.971,30681.35,245553.87,ATOM
1732608000,2024-11-26T08:00:00,7.971,7.971,7.717,7.777,68073.96,531586.89,ATOM
1732611600,2024-11-26T09:00:00,7.777,8.069,7.771,8.004,64764.81,511980.2,ATOM
1732615200,2024-11-26T10:00:00,8.004,8.013,7.725,7.725,51622.89,403885.88,ATOM
1732618800,2024-11-26T11:00:00,7.725,7.799,7.497,7.759,113767.06,867462.91,ATOM
1732622400,2024-11-26T12:00:00,7.759,7.854,7.691,7.79,56328.44,437352.71,ATOM
1732626000,2024-11-26T13:00:00,7.79,7.986,7.727,7.862,67788.98,534644.54,ATOM
1732629600,2024-11-26T14:00:00,7.862,7.958,7.75,7.925,166117.95,1299726.61,ATOM
1732633200,2024-11-26T15:00:00,7.925,7.925,7.72,7.761,39358.79,307743.44,ATOM
1732636800,2024-11-26T16:00:00,7.761,8.068,7.722,8.002,46917.84,373162.45,ATOM
1732640400,2024-11-26T17:00:00,8.002,8.009,7.902,7.939,19144.5,152437.91,ATOM
1732644000,2024-11-26T18:00:00,7.939,7.945,7.639,7.721,52763.27,408405.88,ATOM
1732647600,2024-11-26T19:00:00,7.721,7.886,7.693,7.881,34977.4,272140.72,ATOM
1732651200,2024-11-26T20:00:00,7.881,7.961,7.823,7.914,88867.08,701902.0,ATOM
1732654800,2024-11-26T21:00:00,7.914,7.992,7.857,7.894,29467.58,233229.28,ATOM
1732658400,2024-11-26T22:00:00,7.894,8.017,7.885,7.943,128844.13,1028736.93,ATOM
1732662000,2024-11-26T23:00:00,7.943,8.078,7.908,8.006,78257.77,624743.46,ATOM
1732665600,2024-11-27T00:00:00,8.006,8.044,7.808,7.822,44625.58,352854.57,ATOM
1732669200,2024-11-27T01:00:00,7.822,7.947,7.794,7.93,33027.46,260367.0,ATOM
1732672800,2024-11-27T02:00:00,7.93,7.944,7.82,7.909,20958.97,165649.21,ATOM
1732676400,2024-11-27T03:00:00,7.909,7.935,7.83,7.857,32714.21,257087.1,ATOM
1732680000,2024-11-27T04:00:00,7.857,8.033,7.847,7.915,41314.76,327954.13,ATOM
1732683600,2024-11-27T05:00:00,7.915,7.989,7.834,7.951,27991.04,221209.25,ATOM
1732687200,2024-11-27T06:00:00,7.951,8.078,7.947,8.022,22624.4,182041.74,ATOM
1732690800,2024-11-27T07:00:00,8.022,8.209,7.996,8.191,38634.62,314020.37,ATOM
1732694400,2024-11-27T08:00:00,8.191,8.202,8.126,8.174,29967.44,244708.89,ATOM
1732698000,2024-11-27T09:00:00,8.174,8.186,8.018,8.151,19742.05,159778.39,ATOM
1732701600,2024-11-27T10:00:00,8.151,8.281,8.137,8.186,29621.41,242979.6,ATOM
1732705200,2024-11-27T11:00:00,8.186,8.199,8.096,8.122,22906.87,186599.44,ATOM
1732708800,2024-11-27T12:00:00,8.122,8.13,7.984,8.1,24286.19,195230.18,ATOM
1732712400,2024-11-27T13:00:00,8.1,8.208,8.078,8.208,29827.29,243630.75,ATOM
1732716000,2024-11-27T14:00:00,8.208,8.258,8.164,8.207,37068.83,304375.47,ATOM
1732719600,2024-11-27T15:00:00,8.207,8.264,8.118,8.231,49132.79,402972.01,ATOM
1732723200,2024-11-27T16:00:00,8.231,8.291,8.139,8.169,84477.98,693340.94,ATOM
1732726800,2024-11-27T17:00:00,8.169,8.22,8.106,8.217,37552.95,306753.83,ATOM
1732730400,2024-11-27T18:00:00,8.217,8.291,8.15,8.154,60502.46,497336.98,ATOM
1732734000,2024-11-27T19:00:00,8.154,8.2,8.12,8.135,35958.52,293352.86,ATOM
1732737600,2024-11-27T20:00:00,8.135,8.272,8.131,8.233,43147.38,354980.09,ATOM
1732741200,2024-11-27T21:00:00,8.233,8.251,8.139,8.197,41451.64,339905.34,ATOM
1732744800,2024-11-27T22:00:00,8.197,8.353,8.197,8.334,64194.02,532246.21,ATOM
1732748400,2024-11-27T23:00:00,8.334,8.394,8.271,8.333,82272.28,685800.92,ATOM
1732752000,2024-11-28T00:00:00,8.333,8.334,8.204,8.254,34066.59,281327.45,ATOM
1732755600,2024-11-28T01:00:00,8.254,8.405,8.236,8.391,66823.64,554680.44,ATOM
1732759200,2024-11-28T02:00:00,8.391,8.391,8.115,8.128,38876.77,319602.04,ATOM
1732762800,2024-11-28T03:00:00,8.128,8.172,8.03,8.101,44999.08,364466.41,ATOM
1732766400,2024-11-28T04:00:00,8.101,8.226,8.081,8.208,46167.39,376971.16,ATOM
1732770000,2024-11-28T05:00:00,8.208,8.243,8.092,8.132,53387.49,433758.99,ATOM
1732773600,2024-11-28T06:00:00,8.132,8.153,8.05,8.144,23315.54,188989.86,ATOM
1732777200,2024-11-28T07:00:00,8.144,8.144,8.025,8.041,12606.17,101971.7,ATOM
1732780800,2024-11-28T08:00:00,8.041,8.11,7.984,8.084,23273.73,186928.07,ATOM
1732784400,2024-11-28T09:00:00,8.084,8.084,7.929,7.935,16696.99,133501.98,ATOM
1732788000,2024-11-28T10:00:00,7.935,7.994,7.908,7.948,17109.78,135977.72,ATOM
1732791600,2024-11-28T11:00:00,7.948,8.045,7.915,8.016,11216.48,89510.3,ATOM
1732795200,2024-11-28T12:00:00,8.016,8.063,7.973,8.025,10923.16,87607.35,ATOM
1732798800,2024-11-28T13:00:00,8.025,8.068,7.961,8.05,48423.71,387581.14,ATOM
1732802400,2024-11-28T14:00:00,8.05,8.106,8.007,8.077,19235.22,154991.17,ATOM
1732806000,2024-11-28T15:00:00,8.077,8.131,7.891,7.892,30176.49,241375.5,ATOM
1732809600,2024-11-28T16:00:00,7.892,8.005,7.889,7.958,16765.96,133362.51,ATOM
1732813200,2024-11-28T17:00:00,7.958,8.09,7.957,8.023,17151.7,138032.95,ATOM
1732816800,2024-11-28T18:00:00,8.023,8.156,8.023,8.154,16449.75,133494.6,ATOM
1732820400,2024-11-28T19:00:00,8.154,8.204,8.138,8.179,20331.97,166137.58,ATOM
1732824000,2024-11-28T20:00:00,8.179,8.181,8.07,8.131,16641.33,135029.07,ATOM
1732827600,2024-11-28T21:00:00,8.131,8.228,8.131,8.204,42503.26,347758.89,ATOM
1732831200,2024-11-28T22:00:00,8.204,8.258,8.196,8.251,33704.06,277647.82,ATOM
1732834800,2024-11-28T23:00:00,8.251,8.283,8.217,8.226,26248.76,216850.3,ATOM
1732838400,2024-11-29T00:00:00,8.226,8.284,8.163,8.242,34781.55,286280.82,ATOM
1732842000,2024-11-29T01:00:00,8.242,8.348,8.232,8.316,25536.65,211872.42,ATOM
1732845600,2024-11-29T02:00:00,8.316,8.357,8.283,8.287,20380.9,169435.92,ATOM
1732849200,2024-11-29T03:00:00,8.287,8.299,8.229,8.232,29266.06,242023.81,ATOM
1732852800,2024-11-29T04:00:00,8.232,8.24,8.154,8.186,16456.27,134881.57,ATOM
1732856400,2024-11-29T05:00:00,8.186,8.206,8.135,8.145,7761.31,63456.23,ATOM
1732860000,2024-11-29T06:00:00,8.145,8.181,8.133,8.159,16164.68,131786.53,ATOM
1732863600,2024-11-29T07:00:00,8.159,8.163,8.058,8.06,50400.66,410117.08,ATOM
1732867200,2024-11-29T08:00:00,8.06,8.168,8.058,8.157,19038.51,154932.46,ATOM
1732870800,2024-11-29T09:00:00,8.157,8.244,8.148,8.234,22192.44,182417.23,ATOM
1732874400,2024-11-29T10:00:00,8.234,8.349,8.231,8.335,24428.29,203214.0,ATOM
1732878000,2024-11-29T11:00:00,8.335,8.361,8.303,8.32,44451.02,370212.54,ATOM
1732881600,2024-11-29T12:00:00,8.32,8.447,8.32,8.361,44710.86,375104.89,ATOM
1732885200,2024-11-29T13:00:00,8.361,8.51,8.361,8.505,55156.23,465461.28,ATOM
1732888800,2024-11-29T14:00:00,8.505,8.617,8.457,8.613,82509.28,704126.23,ATOM
1732892400,2024-11-29T15:00:00,8.613,8.735,8.555,8.609,76068.48,658718.67,ATOM
1732896000,2024-11-29T16:00:00,8.609,8.672,8.485,8.485,70163.41,599600.94,ATOM
1732899600,2024-11-29T17:00:00,8.485,8.534,8.437,8.504,39155.44,331876.9,ATOM
1732903200,2024-11-29T18:00:00,8.504,8.538,8.475,8.502,25983.89,220942.38,ATOM
1732906800,2024-11-29T19:00:00,8.502,8.557,8.454,8.555,19573.4,166663.58,ATOM
