timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,15.44,15.7,15.44,15.67,755.25,11740.2,AUCTION
1732514400,2024-11-25T06:00:00,15.67,15.75,15.45,15.49,579.52,9024.34,AUCTION
1732518000,2024-11-25T07:00:00,15.49,15.8,15.49,15.72,1322.52,20832.74,AUCTION
1732521600,2024-11-25T08:00:00,15.72,15.8,15.67,15.8,65.59,1032.69,AUCTION
1732525200,2024-11-25T09:00:00,15.8,15.95,15.79,15.88,677.32,10747.29,AUCTION
1732528800,2024-11-25T10:00:00,15.88,15.99,15.74,15.98,948.13,15019.4,AUCTION
1732532400,2024-11-25T11:00:00,15.98,16.01,15.75,15.85,773.13,12314.11,AUCTION
1732536000,2024-11-25T12:00:00,15.85,16.0,15.79,15.88,2071.22,32877.44,AUCTION
1732539600,2024-11-25T13:00:00,15.88,15.94,15.48,15.68,613.6,9604.32,AUCTION
1732543200,2024-11-25T14:00:00,15.68,15.91,15.23,15.24,1639.04,25714.12,AUCTION
1732546800,2024-11-25T15:00:00,15.24,15.84,14.98,15.73,7556.45,116433.91,AUCTION
1732550400,2024-11-25T16:00:00,15.73,15.85,15.42,15.63,808.13,12685.84,AUCTION
1732554000,2024-11-25T17:00:00,15.63,15.63,15.26,15.38,469.05,7203.31,AUCTION
1732557600,2024-11-25T18:00:00,15.38,15.49,15.29,15.33,237.32,3654.1,AUCTION
1732561200,2024-11-25T19:00:00,15.33,15.51,15.18,15.51,344.39,5289.74,AUCTION
1732564800,2024-11-25T20:00:00,15.51,15.76,15.44,15.69,568.61,8903.99,AUCTION
1732568400,2024-11-25T21:00:00,15.69,15.76,15.34,15.42,270.63,4197.14,AUCTION
1732572000,2024-11-25T22:00:00,15.42,15.59,15.0,15.46,2979.8,45479.37,AUCTION
1732575600,2024-11-25T23:00:00,15.46,15.58,15.25,15.32,829.49,12793.62,AUCTION
1732579200,2024-11-26T00:00:00,15.32,15.66,15.14,15.52,366.18,5674.33,AUCTION
1732582800,2024-11-26T01:00:00,15.62,15.91,15.69,15.87,648.73,10298.56,AUCTION
1732586400,2024-11-26T02:00:00,15.86,16.08,15.83,16.0,2449.89,39125.22,AUCTION
1732590000,2024-11-26T03:00:00,16.0,16.0,15.68,15.89,1859.55,29334.48,AUCTION
1732593600,2024-11-26T04:00:00,15.89,15.92,15.66,15.79,580.01,9150.65,AUCTION
1732597200,2024-11-26T05:00:00,15.79,16.01,15.77,16.01,427.37,6812.26,AUCTION
1732600800,2024-11-26T06:00:00,16.01,16.05,15.91,15.91,534.95,8557.97,AUCTION
1732604400,2024-11-26T07:00:00,15.91,15.91,15.53,15.56,297.12,4637.99,AUCTION
1732608000,2024-11-26T08:00:00,15.56,15.56,15.13,15.28,800.51,12260.61,AUCTION
1732611600,2024-11-26T09:00:00,15.28,15.48,15.25,15.34,140.46,2157.29,AUCTION
1732615200,2024-11-26T10:00:00,15.34,15.39,14.85,14.85,454.95,6868.07,AUCTION
1732618800,2024-11-26T11:00:00,14.85,14.99,14.44,14.78,495.58,7270.92,AUCTION
1732622400,2024-11-26T12:00:00,14.78,14.89,14.49,14.64,240.53,3525.52,AUCTION
1732626000,2024-11-26T13:00:00,14.64,14.77,14.56,14.67,270.62,3970.64,AUCTION
1732629600,2024-11-26T14:00:00,14.69,15.06,14.77,15.02,634.82,9534.22,AUCTION
1732633200,2024-11-26T15:00:00,15.02,15.02,14.66,14.72,1041.81,15263.47,AUCTION
1732636800,2024-11-26T16:00:00,14.72,15.12,14.66,15.06,892.86,13382.49,AUCTION
1732640400,2024-11-26T17:00:00,15.06,15.06,14.91,15.04,405.73,6095.06,AUCTION
1732644000,2024-11-26T18:00:00,15.04,15.04,14.55,14.75,533.35,7815.29,AUCTION
1732647600,2024-11-26T19:00:00,14.75,14.82,14.61,14.78,206.26,3038.44,AUCTION
1732651200,2024-11-26T20:00:00,14.79,15.0,14.65,15.0,209.98,3150.04,AUCTION
1732654800,2024-11-26T21:00:00,15.0,15.11,14.98,15.03,103.36,1553.83,AUCTION
1732658400,2024-11-26T22:00:00,15.04,15.35,15.0,15.3,408.9,6197.15,AUCTION
1732662000,2024-11-26T23:00:00,15.3,15.51,15.3,15.46,459.01,7077.77,AUCTION
1732665600,2024-11-27T00:00:00,15.46,15.64,15.19,15.22,593.55,9166.29,AUCTION
1732669200,2024-11-27T01:00:00,15.22,15.5,15.18,15.46,407.43,6279.53,AUCTION
1732672800,2024-11-27T02:00:00,15.46,15.99,15.42,15.98,2030.82,32101.67,AUCTION
1732676400,2024-11-27T03:00:00,15.98,16.18,15.75,16.16,3623.09,57678.4,AUCTION
1732680000,2024-11-27T04:00:00,16.16,16.68,16.02,16.13,10821.89,176771.29,AUCTION
1732683600,2024-11-27T05:00:00,16.13,16.42,16.1,16.11,812.81,13207.89,AUCTION
1732687200,2024-11-27T06:00:00,16.11,16.25,15.76,15.84,1954.39,31297.82,AUCTION
1732690800,2024-11-27T07:00:00,15.84,15.99,15.73,15.84,826.23,13125.43,AUCTION
1732694400,2024-11-27T08:00:00,15.84,16.1,15.79,15.9,427.01,6810.43,AUCTION
1732698000,2024-11-27T09:00:00,15.9,15.9,15.67,15.75,756.47,11900.78,AUCTION
1732701600,2024-11-27T10:00:00,15.75,15.93,15.72,15.85,371.19,5866.86,AUCTION
1732705200,2024-11-27T11:00:00,15.85,15.92,15.76,15.85,194.98,3093.23,AUCTION
1732708800,2024-11-27T12:00:00,15.85,15.87,15.54,15.82,466.68,7332.09,AUCTION
1732712400,2024-11-27T13:00:00,15.82,16.03,15.8,16.0,696.11,11113.23,AUCTION
1732716000,2024-11-27T14:00:00,16.0,16.08,15.91,15.98,226.9,3627.83,AUCTION
1732719600,2024-11-27T15:00:00,15.98,16.23,15.94,16.12,440.91,7134.54,AUCTION
1732723200,2024-11-27T16:00:00,16.12,16.17,16.01,16.03,3024.45,48492.71,AUCTION
1732726800,2024-11-27T17:00:00,16.06,16.99,16.06,16.8,6472.55,107880.62,AUCTION
1732730400,2024-11-27T18:00:00,16.8,17.05,16.78,17.0,5979.27,101018.25,AUCTION
1732734000,2024-11-27T19:00:00,17.0,17.17,16.94,17.0,2513.44,42841.91,AUCTION
1732737600,2024-11-27T20:00:00,17.0,17.0,16.77,16.81,1162.04,19623.45,AUCTION
1732741200,2024-11-27T21:00:00,16.81,16.82,16.51,16.57,847.44,14100.6,AUCTION
1732744800,2024-11-27T22:00:00,16.57,16.86,16.55,16.85,1644.44,27536.75,AUCTION
1732748400,2024-11-27T23:00:00,16.85,16.95,16.72,16.84,657.49,11082.33,AUCTION
1732752000,2024-11-28T00:00:00,16.84,16.98,16.62,16.92,2165.97,36381.39,AUCTION
1732755600,2024-11-28T01:00:00,16.92,17.07,16.82,16.91,1124.35,19084.12,AUCTION
1732759200,2024-11-28T02:00:00,16.91,17.32,16.67,16.67,3578.23,61613.4,AUCTION
1732762800,2024-11-28T03:00:00,16.67,16.86,16.53,16.83,672.3,11232.98,AUCTION
1732766400,2024-11-28T04:00:00,16.83,16.86,16.75,16.82,1720.66,28913.34,AUCTION
1732770000,2024-11-28T05:00:00,16.82,16.98,16.73,16.74,1987.86,33508.73,AUCTION
1732773600,2024-11-28T06:00:00,16.74,16.76,16.55,16.68,777.69,12925.83,AUCTION
1732777200,2024-11-28T07:00:00,16.68,16.71,16.47,16.51,512.16,8495.61,AUCTION
1732780800,2024-11-28T08:00:00,16.51,16.71,16.33,16.7,1854.67,30693.45,AUCTION
1732784400,2024-11-28T09:00:00,16.7,17.11,16.66,16.67,8868.71,150471.01,AUCTION
1732788000,2024-11-28T10:00:00,16.67,16.83,16.57,16.62,1309.07,21862.35,AUCTION
1732791600,2024-11-28T11:00:00,16.62,16.8,16.51,16.72,1031.72,17153.75,AUCTION
1732795200,2024-11-28T12:00:00,16.72,16.73,16.41,16.56,577.67,9617.46,AUCTION
1732798800,2024-11-28T13:00:00,16.56,16.71,16.43,16.71,2733.06,45424.51,AUCTION
1732802400,2024-11-28T14:00:00,16.71,16.91,16.3,16.31,3078.54,51101.13,AUCTION
1732806000,2024-11-28T15:00:00,16.31,16.38,15.87,15.9,2413.79,38842.69,AUCTION
1732809600,2024-11-28T16:00:00,15.9,16.15,15.72,15.78,6975.1,110876.26,AUCTION
1732813200,2024-11-28T17:00:00,15.78,15.99,15.78,15.91,1482.81,23603.63,AUCTION
1732816800,2024-11-28T18:00:00,15.91,16.26,15.91,16.26,1436.72,23100.31,AUCTION
1732820400,2024-11-28T19:00:00,16.26,16.35,16.2,16.29,4195.84,68449.16,AUCTION
1732824000,2024-11-28T20:00:00,16.29,16.3,16.05,16.05,569.98,9187.33,AUCTION
1732827600,2024-11-28T21:00:00,16.05,16.22,16.05,16.19,354.39,5734.27,AUCTION
1732831200,2024-11-28T22:00:00,16.19,16.3,16.15,16.18,1612.37,26112.12,AUCTION
1732834800,2024-11-28T23:00:00,16.18,16.2,15.99,16.07,979.48,15713.56,AUCTION
1732838400,2024-11-29T00:00:00,16.07,16.19,15.88,15.88,1081.64,17264.7,AUCTION
1732842000,2024-11-29T01:00:00,15.88,16.07,15.84,16.0,617.57,9868.33,AUCTION
