timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,0.1376,0.1402,0.1376,0.1399,28530.3,3970.98,BLZ
1732514400,2024-11-25T06:00:00,0.1399,0.1407,0.1375,0.1375,14602.35,2039.66,BLZ
1732518000,2024-11-25T07:00:00,0.1375,0.1393,0.1374,0.1387,40376.44,5587.7,BLZ
1732521600,2024-11-25T08:00:00,0.1387,0.1415,0.1385,0.1414,22253.87,3124.47,BLZ
1732525200,2024-11-25T09:00:00,0.1414,0.1433,0.1414,0.1432,55947.35,7996.41,BLZ
1732528800,2024-11-25T10:00:00,0.1432,0.1432,0.1408,0.1432,132523.26,18710.24,BLZ
1732532400,2024-11-25T11:00:00,0.1432,0.1443,0.1416,0.142,154683.28,22081.32,BLZ
1732536000,2024-11-25T12:00:00,0.142,0.1425,0.1412,0.1423,143733.01,20423.4,BLZ
1732539600,2024-11-25T13:00:00,0.1423,0.1423,0.1374,0.1389,274859.12,38287.67,BLZ
1732543200,2024-11-25T14:00:00,0.1389,0.1401,0.135,0.1351,244320.65,33383.72,BLZ
1732546800,2024-11-25T15:00:00,0.1351,0.1386,0.1329,0.1386,328540.58,44365.89,BLZ
1732550400,2024-11-25T16:00:00,0.1386,0.1398,0.1366,0.1367,90833.17,12490.11,BLZ
1732554000,2024-11-25T17:00:00,0.1367,0.1387,0.1342,0.1366,192651.63,26211.11,BLZ
1732557600,2024-11-25T18:00:00,0.1366,0.1376,0.1355,0.1367,66239.55,9040.14,BLZ
1732561200,2024-11-25T19:00:00,0.1367,0.1382,0.1358,0.1374,86024.65,11757.61,BLZ
1732564800,2024-11-25T20:00:00,0.1374,0.1387,0.1367,0.138,119813.39,16483.59,BLZ
1732568400,2024-11-25T21:00:00,0.138,0.1388,0.1347,0.136,157315.29,21291.16,BLZ
1732572000,2024-11-25T22:00:00,0.136,0.1369,0.1318,0.1364,203317.23,27180.78,BLZ
1732575600,2024-11-25T23:00:00,0.1364,0.1366,0.1349,0.1355,92382.02,12523.81,BLZ
1732579200,2024-11-26T00:00:00,0.1355,0.138,0.1347,0.1374,34800.35,4755.07,BLZ
1732582800,2024-11-26T01:00:00,0.1374,0.1389,0.1366,0.1389,90220.04,12482.72,BLZ
1732586400,2024-11-26T02:00:00,0.1389,0.1404,0.1388,0.1397,85248.05,11894.99,BLZ
1732590000,2024-11-26T03:00:00,0.1397,0.1397,0.1381,0.139,22232.78,3082.68,BLZ
1732593600,2024-11-26T04:00:00,0.139,0.1391,0.1381,0.1391,53654.5,7436.82,BLZ
1732597200,2024-11-26T05:00:00,0.1391,0.1412,0.1391,0.1412,72432.97,10170.61,BLZ
1732600800,2024-11-26T06:00:00,0.1412,0.142,0.1399,0.1399,106823.73,15062.07,BLZ
1732604400,2024-11-26T07:00:00,0.1399,0.1399,0.1358,0.1358,113652.73,15574.49,BLZ
1732608000,2024-11-26T08:00:00,0.1358,0.1367,0.1309,0.1314,151227.86,20290.67,BLZ
1732611600,2024-11-26T09:00:00,0.1314,0.1329,0.1295,0.1318,75802.67,9889.72,BLZ
1732615200,2024-11-26T10:00:00,0.1318,0.1318,0.1283,0.1285,113925.57,14770.98,BLZ
1732618800,2024-11-26T11:00:00,0.1285,0.1293,0.1244,0.1273,431161.31,54142.82,BLZ
1732622400,2024-11-26T12:00:00,0.1273,0.1282,0.1246,0.1254,162875.81,20615.35,BLZ
1732626000,2024-11-26T13:00:00,0.1254,0.1267,0.125,0.1258,128324.32,16145.77,BLZ
1732629600,2024-11-26T14:00:00,0.1258,0.1294,0.1238,0.1284,151843.17,19212.13,BLZ
1732633200,2024-11-26T15:00:00,0.1284,0.1286,0.1258,0.126,57260.67,7300.48,BLZ
1732636800,2024-11-26T16:00:00,0.126,0.1301,0.1249,0.1293,171827.33,22155.13,BLZ
1732640400,2024-11-26T17:00:00,0.1293,0.1299,0.1284,0.1293,50159.8,6487.44,BLZ
1732644000,2024-11-26T18:00:00,0.1293,0.1294,0.1243,0.127,154074.92,19359.51,BLZ
1732647600,2024-11-26T19:00:00,0.127,0.1274,0.1253,0.1258,210857.13,26638.42,BLZ
1732651200,2024-11-26T20:00:00,0.1258,0.1288,0.1258,0.1285,45510.27,5795.7,BLZ
1732654800,2024-11-26T21:00:00,0.1285,0.1295,0.1272,0.1285,9532.46,1222.77,BLZ
1732658400,2024-11-26T22:00:00,0.1285,0.131,0.1285,0.1307,131454.6,17134.98,BLZ
1732662000,2024-11-26T23:00:00,0.1307,0.1317,0.1299,0.1317,68913.9,9036.71,BLZ
1732665600,2024-11-27T00:00:00,0.1317,0.1324,0.1283,0.129,115337.78,14984.28,BLZ
1732669200,2024-11-27T01:00:00,0.129,0.1304,0.1279,0.1304,28861.13,3752.53,BLZ
1732672800,2024-11-27T02:00:00,0.1304,0.1322,0.1294,0.1322,112642.54,14775.95,BLZ
1732676400,2024-11-27T03:00:00,0.1322,0.1327,0.1312,0.1318,32723.92,4327.38,BLZ
1732680000,2024-11-27T04:00:00,0.1318,0.1338,0.1317,0.133,211223.12,28032.81,BLZ
1732683600,2024-11-27T05:00:00,0.133,0.1333,0.132,0.1325,33497.38,4446.88,BLZ
1732687200,2024-11-27T06:00:00,0.1325,0.1352,0.1325,0.1345,51309.48,6879.78,BLZ
1732690800,2024-11-27T07:00:00,0.1345,0.1352,0.134,0.1352,21822.5,2932.92,BLZ
1732694400,2024-11-27T08:00:00,0.1352,0.1364,0.1346,0.1364,17550.31,2373.37,BLZ
1732698000,2024-11-27T09:00:00,0.1364,0.1365,0.135,0.1365,32568.65,4425.74,BLZ
1732701600,2024-11-27T10:00:00,0.1365,0.1397,0.1358,0.1394,34932.05,4830.31,BLZ
1732705200,2024-11-27T11:00:00,0.1394,0.1406,0.138,0.1394,209681.8,29265.6,BLZ
1732708800,2024-11-27T12:00:00,0.1394,0.1394,0.1356,0.1367,11976.23,1638.48,BLZ
1732712400,2024-11-27T13:00:00,0.1367,0.1386,0.1365,0.1386,24555.07,3367.29,BLZ
1732716000,2024-11-27T14:00:00,0.1386,0.1421,0.1386,0.1406,151530.52,21238.47,BLZ
1732719600,2024-11-27T15:00:00,0.1406,0.1431,0.1405,0.1429,86734.95,12293.99,BLZ
1732723200,2024-11-27T16:00:00,0.1429,0.1452,0.1427,0.1451,105740.02,15215.84,BLZ
1732726800,2024-11-27T17:00:00,0.1451,0.1452,0.1426,0.1447,134543.22,19335.03,BLZ
1732730400,2024-11-27T18:00:00,0.1447,0.1449,0.1441,0.1444,77733.24,11226.33,BLZ
1732734000,2024-11-27T19:00:00,0.1444,0.1447,0.1436,0.1439,456262.47,65771.5,BLZ
1732737600,2024-11-27T20:00:00,0.1439,0.1443,0.1431,0.1437,606854.22,87168.53,BLZ
1732741200,2024-11-27T21:00:00,0.1437,0.1449,0.1432,0.1441,123972.29,17842.28,BLZ
1732744800,2024-11-27T22:00:00,0.1441,0.1457,0.144,0.1455,310568.39,45064.88,BLZ
1732748400,2024-11-27T23:00:00,0.1455,0.1461,0.1445,0.1449,681767.47,99064.81,BLZ
1732752000,2024-11-28T00:00:00,0.1449,0.146,0.1433,0.1452,54267.02,7815.2,BLZ
1732755600,2024-11-28T01:00:00,0.1452,0.1463,0.1451,0.1463,14209.4,2065.17,BLZ
1732759200,2024-11-28T02:00:00,0.1463,0.1463,0.1426,0.1426,60325.55,8688.47,BLZ
1732762800,2024-11-28T03:00:00,0.1426,0.1428,0.1406,0.1418,37816.06,5360.42,BLZ
1732766400,2024-11-28T04:00:00,0.1418,0.1446,0.1416,0.1446,43444.44,6155.23,BLZ
1732770000,2024-11-28T05:00:00,0.1446,0.145,0.1429,0.1444,103258.34,14837.23,BLZ
1732773600,2024-11-28T06:00:00,0.1444,0.1444,0.1426,0.1432,42699.12,6103.7,BLZ
1732777200,2024-11-28T07:00:00,0.1432,0.1445,0.1418,0.1421,11834.46,1700.13,BLZ
1732780800,2024-11-28T08:00:00,0.1421,0.1435,0.1415,0.1435,60682.89,8676.66,BLZ
1732784400,2024-11-28T09:00:00,0.1435,0.1436,0.1414,0.1414,12733.49,1806.62,BLZ
1732788000,2024-11-28T10:00:00,0.1414,0.1421,0.1405,0.1405,18907.8,2663.91,BLZ
1732791600,2024-11-28T11:00:00,0.1405,0.1405,0.1389,0.1405,46066.42,6462.42,BLZ
1732795200,2024-11-28T12:00:00,0.1405,0.1414,0.14,0.1414,83568.72,11760.84,BLZ
1732798800,2024-11-28T13:00:00,0.1414,0.1422,0.1398,0.1422,45600.2,6423.22,BLZ
1732802400,2024-11-28T14:00:00,0.1422,0.1422,0.14,0.1414,48679.46,6886.54,BLZ
1732806000,2024-11-28T15:00:00,0.1414,0.1465,0.1376,0.1382,758346.03,108018.21,BLZ
1732809600,2024-11-28T16:00:00,0.1382,0.1412,0.1382,0.1407,108307.11,15157.92,BLZ
1732813200,2024-11-28T17:00:00,0.1407,0.1429,0.1406,0.1425,107922.55,15363.04,BLZ
1732816800,2024-11-28T18:00:00,0.1425,0.1451,0.1424,0.1451,119501.69,17200.08,BLZ
1732820400,2024-11-28T19:00:00,0.1451,0.1465,0.1448,0.1463,139189.23,20285.96,BLZ
