timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,0.1634,0.1674,0.1632,0.1672,7895650.76,1319892.25,BRETT
1732514400,2024-11-25T06:00:00,0.1672,0.1694,0.1672,0.1685,10519401.74,1772185.73,BRETT
1732518000,2024-11-25T07:00:00,0.1685,0.1705,0.166,0.1687,13157903.87,2219323.91,BRETT
1732521600,2024-11-25T08:00:00,0.1687,0.1714,0.1681,0.1713,11314746.55,1937889.09,BRETT
1732525200,2024-11-25T09:00:00,0.1713,0.1729,0.1701,0.1703,13258939.11,2257600.89,BRETT
1732528800,2024-11-25T10:00:00,0.1703,0.174,0.1692,0.1708,12201272.53,2083618.63,BRETT
1732532400,2024-11-25T11:00:00,0.1708,0.1712,0.1667,0.1677,8885925.3,1489880.88,BRETT
1732536000,2024-11-25T12:00:00,0.1677,0.1723,0.1673,0.1716,13213040.2,2266979.81,BRETT
1732539600,2024-11-25T13:00:00,0.1716,0.1724,0.1682,0.169,13390270.6,2262955.73,BRETT
1732543200,2024-11-25T14:00:00,0.169,0.1713,0.1633,0.1635,21339933.1,3489079.06,BRETT
1732546800,2024-11-25T15:00:00,0.1635,0.1718,0.1594,0.1697,32074561.91,5443053.16,BRETT
1732550400,2024-11-25T16:00:00,0.1697,0.1728,0.1658,0.1679,17354013.84,2913738.92,BRETT
1732554000,2024-11-25T17:00:00,0.1679,0.1682,0.1646,0.1675,18704945.85,3132451.81,BRETT
1732557600,2024-11-25T18:00:00,0.1675,0.1716,0.167,0.1683,11922045.0,2006480.17,BRETT
1732561200,2024-11-25T19:00:00,0.1683,0.172,0.1673,0.1697,13122921.26,2226959.74,BRETT
1732564800,2024-11-25T20:00:00,0.1697,0.1726,0.1684,0.1698,12117132.74,2057489.14,BRETT
1732568400,2024-11-25T21:00:00,0.1698,0.17,0.1636,0.1655,17612529.87,2914582.21,BRETT
1732572000,2024-11-25T22:00:00,0.1655,0.1666,0.1592,0.1665,13108388.16,2182328.37,BRETT
1732575600,2024-11-25T23:00:00,0.1665,0.1682,0.1648,0.1665,13118711.58,2184265.48,BRETT
1732579200,2024-11-26T00:00:00,0.1665,0.1708,0.1656,0.1684,13879503.72,2337074.7,BRETT
1732582800,2024-11-26T01:00:00,0.1684,0.1722,0.1683,0.1705,11126729.19,1897107.33,BRETT
1732586400,2024-11-26T02:00:00,0.1705,0.1712,0.1695,0.1702,9428941.28,1604805.81,BRETT
1732590000,2024-11-26T03:00:00,0.1702,0.1711,0.1682,0.1691,10500068.06,1775561.51,BRETT
1732593600,2024-11-26T04:00:00,0.1691,0.1702,0.1669,0.1688,7190576.28,1213769.28,BRETT
1732597200,2024-11-26T05:00:00,0.1688,0.1698,0.1674,0.1684,5749185.63,968162.86,BRETT
1732600800,2024-11-26T06:00:00,0.1684,0.1701,0.1677,0.1681,6715123.36,1128812.24,BRETT
1732604400,2024-11-26T07:00:00,0.1681,0.1681,0.1624,0.1639,11203859.06,1836312.5,BRETT
1732608000,2024-11-26T08:00:00,0.1639,0.1646,0.1584,0.1602,13281646.02,2127719.69,BRETT
1732611600,2024-11-26T09:00:00,0.1602,0.1629,0.1584,0.1602,5873518.63,940937.68,BRETT
1732615200,2024-11-26T10:00:00,0.1602,0.1608,0.1556,0.1557,6259307.12,974379.2,BRETT
1732618800,2024-11-26T11:00:00,0.1557,0.1574,0.1515,0.156,16130965.51,2516430.62,BRETT
1732622400,2024-11-26T12:00:00,0.156,0.1585,0.1529,0.1545,15257909.64,2356875.57,BRETT
1732626000,2024-11-26T13:00:00,0.1545,0.1611,0.1532,0.1595,10360690.23,1652034.33,BRETT
1732629600,2024-11-26T14:00:00,0.1595,0.1633,0.1567,0.1615,12211877.41,1972218.2,BRETT
1732633200,2024-11-26T15:00:00,0.1615,0.162,0.1571,0.1571,8866648.01,1392950.4,BRETT
1732636800,2024-11-26T16:00:00,0.1571,0.1628,0.1563,0.1614,7948765.11,1282930.69,BRETT
1732640400,2024-11-26T17:00:00,0.1614,0.1616,0.1595,0.1613,4251355.79,685743.69,BRETT
1732644000,2024-11-26T18:00:00,0.1613,0.1621,0.1543,0.1565,10448830.45,1635241.97,BRETT
1732647600,2024-11-26T19:00:00,0.1565,0.1591,0.1554,0.159,7249376.24,1152650.82,BRETT
1732651200,2024-11-26T20:00:00,0.159,0.1671,0.1586,0.1663,17091320.13,2842858.07,BRETT
1732654800,2024-11-26T21:00:00,0.1663,0.1668,0.1636,0.1662,7968727.89,1324005.25,BRETT
1732658400,2024-11-26T22:00:00,0.1662,0.1684,0.1649,0.1653,7244086.75,1197088.31,BRETT
1732662000,2024-11-26T23:00:00,0.1653,0.1664,0.1641,0.1654,5563077.88,920321.11,BRETT
1732665600,2024-11-27T00:00:00,0.1654,0.1676,0.1626,0.1629,9879695.52,1608919.58,BRETT
1732669200,2024-11-27T01:00:00,0.1629,0.1673,0.1623,0.1661,9956227.63,1653398.66,BRETT
1732672800,2024-11-27T02:00:00,0.1661,0.1667,0.164,0.1664,6619353.28,1101129.95,BRETT
1732676400,2024-11-27T03:00:00,0.1664,0.1665,0.1637,0.1638,5998791.3,982307.23,BRETT
1732680000,2024-11-27T04:00:00,0.1638,0.1682,0.1635,0.1655,7616938.67,1260351.23,BRETT
1732683600,2024-11-27T05:00:00,0.1655,0.1661,0.164,0.1646,5408029.53,889983.63,BRETT
1732687200,2024-11-27T06:00:00,0.1646,0.1668,0.1646,0.1649,6868281.97,1132466.44,BRETT
1732690800,2024-11-27T07:00:00,0.1649,0.167,0.1647,0.166,5179698.84,859744.02,BRETT
1732694400,2024-11-27T08:00:00,0.166,0.1679,0.1656,0.166,6027767.25,1000609.36,BRETT
1732698000,2024-11-27T09:00:00,0.166,0.1663,0.1637,0.1646,6140974.51,1010804.4,BRETT
1732701600,2024-11-27T10:00:00,0.1646,0.1698,0.1642,0.1676,9057572.35,1518049.13,BRETT
1732705200,2024-11-27T11:00:00,0.1676,0.168,0.1647,0.1654,8864808.64,1466239.35,BRETT
1732708800,2024-11-27T12:00:00,0.1654,0.1656,0.1616,0.1634,9437416.98,1542073.93,BRETT
1732712400,2024-11-27T13:00:00,0.1634,0.1674,0.1632,0.1674,11936327.66,1998141.25,BRETT
1732716000,2024-11-27T14:00:00,0.1674,0.1699,0.1659,0.1695,12878962.24,2182984.1,BRETT
1732719600,2024-11-27T15:00:00,0.1695,0.1723,0.168,0.1706,15947940.34,2720246.56,BRETT
1732723200,2024-11-27T16:00:00,0.1706,0.1716,0.1679,0.1685,11766465.95,1982276.52,BRETT
1732726800,2024-11-27T17:00:00,0.1685,0.1689,0.167,0.1681,14278943.42,2399832.03,BRETT
1732730400,2024-11-27T18:00:00,0.1681,0.1712,0.1669,0.1705,17909816.42,3053091.78,BRETT
1732734000,2024-11-27T19:00:00,0.1705,0.1731,0.1691,0.1716,11749813.24,2015931.91,BRETT
