timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,68.61,69.54,68.61,69.35,172.43,11957.68,BSV
1732514400,2024-11-25T06:00:00,69.35,69.37,68.76,68.91,27.2,1874.47,BSV
1732518000,2024-11-25T07:00:00,68.91,69.44,68.8,69.37,7.955,551.86,BSV
1732521600,2024-11-25T08:00:00,69.37,69.82,69.37,69.82,35.01,2444.24,BSV
1732525200,2024-11-25T09:00:00,69.82,72.01,70.01,70.6,466.52,32936.14,BSV
1732528800,2024-11-25T10:00:00,70.6,71.34,70.17,71.0,12.91,916.66,BSV
1732532400,2024-11-25T11:00:00,71.0,71.32,70.27,70.7,19.13,1352.53,BSV
1732536000,2024-11-25T12:00:00,70.7,70.58,70.05,70.3,29.75,2091.44,BSV
1732539600,2024-11-25T13:00:00,70.3,70.24,69.07,69.6,36.15,2516.11,BSV
1732543200,2024-11-25T14:00:00,69.6,68.96,67.65,67.69,238.84,16166.91,BSV
1732546800,2024-11-25T15:00:00,67.69,69.68,67.81,69.68,67.01,4668.96,BSV
1732550400,2024-11-25T16:00:00,69.68,69.91,68.97,69.38,70.98,4924.3,BSV
1732554000,2024-11-25T17:00:00,69.38,68.87,67.74,67.8,257.29,17445.45,BSV
1732557600,2024-11-25T18:00:00,67.8,68.17,67.68,67.85,12.29,833.93,BSV
1732561200,2024-11-25T19:00:00,67.85,68.05,67.33,68.04,12.3,836.87,BSV
1732564800,2024-11-25T20:00:00,68.04,68.62,68.21,68.54,1.769,121.25,BSV
1732568400,2024-11-25T21:00:00,68.54,67.72,66.26,66.99,29.85,1999.7,BSV
1732572000,2024-11-25T22:00:00,66.99,67.56,66.77,67.29,11.98,806.14,BSV
1732575600,2024-11-25T23:00:00,67.29,67.28,66.29,67.21,9.051,608.29,BSV
1732579200,2024-11-26T00:00:00,67.21,67.88,67.38,67.59,5.32,359.57,BSV
1732582800,2024-11-26T01:00:00,67.59,68.78,67.88,68.72,124.54,8558.23,BSV
1732586400,2024-11-26T02:00:00,68.72,68.6,68.29,68.32,23.27,1589.77,BSV
1732590000,2024-11-26T03:00:00,68.32,68.23,67.38,67.95,1.519,103.21,BSV
1732593600,2024-11-26T04:00:00,67.95,68.23,67.45,68.23,4.434,302.52,BSV
1732597200,2024-11-26T05:00:00,68.23,68.73,68.45,68.73,8.1,556.75,BSV
1732600800,2024-11-26T06:00:00,68.73,68.72,68.55,68.55,55.98,3837.25,BSV
1732604400,2024-11-26T07:00:00,68.55,68.01,67.39,67.64,39.08,2643.48,BSV
1732608000,2024-11-26T08:00:00,67.64,67.17,65.9,65.93,121.97,8042.03,BSV
1732611600,2024-11-26T09:00:00,65.93,66.87,66.2,66.67,25.99,1732.65,BSV
1732615200,2024-11-26T10:00:00,66.67,65.74,65.26,65.46,17.02,1114.08,BSV
1732618800,2024-11-26T11:00:00,65.46,65.53,64.0,64.84,90.88,5892.96,BSV
1732622400,2024-11-26T12:00:00,64.84,64.77,64.25,64.26,1.183,76.02,BSV
1732626000,2024-11-26T13:00:00,64.26,64.87,64.26,64.69,2.441,157.91,BSV
1732629600,2024-11-26T14:00:00,64.69,66.08,65.05,66.05,4.499,297.18,BSV
1732633200,2024-11-26T15:00:00,66.05,65.74,64.62,64.62,11.46,740.57,BSV
1732636800,2024-11-26T16:00:00,64.62,66.12,65.48,66.03,3.282,216.71,BSV
1732640400,2024-11-26T17:00:00,66.03,65.9,65.49,65.87,4.191,276.06,BSV
1732644000,2024-11-26T18:00:00,65.87,64.95,64.25,64.38,19.19,1235.4,BSV
1732647600,2024-11-26T19:00:00,64.38,64.39,63.73,64.39,1.385,89.18,BSV
1732651200,2024-11-26T20:00:00,64.39,65.06,63.83,65.06,12.03,782.73,BSV
1732654800,2024-11-26T21:00:00,65.06,65.56,65.05,65.14,0.5804,37.81,BSV
1732658400,2024-11-26T22:00:00,65.14,65.8,65.15,65.8,0.1469,9.666,BSV
1732662000,2024-11-26T23:00:00,65.8,66.01,65.8,65.93,34.05,2244.98,BSV
1732665600,2024-11-27T00:00:00,65.93,65.99,65.0,65.34,103.92,6790.26,BSV
1732669200,2024-11-27T01:00:00,65.34,66.29,65.9,66.29,21.31,1412.71,BSV
1732672800,2024-11-27T02:00:00,66.29,66.43,65.82,66.25,58.52,3876.69,BSV
1732676400,2024-11-27T03:00:00,66.25,66.09,65.81,65.9,0.011,0.7249,BSV
1732680000,2024-11-27T04:00:00,65.9,66.45,65.75,66.45,1.467,97.48,BSV
1732683600,2024-11-27T05:00:00,66.45,66.6,65.75,65.84,5.477,360.61,BSV
1732687200,2024-11-27T06:00:00,65.84,66.63,66.07,66.53,0.051,3.393,BSV
1732690800,2024-11-27T07:00:00,66.53,67.19,66.59,67.04,0.6089,40.82,BSV
1732694400,2024-11-27T08:00:00,67.04,66.93,66.23,66.27,53.96,3576.01,BSV
1732698000,2024-11-27T09:00:00,66.27,66.26,65.85,66.19,3.201,211.87,BSV
1732701600,2024-11-27T10:00:00,66.19,67.64,66.48,67.25,149.03,10022.68,BSV
1732705200,2024-11-27T11:00:00,67.25,67.0,66.49,66.68,60.9,4060.62,BSV
1732708800,2024-11-27T12:00:00,66.68,66.84,66.13,66.73,51.19,3416.03,BSV
1732712400,2024-11-27T13:00:00,66.73,68.04,67.29,67.4,55.58,3745.83,BSV
1732716000,2024-11-27T14:00:00,67.4,68.13,67.67,67.81,3.447,233.73,BSV
1732719600,2024-11-27T15:00:00,67.81,68.43,68.0,68.0,17.52,1191.29,BSV
1732723200,2024-11-27T16:00:00,68.0,68.09,67.6,67.71,119.0,8057.11,BSV
1732726800,2024-11-27T17:00:00,67.71,68.13,68.0,68.0,2.978,202.5,BSV
1732730400,2024-11-27T18:00:00,68.0,67.91,67.83,67.88,2.152,146.07,BSV
1732734000,2024-11-27T19:00:00,67.88,68.6,68.22,68.33,37.89,2589.04,BSV
