timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,0.809,0.819,0.809,0.816,9590.03,7792.67,CELO
1732514400,2024-11-25T06:00:00,0.816,0.821,0.81,0.812,21736.91,17720.24,CELO
1732518000,2024-11-25T07:00:00,0.812,0.828,0.81,0.824,4680.61,3841.52,CELO
1732521600,2024-11-25T08:00:00,0.824,0.834,0.821,0.834,9404.35,7783.02,CELO
1732525200,2024-11-25T09:00:00,0.834,0.854,0.834,0.846,29589.53,24950.72,CELO
1732528800,2024-11-25T10:00:00,0.846,0.854,0.836,0.852,26095.89,22118.19,CELO
1732532400,2024-11-25T11:00:00,0.852,0.867,0.847,0.849,82958.56,71194.35,CELO
1732536000,2024-11-25T12:00:00,0.849,0.86,0.848,0.856,44458.97,37931.35,CELO
1732539600,2024-11-25T13:00:00,0.856,0.861,0.832,0.836,45333.78,38204.56,CELO
1732543200,2024-11-25T14:00:00,0.836,0.846,0.815,0.817,52153.79,43543.37,CELO
1732546800,2024-11-25T15:00:00,0.817,0.847,0.8,0.84,132191.56,108339.92,CELO
1732550400,2024-11-25T16:00:00,0.84,0.848,0.823,0.834,26622.74,22233.52,CELO
1732554000,2024-11-25T17:00:00,0.834,0.834,0.806,0.82,64753.81,52812.14,CELO
1732557600,2024-11-25T18:00:00,0.82,0.826,0.815,0.826,22179.38,18190.72,CELO
1732561200,2024-11-25T19:00:00,0.826,0.833,0.818,0.83,42669.45,35306.94,CELO
1732564800,2024-11-25T20:00:00,0.83,0.84,0.828,0.837,123613.09,103137.37,CELO
1732568400,2024-11-25T21:00:00,0.837,0.838,0.81,0.818,24172.66,20032.37,CELO
1732572000,2024-11-25T22:00:00,0.818,0.821,0.79,0.817,41444.4,33648.81,CELO
1732575600,2024-11-25T23:00:00,0.817,0.822,0.806,0.808,28238.73,22914.4,CELO
1732579200,2024-11-26T00:00:00,0.808,0.849,0.806,0.845,106410.87,89171.82,CELO
1732582800,2024-11-26T01:00:00,0.845,0.847,0.838,0.842,26165.14,22031.43,CELO
1732586400,2024-11-26T02:00:00,0.842,0.873,0.841,0.864,87046.91,74503.26,CELO
1732590000,2024-11-26T03:00:00,0.864,0.881,0.858,0.865,99406.42,86429.61,CELO
1732593600,2024-11-26T04:00:00,0.865,0.866,0.851,0.859,79387.69,68061.98,CELO
1732597200,2024-11-26T05:00:00,0.859,0.871,0.859,0.87,40212.91,34758.88,CELO
1732600800,2024-11-26T06:00:00,0.87,0.877,0.846,0.867,139948.85,120993.48,CELO
1732604400,2024-11-26T07:00:00,0.867,0.867,0.843,0.849,14818.16,12638.92,CELO
1732608000,2024-11-26T08:00:00,0.849,0.849,0.82,0.826,107293.78,88435.82,CELO
1732611600,2024-11-26T09:00:00,0.826,0.842,0.822,0.836,57102.16,47725.59,CELO
1732615200,2024-11-26T10:00:00,0.836,0.836,0.805,0.805,14833.09,12168.11,CELO
1732618800,2024-11-26T11:00:00,0.805,0.813,0.779,0.794,68148.91,54235.24,CELO
1732622400,2024-11-26T12:00:00,0.794,0.802,0.776,0.782,14761.22,11596.34,CELO
1732626000,2024-11-26T13:00:00,0.782,0.792,0.776,0.781,71333.33,55687.39,CELO
1732629600,2024-11-26T14:00:00,0.781,0.801,0.771,0.799,29246.56,23215.49,CELO
1732633200,2024-11-26T15:00:00,0.799,0.8,0.782,0.782,22526.78,17827.96,CELO
1732636800,2024-11-26T16:00:00,0.782,0.837,0.778,0.827,25448.72,20621.29,CELO
1732640400,2024-11-26T17:00:00,0.827,0.837,0.817,0.834,51570.38,42479.41,CELO
1732644000,2024-11-26T18:00:00,0.834,0.836,0.799,0.819,28144.65,22924.78,CELO
1732647600,2024-11-26T19:00:00,0.819,0.819,0.803,0.809,13775.2,11175.62,CELO
1732651200,2024-11-26T20:00:00,0.809,0.83,0.807,0.828,78820.55,64198.31,CELO
1732654800,2024-11-26T21:00:00,0.828,0.833,0.817,0.82,47672.33,39425.82,CELO
1732658400,2024-11-26T22:00:00,0.82,0.848,0.817,0.837,45967.16,38542.46,CELO
1732662000,2024-11-26T23:00:00,0.837,0.844,0.832,0.838,50324.8,42134.05,CELO
1732665600,2024-11-27T00:00:00,0.838,0.843,0.815,0.816,31126.74,25835.62,CELO
1732669200,2024-11-27T01:00:00,0.816,0.834,0.812,0.834,9572.68,7903.28,CELO
1732672800,2024-11-27T02:00:00,0.834,0.846,0.824,0.842,37646.05,31560.97,CELO
1732676400,2024-11-27T03:00:00,0.842,0.848,0.817,0.817,28641.05,23884.98,CELO
1732680000,2024-11-27T04:00:00,0.817,0.86,0.814,0.843,164276.34,139061.26,CELO
1732683600,2024-11-27T05:00:00,0.843,0.844,0.826,0.826,9946.72,8303.94,CELO
