timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,0.1442,0.1452,0.1436,0.1436,952518.05,137300.6,COTI
1732514400,2024-11-25T06:00:00,0.1436,0.1437,0.1413,0.1413,1057755.69,151341.25,COTI
1732518000,2024-11-25T07:00:00,0.1413,0.1426,0.1408,0.1424,609789.7,86352.12,COTI
1732521600,2024-11-25T08:00:00,0.1424,0.1441,0.1418,0.144,207099.74,29614.74,COTI
1732525200,2024-11-25T09:00:00,0.144,0.1477,0.144,0.1463,1286535.18,188238.03,COTI
1732528800,2024-11-25T10:00:00,0.1463,0.1467,0.1445,0.1457,198051.06,28858.27,COTI
1732532400,2024-11-25T11:00:00,0.1457,0.1472,0.1427,0.1434,1090554.79,159634.11,COTI
1732536000,2024-11-25T12:00:00,0.1434,0.1434,0.1412,0.1419,1319325.48,187421.45,COTI
1732539600,2024-11-25T13:00:00,0.1419,0.1425,0.1388,0.1398,654050.38,91330.57,COTI
1732543200,2024-11-25T14:00:00,0.1398,0.1411,0.1362,0.1362,792315.42,109975.19,COTI
1732546800,2024-11-25T15:00:00,0.1362,0.1415,0.1341,0.1405,862883.37,118577.83,COTI
1732550400,2024-11-25T16:00:00,0.1405,0.1417,0.1387,0.1394,2039143.2,286717.2,COTI
1732554000,2024-11-25T17:00:00,0.1394,0.1394,0.1357,0.1378,1029063.56,141480.2,COTI
1732557600,2024-11-25T18:00:00,0.1378,0.1388,0.1361,0.1369,473390.38,65075.19,COTI
1732561200,2024-11-25T19:00:00,0.1369,0.1392,0.1362,0.1382,595129.05,81822.59,COTI
1732564800,2024-11-25T20:00:00,0.1382,0.14,0.138,0.1396,298304.43,41634.7,COTI
1732568400,2024-11-25T21:00:00,0.1396,0.1399,0.1343,0.1353,2785696.37,382234.49,COTI
1732572000,2024-11-25T22:00:00,0.1353,0.1363,0.1313,0.1353,605372.98,80981.54,COTI
1732575600,2024-11-25T23:00:00,0.1353,0.1363,0.1341,0.1345,496827.74,67192.17,COTI
1732579200,2024-11-26T00:00:00,0.1345,0.1386,0.1332,0.1372,393994.39,53632.52,COTI
1732582800,2024-11-26T01:00:00,0.1372,0.1393,0.1364,0.1387,445930.9,61683.53,COTI
1732586400,2024-11-26T02:00:00,0.1387,0.1402,0.1382,0.1396,1341992.95,186307.97,COTI
1732590000,2024-11-26T03:00:00,0.1396,0.1405,0.1372,0.1391,667426.35,92629.14,COTI
1732593600,2024-11-26T04:00:00,0.1391,0.1405,0.1379,0.1403,373753.39,52097.29,COTI
1732597200,2024-11-26T05:00:00,0.1403,0.1414,0.1401,0.1411,278743.78,39222.58,COTI
1732600800,2024-11-26T06:00:00,0.1411,0.1417,0.1394,0.1395,252544.94,35545.25,COTI
1732604400,2024-11-26T07:00:00,0.1395,0.1395,0.1361,0.1368,1208556.69,165937.19,COTI
1732608000,2024-11-26T08:00:00,0.1368,0.1368,0.1318,0.1321,502046.72,66789.96,COTI
1732611600,2024-11-26T09:00:00,0.1321,0.1337,0.1311,0.1329,307685.27,40735.41,COTI
1732615200,2024-11-26T10:00:00,0.1329,0.1333,0.1265,0.1268,1697649.02,219580.4,COTI
