timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,0.5105,0.5254,0.51,0.5157,822754.5,426033.11,CRV
1732514400,2024-11-25T06:00:00,0.5157,0.5302,0.5157,0.5219,969262.45,509484.7,CRV
1732518000,2024-11-25T07:00:00,0.5219,0.5372,0.5218,0.5278,952546.81,503004.01,CRV
1732521600,2024-11-25T08:00:00,0.5278,0.5395,0.5278,0.5332,806668.22,431018.08,CRV
1732525200,2024-11-25T09:00:00,0.5332,0.5439,0.5306,0.5439,1033585.62,554007.23,CRV
1732528800,2024-11-25T10:00:00,0.5439,0.5503,0.5375,0.5408,2167598.84,1178167.25,CRV
1732532400,2024-11-25T11:00:00,0.5408,0.5543,0.5404,0.5532,677034.77,371372.03,CRV
1732536000,2024-11-25T12:00:00,0.5532,0.5765,0.5491,0.5713,2273924.98,1276171.62,CRV
1732539600,2024-11-25T13:00:00,0.5713,0.5737,0.5458,0.5529,2647210.39,1478649.85,CRV
1732543200,2024-11-25T14:00:00,0.5529,0.5597,0.5318,0.532,1313757.72,715124.78,CRV
1732546800,2024-11-25T15:00:00,0.532,0.5481,0.5245,0.5385,3500651.12,1879796.61,CRV
1732550400,2024-11-25T16:00:00,0.5385,0.5413,0.5252,0.5388,1450760.14,774102.23,CRV
1732554000,2024-11-25T17:00:00,0.5388,0.5391,0.5244,0.5369,3027531.12,1605293.83,CRV
1732557600,2024-11-25T18:00:00,0.5369,0.5412,0.5288,0.5333,1598678.91,858785.86,CRV
1732561200,2024-11-25T19:00:00,0.5333,0.5405,0.5275,0.5356,304666.04,162493.82,CRV
1732564800,2024-11-25T20:00:00,0.5356,0.55,0.5343,0.5493,1092880.89,597990.58,CRV
1732568400,2024-11-25T21:00:00,0.5493,0.5561,0.5259,0.5338,3733899.68,2002975.17,CRV
1732572000,2024-11-25T22:00:00,0.5338,0.5346,0.5049,0.5213,4614771.02,2394432.61,CRV
1732575600,2024-11-25T23:00:00,0.5213,0.5296,0.515,0.517,1481583.31,775406.97,CRV
1732579200,2024-11-26T00:00:00,0.517,0.531,0.5147,0.5225,1476026.14,773472.08,CRV
1732582800,2024-11-26T01:00:00,0.5225,0.5289,0.5209,0.5255,246332.17,129242.52,CRV
1732586400,2024-11-26T02:00:00,0.5255,0.5281,0.5178,0.5179,796559.03,416906.54,CRV
1732590000,2024-11-26T03:00:00,0.5179,0.5181,0.5103,0.5129,596506.69,306210.37,CRV
1732593600,2024-11-26T04:00:00,0.5129,0.5156,0.5072,0.5147,804350.05,409820.74,CRV
1732597200,2024-11-26T05:00:00,0.5147,0.5319,0.5134,0.5266,1162988.54,605885.63,CRV
1732600800,2024-11-26T06:00:00,0.5266,0.5271,0.5166,0.5175,480636.67,250482.46,CRV
1732604400,2024-11-26T07:00:00,0.5175,0.5175,0.5021,0.5056,1319503.78,669167.71,CRV
1732608000,2024-11-26T08:00:00,0.5056,0.5074,0.4914,0.4944,1730531.91,859322.67,CRV
1732611600,2024-11-26T09:00:00,0.4944,0.4991,0.4892,0.4974,753728.81,374244.89,CRV
1732615200,2024-11-26T10:00:00,0.4974,0.4986,0.4792,0.4796,617381.04,299962.09,CRV
1732618800,2024-11-26T11:00:00,0.4796,0.4871,0.471,0.484,2564708.02,1227652.36,CRV
1732622400,2024-11-26T12:00:00,0.484,0.489,0.4767,0.4794,980818.61,475545.33,CRV
1732626000,2024-11-26T13:00:00,0.4794,0.4917,0.4775,0.4843,1499212.73,724094.84,CRV
1732629600,2024-11-26T14:00:00,0.4843,0.4966,0.4797,0.4919,915458.05,447127.55,CRV
1732633200,2024-11-26T15:00:00,0.4919,0.4921,0.4771,0.4771,709483.26,343861.53,CRV
1732636800,2024-11-26T16:00:00,0.4771,0.4873,0.4759,0.4853,358166.52,173384.36,CRV
1732640400,2024-11-26T17:00:00,0.4853,0.4866,0.4788,0.4854,272343.0,132004.74,CRV
1732644000,2024-11-26T18:00:00,0.4854,0.4855,0.467,0.4731,540016.58,255888.14,CRV
