timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,3.146,3.211,3.146,3.178,5226.6,16693.3,CVX
1732514400,2024-11-25T06:00:00,3.178,3.182,3.149,3.175,7533.25,23936.93,CVX
1732518000,2024-11-25T07:00:00,3.175,3.205,3.161,3.187,4916.3,15691.82,CVX
1732521600,2024-11-25T08:00:00,3.187,3.202,3.144,3.184,8574.51,27162.48,CVX
1732525200,2024-11-25T09:00:00,3.184,3.297,3.184,3.237,14655.49,47376.66,CVX
1732528800,2024-11-25T10:00:00,3.237,3.321,3.221,3.27,12835.93,41883.03,CVX
1732532400,2024-11-25T11:00:00,3.27,3.277,3.242,3.277,20398.12,66688.98,CVX
1732536000,2024-11-25T12:00:00,3.277,3.474,3.277,3.432,87036.74,294986.4,CVX
1732539600,2024-11-25T13:00:00,3.432,3.475,3.42,3.43,123465.77,422985.14,CVX
1732543200,2024-11-25T14:00:00,3.43,3.504,3.36,3.36,237952.2,815889.25,CVX
1732546800,2024-11-25T15:00:00,3.36,3.5,3.32,3.489,49217.55,168022.76,CVX
1732550400,2024-11-25T16:00:00,3.489,3.546,3.363,3.436,67593.43,234115.05,CVX
1732554000,2024-11-25T17:00:00,3.436,3.448,3.338,3.368,34794.05,117699.62,CVX
1732557600,2024-11-25T18:00:00,3.368,3.453,3.368,3.391,20478.65,69900.75,CVX
1732561200,2024-11-25T19:00:00,3.391,3.441,3.368,3.381,26592.19,89709.13,CVX
1732564800,2024-11-25T20:00:00,3.381,3.414,3.356,3.393,26568.28,89956.75,CVX
1732568400,2024-11-25T21:00:00,3.393,3.41,3.231,3.243,61885.65,202338.33,CVX
1732572000,2024-11-25T22:00:00,3.243,3.265,3.131,3.22,61126.22,195167.93,CVX
1732575600,2024-11-25T23:00:00,3.22,3.222,3.063,3.088,153869.04,479097.72,CVX
1732579200,2024-11-26T00:00:00,3.088,3.132,3.079,3.096,22701.15,70471.53,CVX
1732582800,2024-11-26T01:00:00,3.096,3.147,3.096,3.144,10435.2,32531.94,CVX
1732586400,2024-11-26T02:00:00,3.144,3.163,3.138,3.148,7795.32,24582.91,CVX
1732590000,2024-11-26T03:00:00,3.148,3.149,3.111,3.143,3099.42,9720.52,CVX
1732593600,2024-11-26T04:00:00,3.143,3.143,3.103,3.118,3000.0,9340.69,CVX
1732597200,2024-11-26T05:00:00,3.118,3.168,3.11,3.168,843.01,2640.72,CVX
