timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,4.25,4.281,4.242,4.244,1878.87,7973.09,CYBER
1732514400,2024-11-25T06:00:00,4.244,4.244,4.135,4.177,9088.71,37966.02,CYBER
1732518000,2024-11-25T07:00:00,4.177,4.247,4.166,4.24,1156.38,4903.15,CYBER
1732521600,2024-11-25T08:00:00,4.24,4.25,4.212,4.25,532.82,2264.63,CYBER
1732525200,2024-11-25T09:00:00,4.25,4.337,4.262,4.328,2035.04,8807.78,CYBER
1732528800,2024-11-25T10:00:00,4.323,4.352,4.254,4.264,949.38,4048.56,CYBER
1732532400,2024-11-25T11:00:00,4.312,4.321,4.268,4.268,1235.08,5271.64,CYBER
1732536000,2024-11-25T12:00:00,4.268,4.256,4.227,4.253,436.43,1856.27,CYBER
1732539600,2024-11-25T13:00:00,4.253,4.238,4.134,4.187,2779.07,11636.61,CYBER
1732543200,2024-11-25T14:00:00,4.187,4.093,4.019,4.034,1771.71,7147.57,CYBER
1732546800,2024-11-25T15:00:00,4.034,4.234,4.041,4.211,2508.1,10560.83,CYBER
1732550400,2024-11-25T16:00:00,4.211,4.25,4.131,4.182,3134.27,13106.1,CYBER
1732554000,2024-11-25T17:00:00,4.182,4.151,4.088,4.125,1547.47,6383.06,CYBER
1732557600,2024-11-25T18:00:00,4.125,4.129,4.099,4.103,1872.69,7683.35,CYBER
1732561200,2024-11-25T19:00:00,4.103,4.135,4.081,4.119,1725.53,7107.81,CYBER
1732564800,2024-11-25T20:00:00,4.119,4.162,4.11,4.159,158.88,660.78,CYBER
1732568400,2024-11-25T21:00:00,4.159,4.117,4.051,4.082,2234.54,9122.47,CYBER
1732572000,2024-11-25T22:00:00,4.082,4.14,4.066,4.103,2733.27,11214.89,CYBER
1732575600,2024-11-25T23:00:00,4.103,4.082,4.012,4.06,1655.9,6723.44,CYBER
1732579200,2024-11-26T00:00:00,4.06,4.15,4.072,4.134,1904.11,7872.09,CYBER
1732582800,2024-11-26T01:00:00,4.134,4.221,4.176,4.21,2900.68,12212.53,CYBER
1732586400,2024-11-26T02:00:00,4.21,4.249,4.192,4.245,4782.93,20302.72,CYBER
1732590000,2024-11-26T03:00:00,4.245,4.239,4.171,4.179,676.29,2826.18,CYBER
1732593600,2024-11-26T04:00:00,4.179,4.258,4.171,4.233,1056.63,4473.16,CYBER
1732597200,2024-11-26T05:00:00,4.233,4.271,4.248,4.261,2143.94,9136.13,CYBER
1732600800,2024-11-26T06:00:00,4.261,4.291,4.247,4.269,2788.05,11902.66,CYBER
1732604400,2024-11-26T07:00:00,4.269,4.236,4.146,4.146,1854.93,7689.82,CYBER
1732608000,2024-11-26T08:00:00,4.146,4.123,4.026,4.034,4910.2,19807.44,CYBER
1732611600,2024-11-26T09:00:00,4.034,4.076,4.011,4.02,2013.64,8094.43,CYBER
1732615200,2024-11-26T10:00:00,4.02,3.975,3.9,3.901,2584.07,10081.54,CYBER
1732618800,2024-11-26T11:00:00,3.901,3.913,3.825,3.853,13374.53,51531.12,CYBER
1732622400,2024-11-26T12:00:00,3.853,3.908,3.838,3.859,5471.61,21113.6,CYBER
1732626000,2024-11-26T13:00:00,3.859,3.859,3.816,3.843,4652.55,17878.01,CYBER
1732629600,2024-11-26T14:00:00,3.843,3.953,3.86,3.943,5282.06,20827.84,CYBER
1732633200,2024-11-26T15:00:00,3.943,3.925,3.854,3.854,3209.95,12369.75,CYBER
1732636800,2024-11-26T16:00:00,3.854,3.94,3.879,3.935,2264.64,8910.39,CYBER
1732640400,2024-11-26T17:00:00,3.935,3.982,3.909,3.961,1308.84,5183.74,CYBER
1732644000,2024-11-26T18:00:00,3.982,3.93,3.842,3.855,2953.17,11384.31,CYBER
1732647600,2024-11-26T19:00:00,3.834,3.822,3.788,3.814,241.97,922.91,CYBER
1732651200,2024-11-26T20:00:00,3.814,3.912,3.785,3.912,257.1,1005.75,CYBER
1732654800,2024-11-26T21:00:00,3.912,3.979,3.939,3.955,533.54,2110.05,CYBER
1732658400,2024-11-26T22:00:00,3.955,4.059,3.949,4.055,3058.3,12401.34,CYBER
1732662000,2024-11-26T23:00:00,4.055,4.085,4.034,4.077,2128.8,8678.81,CYBER
1732665600,2024-11-27T00:00:00,4.077,4.113,4.023,4.027,7914.81,31873.54,CYBER
1732669200,2024-11-27T01:00:00,4.027,4.116,4.046,4.077,11236.7,45816.29,CYBER
1732672800,2024-11-27T02:00:00,4.077,4.172,4.058,4.161,2934.98,12211.15,CYBER
1732676400,2024-11-27T03:00:00,4.161,4.17,4.135,4.139,619.49,2564.23,CYBER
1732680000,2024-11-27T04:00:00,4.139,4.187,4.135,4.158,793.81,3300.71,CYBER
1732683600,2024-11-27T05:00:00,4.158,4.166,4.104,4.104,1744.66,7160.68,CYBER
1732687200,2024-11-27T06:00:00,4.104,4.182,4.113,4.151,4552.77,18899.17,CYBER
1732690800,2024-11-27T07:00:00,4.151,4.202,4.16,4.17,3927.32,16376.99,CYBER
1732694400,2024-11-27T08:00:00,4.18,4.219,4.178,4.216,2888.29,12175.93,CYBER
1732698000,2024-11-27T09:00:00,4.216,4.215,4.143,4.145,652.46,2704.75,CYBER
1732701600,2024-11-27T10:00:00,4.145,4.205,4.164,4.195,125.98,528.54,CYBER
1732705200,2024-11-27T11:00:00,4.195,4.209,4.163,4.196,1363.04,5719.02,CYBER
1732708800,2024-11-27T12:00:00,4.196,4.216,4.18,4.206,1123.32,4724.37,CYBER
1732712400,2024-11-27T13:00:00,4.206,4.258,4.215,4.256,3665.85,15602.03,CYBER
1732716000,2024-11-27T14:00:00,4.256,4.292,4.255,4.255,756.95,3221.14,CYBER
1732719600,2024-11-27T15:00:00,4.255,4.326,4.263,4.27,1547.63,6607.94,CYBER
1732723200,2024-11-27T16:00:00,4.27,4.307,4.263,4.282,1927.41,8253.79,CYBER
1732726800,2024-11-27T17:00:00,4.282,4.371,4.306,4.366,866.61,3783.56,CYBER
1732730400,2024-11-27T18:00:00,4.366,4.404,4.33,4.404,2294.27,10104.58,CYBER
1732734000,2024-11-27T19:00:00,4.404,4.453,4.405,4.405,2391.3,10533.79,CYBER
1732737600,2024-11-27T20:00:00,4.405,4.414,4.398,4.409,127.59,562.53,CYBER
1732741200,2024-11-27T21:00:00,4.409,4.402,4.387,4.392,3134.93,13769.95,CYBER
1732744800,2024-11-27T22:00:00,4.392,4.42,4.374,4.408,591.85,2608.83,CYBER
1732748400,2024-11-27T23:00:00,4.408,4.425,4.372,4.425,809.36,3581.09,CYBER
1732752000,2024-11-28T00:00:00,4.425,4.471,4.402,4.424,2891.76,12792.87,CYBER
1732755600,2024-11-28T01:00:00,4.424,4.477,4.41,4.476,3786.45,16947.02,CYBER
1732759200,2024-11-28T02:00:00,4.476,4.449,4.382,4.383,792.01,3471.52,CYBER
1732762800,2024-11-28T03:00:00,4.383,4.375,4.337,4.342,1655.43,7188.58,CYBER
1732766400,2024-11-28T04:00:00,4.342,4.405,4.348,4.405,486.83,2144.46,CYBER
1732770000,2024-11-28T05:00:00,4.405,4.453,4.358,4.376,1500.74,6567.54,CYBER
1732773600,2024-11-28T06:00:00,4.376,4.378,4.33,4.34,2343.13,10168.14,CYBER
1732777200,2024-11-28T07:00:00,4.34,4.336,4.288,4.3,4080.5,17546.23,CYBER
1732780800,2024-11-28T08:00:00,4.3,4.335,4.259,4.316,3017.27,13022.67,CYBER
1732784400,2024-11-28T09:00:00,4.316,4.311,4.272,4.272,1818.29,7767.79,CYBER
1732788000,2024-11-28T10:00:00,4.272,4.311,4.259,4.278,1066.58,4562.85,CYBER
1732791600,2024-11-28T11:00:00,4.278,4.3,4.268,4.293,791.51,3398.04,CYBER
1732795200,2024-11-28T12:00:00,4.293,4.319,4.295,4.305,6371.79,27432.31,CYBER
1732798800,2024-11-28T13:00:00,4.305,4.319,4.277,4.312,564.65,2434.72,CYBER
1732802400,2024-11-28T14:00:00,4.312,4.32,4.277,4.32,500.94,2163.85,CYBER
1732806000,2024-11-28T15:00:00,4.32,4.303,4.191,4.22,8580.6,36211.21,CYBER
1732809600,2024-11-28T16:00:00,4.22,4.269,4.214,4.255,2773.0,11798.71,CYBER
1732813200,2024-11-28T17:00:00,4.255,4.324,4.25,4.306,1136.59,4894.23,CYBER
1732816800,2024-11-28T18:00:00,4.306,4.371,4.321,4.365,1494.89,6525.68,CYBER
1732820400,2024-11-28T19:00:00,4.365,4.393,4.357,4.373,1483.65,6488.29,CYBER
1732824000,2024-11-28T20:00:00,4.373,4.367,4.325,4.325,1310.52,5668.27,CYBER
