timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,2.456,2.468,2.449,2.451,149.75,367.05,DEGO
1732514400,2024-11-25T06:00:00,2.451,2.453,2.429,2.429,180.76,439.11,DEGO
1732518000,2024-11-25T07:00:00,2.429,2.451,2.428,2.442,139.49,340.7,DEGO
1732521600,2024-11-25T08:00:00,2.442,2.476,2.45,2.47,143.5,354.48,DEGO
1732525200,2024-11-25T09:00:00,2.47,2.535,2.511,2.513,138.02,346.86,DEGO
1732528800,2024-11-25T10:00:00,2.513,2.531,2.492,2.516,154.43,388.48,DEGO
1732532400,2024-11-25T11:00:00,2.516,2.507,2.486,2.507,174.26,436.88,DEGO
1732536000,2024-11-25T12:00:00,2.507,2.548,2.514,2.533,166.32,421.21,DEGO
1732539600,2024-11-25T13:00:00,2.533,2.528,2.496,2.51,175.0,439.19,DEGO
1732543200,2024-11-25T14:00:00,2.51,2.461,2.434,2.439,153.47,374.27,DEGO
1732546800,2024-11-25T15:00:00,2.439,2.547,2.501,2.528,167.3,422.89,DEGO
1732550400,2024-11-25T16:00:00,2.528,2.516,2.495,2.509,134.69,337.98,DEGO
1732554000,2024-11-25T17:00:00,2.509,2.494,2.469,2.473,131.05,324.13,DEGO
1732557600,2024-11-25T18:00:00,2.473,2.468,2.451,2.451,164.9,404.21,DEGO
1732561200,2024-11-25T19:00:00,2.451,2.481,2.44,2.48,145.97,362.04,DEGO
1732564800,2024-11-25T20:00:00,2.48,2.551,2.506,2.549,162.61,414.44,DEGO
1732568400,2024-11-25T21:00:00,2.549,2.528,2.497,2.509,153.48,385.04,DEGO
1732572000,2024-11-25T22:00:00,2.509,2.555,2.517,2.555,156.27,399.3,DEGO
1732575600,2024-11-25T23:00:00,2.555,2.566,2.508,2.566,131.86,338.34,DEGO
1732579200,2024-11-26T00:00:00,2.566,2.612,2.565,2.602,168.71,439.01,DEGO
1732582800,2024-11-26T01:00:00,2.602,2.658,2.62,2.651,145.29,385.13,DEGO
1732586400,2024-11-26T02:00:00,2.651,2.671,2.644,2.649,136.62,361.88,DEGO
1732590000,2024-11-26T03:00:00,2.649,2.641,2.564,2.572,182.31,468.87,DEGO
1732593600,2024-11-26T04:00:00,2.572,2.564,2.468,2.485,167.74,416.83,DEGO
1732597200,2024-11-26T05:00:00,2.485,2.51,2.481,2.489,187.43,466.49,DEGO
1732600800,2024-11-26T06:00:00,2.489,2.488,2.422,2.427,146.92,356.61,DEGO
1732604400,2024-11-26T07:00:00,2.427,2.425,2.403,2.41,173.12,417.24,DEGO
1732608000,2024-11-26T08:00:00,2.41,2.396,2.333,2.345,113.77,266.76,DEGO
1732611600,2024-11-26T09:00:00,2.345,2.354,2.333,2.345,142.62,334.47,DEGO
1732615200,2024-11-26T10:00:00,2.345,2.331,2.31,2.31,137.97,318.65,DEGO
1732618800,2024-11-26T11:00:00,2.31,2.325,2.296,2.318,145.58,337.42,DEGO
1732622400,2024-11-26T12:00:00,2.318,2.314,2.295,2.308,192.98,445.46,DEGO
1732626000,2024-11-26T13:00:00,2.308,2.325,2.299,2.323,139.97,325.14,DEGO
1732629600,2024-11-26T14:00:00,2.323,2.377,2.337,2.377,127.33,302.72,DEGO
1732633200,2024-11-26T15:00:00,2.377,2.346,2.325,2.333,136.39,318.17,DEGO
1732636800,2024-11-26T16:00:00,2.333,2.386,2.343,2.373,169.74,402.86,DEGO
