timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,8.689,8.742,8.644,8.738,52.43,458.16,DEXE
1732514400,2024-11-25T06:00:00,8.738,8.754,8.574,8.574,64.35,551.71,DEXE
1732518000,2024-11-25T07:00:00,8.574,8.647,8.544,8.621,62.99,543.01,DEXE
1732521600,2024-11-25T08:00:00,8.621,8.659,8.611,8.652,66.0,571.03,DEXE
1732525200,2024-11-25T09:00:00,8.652,8.75,8.676,8.73,76.54,668.2,DEXE
1732528800,2024-11-25T10:00:00,8.73,8.746,8.653,8.746,66.68,583.15,DEXE
1732532400,2024-11-25T11:00:00,8.746,8.747,8.578,8.578,61.11,524.19,DEXE
1732536000,2024-11-25T12:00:00,8.562,8.639,8.535,8.573,49.43,423.77,DEXE
1732539600,2024-11-25T13:00:00,8.598,8.583,8.474,8.501,74.38,632.32,DEXE
1732543200,2024-11-25T14:00:00,8.501,8.398,8.299,8.356,55.63,464.82,DEXE
1732546800,2024-11-25T15:00:00,8.356,8.485,8.336,8.485,73.94,627.36,DEXE
1732550400,2024-11-25T16:00:00,8.485,8.558,8.365,8.372,77.57,649.39,DEXE
1732554000,2024-11-25T17:00:00,8.372,8.405,8.277,8.285,78.19,647.8,DEXE
1732557600,2024-11-25T18:00:00,8.285,8.338,8.276,8.307,77.92,647.24,DEXE
1732561200,2024-11-25T19:00:00,8.307,8.349,8.24,8.323,73.66,613.04,DEXE
1732564800,2024-11-25T20:00:00,8.323,8.408,8.341,8.383,72.22,605.45,DEXE
1732568400,2024-11-25T21:00:00,8.383,8.291,8.209,8.23,60.73,499.79,DEXE
1732572000,2024-11-25T22:00:00,8.23,8.304,8.259,8.278,63.54,525.98,DEXE
1732575600,2024-11-25T23:00:00,8.278,8.271,8.158,8.259,68.1,562.45,DEXE
1732579200,2024-11-26T00:00:00,8.259,8.411,8.306,8.392,61.08,512.61,DEXE
1732582800,2024-11-26T01:00:00,8.392,8.518,8.466,8.518,54.61,465.18,DEXE
1732586400,2024-11-26T02:00:00,8.518,8.537,8.494,8.518,61.1,520.45,DEXE
1732590000,2024-11-26T03:00:00,8.518,8.516,8.435,8.464,77.1,652.55,DEXE
1732593600,2024-11-26T04:00:00,8.464,8.472,8.408,8.472,64.46,546.14,DEXE
1732597200,2024-11-26T05:00:00,8.472,8.524,8.486,8.51,69.24,589.26,DEXE
1732600800,2024-11-26T06:00:00,8.51,8.508,8.448,8.472,55.68,471.73,DEXE
1732604400,2024-11-26T07:00:00,8.472,8.423,8.349,8.349,50.07,418.05,DEXE
1732608000,2024-11-26T08:00:00,8.349,8.358,8.247,8.247,60.08,495.46,DEXE
1732611600,2024-11-26T09:00:00,8.247,8.287,8.213,8.222,71.81,590.42,DEXE
1732615200,2024-11-26T10:00:00,8.222,8.187,8.083,8.118,80.67,654.9,DEXE
1732618800,2024-11-26T11:00:00,8.118,8.13,7.999,8.014,92.09,738.03,DEXE
