timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,0.8279,0.8369,0.8279,0.8343,11475.44,9557.14,DIA
1732514400,2024-11-25T06:00:00,0.8343,0.8343,0.815,0.8158,45848.71,37749.05,DIA
1732518000,2024-11-25T07:00:00,0.8158,0.8269,0.8158,0.824,2898.07,2382.8,DIA
1732521600,2024-11-25T08:00:00,0.824,0.8301,0.8203,0.8289,27527.32,22727.67,DIA
1732525200,2024-11-25T09:00:00,0.8289,0.842,0.8284,0.834,49595.87,41478.09,DIA
1732528800,2024-11-25T10:00:00,0.834,0.835,0.8215,0.8345,21850.94,18139.56,DIA
1732532400,2024-11-25T11:00:00,0.8345,0.836,0.8174,0.824,29491.08,24371.17,DIA
1732536000,2024-11-25T12:00:00,0.824,0.829,0.8177,0.819,6497.01,5345.87,DIA
1732539600,2024-11-25T13:00:00,0.819,0.8213,0.7951,0.801,29588.63,23759.33,DIA
1732543200,2024-11-25T14:00:00,0.801,0.8158,0.7847,0.7874,54025.0,43231.16,DIA
1732546800,2024-11-25T15:00:00,0.7874,0.8231,0.7747,0.8183,52200.8,41699.95,DIA
1732550400,2024-11-25T16:00:00,0.8183,0.8321,0.8144,0.8226,61870.28,50926.53,DIA
1732554000,2024-11-25T17:00:00,0.8226,0.8229,0.8013,0.8153,29303.1,23693.81,DIA
1732557600,2024-11-25T18:00:00,0.8153,0.8367,0.8153,0.823,51615.92,42640.0,DIA
1732561200,2024-11-25T19:00:00,0.823,0.8393,0.8202,0.8363,67773.88,56491.37,DIA
1732564800,2024-11-25T20:00:00,0.8363,0.8444,0.8297,0.8431,31791.74,26656.47,DIA
1732568400,2024-11-25T21:00:00,0.8431,0.8431,0.813,0.8227,42576.65,35112.92,DIA
1732572000,2024-11-25T22:00:00,0.8227,0.8321,0.8002,0.8276,41286.52,33769.94,DIA
1732575600,2024-11-25T23:00:00,0.8276,0.8356,0.8194,0.8244,39438.59,32649.74,DIA
1732579200,2024-11-26T00:00:00,0.8244,0.84,0.8141,0.8229,74807.52,61649.21,DIA
1732582800,2024-11-26T01:00:00,0.8229,0.836,0.8201,0.835,11451.39,9504.63,DIA
1732586400,2024-11-26T02:00:00,0.835,0.844,0.835,0.8416,17421.32,14624.41,DIA
1732590000,2024-11-26T03:00:00,0.8416,0.8493,0.8365,0.8457,35481.94,29944.08,DIA
1732593600,2024-11-26T04:00:00,0.8457,0.8457,0.8266,0.8379,21304.53,17691.64,DIA
1732597200,2024-11-26T05:00:00,0.8379,0.846,0.8376,0.844,27949.38,23495.42,DIA
1732600800,2024-11-26T06:00:00,0.844,0.8446,0.8279,0.8279,18143.28,15160.92,DIA
1732604400,2024-11-26T07:00:00,0.8279,0.8279,0.807,0.8113,50768.73,41856.06,DIA
1732608000,2024-11-26T08:00:00,0.8113,0.8113,0.7793,0.7815,30911.74,24413.4,DIA
1732611600,2024-11-26T09:00:00,0.7815,0.7966,0.7741,0.7857,21638.51,17052.63,DIA
1732615200,2024-11-26T10:00:00,0.7857,0.7868,0.7581,0.7581,46049.94,35516.06,DIA
1732618800,2024-11-26T11:00:00,0.7581,0.7642,0.7358,0.7539,52938.45,39641.88,DIA
1732622400,2024-11-26T12:00:00,0.7539,0.7659,0.745,0.7531,22282.66,16863.15,DIA
1732626000,2024-11-26T13:00:00,0.7531,0.7598,0.7461,0.7474,22794.05,17136.87,DIA
1732629600,2024-11-26T14:00:00,0.7474,0.7568,0.733,0.7518,70389.02,52760.23,DIA
1732633200,2024-11-26T15:00:00,0.7518,0.7525,0.7281,0.7283,65880.84,48844.66,DIA
1732636800,2024-11-26T16:00:00,0.7283,0.7552,0.726,0.7495,37847.74,27933.71,DIA
1732640400,2024-11-26T17:00:00,0.7495,0.759,0.7451,0.759,18392.0,13804.29,DIA
1732644000,2024-11-26T18:00:00,0.759,0.7682,0.741,0.7572,90101.63,68092.93,DIA
1732647600,2024-11-26T19:00:00,0.7572,0.7638,0.7454,0.7638,89569.63,67764.9,DIA
1732651200,2024-11-26T20:00:00,0.7638,0.7799,0.7611,0.7729,45303.48,34869.56,DIA
1732654800,2024-11-26T21:00:00,0.7729,0.7766,0.7643,0.772,17744.05,13683.75,DIA
1732658400,2024-11-26T22:00:00,0.772,0.7919,0.77,0.7791,109986.54,85876.11,DIA
1732662000,2024-11-26T23:00:00,0.7791,0.811,0.7772,0.8073,41254.64,32841.12,DIA
1732665600,2024-11-27T00:00:00,0.8073,0.8252,0.799,0.8021,79987.65,64722.37,DIA
1732669200,2024-11-27T01:00:00,0.8021,0.8199,0.7872,0.8193,44359.93,35803.15,DIA
1732672800,2024-11-27T02:00:00,0.8193,0.8245,0.8061,0.8237,49229.99,40213.34,DIA
1732676400,2024-11-27T03:00:00,0.8237,0.8417,0.8234,0.8351,159824.67,133334.16,DIA
1732680000,2024-11-27T04:00:00,0.8351,0.85,0.826,0.8312,64362.95,53847.24,DIA
1732683600,2024-11-27T05:00:00,0.8312,0.8312,0.8096,0.8152,97082.75,79527.73,DIA
1732687200,2024-11-27T06:00:00,0.8152,0.83,0.8152,0.8266,19205.39,15834.63,DIA
1732690800,2024-11-27T07:00:00,0.8266,0.8409,0.8263,0.8283,61477.12,51142.23,DIA
1732694400,2024-11-27T08:00:00,0.8283,0.8295,0.8185,0.8201,24858.27,20460.77,DIA
1732698000,2024-11-27T09:00:00,0.8201,0.8201,0.8124,0.815,9567.31,7776.43,DIA
