timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,0.4218,0.4268,0.4216,0.4249,12286129.83,5218801.81,DOGE
1732514400,2024-11-25T06:00:00,0.4249,0.4278,0.4224,0.4239,14615538.75,6214526.96,DOGE
1732518000,2024-11-25T07:00:00,0.4239,0.4297,0.4235,0.4288,19690764.86,8412811.83,DOGE
1732521600,2024-11-25T08:00:00,0.4288,0.4362,0.4278,0.433,34827136.1,15064530.87,DOGE
1732525200,2024-11-25T09:00:00,0.433,0.4378,0.4305,0.4317,38388580.95,16659022.81,DOGE
1732528800,2024-11-25T10:00:00,0.4317,0.433,0.4256,0.4304,61866766.31,26551173.98,DOGE
1732532400,2024-11-25T11:00:00,0.4304,0.4304,0.4232,0.4254,22644947.61,9672978.96,DOGE
1732536000,2024-11-25T12:00:00,0.4254,0.4274,0.4215,0.4228,45071884.71,19120476.68,DOGE
1732539600,2024-11-25T13:00:00,0.4228,0.4242,0.4147,0.416,84012116.58,35126182.01,DOGE
1732543200,2024-11-25T14:00:00,0.416,0.4194,0.4028,0.406,168494698.56,69167112.06,DOGE
1732546800,2024-11-25T15:00:00,0.406,0.4196,0.3961,0.4149,171559077.34,69815291.75,DOGE
1732550400,2024-11-25T16:00:00,0.4149,0.4245,0.4126,0.4149,55591936.67,23176128.19,DOGE
1732554000,2024-11-25T17:00:00,0.4149,0.4152,0.3988,0.4008,121748503.78,49157080.07,DOGE
1732557600,2024-11-25T18:00:00,0.4008,0.4052,0.3985,0.4025,65715486.26,26402327.71,DOGE
1732561200,2024-11-25T19:00:00,0.4025,0.4069,0.3999,0.4036,52017122.87,20975294.91,DOGE
1732564800,2024-11-25T20:00:00,0.4036,0.4085,0.4013,0.4044,43337401.73,17542767.52,DOGE
1732568400,2024-11-25T21:00:00,0.4044,0.406,0.3917,0.3967,77385385.55,30727471.08,DOGE
1732572000,2024-11-25T22:00:00,0.3967,0.3993,0.3803,0.3933,129419931.0,50340288.68,DOGE
1732575600,2024-11-25T23:00:00,0.3933,0.3969,0.3905,0.3927,48177568.1,18978468.04,DOGE
1732579200,2024-11-26T00:00:00,0.3927,0.4049,0.3903,0.3994,69545702.08,27832814.64,DOGE
1732582800,2024-11-26T01:00:00,0.3994,0.408,0.3993,0.4075,33006853.0,13370450.77,DOGE
1732586400,2024-11-26T02:00:00,0.4075,0.4087,0.4047,0.407,31110926.52,12652290.39,DOGE
1732590000,2024-11-26T03:00:00,0.407,0.4075,0.4024,0.4057,23348807.74,9454511.49,DOGE
1732593600,2024-11-26T04:00:00,0.4057,0.4077,0.4022,0.4053,23330317.03,9454554.14,DOGE
1732597200,2024-11-26T05:00:00,0.4053,0.4078,0.4041,0.4074,20539065.44,8342872.31,DOGE
1732600800,2024-11-26T06:00:00,0.4074,0.4088,0.4031,0.4042,16807067.55,6836276.94,DOGE
1732604400,2024-11-26T07:00:00,0.4042,0.4042,0.3959,0.3979,26201523.14,10466589.16,DOGE
1732608000,2024-11-26T08:00:00,0.3979,0.398,0.3844,0.3888,75176973.98,29327038.22,DOGE
1732611600,2024-11-26T09:00:00,0.3888,0.3933,0.3858,0.3911,47184852.79,18423962.26,DOGE
1732615200,2024-11-26T10:00:00,0.3911,0.3922,0.3767,0.3774,62306771.76,23854232.69,DOGE
1732618800,2024-11-26T11:00:00,0.3774,0.3799,0.3647,0.3771,136317857.51,50716074.14,DOGE
1732622400,2024-11-26T12:00:00,0.3771,0.3797,0.3679,0.3716,83434227.44,31234158.31,DOGE
1732626000,2024-11-26T13:00:00,0.3716,0.3796,0.3691,0.3773,62069257.67,23325046.33,DOGE
1732629600,2024-11-26T14:00:00,0.3773,0.3881,0.3716,0.384,97106360.67,36958550.59,DOGE
1732633200,2024-11-26T15:00:00,0.384,0.3856,0.377,0.3794,59543833.95,22735264.4,DOGE
1732636800,2024-11-26T16:00:00,0.3794,0.3911,0.3776,0.3889,42938539.77,16591848.81,DOGE
1732640400,2024-11-26T17:00:00,0.3889,0.3896,0.3845,0.3868,36023034.57,13954407.91,DOGE
1732644000,2024-11-26T18:00:00,0.3868,0.3875,0.3703,0.3741,85889591.05,32372896.02,DOGE
1732647600,2024-11-26T19:00:00,0.3741,0.3793,0.3725,0.3788,42855963.89,16111799.75,DOGE
1732651200,2024-11-26T20:00:00,0.3788,0.3874,0.3776,0.3845,57153422.95,21845985.67,DOGE
1732654800,2024-11-26T21:00:00,0.3845,0.3862,0.3804,0.3822,32793069.34,12562215.5,DOGE
1732658400,2024-11-26T22:00:00,0.3822,0.3878,0.3811,0.3815,27587201.78,10621963.0,DOGE
