timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,8.872,9.123,8.846,9.089,377461.61,3392615.23,DOT
1732514400,2024-11-25T06:00:00,9.089,9.3,9.048,9.2,634029.06,5826338.52,DOT
1732518000,2024-11-25T07:00:00,9.2,9.368,9.109,9.209,447687.39,4131217.86,DOT
1732521600,2024-11-25T08:00:00,9.209,9.247,9.087,9.116,371044.27,3399881.65,DOT
1732525200,2024-11-25T09:00:00,9.116,9.217,9.072,9.151,281152.77,2568644.93,DOT
1732528800,2024-11-25T10:00:00,9.151,9.151,8.982,9.014,260912.22,2357123.34,DOT
1732532400,2024-11-25T11:00:00,9.014,9.029,8.892,8.992,229438.19,2058946.78,DOT
1732536000,2024-11-25T12:00:00,8.992,9.003,8.842,8.842,234558.03,2093081.07,DOT
1732539600,2024-11-25T13:00:00,8.842,8.876,8.652,8.663,352384.6,3081256.12,DOT
1732543200,2024-11-25T14:00:00,8.663,8.825,8.52,8.52,365405.8,3170844.2,DOT
1732546800,2024-11-25T15:00:00,8.52,8.671,8.356,8.584,643360.24,5491937.74,DOT
1732550400,2024-11-25T16:00:00,8.584,8.64,8.435,8.528,258708.97,2213787.04,DOT
1732554000,2024-11-25T17:00:00,8.528,8.53,8.352,8.423,224671.18,1890918.13,DOT
1732557600,2024-11-25T18:00:00,8.423,8.53,8.405,8.449,131674.0,1115827.63,DOT
1732561200,2024-11-25T19:00:00,8.449,8.598,8.4,8.505,214689.03,1824455.41,DOT
1732564800,2024-11-25T20:00:00,8.505,8.583,8.46,8.51,273904.58,2330568.87,DOT
1732568400,2024-11-25T21:00:00,8.51,8.532,8.301,8.387,286024.35,2402464.32,DOT
1732572000,2024-11-25T22:00:00,8.387,8.414,8.103,8.353,470762.58,3874832.19,DOT
1732575600,2024-11-25T23:00:00,8.353,8.364,8.207,8.227,201786.43,1670908.4,DOT
1732579200,2024-11-26T00:00:00,8.227,8.464,8.184,8.367,309302.64,2578616.83,DOT
1732582800,2024-11-26T01:00:00,8.367,8.423,8.327,8.402,116081.6,973567.66,DOT
1732586400,2024-11-26T02:00:00,8.402,8.436,8.368,8.368,127314.8,1069981.14,DOT
1732590000,2024-11-26T03:00:00,8.368,8.388,8.227,8.34,130164.9,1081638.67,DOT
1732593600,2024-11-26T04:00:00,8.34,8.352,8.229,8.301,161749.1,1340201.51,DOT
1732597200,2024-11-26T05:00:00,8.301,8.445,8.291,8.432,188679.23,1577948.96,DOT
1732600800,2024-11-26T06:00:00,8.432,8.443,8.328,8.339,163561.57,1373815.32,DOT
1732604400,2024-11-26T07:00:00,8.339,8.339,8.16,8.231,214067.83,1765031.58,DOT
1732608000,2024-11-26T08:00:00,8.231,8.232,7.925,7.989,496773.69,3988766.49,DOT
1732611600,2024-11-26T09:00:00,7.989,8.105,7.932,8.031,315800.41,2535295.82,DOT
1732615200,2024-11-26T10:00:00,8.031,8.062,7.775,7.775,353318.31,2788854.34,DOT
1732618800,2024-11-26T11:00:00,7.775,7.88,7.547,7.847,907236.13,6973524.88,DOT
1732622400,2024-11-26T12:00:00,7.847,7.955,7.754,7.831,265403.34,2083715.68,DOT
1732626000,2024-11-26T13:00:00,7.831,7.949,7.768,7.846,286859.18,2257816.53,DOT
1732629600,2024-11-26T14:00:00,7.846,8.026,7.759,7.976,290099.88,2289867.12,DOT
1732633200,2024-11-26T15:00:00,7.976,7.988,7.843,7.88,211096.52,1674683.65,DOT
1732636800,2024-11-26T16:00:00,7.88,8.177,7.859,8.127,307317.32,2484342.98,DOT
1732640400,2024-11-26T17:00:00,8.127,8.128,8.029,8.044,163654.51,1322989.98,DOT
1732644000,2024-11-26T18:00:00,8.044,8.063,7.781,7.924,331188.04,2623905.71,DOT
1732647600,2024-11-26T19:00:00,7.924,8.015,7.827,8.009,279672.11,2218523.1,DOT
1732651200,2024-11-26T20:00:00,8.009,8.114,7.955,8.059,182786.68,1469372.5,DOT
1732654800,2024-11-26T21:00:00,8.059,8.128,8.001,8.037,185707.87,1495228.48,DOT
1732658400,2024-11-26T22:00:00,8.037,8.142,8.023,8.046,171050.68,1383656.31,DOT
1732662000,2024-11-26T23:00:00,8.046,8.093,8.013,8.067,132146.7,1063114.25,DOT
1732665600,2024-11-27T00:00:00,8.067,8.162,7.866,7.877,262651.84,2117468.08,DOT
1732669200,2024-11-27T01:00:00,7.877,8.114,7.841,8.091,173903.38,1387351.64,DOT
1732672800,2024-11-27T02:00:00,8.091,8.14,7.99,8.106,151038.74,1222625.88,DOT
1732676400,2024-11-27T03:00:00,8.106,8.12,8.013,8.057,101641.07,819801.39,DOT
1732680000,2024-11-27T04:00:00,8.057,8.191,8.03,8.046,282620.97,2291931.17,DOT
1732683600,2024-11-27T05:00:00,8.046,8.154,7.976,8.102,142644.15,1150522.18,DOT
1732687200,2024-11-27T06:00:00,8.102,8.203,8.076,8.121,138390.17,1128676.3,DOT
1732690800,2024-11-27T07:00:00,8.121,8.297,8.103,8.28,219470.94,1805416.34,DOT
1732694400,2024-11-27T08:00:00,8.28,8.297,8.207,8.293,200702.97,1657772.58,DOT
1732698000,2024-11-27T09:00:00,8.293,8.394,8.165,8.377,282270.72,2339685.1,DOT
1732701600,2024-11-27T10:00:00,8.377,8.444,8.296,8.36,354565.94,2970559.07,DOT
1732705200,2024-11-27T11:00:00,8.36,8.361,8.272,8.296,344591.01,2859141.89,DOT
1732708800,2024-11-27T12:00:00,8.296,8.304,8.152,8.274,221652.13,1822677.98,DOT
1732712400,2024-11-27T13:00:00,8.274,8.385,8.263,8.385,153143.64,1275343.01,DOT
1732716000,2024-11-27T14:00:00,8.385,8.422,8.28,8.352,427363.54,3574403.74,DOT
1732719600,2024-11-27T15:00:00,8.352,8.49,8.264,8.405,485580.06,4072537.57,DOT
1732723200,2024-11-27T16:00:00,8.405,8.464,8.25,8.279,411192.84,3437062.91,DOT
1732726800,2024-11-27T17:00:00,8.279,8.358,8.229,8.347,277032.98,2297073.33,DOT
1732730400,2024-11-27T18:00:00,8.347,8.413,8.324,8.368,121370.62,1015855.78,DOT
1732734000,2024-11-27T19:00:00,8.368,8.421,8.352,8.395,182365.73,1527759.66,DOT
1732737600,2024-11-27T20:00:00,8.395,8.582,8.391,8.457,223327.14,1899484.65,DOT
1732741200,2024-11-27T21:00:00,8.457,8.47,8.345,8.392,223356.3,1874382.38,DOT
1732744800,2024-11-27T22:00:00,8.392,8.498,8.363,8.42,231030.82,1949285.58,DOT
1732748400,2024-11-27T23:00:00,8.42,8.51,8.391,8.468,204889.01,1734289.22,DOT
1732752000,2024-11-28T00:00:00,8.468,8.469,8.329,8.431,162859.12,1367017.16,DOT
1732755600,2024-11-28T01:00:00,8.431,8.508,8.383,8.494,203412.29,1719812.28,DOT
1732759200,2024-11-28T02:00:00,8.494,8.495,8.244,8.272,242705.56,2024486.46,DOT
1732762800,2024-11-28T03:00:00,8.272,8.294,8.117,8.22,172327.07,1413721.63,DOT
1732766400,2024-11-28T04:00:00,8.22,8.279,8.185,8.24,68744.34,566611.33,DOT
1732770000,2024-11-28T05:00:00,8.24,8.274,8.179,8.194,111918.94,920570.04,DOT
1732773600,2024-11-28T06:00:00,8.194,8.238,8.128,8.218,123184.69,1008818.49,DOT
1732777200,2024-11-28T07:00:00,8.218,8.256,8.143,8.171,51560.87,423360.73,DOT
1732780800,2024-11-28T08:00:00,8.171,8.249,8.136,8.224,77248.05,633927.83,DOT
1732784400,2024-11-28T09:00:00,8.224,8.234,8.136,8.136,88146.7,722357.05,DOT
