timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,1.324,1.342,1.324,1.34,6675.86,8900.73,DRIFT
1732514400,2024-11-25T06:00:00,1.34,1.349,1.337,1.346,14816.88,19931.06,DRIFT
1732518000,2024-11-25T07:00:00,1.346,1.352,1.341,1.348,22397.57,30143.85,DRIFT
1732521600,2024-11-25T08:00:00,1.348,1.365,1.347,1.361,23743.31,32190.55,DRIFT
1732525200,2024-11-25T09:00:00,1.361,1.365,1.355,1.357,10386.53,14128.53,DRIFT
1732528800,2024-11-25T10:00:00,1.357,1.366,1.347,1.36,59566.89,80780.52,DRIFT
1732532400,2024-11-25T11:00:00,1.36,1.377,1.35,1.356,150182.37,205341.01,DRIFT
1732536000,2024-11-25T12:00:00,1.356,1.363,1.344,1.353,12605.36,17098.61,DRIFT
1732539600,2024-11-25T13:00:00,1.353,1.353,1.321,1.336,64576.72,86129.0,DRIFT
1732543200,2024-11-25T14:00:00,1.336,1.339,1.304,1.304,47197.36,62391.09,DRIFT
1732546800,2024-11-25T15:00:00,1.304,1.342,1.274,1.333,81685.24,107326.21,DRIFT
1732550400,2024-11-25T16:00:00,1.333,1.339,1.315,1.326,36076.17,47942.08,DRIFT
1732554000,2024-11-25T17:00:00,1.326,1.327,1.289,1.312,63189.33,82273.52,DRIFT
1732557600,2024-11-25T18:00:00,1.312,1.318,1.306,1.31,15995.92,21017.03,DRIFT
1732561200,2024-11-25T19:00:00,1.31,1.325,1.309,1.318,30844.91,40598.41,DRIFT
1732564800,2024-11-25T20:00:00,1.318,1.348,1.318,1.338,18235.1,24290.19,DRIFT
1732568400,2024-11-25T21:00:00,1.338,1.338,1.297,1.306,63865.02,83531.11,DRIFT
1732572000,2024-11-25T22:00:00,1.306,1.313,1.269,1.303,36068.69,46649.15,DRIFT
1732575600,2024-11-25T23:00:00,1.303,1.31,1.298,1.303,39314.83,51280.73,DRIFT
1732579200,2024-11-26T00:00:00,1.303,1.319,1.29,1.303,15146.86,19719.06,DRIFT
1732582800,2024-11-26T01:00:00,1.303,1.32,1.299,1.32,16701.46,21910.9,DRIFT
1732586400,2024-11-26T02:00:00,1.32,1.326,1.317,1.32,34810.07,46102.75,DRIFT
1732590000,2024-11-26T03:00:00,1.32,1.323,1.313,1.321,12301.71,16219.09,DRIFT
1732593600,2024-11-26T04:00:00,1.321,1.321,1.308,1.315,10573.91,13887.56,DRIFT
1732597200,2024-11-26T05:00:00,1.315,1.324,1.313,1.318,6345.25,8364.1,DRIFT
1732600800,2024-11-26T06:00:00,1.318,1.321,1.303,1.305,15396.61,20199.25,DRIFT
1732604400,2024-11-26T07:00:00,1.305,1.305,1.289,1.294,7798.98,10109.71,DRIFT
1732608000,2024-11-26T08:00:00,1.294,1.294,1.255,1.264,65660.11,82958.58,DRIFT
1732611600,2024-11-26T09:00:00,1.264,1.277,1.258,1.267,31532.97,40075.8,DRIFT
1732615200,2024-11-26T10:00:00,1.267,1.271,1.235,1.235,45026.23,56063.72,DRIFT
1732618800,2024-11-26T11:00:00,1.235,1.246,1.204,1.239,89832.12,109905.85,DRIFT
1732622400,2024-11-26T12:00:00,1.239,1.244,1.217,1.221,39316.01,48427.31,DRIFT
1732626000,2024-11-26T13:00:00,1.221,1.24,1.219,1.232,11611.21,14279.86,DRIFT
1732629600,2024-11-26T14:00:00,1.232,1.256,1.222,1.253,60972.32,75567.89,DRIFT
1732633200,2024-11-26T15:00:00,1.253,1.254,1.229,1.229,68063.66,84469.21,DRIFT
1732636800,2024-11-26T16:00:00,1.229,1.262,1.227,1.251,16776.69,20904.65,DRIFT
1732640400,2024-11-26T17:00:00,1.251,1.254,1.243,1.252,43432.19,54191.95,DRIFT
1732644000,2024-11-26T18:00:00,1.252,1.252,1.21,1.22,37395.93,45827.18,DRIFT
1732647600,2024-11-26T19:00:00,1.22,1.225,1.211,1.225,25249.56,30763.29,DRIFT
1732651200,2024-11-26T20:00:00,1.225,1.25,1.223,1.25,29704.09,36558.81,DRIFT
1732654800,2024-11-26T21:00:00,1.25,1.253,1.24,1.252,5953.31,7426.27,DRIFT
1732658400,2024-11-26T22:00:00,1.252,1.261,1.252,1.254,19506.96,24518.73,DRIFT
1732662000,2024-11-26T23:00:00,1.254,1.266,1.252,1.266,8651.09,10892.27,DRIFT
1732665600,2024-11-27T00:00:00,1.266,1.276,1.242,1.242,113399.9,143523.83,DRIFT
1732669200,2024-11-27T01:00:00,1.242,1.262,1.237,1.262,18575.51,23277.61,DRIFT
1732672800,2024-11-27T02:00:00,1.262,1.272,1.249,1.266,9673.94,12208.59,DRIFT
1732676400,2024-11-27T03:00:00,1.266,1.269,1.256,1.257,11552.16,14582.09,DRIFT
1732680000,2024-11-27T04:00:00,1.257,1.275,1.257,1.261,16174.09,20516.49,DRIFT
1732683600,2024-11-27T05:00:00,1.261,1.263,1.251,1.262,8666.32,10909.04,DRIFT
1732687200,2024-11-27T06:00:00,1.262,1.27,1.258,1.266,15968.04,20232.2,DRIFT
1732690800,2024-11-27T07:00:00,1.266,1.28,1.266,1.279,21507.27,27391.82,DRIFT
1732694400,2024-11-27T08:00:00,1.279,1.279,1.269,1.269,18340.02,23327.23,DRIFT
1732698000,2024-11-27T09:00:00,1.269,1.271,1.258,1.267,20282.09,25605.54,DRIFT
1732701600,2024-11-27T10:00:00,1.267,1.285,1.267,1.277,22719.94,29034.44,DRIFT
1732705200,2024-11-27T11:00:00,1.277,1.286,1.277,1.281,52329.28,67005.28,DRIFT
1732708800,2024-11-27T12:00:00,1.281,1.281,1.266,1.273,13691.72,17411.32,DRIFT
1732712400,2024-11-27T13:00:00,1.273,1.281,1.27,1.28,19438.21,24792.74,DRIFT
1732716000,2024-11-27T14:00:00,1.28,1.285,1.275,1.285,12962.09,16594.93,DRIFT
1732719600,2024-11-27T15:00:00,1.285,1.299,1.283,1.298,5539.91,7173.45,DRIFT
1732723200,2024-11-27T16:00:00,1.298,1.301,1.284,1.291,72421.99,93604.02,DRIFT
1732726800,2024-11-27T17:00:00,1.291,1.301,1.288,1.301,69179.03,89359.3,DRIFT
1732730400,2024-11-27T18:00:00,1.301,1.302,1.294,1.296,21793.16,28266.57,DRIFT
1732734000,2024-11-27T19:00:00,1.296,1.305,1.291,1.301,30883.24,40097.21,DRIFT
1732737600,2024-11-27T20:00:00,1.301,1.31,1.301,1.308,54135.28,70815.65,DRIFT
1732741200,2024-11-27T21:00:00,1.308,1.311,1.293,1.296,71077.27,92439.58,DRIFT
1732744800,2024-11-27T22:00:00,1.296,1.3,1.294,1.297,18928.05,24549.26,DRIFT
1732748400,2024-11-27T23:00:00,1.297,1.314,1.297,1.312,59235.47,77515.09,DRIFT
1732752000,2024-11-28T00:00:00,1.312,1.375,1.3,1.361,392285.48,531517.8,DRIFT
1732755600,2024-11-28T01:00:00,1.361,1.367,1.326,1.346,209412.76,279675.81,DRIFT
1732759200,2024-11-28T02:00:00,1.346,1.394,1.344,1.35,342589.66,472717.78,DRIFT
1732762800,2024-11-28T03:00:00,1.35,1.357,1.323,1.348,307768.06,411982.84,DRIFT
1732766400,2024-11-28T04:00:00,1.348,1.348,1.333,1.346,10462.45,13998.61,DRIFT
1732770000,2024-11-28T05:00:00,1.346,1.365,1.342,1.345,41278.29,55991.44,DRIFT
1732773600,2024-11-28T06:00:00,1.345,1.359,1.345,1.359,14974.28,20223.55,DRIFT
1732777200,2024-11-28T07:00:00,1.359,1.399,1.353,1.379,126201.25,174217.69,DRIFT
1732780800,2024-11-28T08:00:00,1.379,1.379,1.356,1.363,26642.13,36317.44,DRIFT
1732784400,2024-11-28T09:00:00,1.363,1.373,1.354,1.354,8161.85,11127.38,DRIFT
1732788000,2024-11-28T10:00:00,1.354,1.358,1.344,1.344,8131.87,10979.43,DRIFT
1732791600,2024-11-28T11:00:00,1.344,1.356,1.344,1.353,7019.59,9494.26,DRIFT
1732795200,2024-11-28T12:00:00,1.353,1.356,1.329,1.34,19249.22,25787.78,DRIFT
1732798800,2024-11-28T13:00:00,1.34,1.361,1.334,1.361,38273.47,51470.91,DRIFT
1732802400,2024-11-28T14:00:00,1.361,1.374,1.348,1.348,122261.31,166745.67,DRIFT
1732806000,2024-11-28T15:00:00,1.348,1.374,1.337,1.367,174083.54,235608.52,DRIFT
1732809600,2024-11-28T16:00:00,1.367,1.378,1.364,1.373,65414.76,89867.01,DRIFT
1732813200,2024-11-28T17:00:00,1.373,1.38,1.363,1.364,26755.74,36660.95,DRIFT
1732816800,2024-11-28T18:00:00,1.364,1.393,1.364,1.393,35853.48,49640.93,DRIFT
1732820400,2024-11-28T19:00:00,1.393,1.396,1.371,1.374,21834.39,30115.51,DRIFT
1732824000,2024-11-28T20:00:00,1.374,1.383,1.365,1.369,24242.99,33185.02,DRIFT
1732827600,2024-11-28T21:00:00,1.369,1.389,1.369,1.387,15975.19,21993.32,DRIFT
1732831200,2024-11-28T22:00:00,1.387,1.388,1.382,1.386,8086.21,11197.79,DRIFT
1732834800,2024-11-28T23:00:00,1.386,1.406,1.382,1.404,43589.03,60869.45,DRIFT
1732838400,2024-11-29T00:00:00,1.404,1.404,1.355,1.358,35147.46,48409.29,DRIFT
1732842000,2024-11-29T01:00:00,1.358,1.384,1.345,1.384,32913.03,44575.94,DRIFT
1732845600,2024-11-29T02:00:00,1.384,1.412,1.379,1.406,43019.11,59706.99,DRIFT
1732849200,2024-11-29T03:00:00,1.406,1.414,1.39,1.395,22253.22,31199.66,DRIFT
1732852800,2024-11-29T04:00:00,1.395,1.429,1.386,1.422,36964.99,52345.29,DRIFT
1732856400,2024-11-29T05:00:00,1.422,1.469,1.422,1.451,137393.57,198912.38,DRIFT
1732860000,2024-11-29T06:00:00,1.451,1.466,1.444,1.457,66227.09,96360.59,DRIFT
1732863600,2024-11-29T07:00:00,1.457,1.47,1.413,1.415,44923.61,64574.96,DRIFT
1732867200,2024-11-29T08:00:00,1.415,1.43,1.412,1.421,52738.61,74914.05,DRIFT
1732870800,2024-11-29T09:00:00,1.421,1.422,1.411,1.416,155287.02,219962.0,DRIFT
1732874400,2024-11-29T10:00:00,1.416,1.442,1.415,1.436,11177.25,15935.51,DRIFT
1732878000,2024-11-29T11:00:00,1.436,1.456,1.436,1.453,6305.71,9145.74,DRIFT
1732881600,2024-11-29T12:00:00,1.453,1.462,1.436,1.442,21644.29,31332.81,DRIFT
1732885200,2024-11-29T13:00:00,1.442,1.448,1.431,1.447,32871.07,47380.98,DRIFT
1732888800,2024-11-29T14:00:00,1.447,1.448,1.424,1.427,26432.64,37926.43,DRIFT
1732892400,2024-11-29T15:00:00,1.427,1.439,1.417,1.428,71986.42,103112.32,DRIFT
