timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,2.247,2.274,2.246,2.271,812.13,1842.84,DYM
1732514400,2024-11-25T06:00:00,2.271,2.271,2.216,2.218,1798.96,4054.48,DYM
1732518000,2024-11-25T07:00:00,2.218,2.274,2.218,2.26,3976.72,8943.1,DYM
1732521600,2024-11-25T08:00:00,2.26,2.345,2.252,2.345,7891.99,18167.05,DYM
1732525200,2024-11-25T09:00:00,2.345,2.379,2.327,2.334,1820.5,4264.34,DYM
1732528800,2024-11-25T10:00:00,2.334,2.339,2.294,2.328,2072.87,4806.56,DYM
1732532400,2024-11-25T11:00:00,2.328,2.328,2.269,2.285,3411.57,7758.13,DYM
1732536000,2024-11-25T12:00:00,2.285,2.285,2.25,2.257,1668.38,3766.67,DYM
1732539600,2024-11-25T13:00:00,2.257,2.259,2.207,2.251,864.78,1924.31,DYM
1732543200,2024-11-25T14:00:00,2.251,2.267,2.222,2.222,1529.79,3420.12,DYM
1732546800,2024-11-25T15:00:00,2.222,2.325,2.178,2.325,17131.63,38888.17,DYM
1732550400,2024-11-25T16:00:00,2.325,2.344,2.261,2.311,19503.98,44928.25,DYM
1732554000,2024-11-25T17:00:00,2.311,2.312,2.23,2.274,2694.02,6096.12,DYM
1732557600,2024-11-25T18:00:00,2.274,2.305,2.268,2.274,1380.81,3151.87,DYM
1732561200,2024-11-25T19:00:00,2.274,2.357,2.271,2.349,2448.75,5686.41,DYM
1732564800,2024-11-25T20:00:00,2.349,2.353,2.325,2.349,4393.54,10279.28,DYM
1732568400,2024-11-25T21:00:00,2.349,2.349,2.292,2.302,2625.41,6077.92,DYM
1732572000,2024-11-25T22:00:00,2.302,2.386,2.292,2.386,4125.07,9638.77,DYM
1732575600,2024-11-25T23:00:00,2.386,2.402,2.352,2.36,5705.41,13442.88,DYM
1732579200,2024-11-26T00:00:00,2.36,2.393,2.317,2.34,1608.32,3791.23,DYM
1732582800,2024-11-26T01:00:00,2.34,2.436,2.336,2.375,8523.92,20450.82,DYM
1732586400,2024-11-26T02:00:00,2.375,2.376,2.336,2.34,327.3,767.68,DYM
1732590000,2024-11-26T03:00:00,2.34,2.34,2.277,2.299,803.72,1845.95,DYM
1732593600,2024-11-26T04:00:00,2.299,2.325,2.279,2.321,1475.33,3408.34,DYM
1732597200,2024-11-26T05:00:00,2.321,2.333,2.319,2.329,875.1,2035.71,DYM
1732600800,2024-11-26T06:00:00,2.329,2.385,2.313,2.313,640.64,1511.26,DYM
1732604400,2024-11-26T07:00:00,2.313,2.313,2.244,2.248,616.6,1398.96,DYM
1732608000,2024-11-26T08:00:00,2.248,2.248,2.184,2.204,5702.93,12597.17,DYM
1732611600,2024-11-26T09:00:00,2.204,2.233,2.2,2.225,988.0,2192.35,DYM
1732615200,2024-11-26T10:00:00,2.225,2.252,2.203,2.203,1811.35,4017.24,DYM
1732618800,2024-11-26T11:00:00,2.203,2.234,2.157,2.234,7443.88,16222.19,DYM
1732622400,2024-11-26T12:00:00,2.234,2.333,2.216,2.271,6821.52,15569.62,DYM
1732626000,2024-11-26T13:00:00,2.271,2.281,2.23,2.248,2650.23,5923.99,DYM
1732629600,2024-11-26T14:00:00,2.248,2.34,2.227,2.337,2778.11,6387.46,DYM
1732633200,2024-11-26T15:00:00,2.337,2.337,2.229,2.24,5813.0,13232.62,DYM
1732636800,2024-11-26T16:00:00,2.24,2.329,2.24,2.298,6091.35,13976.54,DYM
1732640400,2024-11-26T17:00:00,2.298,2.298,2.274,2.274,554.37,1267.87,DYM
1732644000,2024-11-26T18:00:00,2.274,2.276,2.193,2.225,1103.55,2456.18,DYM
1732647600,2024-11-26T19:00:00,2.225,2.257,2.225,2.257,1890.07,4239.5,DYM
1732651200,2024-11-26T20:00:00,2.257,2.271,2.247,2.261,4512.01,10165.26,DYM
1732654800,2024-11-26T21:00:00,2.261,2.292,2.259,2.277,457.44,1040.09,DYM
1732658400,2024-11-26T22:00:00,2.277,2.343,2.273,2.339,2817.11,6512.72,DYM
1732662000,2024-11-26T23:00:00,2.339,2.34,2.274,2.274,245.06,557.45,DYM
1732665600,2024-11-27T00:00:00,2.274,2.29,2.202,2.202,447.74,1013.69,DYM
1732669200,2024-11-27T01:00:00,2.202,2.255,2.202,2.255,2427.68,5376.58,DYM
