timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,2.059,2.12,2.059,2.107,1007.5,2114.26,ETHFI
1732514400,2024-11-25T06:00:00,2.107,2.107,2.076,2.076,761.59,1599.18,ETHFI
1732518000,2024-11-25T07:00:00,2.071,2.158,2.06,2.096,11720.7,24572.29,ETHFI
1732521600,2024-11-25T08:00:00,2.1,2.139,2.097,2.139,638.13,1349.18,ETHFI
1732525200,2024-11-25T09:00:00,2.139,2.18,2.139,2.177,1552.66,3362.1,ETHFI
1732528800,2024-11-25T10:00:00,2.177,2.292,2.175,2.239,1661.26,3708.45,ETHFI
1732532400,2024-11-25T11:00:00,2.236,2.247,2.157,2.19,12358.7,27061.28,ETHFI
1732536000,2024-11-25T12:00:00,2.19,2.183,2.134,2.154,8243.7,17753.61,ETHFI
1732539600,2024-11-25T13:00:00,2.154,2.174,2.106,2.174,5016.0,10905.2,ETHFI
1732543200,2024-11-25T14:00:00,2.174,2.19,2.112,2.121,16151.6,34250.99,ETHFI
1732546800,2024-11-25T15:00:00,2.13,2.345,2.094,2.31,25610.33,58732.48,ETHFI
1732550400,2024-11-25T16:00:00,2.31,2.328,2.212,2.233,11952.87,27048.1,ETHFI
1732554000,2024-11-25T17:00:00,2.233,2.428,2.19,2.231,44481.97,98664.46,ETHFI
1732557600,2024-11-25T18:00:00,2.227,2.228,2.177,2.191,8583.3,18804.13,ETHFI
1732561200,2024-11-25T19:00:00,2.191,2.234,2.158,2.229,26593.6,59289.41,ETHFI
1732564800,2024-11-25T20:00:00,2.229,2.264,2.224,2.257,5149.5,11621.93,ETHFI
1732568400,2024-11-25T21:00:00,2.255,2.271,2.219,2.24,4409.18,9913.03,ETHFI
1732572000,2024-11-25T22:00:00,2.258,2.296,2.212,2.277,13409.9,30529.93,ETHFI
1732575600,2024-11-25T23:00:00,2.279,2.293,2.229,2.229,5051.4,11466.7,ETHFI
1732579200,2024-11-26T00:00:00,2.237,2.282,2.179,2.181,4980.7,10861.26,ETHFI
1732582800,2024-11-26T01:00:00,2.181,2.271,2.2,2.267,4458.5,10106.98,ETHFI
1732586400,2024-11-26T02:00:00,2.249,2.251,2.192,2.193,2203.78,4903.03,ETHFI
1732590000,2024-11-26T03:00:00,2.183,2.182,2.146,2.153,10896.0,23456.79,ETHFI
1732593600,2024-11-26T04:00:00,2.159,2.16,2.13,2.139,3615.65,7791.98,ETHFI
1732597200,2024-11-26T05:00:00,2.137,2.169,2.144,2.166,3352.5,7262.16,ETHFI
1732600800,2024-11-26T06:00:00,2.166,2.208,2.161,2.171,7075.4,15363.9,ETHFI
1732604400,2024-11-26T07:00:00,2.183,2.183,2.09,2.092,2719.22,5757.35,ETHFI
1732608000,2024-11-26T08:00:00,2.092,2.092,2.057,2.057,10833.15,22410.87,ETHFI
1732611600,2024-11-26T09:00:00,2.065,2.098,2.052,2.073,6436.2,13345.45,ETHFI
1732615200,2024-11-26T10:00:00,2.073,2.045,2.014,2.017,5646.1,11388.84,ETHFI
1732618800,2024-11-26T11:00:00,2.017,2.051,2.006,2.046,5678.8,11619.01,ETHFI
1732622400,2024-11-26T12:00:00,2.046,2.101,2.028,2.067,16508.4,34117.3,ETHFI
1732626000,2024-11-26T13:00:00,2.055,2.104,2.053,2.075,4513.0,9385.62,ETHFI
1732629600,2024-11-26T14:00:00,2.058,2.154,2.057,2.146,9261.1,19878.7,ETHFI
1732633200,2024-11-26T15:00:00,2.146,2.136,2.065,2.066,7100.8,14673.79,ETHFI
1732636800,2024-11-26T16:00:00,2.071,2.101,2.07,2.094,17998.1,37463.86,ETHFI
1732640400,2024-11-26T17:00:00,2.078,2.104,2.054,2.098,8660.0,18166.11,ETHFI
1732644000,2024-11-26T18:00:00,2.098,2.079,2.027,2.059,8485.9,17472.44,ETHFI
1732647600,2024-11-26T19:00:00,2.059,2.113,2.035,2.112,11057.7,23348.75,ETHFI
1732651200,2024-11-26T20:00:00,2.112,2.134,2.089,2.134,5571.1,11890.13,ETHFI
1732654800,2024-11-26T21:00:00,2.134,2.189,2.138,2.175,6202.4,13489.12,ETHFI
1732658400,2024-11-26T22:00:00,2.175,2.185,2.157,2.157,6959.9,15010.2,ETHFI
1732662000,2024-11-26T23:00:00,2.157,2.173,2.16,2.165,3697.1,8005.17,ETHFI
1732665600,2024-11-27T00:00:00,2.158,2.215,2.136,2.137,18580.62,40731.61,ETHFI
1732669200,2024-11-27T01:00:00,2.13,2.184,2.122,2.181,14982.7,32677.74,ETHFI
1732672800,2024-11-27T02:00:00,2.181,2.205,2.137,2.205,13418.8,29585.48,ETHFI
1732676400,2024-11-27T03:00:00,2.195,2.208,2.185,2.188,26444.56,57985.97,ETHFI
1732680000,2024-11-27T04:00:00,2.192,2.281,2.191,2.238,8157.6,18254.63,ETHFI
1732683600,2024-11-27T05:00:00,2.238,2.262,2.217,2.217,8587.1,19039.62,ETHFI
1732687200,2024-11-27T06:00:00,2.217,2.288,2.221,2.257,5913.2,13348.98,ETHFI
1732690800,2024-11-27T07:00:00,2.258,2.386,2.238,2.244,3604.28,8355.2,ETHFI
1732694400,2024-11-27T08:00:00,2.244,2.391,2.212,2.212,1623.23,3776.09,ETHFI
1732698000,2024-11-27T09:00:00,2.212,2.229,2.186,2.188,824.72,1820.55,ETHFI
1732701600,2024-11-27T10:00:00,2.187,2.282,2.197,2.266,5878.1,13320.69,ETHFI
1732705200,2024-11-27T11:00:00,2.256,2.281,2.238,2.24,1341.66,3035.11,ETHFI
1732708800,2024-11-27T12:00:00,2.24,2.395,2.208,2.278,3076.98,6915.28,ETHFI
1732712400,2024-11-27T13:00:00,2.278,2.306,2.263,2.284,79186.5,180829.84,ETHFI
1732716000,2024-11-27T14:00:00,2.284,2.394,2.296,2.312,24774.8,57274.82,ETHFI
1732719600,2024-11-27T15:00:00,2.312,2.367,2.284,2.289,9991.7,22869.49,ETHFI
1732723200,2024-11-27T16:00:00,2.328,2.432,2.286,2.286,29441.35,68488.74,ETHFI
1732726800,2024-11-27T17:00:00,2.3,2.331,2.3,2.317,5789.5,13416.49,ETHFI
1732730400,2024-11-27T18:00:00,2.317,2.338,2.295,2.333,6958.0,16236.36,ETHFI
1732734000,2024-11-27T19:00:00,2.333,2.385,2.341,2.355,8250.2,19432.7,ETHFI
1732737600,2024-11-27T20:00:00,2.373,2.384,2.347,2.348,1404.25,3319.37,ETHFI
1732741200,2024-11-27T21:00:00,2.357,2.426,2.35,2.42,12902.7,31223.03,ETHFI
1732744800,2024-11-27T22:00:00,2.416,2.548,2.416,2.543,8273.46,20521.05,ETHFI
1732748400,2024-11-27T23:00:00,2.543,2.586,2.48,2.543,5859.34,14793.61,ETHFI
