timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,3.686,3.739,3.681,3.738,305.34,1137.12,ETHW
1732514400,2024-11-25T06:00:00,3.738,3.738,3.671,3.671,1001.64,3715.82,ETHW
1732518000,2024-11-25T07:00:00,3.671,3.711,3.666,3.672,1202.81,4428.52,ETHW
1732521600,2024-11-25T08:00:00,3.672,3.746,3.669,3.746,1103.81,4125.97,ETHW
1732525200,2024-11-25T09:00:00,3.746,3.809,3.74,3.771,1621.96,6132.41,ETHW
1732528800,2024-11-25T10:00:00,3.771,3.842,3.741,3.837,5093.36,19351.64,ETHW
1732532400,2024-11-25T11:00:00,3.837,3.846,3.752,3.761,1952.18,7409.4,ETHW
1732536000,2024-11-25T12:00:00,3.761,3.777,3.729,3.752,2554.06,9589.85,ETHW
1732539600,2024-11-25T13:00:00,3.752,3.76,3.647,3.71,11796.12,43374.56,ETHW
1732543200,2024-11-25T14:00:00,3.71,3.768,3.594,3.61,12884.06,46635.88,ETHW
1732546800,2024-11-25T15:00:00,3.61,3.868,3.521,3.858,8681.57,32095.57,ETHW
1732550400,2024-11-25T16:00:00,3.858,3.897,3.728,3.749,5006.6,18867.31,ETHW
1732554000,2024-11-25T17:00:00,3.749,3.749,3.634,3.66,6946.38,25527.68,ETHW
1732557600,2024-11-25T18:00:00,3.66,3.726,3.653,3.655,2467.21,9093.34,ETHW
1732561200,2024-11-25T19:00:00,3.655,3.726,3.649,3.693,1144.57,4231.96,ETHW
1732564800,2024-11-25T20:00:00,3.693,3.766,3.689,3.744,702.41,2629.67,ETHW
1732568400,2024-11-25T21:00:00,3.744,3.754,3.64,3.649,503.92,1840.3,ETHW
1732572000,2024-11-25T22:00:00,3.649,3.705,3.555,3.705,4885.78,17737.43,ETHW
1732575600,2024-11-25T23:00:00,3.705,3.74,3.671,3.676,1353.24,5001.12,ETHW
1732579200,2024-11-26T00:00:00,3.676,3.739,3.643,3.722,1623.11,6013.49,ETHW
1732582800,2024-11-26T01:00:00,3.722,3.745,3.705,3.744,142.74,532.09,ETHW
1732586400,2024-11-26T02:00:00,3.744,3.768,3.744,3.761,396.46,1488.69,ETHW
1732590000,2024-11-26T03:00:00,3.761,3.761,3.717,3.717,1082.08,4024.52,ETHW
1732593600,2024-11-26T04:00:00,3.717,3.717,3.657,3.657,1461.55,5381.19,ETHW
1732597200,2024-11-26T05:00:00,3.657,3.711,3.646,3.711,286.06,1051.35,ETHW
1732600800,2024-11-26T06:00:00,3.711,3.716,3.641,3.65,97.99,358.06,ETHW
1732604400,2024-11-26T07:00:00,3.65,3.662,3.575,3.578,569.52,2051.47,ETHW
1732608000,2024-11-26T08:00:00,3.578,3.578,3.481,3.483,5788.64,20257.95,ETHW
1732611600,2024-11-26T09:00:00,3.483,3.544,3.48,3.493,2467.98,8642.87,ETHW
1732615200,2024-11-26T10:00:00,3.493,3.503,3.432,3.432,594.78,2058.95,ETHW
1732618800,2024-11-26T11:00:00,3.432,3.441,3.335,3.413,2121.45,7151.63,ETHW
1732622400,2024-11-26T12:00:00,3.413,3.428,3.372,3.383,2757.27,9353.11,ETHW
1732626000,2024-11-26T13:00:00,3.383,3.424,3.382,3.421,2410.52,8228.33,ETHW
1732629600,2024-11-26T14:00:00,3.421,3.486,3.364,3.471,9419.19,32228.52,ETHW
1732633200,2024-11-26T15:00:00,3.471,3.472,3.391,3.412,1408.66,4812.49,ETHW
1732636800,2024-11-26T16:00:00,3.412,3.481,3.408,3.462,639.3,2197.77,ETHW
1732640400,2024-11-26T17:00:00,3.462,3.462,3.434,3.439,477.47,1645.01,ETHW
1732644000,2024-11-26T18:00:00,3.439,3.439,3.325,3.379,6348.59,21585.06,ETHW
1732647600,2024-11-26T19:00:00,3.379,3.38,3.34,3.358,498.32,1676.57,ETHW
1732651200,2024-11-26T20:00:00,3.358,3.438,3.358,3.438,1169.15,4017.49,ETHW
1732654800,2024-11-26T21:00:00,3.438,3.443,3.411,3.419,163.22,558.53,ETHW
1732658400,2024-11-26T22:00:00,3.419,3.472,3.418,3.457,4598.62,15909.94,ETHW
1732662000,2024-11-26T23:00:00,3.457,3.484,3.451,3.484,1538.7,5342.39,ETHW
1732665600,2024-11-27T00:00:00,3.484,3.512,3.447,3.447,2637.85,9233.36,ETHW
1732669200,2024-11-27T01:00:00,3.447,3.496,3.423,3.496,3505.63,12133.9,ETHW
1732672800,2024-11-27T02:00:00,3.496,3.525,3.491,3.524,652.15,2291.73,ETHW
1732676400,2024-11-27T03:00:00,3.524,3.533,3.491,3.491,20.8,72.76,ETHW
1732680000,2024-11-27T04:00:00,3.491,3.59,3.491,3.54,1235.11,4419.27,ETHW
1732683600,2024-11-27T05:00:00,3.54,3.578,3.526,3.575,427.32,1515.82,ETHW
1732687200,2024-11-27T06:00:00,3.575,3.597,3.552,3.584,56.24,200.31,ETHW
1732690800,2024-11-27T07:00:00,3.584,3.618,3.584,3.593,227.98,822.71,ETHW
1732694400,2024-11-27T08:00:00,3.593,3.593,3.579,3.585,2041.45,7310.61,ETHW
1732698000,2024-11-27T09:00:00,3.585,3.587,3.533,3.542,577.63,2048.18,ETHW
1732701600,2024-11-27T10:00:00,3.542,3.637,3.542,3.601,4139.09,14949.59,ETHW
1732705200,2024-11-27T11:00:00,3.601,3.601,3.581,3.589,1449.81,5200.26,ETHW
1732708800,2024-11-27T12:00:00,3.589,3.604,3.547,3.604,2747.22,9826.18,ETHW
1732712400,2024-11-27T13:00:00,3.604,3.666,3.604,3.647,2064.74,7531.24,ETHW
1732716000,2024-11-27T14:00:00,3.647,3.673,3.638,3.665,1515.51,5552.42,ETHW
1732719600,2024-11-27T15:00:00,3.665,3.712,3.665,3.691,3897.77,14426.32,ETHW
1732723200,2024-11-27T16:00:00,3.691,3.748,3.674,3.717,4094.14,15290.68,ETHW
1732726800,2024-11-27T17:00:00,3.717,3.795,3.704,3.793,1566.68,5915.68,ETHW
1732730400,2024-11-27T18:00:00,3.793,3.949,3.772,3.888,14403.37,55614.85,ETHW
1732734000,2024-11-27T19:00:00,3.888,3.905,3.867,3.867,3516.45,13677.54,ETHW
1732737600,2024-11-27T20:00:00,3.867,3.917,3.866,3.895,6507.06,25270.37,ETHW
1732741200,2024-11-27T21:00:00,3.895,4.007,3.89,3.968,16098.96,63814.63,ETHW
1732744800,2024-11-27T22:00:00,3.968,4.24,3.968,4.176,40161.16,166678.51,ETHW
1732748400,2024-11-27T23:00:00,4.176,4.544,4.097,4.335,35560.28,153411.09,ETHW
1732752000,2024-11-28T00:00:00,4.335,4.38,4.223,4.236,9838.92,42314.88,ETHW
1732755600,2024-11-28T01:00:00,4.236,4.376,4.228,4.319,10006.85,43242.51,ETHW
1732759200,2024-11-28T02:00:00,4.319,4.441,4.212,4.217,12974.53,55942.87,ETHW
1732762800,2024-11-28T03:00:00,4.217,4.259,4.15,4.162,9658.1,40576.08,ETHW
1732766400,2024-11-28T04:00:00,4.162,4.299,4.159,4.294,8323.34,35282.14,ETHW
1732770000,2024-11-28T05:00:00,4.294,4.364,4.24,4.272,8571.88,36674.48,ETHW
1732773600,2024-11-28T06:00:00,4.272,4.274,4.175,4.18,5329.96,22376.78,ETHW
1732777200,2024-11-28T07:00:00,4.18,4.249,4.158,4.166,10859.88,45581.5,ETHW
1732780800,2024-11-28T08:00:00,4.166,4.226,4.146,4.226,2786.91,11655.75,ETHW
1732784400,2024-11-28T09:00:00,4.226,4.269,4.19,4.19,7643.0,32401.01,ETHW
1732788000,2024-11-28T10:00:00,4.19,4.25,4.173,4.217,3380.79,14289.8,ETHW
