timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,1.492,1.517,1.489,1.507,611652.86,919854.66,FET
1732514400,2024-11-25T06:00:00,1.507,1.517,1.463,1.473,814020.9,1211487.39,FET
1732518000,2024-11-25T07:00:00,1.473,1.499,1.473,1.492,636629.97,946395.01,FET
1732521600,2024-11-25T08:00:00,1.492,1.507,1.485,1.5,720895.61,1078273.58,FET
1732525200,2024-11-25T09:00:00,1.5,1.549,1.499,1.532,787732.54,1206706.07,FET
1732528800,2024-11-25T10:00:00,1.532,1.547,1.517,1.532,653943.51,1002040.38,FET
1732532400,2024-11-25T11:00:00,1.532,1.543,1.488,1.504,755281.41,1146297.46,FET
1732536000,2024-11-25T12:00:00,1.504,1.508,1.484,1.5,620220.49,926723.01,FET
1732539600,2024-11-25T13:00:00,1.5,1.509,1.461,1.473,1067947.43,1575635.99,FET
1732543200,2024-11-25T14:00:00,1.473,1.497,1.438,1.445,1175650.39,1732144.65,FET
1732546800,2024-11-25T15:00:00,1.445,1.504,1.417,1.484,1643371.54,2392911.05,FET
1732550400,2024-11-25T16:00:00,1.484,1.514,1.453,1.464,2028466.24,2987617.21,FET
1732554000,2024-11-25T17:00:00,1.464,1.465,1.424,1.442,1403516.01,2016589.96,FET
1732557600,2024-11-25T18:00:00,1.442,1.455,1.429,1.438,1012510.02,1458684.91,FET
1732561200,2024-11-25T19:00:00,1.438,1.463,1.43,1.45,701562.69,1016348.94,FET
1732564800,2024-11-25T20:00:00,1.45,1.481,1.443,1.469,1047249.0,1533709.31,FET
1732568400,2024-11-25T21:00:00,1.469,1.47,1.423,1.443,727782.98,1050947.87,FET
1732572000,2024-11-25T22:00:00,1.443,1.451,1.373,1.444,2024694.33,2848815.07,FET
1732575600,2024-11-25T23:00:00,1.444,1.448,1.419,1.432,454947.34,653330.82,FET
1732579200,2024-11-26T00:00:00,1.432,1.46,1.411,1.437,1170631.06,1687379.64,FET
1732582800,2024-11-26T01:00:00,1.437,1.464,1.437,1.458,811209.2,1177123.58,FET
1732586400,2024-11-26T02:00:00,1.458,1.466,1.453,1.457,459897.87,671065.85,FET
1732590000,2024-11-26T03:00:00,1.457,1.462,1.438,1.446,377667.55,547051.42,FET
1732593600,2024-11-26T04:00:00,1.446,1.459,1.431,1.453,373100.57,539686.37,FET
1732597200,2024-11-26T05:00:00,1.453,1.467,1.45,1.467,327404.87,477964.89,FET
1732600800,2024-11-26T06:00:00,1.467,1.47,1.442,1.443,398205.03,581311.86,FET
1732604400,2024-11-26T07:00:00,1.443,1.445,1.417,1.425,509875.14,730051.15,FET
1732608000,2024-11-26T08:00:00,1.425,1.427,1.382,1.395,798506.65,1115116.92,FET
1732611600,2024-11-26T09:00:00,1.395,1.41,1.381,1.4,382636.33,535404.51,FET
1732615200,2024-11-26T10:00:00,1.4,1.404,1.36,1.362,703826.97,969797.61,FET
1732618800,2024-11-26T11:00:00,1.362,1.373,1.319,1.355,2447675.38,3282309.6,FET
1732622400,2024-11-26T12:00:00,1.355,1.367,1.313,1.328,1626220.21,2182066.72,FET
1732626000,2024-11-26T13:00:00,1.328,1.35,1.322,1.335,728664.79,974128.24,FET
1732629600,2024-11-26T14:00:00,1.335,1.366,1.312,1.358,1275316.46,1714867.89,FET
1732633200,2024-11-26T15:00:00,1.358,1.361,1.331,1.333,586093.68,789373.27,FET
1732636800,2024-11-26T16:00:00,1.333,1.38,1.324,1.367,799070.99,1087814.17,FET
1732640400,2024-11-26T17:00:00,1.367,1.381,1.346,1.36,693091.42,944203.29,FET
1732644000,2024-11-26T18:00:00,1.36,1.363,1.312,1.331,1722058.19,2290979.09,FET
1732647600,2024-11-26T19:00:00,1.331,1.347,1.327,1.347,624717.86,835907.26,FET
1732651200,2024-11-26T20:00:00,1.347,1.369,1.341,1.361,764217.95,1034082.49,FET
1732654800,2024-11-26T21:00:00,1.361,1.37,1.351,1.358,565516.92,769543.34,FET
1732658400,2024-11-26T22:00:00,1.358,1.373,1.356,1.361,679805.67,928925.05,FET
1732662000,2024-11-26T23:00:00,1.361,1.378,1.357,1.377,582075.01,796961.85,FET
1732665600,2024-11-27T00:00:00,1.377,1.391,1.357,1.358,406623.65,558909.79,FET
1732669200,2024-11-27T01:00:00,1.358,1.382,1.351,1.38,604074.27,827881.71,FET
1732672800,2024-11-27T02:00:00,1.38,1.387,1.362,1.386,716290.99,985436.13,FET
1732676400,2024-11-27T03:00:00,1.386,1.386,1.369,1.371,792280.99,1091268.8,FET
1732680000,2024-11-27T04:00:00,1.371,1.396,1.369,1.38,685850.24,950084.81,FET
1732683600,2024-11-27T05:00:00,1.38,1.392,1.37,1.38,730070.51,1008665.02,FET
1732687200,2024-11-27T06:00:00,1.38,1.413,1.379,1.398,668581.7,935396.28,FET
1732690800,2024-11-27T07:00:00,1.398,1.417,1.397,1.401,685666.57,965571.76,FET
1732694400,2024-11-27T08:00:00,1.401,1.421,1.4,1.415,868480.11,1227558.16,FET
1732698000,2024-11-27T09:00:00,1.415,1.415,1.394,1.41,389265.14,546334.64,FET
1732701600,2024-11-27T10:00:00,1.41,1.433,1.407,1.43,748692.01,1065989.55,FET
1732705200,2024-11-27T11:00:00,1.43,1.453,1.424,1.452,1232816.46,1772291.38,FET
1732708800,2024-11-27T12:00:00,1.452,1.453,1.421,1.43,1367758.78,1964784.51,FET
1732712400,2024-11-27T13:00:00,1.43,1.453,1.43,1.453,997708.97,1435714.92,FET
1732716000,2024-11-27T14:00:00,1.453,1.462,1.434,1.453,1554537.71,2252662.84,FET
1732719600,2024-11-27T15:00:00,1.453,1.462,1.438,1.445,1288787.98,1868973.96,FET
1732723200,2024-11-27T16:00:00,1.445,1.465,1.439,1.458,1210821.99,1761727.13,FET
1732726800,2024-11-27T17:00:00,1.458,1.514,1.444,1.51,2719289.76,4046277.58,FET
1732730400,2024-11-27T18:00:00,1.51,1.514,1.487,1.487,1163145.43,1742301.3,FET
1732734000,2024-11-27T19:00:00,1.487,1.502,1.486,1.492,863078.7,1289297.98,FET
1732737600,2024-11-27T20:00:00,1.492,1.5,1.478,1.481,745469.99,1111840.47,FET
1732741200,2024-11-27T21:00:00,1.481,1.487,1.471,1.478,673422.53,995412.08,FET
1732744800,2024-11-27T22:00:00,1.478,1.509,1.473,1.506,825185.69,1230930.82,FET
1732748400,2024-11-27T23:00:00,1.506,1.515,1.496,1.509,1390932.36,2093960.62,FET
1732752000,2024-11-28T00:00:00,1.509,1.524,1.495,1.496,1172006.45,1769966.07,FET
1732755600,2024-11-28T01:00:00,1.496,1.505,1.481,1.498,818475.31,1222389.12,FET
1732759200,2024-11-28T02:00:00,1.498,1.499,1.47,1.474,646025.12,960434.93,FET
1732762800,2024-11-28T03:00:00,1.474,1.479,1.45,1.468,631757.7,925822.18,FET
1732766400,2024-11-28T04:00:00,1.468,1.54,1.461,1.511,1405188.32,2121503.03,FET
1732770000,2024-11-28T05:00:00,1.511,1.521,1.48,1.483,457325.67,687488.21,FET
1732773600,2024-11-28T06:00:00,1.483,1.496,1.477,1.484,1052228.35,1564144.85,FET
1732777200,2024-11-28T07:00:00,1.484,1.494,1.471,1.476,354270.11,525172.37,FET
1732780800,2024-11-28T08:00:00,1.476,1.485,1.466,1.485,356375.22,525598.86,FET
1732784400,2024-11-28T09:00:00,1.485,1.488,1.468,1.468,345758.62,511515.39,FET
1732788000,2024-11-28T10:00:00,1.468,1.481,1.457,1.462,464536.08,681179.9,FET
1732791600,2024-11-28T11:00:00,1.462,1.473,1.451,1.473,348413.01,509594.27,FET
1732795200,2024-11-28T12:00:00,1.473,1.481,1.462,1.478,373580.76,549492.4,FET
1732798800,2024-11-28T13:00:00,1.478,1.479,1.458,1.475,276580.54,406213.46,FET
1732802400,2024-11-28T14:00:00,1.475,1.511,1.464,1.497,883392.0,1313722.81,FET
1732806000,2024-11-28T15:00:00,1.497,1.515,1.476,1.491,1113378.46,1671432.99,FET
1732809600,2024-11-28T16:00:00,1.491,1.587,1.49,1.572,3542937.37,5486448.95,FET
1732813200,2024-11-28T17:00:00,1.572,1.625,1.556,1.615,3222537.54,5134017.8,FET
1732816800,2024-11-28T18:00:00,1.615,1.699,1.598,1.695,4017002.65,6620918.31,FET
1732820400,2024-11-28T19:00:00,1.695,1.717,1.653,1.677,3862896.54,6508127.82,FET
1732824000,2024-11-28T20:00:00,1.677,1.711,1.653,1.705,2921379.92,4906020.64,FET
1732827600,2024-11-28T21:00:00,1.705,1.75,1.69,1.723,3949413.7,6819453.58,FET
1732831200,2024-11-28T22:00:00,1.723,1.741,1.702,1.723,1874008.2,3223052.7,FET
1732834800,2024-11-28T23:00:00,1.723,1.725,1.673,1.677,1875132.68,3184004.82,FET
1732838400,2024-11-29T00:00:00,1.677,1.688,1.596,1.596,1877742.43,3079500.7,FET
1732842000,2024-11-29T01:00:00,1.596,1.652,1.595,1.596,1425131.44,2304852.78,FET
1732845600,2024-11-29T02:00:00,1.596,1.614,1.595,1.599,1378663.51,2211790.55,FET
1732849200,2024-11-29T03:00:00,1.599,1.618,1.592,1.598,1089599.41,1746822.01,FET
1732852800,2024-11-29T04:00:00,1.598,1.62,1.592,1.619,686144.59,1100199.74,FET
1732856400,2024-11-29T05:00:00,1.619,1.654,1.612,1.627,1123545.45,1835181.93,FET
1732860000,2024-11-29T06:00:00,1.627,1.63,1.608,1.615,567806.58,918584.98,FET
1732863600,2024-11-29T07:00:00,1.615,1.616,1.591,1.606,596510.15,954980.11,FET
1732867200,2024-11-29T08:00:00,1.606,1.628,1.605,1.625,545180.3,883384.19,FET
1732870800,2024-11-29T09:00:00,1.625,1.658,1.623,1.642,1149646.19,1886955.2,FET
1732874400,2024-11-29T10:00:00,1.642,1.653,1.631,1.649,1009506.78,1655687.33,FET
1732878000,2024-11-29T11:00:00,1.649,1.651,1.635,1.638,525232.04,862513.53,FET
1732881600,2024-11-29T12:00:00,1.638,1.643,1.608,1.62,1020464.92,1656937.52,FET
1732885200,2024-11-29T13:00:00,1.62,1.635,1.616,1.634,693618.17,1128791.98,FET
1732888800,2024-11-29T14:00:00,1.634,1.64,1.614,1.635,1139461.32,1852970.77,FET
1732892400,2024-11-29T15:00:00,1.635,1.661,1.626,1.633,1608473.18,2641838.76,FET
1732896000,2024-11-29T16:00:00,1.633,1.663,1.633,1.635,841582.52,1388133.14,FET
1732899600,2024-11-29T17:00:00,1.635,1.658,1.625,1.653,574084.19,942099.3,FET
1732903200,2024-11-29T18:00:00,1.653,1.664,1.645,1.646,481281.47,796521.72,FET
1732906800,2024-11-29T19:00:00,1.646,1.65,1.633,1.638,717877.73,1178432.48,FET
1732910400,2024-11-29T20:00:00,1.638,1.65,1.625,1.642,1484694.51,2432165.5,FET
1732914000,2024-11-29T21:00:00,1.642,1.654,1.636,1.654,816237.52,1340958.42,FET
1732917600,2024-11-29T22:00:00,1.654,1.817,1.652,1.689,2725313.97,4643529.11,FET
1732921200,2024-11-29T23:00:00,1.689,1.731,1.682,1.724,1561021.42,2668894.1,FET
1732924800,2024-11-30T00:00:00,1.724,1.75,1.695,1.737,2171958.36,3736485.56,FET
1732928400,2024-11-30T01:00:00,1.737,1.753,1.715,1.735,1546627.87,2685163.55,FET
1732932000,2024-11-30T02:00:00,1.735,1.74,1.7,1.715,967257.46,1661661.17,FET
1732935600,2024-11-30T03:00:00,1.715,1.737,1.703,1.72,767213.48,1320448.07,FET
1732939200,2024-11-30T04:00:00,1.72,1.794,1.718,1.759,1691164.29,2984489.94,FET
1732942800,2024-11-30T05:00:00,1.759,1.764,1.735,1.747,767444.23,1343551.55,FET
1732946400,2024-11-30T06:00:00,1.747,1.748,1.717,1.729,1261911.13,2184851.33,FET
1732950000,2024-11-30T07:00:00,1.729,1.752,1.725,1.75,1034738.35,1809424.59,FET
1732953600,2024-11-30T08:00:00,1.75,1.752,1.735,1.749,526825.81,917344.4,FET
1732957200,2024-11-30T09:00:00,1.749,1.846,1.744,1.835,2855511.47,5118188.5,FET
1732960800,2024-11-30T10:00:00,1.835,1.861,1.802,1.809,1607329.79,2947289.41,FET
1732964400,2024-11-30T11:00:00,1.809,1.842,1.793,1.823,908319.84,1660475.98,FET
1732968000,2024-11-30T12:00:00,1.823,1.879,1.821,1.874,1778434.67,3282937.36,FET
1732971600,2024-11-30T13:00:00,1.874,1.924,1.844,1.911,3318518.1,6234832.46,FET
1732975200,2024-11-30T14:00:00,1.911,1.955,1.861,1.87,2957301.76,5639930.31,FET
1732978800,2024-11-30T15:00:00,1.87,1.915,1.864,1.896,1608677.37,3049952.26,FET
1732982400,2024-11-30T16:00:00,1.896,1.959,1.889,1.914,2024767.59,3906947.05,FET
1732986000,2024-11-30T17:00:00,1.914,1.94,1.896,1.922,1195716.87,2293086.38,FET
1732989600,2024-11-30T18:00:00,1.922,1.926,1.879,1.886,1384825.26,2624552.39,FET
1732993200,2024-11-30T19:00:00,1.886,1.908,1.884,1.888,1082620.24,2051466.04,FET
1732996800,2024-11-30T20:00:00,1.888,1.896,1.866,1.89,1773062.27,3331029.41,FET
1733000400,2024-11-30T21:00:00,1.89,1.901,1.877,1.891,1222647.19,2310748.06,FET
1733004000,2024-11-30T22:00:00,1.891,1.901,1.882,1.893,923509.15,1747239.99,FET
1733007600,2024-11-30T23:00:00,1.893,1.915,1.885,1.915,1002793.41,1905371.39,FET
1733011200,2024-12-01T00:00:00,1.915,1.915,1.872,1.876,959330.07,1814920.19,FET
1733014800,2024-12-01T01:00:00,1.876,1.892,1.843,1.856,1270712.34,2369204.73,FET
1733018400,2024-12-01T02:00:00,1.856,1.873,1.808,1.83,1791841.0,3293379.45,FET
1733022000,2024-12-01T03:00:00,1.83,1.848,1.816,1.825,836714.05,1529996.02,FET
1733025600,2024-12-01T04:00:00,1.825,1.86,1.824,1.853,937428.45,1728278.88,FET
1733029200,2024-12-01T05:00:00,1.853,1.871,1.842,1.843,751913.33,1393641.49,FET
1733032800,2024-12-01T06:00:00,1.843,1.861,1.843,1.854,420010.95,777839.06,FET
1733036400,2024-12-01T07:00:00,1.854,1.888,1.85,1.881,604288.67,1131567.07,FET
1733040000,2024-12-01T08:00:00,1.881,1.895,1.864,1.875,648764.12,1218013.91,FET
1733043600,2024-12-01T09:00:00,1.875,1.898,1.856,1.866,478186.5,896005.11,FET
1733047200,2024-12-01T10:00:00,1.866,1.869,1.831,1.85,411761.87,761716.26,FET
1733050800,2024-12-01T11:00:00,1.85,1.886,1.85,1.882,477274.9,892111.36,FET
1733054400,2024-12-01T12:00:00,1.882,1.895,1.865,1.882,608342.39,1143570.15,FET
1733058000,2024-12-01T13:00:00,1.882,1.915,1.874,1.879,735744.53,1396172.06,FET
1733061600,2024-12-01T14:00:00,1.879,1.879,1.846,1.859,1288378.7,2397418.82,FET
1733065200,2024-12-01T15:00:00,1.859,1.874,1.849,1.863,847924.67,1576586.79,FET
1733068800,2024-12-01T16:00:00,1.863,1.864,1.841,1.842,1001031.56,1853562.34,FET
1733072400,2024-12-01T17:00:00,1.842,1.847,1.821,1.838,771605.24,1416560.64,FET
1733076000,2024-12-01T18:00:00,1.838,1.85,1.83,1.842,550372.28,1012198.12,FET
1733079600,2024-12-01T19:00:00,1.842,1.846,1.818,1.826,902840.77,1650975.27,FET
1733083200,2024-12-01T20:00:00,1.826,1.827,1.79,1.809,1881457.58,3390426.86,FET
1733086800,2024-12-01T21:00:00,1.809,1.827,1.8,1.817,884095.69,1603642.16,FET
1733090400,2024-12-01T22:00:00,1.817,1.875,1.814,1.837,969965.28,1777824.18,FET
1733094000,2024-12-01T23:00:00,1.837,1.845,1.832,1.842,867545.0,1595457.37,FET
1733097600,2024-12-02T00:00:00,1.842,1.843,1.8,1.811,1142134.69,2081486.72,FET
1733101200,2024-12-02T01:00:00,1.811,1.887,1.811,1.884,1404219.58,2590475.71,FET
1733104800,2024-12-02T02:00:00,1.884,1.884,1.823,1.857,1418240.25,2624159.27,FET
1733108400,2024-12-02T03:00:00,1.857,1.878,1.797,1.804,1445866.37,2672033.52,FET
1733112000,2024-12-02T04:00:00,1.804,1.828,1.773,1.81,1407340.64,2540304.48,FET
1733115600,2024-12-02T05:00:00,1.81,1.845,1.802,1.818,1017676.3,1854318.63,FET
1733119200,2024-12-02T06:00:00,1.818,1.847,1.791,1.84,950104.53,1721089.45,FET
1733122800,2024-12-02T07:00:00,1.84,1.849,1.804,1.828,805791.2,1471364.77,FET
1733126400,2024-12-02T08:00:00,1.828,1.838,1.722,1.749,1862558.52,3293002.02,FET
1733130000,2024-12-02T09:00:00,1.749,1.804,1.741,1.8,763215.3,1354033.23,FET
1733133600,2024-12-02T10:00:00,1.8,1.8,1.727,1.729,574724.37,1012783.8,FET
1733137200,2024-12-02T11:00:00,1.729,1.76,1.722,1.741,824824.89,1434980.89,FET
1733140800,2024-12-02T12:00:00,1.741,1.766,1.729,1.738,841154.78,1469531.84,FET
1733144400,2024-12-02T13:00:00,1.738,1.786,1.738,1.781,1111458.9,1964136.17,FET
1733148000,2024-12-02T14:00:00,1.781,1.79,1.752,1.766,1378485.85,2443911.64,FET
1733151600,2024-12-02T15:00:00,1.766,1.801,1.748,1.783,1722542.55,3053390.58,FET
1733155200,2024-12-02T16:00:00,1.783,1.806,1.732,1.758,1589460.62,2821610.44,FET
1733158800,2024-12-02T17:00:00,1.758,1.769,1.707,1.711,1284838.89,2236759.74,FET
1733162400,2024-12-02T18:00:00,1.711,1.779,1.711,1.776,1073296.64,1880834.03,FET
1733166000,2024-12-02T19:00:00,1.776,1.781,1.744,1.775,1128501.96,1989418.2,FET
1733169600,2024-12-02T20:00:00,1.775,1.839,1.769,1.825,2865956.92,5188523.43,FET
1733173200,2024-12-02T21:00:00,1.825,1.899,1.819,1.878,2690429.69,5023534.58,FET
1733176800,2024-12-02T22:00:00,1.878,1.891,1.85,1.861,1137524.25,2128154.03,FET
1733180400,2024-12-02T23:00:00,1.861,1.965,1.861,1.95,2445997.4,4705819.76,FET
1733184000,2024-12-03T00:00:00,1.95,1.952,1.887,1.896,1315845.62,2519161.08,FET
1733187600,2024-12-03T01:00:00,1.896,1.91,1.876,1.889,947550.04,1794849.99,FET
1733191200,2024-12-03T02:00:00,1.889,1.932,1.872,1.926,729970.29,1390330.11,FET
1733194800,2024-12-03T03:00:00,1.926,1.974,1.913,1.922,1505451.18,2924400.54,FET
1733198400,2024-12-03T04:00:00,1.922,1.939,1.895,1.907,745909.09,1429859.45,FET
1733202000,2024-12-03T05:00:00,1.907,1.914,1.887,1.898,524751.66,996742.71,FET
1733205600,2024-12-03T06:00:00,1.898,1.933,1.869,1.881,868589.1,1661038.77,FET
1733209200,2024-12-03T07:00:00,1.881,1.894,1.851,1.869,970721.33,1813556.38,FET
1733212800,2024-12-03T08:00:00,1.869,1.891,1.859,1.882,486970.17,912183.92,FET
1733216400,2024-12-03T09:00:00,1.882,1.907,1.858,1.872,510937.58,959097.35,FET
1733220000,2024-12-03T10:00:00,1.872,1.934,1.863,1.892,1010333.58,1925125.51,FET
1733223600,2024-12-03T11:00:00,1.892,1.971,1.891,1.922,1440085.24,2790586.21,FET
1733227200,2024-12-03T12:00:00,1.922,1.927,1.88,1.914,1057554.54,2012456.35,FET
1733230800,2024-12-03T13:00:00,1.914,1.955,1.81,1.85,1750317.79,3285186.47,FET
1733234400,2024-12-03T14:00:00,1.85,1.881,1.774,1.861,2172184.45,3989827.59,FET
1733238000,2024-12-03T15:00:00,1.861,1.903,1.847,1.863,1305767.39,2444254.51,FET
1733241600,2024-12-03T16:00:00,1.863,1.892,1.831,1.838,922642.07,1723604.87,FET
1733245200,2024-12-03T17:00:00,1.838,1.862,1.817,1.862,904264.6,1674642.73,FET
1733248800,2024-12-03T18:00:00,1.862,1.908,1.861,1.901,651568.31,1229968.48,FET
1733252400,2024-12-03T19:00:00,1.901,1.901,1.851,1.881,587102.59,1099588.53,FET
1733256000,2024-12-03T20:00:00,1.881,1.92,1.876,1.917,653621.32,1243617.55,FET
1733259600,2024-12-03T21:00:00,1.917,1.945,1.904,1.906,1231766.5,2374568.86,FET
1733263200,2024-12-03T22:00:00,1.906,1.908,1.876,1.903,1017398.61,1918972.54,FET
