timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,5.594,5.655,5.594,5.627,32111.47,180882.9,FIL
1732514400,2024-11-25T06:00:00,5.627,5.627,5.527,5.551,59371.34,330620.56,FIL
1732518000,2024-11-25T07:00:00,5.551,5.678,5.516,5.631,26649.54,148880.61,FIL
1732521600,2024-11-25T08:00:00,5.631,5.711,5.626,5.695,49147.37,278902.34,FIL
1732525200,2024-11-25T09:00:00,5.695,5.839,5.695,5.788,124049.23,715842.59,FIL
1732528800,2024-11-25T10:00:00,5.788,5.867,5.728,5.83,173571.74,1004870.29,FIL
1732532400,2024-11-25T11:00:00,5.83,5.838,5.703,5.725,78518.21,452538.99,FIL
1732536000,2024-11-25T12:00:00,5.725,5.804,5.694,5.71,89527.73,514107.64,FIL
1732539600,2024-11-25T13:00:00,5.71,5.752,5.562,5.626,125319.22,704996.31,FIL
1732543200,2024-11-25T14:00:00,5.626,5.693,5.441,5.452,243824.78,1342234.23,FIL
1732546800,2024-11-25T15:00:00,5.452,5.652,5.372,5.6,146145.73,804608.06,FIL
1732550400,2024-11-25T16:00:00,5.6,5.686,5.561,5.645,202018.99,1136573.32,FIL
1732554000,2024-11-25T17:00:00,5.645,5.645,5.48,5.555,207032.37,1145111.0,FIL
1732557600,2024-11-25T18:00:00,5.555,5.703,5.553,5.623,66131.83,371822.36,FIL
1732561200,2024-11-25T19:00:00,5.623,5.752,5.588,5.715,112474.38,640910.25,FIL
1732564800,2024-11-25T20:00:00,5.715,5.756,5.635,5.669,85755.62,488881.49,FIL
1732568400,2024-11-25T21:00:00,5.669,5.695,5.472,5.542,160890.27,889516.1,FIL
1732572000,2024-11-25T22:00:00,5.542,5.586,5.352,5.566,186861.7,1017987.66,FIL
1732575600,2024-11-25T23:00:00,5.566,5.566,5.44,5.454,69251.65,380037.42,FIL
1732579200,2024-11-26T00:00:00,5.454,5.594,5.421,5.484,74852.7,412833.05,FIL
1732582800,2024-11-26T01:00:00,5.484,5.642,5.484,5.635,73943.85,411757.19,FIL
1732586400,2024-11-26T02:00:00,5.635,5.669,5.611,5.621,55187.3,311017.15,FIL
1732590000,2024-11-26T03:00:00,5.621,5.621,5.527,5.583,67179.77,374832.39,FIL
1732593600,2024-11-26T04:00:00,5.583,5.629,5.512,5.603,57484.1,319287.57,FIL
1732597200,2024-11-26T05:00:00,5.603,5.737,5.586,5.724,56612.38,320543.94,FIL
1732600800,2024-11-26T06:00:00,5.724,5.818,5.638,5.652,142866.83,815017.61,FIL
1732604400,2024-11-26T07:00:00,5.652,5.655,5.548,5.635,91080.45,511940.59,FIL
1732608000,2024-11-26T08:00:00,5.635,5.65,5.423,5.474,226637.84,1241956.76,FIL
1732611600,2024-11-26T09:00:00,5.474,5.58,5.435,5.53,114409.29,630225.22,FIL
1732615200,2024-11-26T10:00:00,5.53,5.549,5.3,5.305,95048.41,513301.68,FIL
1732618800,2024-11-26T11:00:00,5.305,5.389,5.195,5.301,317764.82,1678751.31,FIL
1732622400,2024-11-26T12:00:00,5.301,5.35,5.198,5.244,107078.96,562885.36,FIL
1732626000,2024-11-26T13:00:00,5.244,5.348,5.211,5.289,67582.99,357824.81,FIL
1732629600,2024-11-26T14:00:00,5.289,5.403,5.211,5.36,71395.76,378655.12,FIL
1732633200,2024-11-26T15:00:00,5.36,5.378,5.239,5.26,101363.59,536561.32,FIL
1732636800,2024-11-26T16:00:00,5.26,5.444,5.226,5.395,93889.13,504070.09,FIL
1732640400,2024-11-26T17:00:00,5.395,5.416,5.352,5.379,53601.16,288563.77,FIL
1732644000,2024-11-26T18:00:00,5.379,5.381,5.164,5.217,92332.53,484332.0,FIL
1732647600,2024-11-26T19:00:00,5.217,5.265,5.176,5.263,95677.21,499252.29,FIL
1732651200,2024-11-26T20:00:00,5.263,5.438,5.255,5.392,69205.79,368750.64,FIL
1732654800,2024-11-26T21:00:00,5.392,5.444,5.346,5.375,44416.64,239557.82,FIL
1732658400,2024-11-26T22:00:00,5.375,5.444,5.358,5.383,53538.83,290231.86,FIL
1732662000,2024-11-26T23:00:00,5.383,5.438,5.369,5.433,27252.24,147398.02,FIL
1732665600,2024-11-27T00:00:00,5.433,5.505,5.307,5.311,97977.4,529836.77,FIL
1732669200,2024-11-27T01:00:00,5.311,5.409,5.297,5.394,17761.15,95363.52,FIL
1732672800,2024-11-27T02:00:00,5.394,5.409,5.311,5.401,33498.82,180302.12,FIL
1732676400,2024-11-27T03:00:00,5.401,5.42,5.348,5.363,54199.94,291637.48,FIL
1732680000,2024-11-27T04:00:00,5.363,5.51,5.359,5.445,146439.91,798746.7,FIL
1732683600,2024-11-27T05:00:00,5.445,5.491,5.394,5.444,74697.02,407145.63,FIL
1732687200,2024-11-27T06:00:00,5.444,5.542,5.429,5.486,55496.29,305683.84,FIL
1732690800,2024-11-27T07:00:00,5.486,5.537,5.472,5.532,18912.55,104130.05,FIL
1732694400,2024-11-27T08:00:00,5.532,5.532,5.474,5.477,26899.83,148181.63,FIL
