timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,0.9465,0.9728,0.9465,0.9724,263977.66,252667.55,FTM
1732514400,2024-11-25T06:00:00,0.9724,0.9758,0.9476,0.9538,199186.16,191658.73,FTM
1732518000,2024-11-25T07:00:00,0.9538,0.9621,0.9421,0.9567,1342808.17,1270566.06,FTM
1732521600,2024-11-25T08:00:00,0.9567,0.9623,0.9506,0.9567,514905.07,492990.58,FTM
1732525200,2024-11-25T09:00:00,0.9567,0.9866,0.9567,0.9734,885516.89,863718.4,FTM
1732528800,2024-11-25T10:00:00,0.9734,0.9734,0.9509,0.9574,349805.56,335311.84,FTM
1732532400,2024-11-25T11:00:00,0.9574,0.9606,0.9393,0.9446,347510.21,330685.02,FTM
1732536000,2024-11-25T12:00:00,0.9446,0.9456,0.9338,0.9405,641787.05,602261.13,FTM
1732539600,2024-11-25T13:00:00,0.9405,0.9424,0.9197,0.9302,551058.5,513386.0,FTM
1732543200,2024-11-25T14:00:00,0.9302,0.9426,0.9092,0.9143,840126.05,778212.07,FTM
1732546800,2024-11-25T15:00:00,0.9143,0.9917,0.9088,0.9792,1180544.67,1127585.36,FTM
1732550400,2024-11-25T16:00:00,0.9792,1.008,0.962,0.9825,1250927.48,1229684.63,FTM
1732554000,2024-11-25T17:00:00,0.9825,0.9825,0.9311,0.9448,711580.33,673040.84,FTM
1732557600,2024-11-25T18:00:00,0.9448,0.9639,0.9373,0.9474,376247.49,356784.88,FTM
1732561200,2024-11-25T19:00:00,0.9474,0.9633,0.9359,0.9487,1511015.18,1438812.54,FTM
1732564800,2024-11-25T20:00:00,0.9487,0.9795,0.9437,0.9607,665701.14,644255.33,FTM
1732568400,2024-11-25T21:00:00,0.9607,0.9664,0.9371,0.9572,655666.64,620414.15,FTM
1732572000,2024-11-25T22:00:00,0.9572,0.9737,0.9262,0.9703,851060.9,808419.71,FTM
1732575600,2024-11-25T23:00:00,0.9703,0.9973,0.9681,0.9773,1137643.76,1117596.8,FTM
1732579200,2024-11-26T00:00:00,0.9773,1.048,0.9723,1.017,1292328.5,1315540.2,FTM
1732582800,2024-11-26T01:00:00,1.017,1.027,0.9926,1.006,408197.7,412359.19,FTM
1732586400,2024-11-26T02:00:00,1.006,1.006,0.9712,0.9715,363337.62,357819.18,FTM
1732590000,2024-11-26T03:00:00,0.9715,0.9725,0.9502,0.9532,497968.87,476976.26,FTM
1732593600,2024-11-26T04:00:00,0.9532,0.9645,0.9461,0.9633,256358.62,244575.0,FTM
1732597200,2024-11-26T05:00:00,0.9633,0.9966,0.9633,0.9937,334412.04,330529.45,FTM
1732600800,2024-11-26T06:00:00,0.9937,0.9938,0.9766,0.9766,147165.64,145103.03,FTM
1732604400,2024-11-26T07:00:00,0.9766,0.9958,0.9652,0.979,390294.26,383022.72,FTM
1732608000,2024-11-26T08:00:00,0.979,0.9862,0.9556,0.9672,720177.15,697946.73,FTM
1732611600,2024-11-26T09:00:00,0.9672,1.009,0.9628,0.9848,803163.86,792647.62,FTM
1732615200,2024-11-26T10:00:00,0.9848,0.9896,0.9333,0.9373,696026.5,666930.21,FTM
1732618800,2024-11-26T11:00:00,0.9373,0.9714,0.9233,0.9696,988446.55,934548.51,FTM
1732622400,2024-11-26T12:00:00,0.9696,1.009,0.9559,1.009,1237289.46,1220186.88,FTM
1732626000,2024-11-26T13:00:00,1.009,1.03,0.9927,1.011,1441818.51,1459633.02,FTM
1732629600,2024-11-26T14:00:00,1.011,1.071,0.997,1.06,1794222.4,1872056.92,FTM
1732633200,2024-11-26T15:00:00,1.06,1.074,1.019,1.021,1222688.41,1277066.58,FTM
1732636800,2024-11-26T16:00:00,1.021,1.084,1.016,1.073,1502895.52,1591239.83,FTM
1732640400,2024-11-26T17:00:00,1.073,1.075,1.055,1.058,626209.8,664842.6,FTM
1732644000,2024-11-26T18:00:00,1.058,1.058,1.018,1.032,887841.65,918994.78,FTM
1732647600,2024-11-26T19:00:00,1.032,1.037,1.017,1.037,495794.15,509635.11,FTM
1732651200,2024-11-26T20:00:00,1.037,1.092,1.032,1.068,1154486.65,1233790.46,FTM
1732654800,2024-11-26T21:00:00,1.068,1.077,1.056,1.06,821706.85,876169.65,FTM
1732658400,2024-11-26T22:00:00,1.06,1.103,1.058,1.076,983981.63,1069466.89,FTM
1732662000,2024-11-26T23:00:00,1.076,1.091,1.066,1.082,876695.68,946849.15,FTM
1732665600,2024-11-27T00:00:00,1.082,1.092,1.061,1.062,606553.2,651066.23,FTM
1732669200,2024-11-27T01:00:00,1.062,1.106,1.051,1.081,755894.68,817351.19,FTM
1732672800,2024-11-27T02:00:00,1.081,1.12,1.061,1.12,758223.36,825127.97,FTM
1732676400,2024-11-27T03:00:00,1.12,1.133,1.106,1.116,493556.85,553477.62,FTM
1732680000,2024-11-27T04:00:00,1.116,1.133,1.104,1.107,584963.64,653156.6,FTM
1732683600,2024-11-27T05:00:00,1.107,1.11,1.08,1.081,535511.41,583363.48,FTM
1732687200,2024-11-27T06:00:00,1.081,1.095,1.07,1.071,392538.89,423980.06,FTM
1732690800,2024-11-27T07:00:00,1.071,1.081,1.056,1.06,576898.2,616603.95,FTM
1732694400,2024-11-27T08:00:00,1.06,1.069,1.058,1.065,236204.33,251283.19,FTM
1732698000,2024-11-27T09:00:00,1.065,1.081,1.058,1.07,335234.91,359088.82,FTM
1732701600,2024-11-27T10:00:00,1.07,1.072,1.059,1.061,318197.59,338163.56,FTM
1732705200,2024-11-27T11:00:00,1.061,1.066,1.043,1.047,555616.13,585422.4,FTM
1732708800,2024-11-27T12:00:00,1.047,1.05,1.026,1.036,713354.43,738916.82,FTM
1732712400,2024-11-27T13:00:00,1.036,1.048,1.033,1.048,283530.51,294477.87,FTM
1732716000,2024-11-27T14:00:00,1.048,1.056,1.044,1.052,583398.15,612468.78,FTM
1732719600,2024-11-27T15:00:00,1.052,1.064,1.046,1.053,714323.54,752691.43,FTM
1732723200,2024-11-27T16:00:00,1.053,1.077,1.051,1.059,581320.33,618342.69,FTM
1732726800,2024-11-27T17:00:00,1.059,1.061,1.05,1.052,488429.38,515007.88,FTM
1732730400,2024-11-27T18:00:00,1.052,1.054,1.042,1.054,371036.6,389424.11,FTM
1732734000,2024-11-27T19:00:00,1.054,1.073,1.054,1.06,308737.51,328042.25,FTM
1732737600,2024-11-27T20:00:00,1.06,1.08,1.06,1.068,275661.37,295304.66,FTM
1732741200,2024-11-27T21:00:00,1.068,1.069,1.052,1.054,196952.93,208830.5,FTM
1732744800,2024-11-27T22:00:00,1.054,1.062,1.05,1.054,417844.53,440622.33,FTM
1732748400,2024-11-27T23:00:00,1.054,1.067,1.044,1.047,382114.63,402319.82,FTM
1732752000,2024-11-28T00:00:00,1.047,1.052,1.037,1.048,226403.45,236443.11,FTM
1732755600,2024-11-28T01:00:00,1.048,1.075,1.048,1.075,574539.78,610710.62,FTM
1732759200,2024-11-28T02:00:00,1.075,1.093,1.056,1.092,418430.72,450396.51,FTM
1732762800,2024-11-28T03:00:00,1.092,1.106,1.054,1.078,626601.0,677029.77,FTM
1732766400,2024-11-28T04:00:00,1.078,1.095,1.078,1.093,547196.6,596009.19,FTM
1732770000,2024-11-28T05:00:00,1.093,1.105,1.063,1.064,255363.04,275923.49,FTM
1732773600,2024-11-28T06:00:00,1.064,1.088,1.058,1.083,236264.24,252622.4,FTM
1732777200,2024-11-28T07:00:00,1.083,1.083,1.04,1.043,673631.44,711017.29,FTM
1732780800,2024-11-28T08:00:00,1.043,1.049,1.036,1.042,300343.2,312531.97,FTM
1732784400,2024-11-28T09:00:00,1.042,1.042,1.024,1.025,265240.1,272979.58,FTM
1732788000,2024-11-28T10:00:00,1.025,1.033,1.019,1.022,202158.47,207447.84,FTM
