timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,2.544,2.556,2.526,2.526,6.67,16.85,FTT
1732514400,2024-11-25T06:00:00,2.526,2.525,2.498,2.498,3.28,8.193,FTT
1732518000,2024-11-25T07:00:00,2.498,2.512,2.484,2.484,11.74,29.17,FTT
1732521600,2024-11-25T08:00:00,2.505,2.509,2.461,2.461,2.92,7.186,FTT
1732525200,2024-11-25T09:00:00,2.461,2.502,2.468,2.502,8.311,20.8,FTT
1732528800,2024-11-25T10:00:00,2.502,2.522,2.497,2.516,9.734,24.49,FTT
1732532400,2024-11-25T11:00:00,2.516,2.602,2.507,2.602,5.952,15.49,FTT
1732536000,2024-11-25T12:00:00,2.602,2.601,2.488,2.499,11.76,29.39,FTT
1732539600,2024-11-25T13:00:00,2.52,2.529,2.515,2.529,138.71,350.76,FTT
1732543200,2024-11-25T14:00:00,2.477,2.46,2.422,2.46,8.822,21.7,FTT
1732546800,2024-11-25T15:00:00,2.46,2.56,2.407,2.411,266.14,641.71,FTT
1732550400,2024-11-25T16:00:00,2.411,2.533,2.409,2.509,8.304,20.83,FTT
1732554000,2024-11-25T17:00:00,2.509,2.49,2.385,2.463,22.53,55.5,FTT
1732557600,2024-11-25T18:00:00,2.463,2.461,2.399,2.451,150.18,368.16,FTT
1732561200,2024-11-25T19:00:00,2.451,2.511,2.395,2.425,7.272,17.64,FTT
1732564800,2024-11-25T20:00:00,2.425,2.518,2.414,2.463,14.55,35.83,FTT
1732568400,2024-11-25T21:00:00,2.463,2.435,2.433,2.435,1.229,2.992,FTT
1732572000,2024-11-25T22:00:00,2.435,2.452,2.374,2.415,14.3,34.54,FTT
1732575600,2024-11-25T23:00:00,2.415,2.418,2.286,2.286,490.84,1122.26,FTT
1732579200,2024-11-26T00:00:00,2.286,2.326,2.284,2.284,20.72,47.32,FTT
1732582800,2024-11-26T01:00:00,2.284,2.373,2.31,2.352,257.66,606.09,FTT
1732586400,2024-11-26T02:00:00,2.352,2.367,2.346,2.367,4.514,10.68,FTT
1732590000,2024-11-26T03:00:00,2.367,2.378,2.318,2.34,12.1,28.31,FTT
1732593600,2024-11-26T04:00:00,2.34,2.353,2.308,2.308,9.412,21.72,FTT
1732597200,2024-11-26T05:00:00,2.308,2.406,2.317,2.404,13.71,32.96,FTT
1732600800,2024-11-26T06:00:00,2.404,2.402,2.361,2.395,11.32,27.12,FTT
1732604400,2024-11-26T07:00:00,2.395,2.377,2.314,2.314,3.647,8.439,FTT
1732608000,2024-11-26T08:00:00,2.314,2.298,2.259,2.298,3.485,8.008,FTT
1732611600,2024-11-26T09:00:00,2.298,2.307,2.256,2.26,13.74,31.05,FTT
1732615200,2024-11-26T10:00:00,2.26,2.294,2.228,2.269,24.9,56.5,FTT
1732618800,2024-11-26T11:00:00,2.269,2.345,2.212,2.272,35.5,80.66,FTT
1732622400,2024-11-26T12:00:00,2.272,2.268,2.221,2.221,4.107,9.124,FTT
1732626000,2024-11-26T13:00:00,2.221,2.336,2.198,2.249,24.57,55.27,FTT
1732629600,2024-11-26T14:00:00,2.249,2.38,2.268,2.38,1.596,3.798,FTT
1732633200,2024-11-26T15:00:00,2.38,2.368,2.24,2.24,19.05,42.67,FTT
1732636800,2024-11-26T16:00:00,2.24,2.309,2.257,2.276,27.17,61.85,FTT
1732640400,2024-11-26T17:00:00,2.269,2.272,2.262,2.272,36.61,83.19,FTT
1732644000,2024-11-26T18:00:00,2.248,2.229,2.14,2.14,216.25,462.79,FTT
1732647600,2024-11-26T19:00:00,2.14,2.199,2.13,2.156,7.394,15.94,FTT
1732651200,2024-11-26T20:00:00,2.156,2.2,2.14,2.2,293.19,644.95,FTT
1732654800,2024-11-26T21:00:00,2.2,2.256,2.207,2.256,7.511,16.95,FTT
1732658400,2024-11-26T22:00:00,2.256,2.257,2.191,2.191,2.525,5.533,FTT
