timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,2.86,2.926,2.86,2.923,705.89,2058.47,FXS
1732514400,2024-11-25T06:00:00,2.923,2.947,2.905,2.905,1167.84,3422.6,FXS
1732518000,2024-11-25T07:00:00,2.905,2.907,2.886,2.886,5.79,16.71,FXS
1732521600,2024-11-25T08:00:00,2.886,2.913,2.886,2.895,188.57,548.1,FXS
1732525200,2024-11-25T09:00:00,2.895,3.046,2.895,3.01,2269.14,6874.15,FXS
1732528800,2024-11-25T10:00:00,3.01,3.057,2.987,3.057,147.79,442.79,FXS
1732532400,2024-11-25T11:00:00,3.057,3.058,3.017,3.017,510.23,1549.43,FXS
1732536000,2024-11-25T12:00:00,3.017,3.017,2.985,2.985,72.69,217.53,FXS
1732539600,2024-11-25T13:00:00,2.985,3.019,2.929,2.946,1770.81,5291.18,FXS
1732543200,2024-11-25T14:00:00,2.946,3.005,2.918,2.926,158.76,466.71,FXS
1732546800,2024-11-25T15:00:00,2.926,3.01,2.855,3.008,773.84,2291.19,FXS
1732550400,2024-11-25T16:00:00,3.008,3.152,3.008,3.024,665.55,2045.71,FXS
1732554000,2024-11-25T17:00:00,3.024,3.026,2.979,3.01,977.19,2937.7,FXS
1732557600,2024-11-25T18:00:00,3.01,3.04,3.01,3.026,253.14,767.08,FXS
1732561200,2024-11-25T19:00:00,3.026,3.1,3.026,3.077,382.8,1179.97,FXS
1732564800,2024-11-25T20:00:00,3.077,3.157,3.077,3.131,1099.98,3455.13,FXS
1732568400,2024-11-25T21:00:00,3.131,3.14,3.055,3.055,1083.23,3324.43,FXS
1732572000,2024-11-25T22:00:00,3.055,3.075,2.981,3.039,411.61,1238.98,FXS
1732575600,2024-11-25T23:00:00,3.039,3.072,3.008,3.008,251.18,768.65,FXS
1732579200,2024-11-26T00:00:00,3.008,3.115,2.991,3.115,1054.2,3224.91,FXS
1732582800,2024-11-26T01:00:00,3.115,3.115,3.063,3.085,1025.48,3164.56,FXS
1732586400,2024-11-26T02:00:00,3.085,3.096,3.078,3.096,646.57,1991.37,FXS
1732590000,2024-11-26T03:00:00,3.096,3.096,3.042,3.062,993.24,3041.25,FXS
1732593600,2024-11-26T04:00:00,3.062,3.062,3.025,3.046,1405.15,4269.77,FXS
1732597200,2024-11-26T05:00:00,3.046,3.046,3.045,3.045,0.0,0.0,FXS
1732600800,2024-11-26T06:00:00,3.045,3.045,3.043,3.043,0.0,0.0,FXS
1732604400,2024-11-26T07:00:00,3.043,3.043,2.937,2.948,405.51,1207.42,FXS
1732608000,2024-11-26T08:00:00,2.948,2.948,2.768,2.892,3561.26,10282.3,FXS
1732611600,2024-11-26T09:00:00,2.892,2.909,2.866,2.867,26.07,74.89,FXS
1732615200,2024-11-26T10:00:00,2.867,2.867,2.814,2.814,236.92,672.62,FXS
1732618800,2024-11-26T11:00:00,2.814,2.814,2.743,2.814,299.67,834.95,FXS
1732622400,2024-11-26T12:00:00,2.814,2.838,2.81,2.812,1154.54,3271.54,FXS
1732626000,2024-11-26T13:00:00,2.812,2.862,2.812,2.841,82.13,234.41,FXS
1732629600,2024-11-26T14:00:00,2.841,2.919,2.832,2.911,257.89,740.44,FXS
1732633200,2024-11-26T15:00:00,2.911,2.911,2.882,2.882,238.1,688.88,FXS
1732636800,2024-11-26T16:00:00,2.882,2.954,2.882,2.954,348.84,1011.48,FXS
1732640400,2024-11-26T17:00:00,2.954,2.981,2.945,2.981,4.197,12.51,FXS
1732644000,2024-11-26T18:00:00,2.981,2.981,2.913,2.913,33.25,96.87,FXS
1732647600,2024-11-26T19:00:00,2.913,3.0,2.913,3.0,405.53,1216.6,FXS
1732651200,2024-11-26T20:00:00,3.0,3.06,3.0,3.047,457.16,1396.06,FXS
1732654800,2024-11-26T21:00:00,3.047,3.048,3.047,3.048,3.02,9.213,FXS
1732658400,2024-11-26T22:00:00,3.048,3.088,3.047,3.088,305.59,943.16,FXS
1732662000,2024-11-26T23:00:00,3.088,3.089,3.072,3.072,501.01,1539.77,FXS
1732665600,2024-11-27T00:00:00,3.072,3.088,3.046,3.088,274.57,846.46,FXS
1732669200,2024-11-27T01:00:00,3.088,3.089,3.014,3.058,1793.97,5487.75,FXS
1732672800,2024-11-27T02:00:00,3.058,3.107,3.058,3.107,761.13,2362.66,FXS
1732676400,2024-11-27T03:00:00,3.107,3.111,3.095,3.095,225.19,698.89,FXS
1732680000,2024-11-27T04:00:00,3.095,3.112,3.095,3.112,24.12,75.03,FXS
1732683600,2024-11-27T05:00:00,3.112,3.118,3.108,3.118,246.4,766.37,FXS
1732687200,2024-11-27T06:00:00,3.118,3.179,3.118,3.152,3832.55,12160.34,FXS
1732690800,2024-11-27T07:00:00,3.152,3.179,3.132,3.179,186.59,588.61,FXS
1732694400,2024-11-27T08:00:00,3.179,3.254,3.179,3.217,479.67,1547.14,FXS
1732698000,2024-11-27T09:00:00,3.217,3.217,3.125,3.125,8436.84,26869.22,FXS
1732701600,2024-11-27T10:00:00,3.125,3.14,3.125,3.14,92.66,290.41,FXS
1732705200,2024-11-27T11:00:00,3.14,3.146,3.138,3.145,125.24,393.65,FXS
1732708800,2024-11-27T12:00:00,3.145,3.145,3.093,3.107,55.18,171.15,FXS
1732712400,2024-11-27T13:00:00,3.107,3.122,3.107,3.12,827.48,2582.68,FXS
1732716000,2024-11-27T14:00:00,3.12,3.159,3.12,3.159,36.13,114.16,FXS
1732719600,2024-11-27T15:00:00,3.159,3.235,3.155,3.233,381.65,1232.52,FXS
1732723200,2024-11-27T16:00:00,3.233,3.233,3.233,3.233,0.0,0.0,FXS
1732726800,2024-11-27T17:00:00,3.233,3.233,3.163,3.196,195.65,622.95,FXS
1732730400,2024-11-27T18:00:00,3.196,3.243,3.196,3.239,5071.11,16437.34,FXS
1732734000,2024-11-27T19:00:00,3.239,3.273,3.226,3.257,290.66,944.54,FXS
1732737600,2024-11-27T20:00:00,3.257,3.279,3.239,3.247,152.88,497.43,FXS
1732741200,2024-11-27T21:00:00,3.247,3.255,3.233,3.233,79.92,258.77,FXS
1732744800,2024-11-27T22:00:00,3.233,3.29,3.233,3.29,31.73,103.78,FXS
1732748400,2024-11-27T23:00:00,3.29,3.29,3.277,3.289,35.21,115.51,FXS
1732752000,2024-11-28T00:00:00,3.289,3.289,3.229,3.229,13.52,43.65,FXS
1732755600,2024-11-28T01:00:00,3.229,3.234,3.226,3.226,50.0,161.3,FXS
1732759200,2024-11-28T02:00:00,3.226,3.231,3.186,3.186,49.87,159.57,FXS
1732762800,2024-11-28T03:00:00,3.186,3.186,3.139,3.153,94.78,298.26,FXS
1732766400,2024-11-28T04:00:00,3.153,3.175,3.147,3.172,86.52,274.55,FXS
1732770000,2024-11-28T05:00:00,3.172,3.172,3.164,3.164,3.14,9.934,FXS
1732773600,2024-11-28T06:00:00,3.164,3.164,3.164,3.164,0.0,0.0,FXS
1732777200,2024-11-28T07:00:00,3.164,3.167,3.126,3.126,44.75,140.54,FXS
1732780800,2024-11-28T08:00:00,3.126,3.134,3.093,3.134,916.62,2856.09,FXS
1732784400,2024-11-28T09:00:00,3.134,3.134,3.123,3.123,9.8,30.6,FXS
1732788000,2024-11-28T10:00:00,3.123,3.135,3.074,3.097,2172.5,6681.21,FXS
1732791600,2024-11-28T11:00:00,3.097,3.111,2.993,3.107,2946.55,9022.28,FXS
1732795200,2024-11-28T12:00:00,3.107,3.107,3.09,3.09,333.46,1031.64,FXS
1732798800,2024-11-28T13:00:00,3.09,3.097,3.081,3.097,715.14,2210.96,FXS
1732802400,2024-11-28T14:00:00,3.097,3.097,3.054,3.06,3739.63,11495.12,FXS
1732806000,2024-11-28T15:00:00,3.06,3.06,3.028,3.032,679.71,2061.35,FXS
1732809600,2024-11-28T16:00:00,3.032,3.061,3.032,3.055,491.08,1502.6,FXS
1732813200,2024-11-28T17:00:00,3.055,3.082,3.055,3.082,31.71,97.73,FXS
1732816800,2024-11-28T18:00:00,3.082,3.107,3.082,3.107,60.29,187.03,FXS
1732820400,2024-11-28T19:00:00,3.107,3.107,3.107,3.107,0.0,0.0,FXS
1732824000,2024-11-28T20:00:00,3.107,3.109,3.103,3.109,98.19,305.29,FXS
1732827600,2024-11-28T21:00:00,3.109,3.109,3.109,3.109,0.0,0.0,FXS
1732831200,2024-11-28T22:00:00,3.109,3.162,3.105,3.15,238.91,753.86,FXS
1732834800,2024-11-28T23:00:00,3.15,3.15,3.15,3.15,0.0,0.0,FXS
1732838400,2024-11-29T00:00:00,3.15,3.15,3.138,3.146,40.13,126.16,FXS
1732842000,2024-11-29T01:00:00,3.146,3.146,3.139,3.139,0.0,0.0,FXS
1732845600,2024-11-29T02:00:00,3.139,3.139,3.131,3.136,24.07,75.41,FXS
1732849200,2024-11-29T03:00:00,3.136,3.136,3.093,3.093,6.658,20.59,FXS
1732852800,2024-11-29T04:00:00,3.093,3.093,3.069,3.069,63.24,194.12,FXS
1732856400,2024-11-29T05:00:00,3.069,3.072,3.066,3.066,57.27,175.88,FXS
1732860000,2024-11-29T06:00:00,3.066,3.068,3.048,3.048,436.97,1337.44,FXS
1732863600,2024-11-29T07:00:00,3.048,3.048,3.02,3.02,69.38,209.52,FXS
1732867200,2024-11-29T08:00:00,3.02,3.037,3.02,3.034,71.71,217.78,FXS
1732870800,2024-11-29T09:00:00,3.034,3.038,3.028,3.038,31.77,96.4,FXS
1732874400,2024-11-29T10:00:00,3.038,3.049,3.035,3.049,67.64,206.21,FXS
1732878000,2024-11-29T11:00:00,3.049,3.049,3.047,3.047,0.0,0.0,FXS
1732881600,2024-11-29T12:00:00,3.047,3.064,3.047,3.049,143.96,440.29,FXS
1732885200,2024-11-29T13:00:00,3.049,3.094,3.049,3.094,17.5,54.15,FXS
1732888800,2024-11-29T14:00:00,3.094,3.094,3.073,3.073,220.76,678.54,FXS
1732892400,2024-11-29T15:00:00,3.073,3.076,3.057,3.057,47.57,146.21,FXS
1732896000,2024-11-29T16:00:00,3.057,3.057,3.047,3.047,15.53,47.31,FXS
1732899600,2024-11-29T17:00:00,3.047,3.053,3.032,3.032,28.06,85.08,FXS
1732903200,2024-11-29T18:00:00,3.032,3.042,3.032,3.042,0.0,0.0,FXS
1732906800,2024-11-29T19:00:00,3.042,3.042,3.019,3.019,58.83,177.6,FXS
1732910400,2024-11-29T20:00:00,3.019,3.045,3.019,3.045,73.6,223.78,FXS
1732914000,2024-11-29T21:00:00,3.045,3.069,3.04,3.069,1368.97,4177.66,FXS
1732917600,2024-11-29T22:00:00,3.069,3.15,3.069,3.103,4673.46,14555.4,FXS
1732921200,2024-11-29T23:00:00,3.103,3.11,3.088,3.096,2737.89,8495.68,FXS
1732924800,2024-11-30T00:00:00,3.096,3.096,3.06,3.06,12.94,39.59,FXS
1732928400,2024-11-30T01:00:00,3.06,3.109,3.047,3.109,308.09,958.94,FXS
1732932000,2024-11-30T02:00:00,3.109,3.109,3.074,3.074,124.66,383.56,FXS
1732935600,2024-11-30T03:00:00,3.074,3.158,3.074,3.158,765.48,2406.01,FXS
1732939200,2024-11-30T04:00:00,3.158,3.16,3.151,3.151,2846.33,8990.8,FXS
1732942800,2024-11-30T05:00:00,3.151,3.196,3.149,3.158,640.8,2036.09,FXS
1732946400,2024-11-30T06:00:00,3.158,3.199,3.158,3.19,118.3,377.93,FXS
1732950000,2024-11-30T07:00:00,3.19,3.212,3.19,3.212,267.69,857.49,FXS
1732953600,2024-11-30T08:00:00,3.212,3.213,3.195,3.195,600.35,1926.7,FXS
1732957200,2024-11-30T09:00:00,3.195,3.199,3.187,3.188,187.5,599.92,FXS
1732960800,2024-11-30T10:00:00,3.188,3.212,3.17,3.17,2688.75,8562.01,FXS
1732964400,2024-11-30T11:00:00,3.17,3.202,3.17,3.188,218.29,697.32,FXS
1732968000,2024-11-30T12:00:00,3.188,3.25,3.188,3.245,518.65,1681.28,FXS
1732971600,2024-11-30T13:00:00,3.245,3.249,3.24,3.249,120.29,390.1,FXS
1732975200,2024-11-30T14:00:00,3.249,3.316,3.241,3.283,1173.63,3855.44,FXS
1732978800,2024-11-30T15:00:00,3.283,3.348,3.283,3.315,1157.11,3858.99,FXS
1732982400,2024-11-30T16:00:00,3.315,3.315,3.252,3.252,50.06,163.66,FXS
1732986000,2024-11-30T17:00:00,3.252,3.27,3.252,3.26,221.6,722.35,FXS
1732989600,2024-11-30T18:00:00,3.26,3.266,3.247,3.247,108.23,353.4,FXS
1732993200,2024-11-30T19:00:00,3.247,3.276,3.246,3.255,508.24,1658.19,FXS
1732996800,2024-11-30T20:00:00,3.255,3.288,3.255,3.288,2.5,8.22,FXS
1733000400,2024-11-30T21:00:00,3.288,3.346,3.286,3.34,2140.09,7067.73,FXS
1733004000,2024-11-30T22:00:00,3.34,3.35,3.316,3.324,892.39,2982.55,FXS
1733007600,2024-11-30T23:00:00,3.324,3.374,3.323,3.348,12.86,43.21,FXS
1733011200,2024-12-01T00:00:00,3.348,3.348,3.318,3.318,248.03,826.54,FXS
1733014800,2024-12-01T01:00:00,3.318,3.421,3.292,3.421,1992.72,6688.94,FXS
1733018400,2024-12-01T02:00:00,3.421,3.421,3.32,3.32,254.77,859.48,FXS
1733022000,2024-12-01T03:00:00,3.32,3.356,3.319,3.356,68.13,228.58,FXS
1733025600,2024-12-01T04:00:00,3.356,3.369,3.356,3.369,3.633,12.24,FXS
1733029200,2024-12-01T05:00:00,3.369,3.369,3.369,3.369,0.0,0.0,FXS
1733032800,2024-12-01T06:00:00,3.369,3.369,3.318,3.354,131.0,439.27,FXS
1733036400,2024-12-01T07:00:00,3.354,3.354,3.345,3.345,65.8,220.26,FXS
1733040000,2024-12-01T08:00:00,3.345,3.409,3.345,3.403,74.43,252.84,FXS
1733043600,2024-12-01T09:00:00,3.403,3.523,3.376,3.437,3221.29,11138.76,FXS
1733047200,2024-12-01T10:00:00,3.437,3.472,3.407,3.424,4174.35,14349.13,FXS
1733050800,2024-12-01T11:00:00,3.424,3.436,3.413,3.43,3334.12,11452.06,FXS
1733054400,2024-12-01T12:00:00,3.43,3.443,3.417,3.441,3643.79,12535.04,FXS
1733058000,2024-12-01T13:00:00,3.441,3.471,3.441,3.464,321.36,1113.83,FXS
1733061600,2024-12-01T14:00:00,3.464,3.502,3.437,3.495,774.56,2683.23,FXS
1733065200,2024-12-01T15:00:00,3.495,3.569,3.494,3.536,388.27,1382.74,FXS
1733068800,2024-12-01T16:00:00,3.536,3.536,3.487,3.487,918.23,3229.51,FXS
1733072400,2024-12-01T17:00:00,3.487,3.586,3.47,3.586,732.14,2613.69,FXS
1733076000,2024-12-01T18:00:00,3.586,3.67,3.586,3.67,745.46,2711.88,FXS
1733079600,2024-12-01T19:00:00,3.67,3.68,3.64,3.64,1563.99,5730.49,FXS
1733083200,2024-12-01T20:00:00,3.64,3.739,3.638,3.726,1558.24,5767.81,FXS
1733086800,2024-12-01T21:00:00,3.726,3.812,3.713,3.812,9042.43,34064.7,FXS
1733090400,2024-12-01T22:00:00,3.812,3.813,3.668,3.733,3413.53,12732.76,FXS
