timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,0.2542,0.2577,0.2538,0.2572,1566805.73,401653.51,GRT
1732514400,2024-11-25T06:00:00,0.2572,0.2583,0.2532,0.2545,1217243.02,311199.55,GRT
1732518000,2024-11-25T07:00:00,0.2545,0.2575,0.2526,0.2556,1780324.56,454233.19,GRT
1732521600,2024-11-25T08:00:00,0.2556,0.2583,0.2539,0.2582,1713240.13,437728.44,GRT
1732525200,2024-11-25T09:00:00,0.2582,0.2674,0.258,0.2643,5123697.8,1354544.72,GRT
1732528800,2024-11-25T10:00:00,0.2643,0.2644,0.26,0.2622,1714107.13,449805.29,GRT
1732532400,2024-11-25T11:00:00,0.2622,0.263,0.2574,0.2592,2314927.86,601978.1,GRT
1732536000,2024-11-25T12:00:00,0.2592,0.2632,0.2584,0.262,1292751.83,337236.09,GRT
1732539600,2024-11-25T13:00:00,0.262,0.263,0.2538,0.2551,2103530.05,541065.5,GRT
1732543200,2024-11-25T14:00:00,0.2551,0.2589,0.2483,0.2483,5153497.62,1301057.85,GRT
1732546800,2024-11-25T15:00:00,0.2483,0.2577,0.2437,0.2556,3987311.26,997256.99,GRT
1732550400,2024-11-25T16:00:00,0.2556,0.257,0.2504,0.2534,3013088.84,766336.63,GRT
1732554000,2024-11-25T17:00:00,0.2534,0.2534,0.245,0.2489,4214694.96,1045137.02,GRT
1732557600,2024-11-25T18:00:00,0.2489,0.2516,0.2471,0.2484,1764837.64,439837.83,GRT
1732561200,2024-11-25T19:00:00,0.2484,0.2526,0.2472,0.25,975081.92,243854.91,GRT
1732564800,2024-11-25T20:00:00,0.25,0.254,0.2488,0.2536,1586107.22,399475.22,GRT
1732568400,2024-11-25T21:00:00,0.2536,0.2538,0.244,0.2462,2217623.36,550734.92,GRT
1732572000,2024-11-25T22:00:00,0.2462,0.2486,0.2396,0.2476,2766006.65,675932.9,GRT
1732575600,2024-11-25T23:00:00,0.2476,0.2488,0.2431,0.2437,1303736.52,320183.55,GRT
1732579200,2024-11-26T00:00:00,0.2437,0.2519,0.2417,0.2479,3536791.51,880559.76,GRT
1732582800,2024-11-26T01:00:00,0.2479,0.2519,0.2474,0.2516,1595796.25,399784.69,GRT
