timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,1.694,1.729,1.691,1.729,19154.22,32694.89,HIGH
1732514400,2024-11-25T06:00:00,1.729,1.729,1.683,1.689,25232.63,42822.83,HIGH
1732518000,2024-11-25T07:00:00,1.689,1.721,1.689,1.71,15789.06,26975.79,HIGH
1732521600,2024-11-25T08:00:00,1.71,1.757,1.708,1.757,19606.96,33990.78,HIGH
1732525200,2024-11-25T09:00:00,1.757,1.778,1.753,1.758,17286.78,30582.35,HIGH
1732528800,2024-11-25T10:00:00,1.758,1.762,1.734,1.758,9904.62,17307.86,HIGH
1732532400,2024-11-25T11:00:00,1.758,1.787,1.74,1.768,28761.71,50643.26,HIGH
1732536000,2024-11-25T12:00:00,1.768,1.782,1.747,1.782,34430.98,60780.56,HIGH
1732539600,2024-11-25T13:00:00,1.782,1.789,1.728,1.74,29239.45,51186.87,HIGH
1732543200,2024-11-25T14:00:00,1.74,1.759,1.672,1.68,19181.46,33215.18,HIGH
1732546800,2024-11-25T15:00:00,1.68,1.723,1.645,1.711,64998.35,109722.57,HIGH
1732550400,2024-11-25T16:00:00,1.711,1.73,1.672,1.703,38041.92,64770.77,HIGH
1732554000,2024-11-25T17:00:00,1.703,1.703,1.655,1.685,23001.43,38382.35,HIGH
1732557600,2024-11-25T18:00:00,1.685,1.697,1.662,1.665,17654.31,29653.21,HIGH
1732561200,2024-11-25T19:00:00,1.665,1.698,1.665,1.687,59754.22,99808.51,HIGH
1732564800,2024-11-25T20:00:00,1.687,1.715,1.682,1.706,14693.51,24976.17,HIGH
1732568400,2024-11-25T21:00:00,1.706,1.712,1.657,1.675,21411.29,36073.48,HIGH
1732572000,2024-11-25T22:00:00,1.675,1.685,1.617,1.676,42081.76,69233.61,HIGH
1732575600,2024-11-25T23:00:00,1.676,1.68,1.653,1.659,8364.36,13968.93,HIGH
1732579200,2024-11-26T00:00:00,1.659,1.692,1.645,1.673,6091.1,10222.6,HIGH
1732582800,2024-11-26T01:00:00,1.673,1.704,1.672,1.703,24234.03,41165.74,HIGH
1732586400,2024-11-26T02:00:00,1.703,1.741,1.699,1.73,9083.85,15632.4,HIGH
1732590000,2024-11-26T03:00:00,1.73,1.73,1.692,1.713,10788.64,18465.43,HIGH
1732593600,2024-11-26T04:00:00,1.713,1.713,1.681,1.695,7302.92,12376.77,HIGH
1732597200,2024-11-26T05:00:00,1.695,1.732,1.695,1.729,6431.47,11038.02,HIGH
1732600800,2024-11-26T06:00:00,1.729,1.732,1.707,1.707,6400.11,11018.31,HIGH
1732604400,2024-11-26T07:00:00,1.707,1.707,1.658,1.677,8347.55,14085.49,HIGH
1732608000,2024-11-26T08:00:00,1.677,1.677,1.609,1.618,19618.12,32093.52,HIGH
1732611600,2024-11-26T09:00:00,1.618,1.648,1.608,1.628,3882.75,6324.95,HIGH
1732615200,2024-11-26T10:00:00,1.628,1.628,1.58,1.582,21759.51,34709.43,HIGH
1732618800,2024-11-26T11:00:00,1.582,1.594,1.529,1.57,26773.66,41582.14,HIGH
1732622400,2024-11-26T12:00:00,1.57,1.585,1.541,1.553,15848.26,24783.83,HIGH
1732626000,2024-11-26T13:00:00,1.553,1.575,1.545,1.562,15112.57,23643.26,HIGH
1732629600,2024-11-26T14:00:00,1.562,1.613,1.544,1.599,14663.81,23240.18,HIGH
1732633200,2024-11-26T15:00:00,1.599,1.604,1.561,1.565,12349.95,19589.18,HIGH
1732636800,2024-11-26T16:00:00,1.565,1.618,1.554,1.599,4809.94,7616.33,HIGH
1732640400,2024-11-26T17:00:00,1.599,1.618,1.598,1.608,14593.11,23479.41,HIGH
1732644000,2024-11-26T18:00:00,1.608,1.612,1.553,1.575,16079.6,25291.61,HIGH
1732647600,2024-11-26T19:00:00,1.575,1.584,1.562,1.584,3813.48,6012.23,HIGH
1732651200,2024-11-26T20:00:00,1.584,1.614,1.576,1.605,30531.59,48450.74,HIGH
1732654800,2024-11-26T21:00:00,1.605,1.609,1.587,1.596,10606.35,16981.96,HIGH
1732658400,2024-11-26T22:00:00,1.596,1.609,1.588,1.599,4968.45,7948.82,HIGH
1732662000,2024-11-26T23:00:00,1.599,1.622,1.595,1.622,7347.22,11840.82,HIGH
1732665600,2024-11-27T00:00:00,1.622,1.64,1.596,1.599,6256.29,10060.71,HIGH
1732669200,2024-11-27T01:00:00,1.599,1.636,1.591,1.636,13702.33,22167.13,HIGH
1732672800,2024-11-27T02:00:00,1.636,1.66,1.613,1.66,5322.51,8701.31,HIGH
1732676400,2024-11-27T03:00:00,1.66,1.664,1.641,1.648,4161.88,6890.89,HIGH
1732680000,2024-11-27T04:00:00,1.648,1.682,1.648,1.658,9070.88,15151.3,HIGH
1732683600,2024-11-27T05:00:00,1.658,1.668,1.636,1.641,13604.3,22430.54,HIGH
1732687200,2024-11-27T06:00:00,1.641,1.665,1.641,1.648,6478.7,10684.09,HIGH
1732690800,2024-11-27T07:00:00,1.648,1.665,1.645,1.66,4777.41,7898.59,HIGH
1732694400,2024-11-27T08:00:00,1.66,1.686,1.655,1.681,3117.13,5219.36,HIGH
1732698000,2024-11-27T09:00:00,1.681,1.681,1.657,1.664,1647.36,2740.44,HIGH
1732701600,2024-11-27T10:00:00,1.664,1.689,1.659,1.671,2564.64,4292.47,HIGH
1732705200,2024-11-27T11:00:00,1.671,1.671,1.658,1.67,10108.59,16813.42,HIGH
1732708800,2024-11-27T12:00:00,1.67,1.67,1.636,1.651,12406.03,20422.01,HIGH
1732712400,2024-11-27T13:00:00,1.651,1.679,1.651,1.679,14209.78,23688.54,HIGH
1732716000,2024-11-27T14:00:00,1.679,1.691,1.661,1.689,10274.31,17228.0,HIGH
1732719600,2024-11-27T15:00:00,1.689,1.718,1.677,1.706,28465.98,48466.87,HIGH
1732723200,2024-11-27T16:00:00,1.706,1.726,1.7,1.709,17299.9,29581.44,HIGH
1732726800,2024-11-27T17:00:00,1.709,1.749,1.693,1.742,27358.12,46876.61,HIGH
1732730400,2024-11-27T18:00:00,1.742,1.771,1.741,1.754,50404.85,88686.0,HIGH
1732734000,2024-11-27T19:00:00,1.754,1.77,1.754,1.766,13132.55,23169.95,HIGH
1732737600,2024-11-27T20:00:00,1.766,1.784,1.75,1.768,51668.46,91444.17,HIGH
1732741200,2024-11-27T21:00:00,1.768,1.776,1.75,1.762,11055.52,19511.08,HIGH
1732744800,2024-11-27T22:00:00,1.762,1.782,1.758,1.778,12287.56,21699.44,HIGH
1732748400,2024-11-27T23:00:00,1.778,1.778,1.754,1.754,2890.14,5100.88,HIGH
1732752000,2024-11-28T00:00:00,1.754,1.754,1.724,1.736,26112.09,45258.38,HIGH
1732755600,2024-11-28T01:00:00,1.736,1.745,1.724,1.745,33888.59,58776.3,HIGH
1732759200,2024-11-28T02:00:00,1.745,1.745,1.704,1.704,4676.66,8032.85,HIGH
1732762800,2024-11-28T03:00:00,1.704,1.706,1.673,1.69,7395.23,12515.19,HIGH
1732766400,2024-11-28T04:00:00,1.69,1.718,1.678,1.718,7885.08,13400.18,HIGH
1732770000,2024-11-28T05:00:00,1.718,1.733,1.711,1.715,4942.49,8508.73,HIGH
1732773600,2024-11-28T06:00:00,1.715,1.719,1.697,1.714,4373.15,7479.94,HIGH
1732777200,2024-11-28T07:00:00,1.714,1.725,1.7,1.7,1982.12,3404.76,HIGH
1732780800,2024-11-28T08:00:00,1.7,1.717,1.688,1.716,1156.72,1969.46,HIGH
1732784400,2024-11-28T09:00:00,1.716,1.716,1.698,1.704,1600.6,2722.08,HIGH
1732788000,2024-11-28T10:00:00,1.704,1.727,1.684,1.708,2752.0,4695.94,HIGH
1732791600,2024-11-28T11:00:00,1.708,1.71,1.688,1.709,3345.08,5674.09,HIGH
1732795200,2024-11-28T12:00:00,1.709,1.709,1.692,1.707,3028.68,5157.63,HIGH
1732798800,2024-11-28T13:00:00,1.707,1.707,1.687,1.706,4113.13,6972.98,HIGH
1732802400,2024-11-28T14:00:00,1.706,1.719,1.689,1.706,8522.68,14532.28,HIGH
1732806000,2024-11-28T15:00:00,1.706,1.711,1.667,1.672,9495.85,16005.92,HIGH
1732809600,2024-11-28T16:00:00,1.672,1.704,1.672,1.695,13155.29,22331.6,HIGH
1732813200,2024-11-28T17:00:00,1.695,1.721,1.695,1.719,6962.79,11950.55,HIGH
1732816800,2024-11-28T18:00:00,1.719,1.748,1.719,1.746,15759.24,27311.76,HIGH
1732820400,2024-11-28T19:00:00,1.746,1.761,1.746,1.75,6882.62,12084.0,HIGH
1732824000,2024-11-28T20:00:00,1.75,1.754,1.719,1.72,2347.22,4057.44,HIGH
1732827600,2024-11-28T21:00:00,1.72,1.742,1.72,1.738,6898.38,11979.14,HIGH
1732831200,2024-11-28T22:00:00,1.738,1.755,1.732,1.749,20018.46,34821.67,HIGH
1732834800,2024-11-28T23:00:00,1.749,1.756,1.739,1.747,7496.65,13094.04,HIGH
1732838400,2024-11-29T00:00:00,1.747,1.747,1.721,1.721,4795.59,8335.73,HIGH
