timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,0.4986,0.5056,0.4986,0.5047,485536.8,245052.46,HOOK
1732514400,2024-11-25T06:00:00,0.5047,0.5047,0.4919,0.493,994624.65,490342.49,HOOK
1732518000,2024-11-25T07:00:00,0.493,0.4989,0.4912,0.4961,848194.43,420785.52,HOOK
1732521600,2024-11-25T08:00:00,0.4961,0.5055,0.4955,0.5054,598670.55,302571.03,HOOK
1732525200,2024-11-25T09:00:00,0.5054,0.5204,0.5054,0.5158,1545428.36,797155.59,HOOK
1732528800,2024-11-25T10:00:00,0.5158,0.5178,0.5055,0.5153,1294276.3,666959.73,HOOK
1732532400,2024-11-25T11:00:00,0.5153,0.5225,0.5083,0.5142,1897569.66,975756.32,HOOK
1732536000,2024-11-25T12:00:00,0.5142,0.5226,0.5105,0.5195,1933745.84,1004617.71,HOOK
1732539600,2024-11-25T13:00:00,0.5195,0.5196,0.506,0.5125,1580207.5,809856.34,HOOK
1732543200,2024-11-25T14:00:00,0.5125,0.5173,0.4966,0.4976,2413123.24,1200770.12,HOOK
1732546800,2024-11-25T15:00:00,0.4976,0.5228,0.491,0.5179,2778152.98,1438805.43,HOOK
1732550400,2024-11-25T16:00:00,0.5179,0.5225,0.507,0.5133,1539223.46,790083.4,HOOK
1732554000,2024-11-25T17:00:00,0.5133,0.5132,0.4948,0.5027,1685816.23,847458.87,HOOK
1732557600,2024-11-25T18:00:00,0.5027,0.5066,0.4982,0.5002,807773.13,404048.12,HOOK
1732561200,2024-11-25T19:00:00,0.5002,0.5062,0.4957,0.5014,530970.91,266228.81,HOOK
1732564800,2024-11-25T20:00:00,0.5014,0.5079,0.4984,0.5066,679902.38,344438.55,HOOK
1732568400,2024-11-25T21:00:00,0.5066,0.5077,0.4916,0.4976,1177288.01,585759.93,HOOK
1732572000,2024-11-25T22:00:00,0.4976,0.5007,0.4801,0.4968,1386636.49,688812.12,HOOK
1732575600,2024-11-25T23:00:00,0.4968,0.4994,0.4913,0.4938,942002.08,465160.63,HOOK
1732579200,2024-11-26T00:00:00,0.4938,0.5084,0.4892,0.5012,1392585.55,698033.33,HOOK
1732582800,2024-11-26T01:00:00,0.5012,0.5084,0.5006,0.5074,754067.93,382614.07,HOOK
1732586400,2024-11-26T02:00:00,0.5074,0.5134,0.5058,0.5111,746969.82,381776.28,HOOK
1732590000,2024-11-26T03:00:00,0.5111,0.5121,0.5017,0.5069,332734.26,168663.0,HOOK
1732593600,2024-11-26T04:00:00,0.5069,0.5101,0.5016,0.5087,649653.92,330478.95,HOOK
1732597200,2024-11-26T05:00:00,0.5087,0.5183,0.5076,0.5172,1007328.78,520990.45,HOOK
1732600800,2024-11-26T06:00:00,0.5172,0.5183,0.5101,0.5112,898178.0,459148.59,HOOK
1732604400,2024-11-26T07:00:00,0.5112,0.5113,0.4953,0.4991,849134.43,423802.99,HOOK
1732608000,2024-11-26T08:00:00,0.4991,0.4997,0.4808,0.4845,1430193.79,692928.89,HOOK
1732611600,2024-11-26T09:00:00,0.4845,0.4929,0.4676,0.4688,3661140.62,1716342.72,HOOK
1732615200,2024-11-26T10:00:00,0.4688,0.4706,0.4583,0.4585,2976436.38,1364720.73,HOOK
1732618800,2024-11-26T11:00:00,0.4585,0.4643,0.4494,0.46,2208546.36,1015931.33,HOOK
1732622400,2024-11-26T12:00:00,0.46,0.4632,0.4534,0.4589,1476217.27,677448.21,HOOK
1732626000,2024-11-26T13:00:00,0.4589,0.4648,0.4545,0.4605,801848.77,369220.74,HOOK
1732629600,2024-11-26T14:00:00,0.4605,0.4701,0.4543,0.4678,816002.29,381725.87,HOOK
1732633200,2024-11-26T15:00:00,0.4678,0.4683,0.4557,0.4559,710864.06,324082.92,HOOK
1732636800,2024-11-26T16:00:00,0.4559,0.4686,0.453,0.4661,1160283.15,540807.98,HOOK
1732640400,2024-11-26T17:00:00,0.4661,0.4696,0.462,0.4685,521014.48,244095.28,HOOK
1732644000,2024-11-26T18:00:00,0.4685,0.4694,0.4504,0.4565,965144.62,440588.52,HOOK
1732647600,2024-11-26T19:00:00,0.4565,0.4662,0.4544,0.4655,1996142.01,929204.11,HOOK
1732651200,2024-11-26T20:00:00,0.4655,0.4765,0.464,0.4739,736645.88,349104.11,HOOK
1732654800,2024-11-26T21:00:00,0.4739,0.4781,0.47,0.4719,447501.08,211157.14,HOOK
1732658400,2024-11-26T22:00:00,0.4719,0.4794,0.4706,0.4749,828597.69,393465.83,HOOK
1732662000,2024-11-26T23:00:00,0.4749,0.4778,0.4734,0.4771,424419.55,202494.42,HOOK
1732665600,2024-11-27T00:00:00,0.4771,0.4787,0.4673,0.4686,889885.39,416964.16,HOOK
1732669200,2024-11-27T01:00:00,0.4686,0.4817,0.4662,0.481,1262549.82,607291.24,HOOK
1732672800,2024-11-27T02:00:00,0.481,0.4922,0.4765,0.4921,1040443.6,511952.71,HOOK
1732676400,2024-11-27T03:00:00,0.4921,0.4966,0.4905,0.4946,1438234.78,711281.3,HOOK
1732680000,2024-11-27T04:00:00,0.4946,0.5012,0.492,0.4956,489708.79,242700.1,HOOK
1732683600,2024-11-27T05:00:00,0.4956,0.498,0.4919,0.4927,533677.47,262943.66,HOOK
1732687200,2024-11-27T06:00:00,0.4927,0.5011,0.4921,0.4942,1057651.39,522639.05,HOOK
1732690800,2024-11-27T07:00:00,0.4942,0.4995,0.4928,0.4972,522093.33,259558.85,HOOK
1732694400,2024-11-27T08:00:00,0.4972,0.5015,0.4968,0.498,663288.77,330317.81,HOOK
1732698000,2024-11-27T09:00:00,0.498,0.4981,0.4876,0.4918,1480409.98,728065.63,HOOK
1732701600,2024-11-27T10:00:00,0.4918,0.501,0.4887,0.4967,475016.96,235940.92,HOOK
1732705200,2024-11-27T11:00:00,0.4967,0.5021,0.4947,0.5017,1090710.08,547209.25,HOOK
1732708800,2024-11-27T12:00:00,0.5017,0.5022,0.4887,0.4945,536070.24,265086.73,HOOK
1732712400,2024-11-27T13:00:00,0.4945,0.5021,0.4935,0.5015,554367.45,278015.28,HOOK
1732716000,2024-11-27T14:00:00,0.5015,0.5048,0.4971,0.5044,806469.18,406783.05,HOOK
