timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,0.4896,0.4969,0.4882,0.4932,2400.0,1181.82,JOE
1732514400,2024-11-25T06:00:00,0.4932,0.4988,0.4924,0.4988,3313.0,1647.42,JOE
1732518000,2024-11-25T07:00:00,0.4988,0.5155,0.497,0.5155,3982.0,1999.1,JOE
1732521600,2024-11-25T08:00:00,0.5155,0.542,0.5147,0.5294,6991.0,3677.94,JOE
1732525200,2024-11-25T09:00:00,0.5294,0.5568,0.5294,0.5426,13263.0,7251.16,JOE
1732528800,2024-11-25T10:00:00,0.5426,0.5426,0.5243,0.5299,3587.0,1906.62,JOE
1732532400,2024-11-25T11:00:00,0.5299,0.5366,0.5221,0.5243,2283.0,1209.31,JOE
1732536000,2024-11-25T12:00:00,0.5243,0.5307,0.5222,0.5307,5896.0,3119.3,JOE
1732539600,2024-11-25T13:00:00,0.5307,0.5307,0.5127,0.5204,19483.0,10115.62,JOE
1732543200,2024-11-25T14:00:00,0.5204,0.5204,0.4995,0.4995,4142.0,2136.73,JOE
1732546800,2024-11-25T15:00:00,0.4995,0.5112,0.4921,0.5111,3078.0,1545.64,JOE
1732550400,2024-11-25T16:00:00,0.5111,0.5138,0.5047,0.5065,2498.0,1271.57,JOE
1732554000,2024-11-25T17:00:00,0.5065,0.5075,0.4908,0.4939,1791.0,893.61,JOE
1732557600,2024-11-25T18:00:00,0.4939,0.5016,0.4859,0.488,1328.0,659.22,JOE
1732561200,2024-11-25T19:00:00,0.4947,0.5006,0.4911,0.5006,8080.87,4045.19,JOE
1732564800,2024-11-25T20:00:00,0.5006,0.5113,0.5019,0.5113,4675.02,2390.51,JOE
1732568400,2024-11-25T21:00:00,0.5099,0.5113,0.4993,0.5062,1753.0,891.36,JOE
1732572000,2024-11-25T22:00:00,0.5062,0.5067,0.494,0.5056,7380.0,3665.31,JOE
1732575600,2024-11-25T23:00:00,0.5056,0.5056,0.4923,0.4936,3457.0,1722.24,JOE
1732579200,2024-11-26T00:00:00,0.4936,0.509,0.4875,0.5051,959.0,486.5,JOE
1732582800,2024-11-26T01:00:00,0.5051,0.5098,0.5025,0.5092,1246.0,630.06,JOE
1732586400,2024-11-26T02:00:00,0.5086,0.5119,0.5072,0.5119,427.63,218.91,JOE
1732590000,2024-11-26T03:00:00,0.5092,0.5092,0.5023,0.5026,784.0,395.4,JOE
1732593600,2024-11-26T04:00:00,0.5026,0.5031,0.4945,0.4991,3632.0,1811.39,JOE
1732597200,2024-11-26T05:00:00,0.4991,0.5067,0.4991,0.5064,598.0,302.26,JOE
1732600800,2024-11-26T06:00:00,0.5064,0.5088,0.5039,0.5069,1940.0,983.34,JOE
1732604400,2024-11-26T07:00:00,0.5069,0.5069,0.4921,0.4921,459.0,227.38,JOE
1732608000,2024-11-26T08:00:00,0.4921,0.4961,0.4818,0.4834,1897.0,918.06,JOE
1732611600,2024-11-26T09:00:00,0.4843,0.4966,0.4863,0.492,2639.47,1298.5,JOE
1732615200,2024-11-26T10:00:00,0.492,0.4851,0.4842,0.4842,11367.04,5504.13,JOE
1732618800,2024-11-26T11:00:00,0.4842,0.4884,0.4755,0.4884,9970.18,4869.69,JOE
1732622400,2024-11-26T12:00:00,0.4875,0.497,0.4835,0.4935,2329.0,1149.14,JOE
1732626000,2024-11-26T13:00:00,0.504,0.5133,0.5031,0.505,4740.23,2393.71,JOE
1732629600,2024-11-26T14:00:00,0.505,0.5224,0.5112,0.5224,2217.62,1158.47,JOE
1732633200,2024-11-26T15:00:00,0.5224,0.5217,0.5078,0.5078,4667.79,2370.33,JOE
1732636800,2024-11-26T16:00:00,0.5078,0.5183,0.5117,0.5117,10324.22,5282.82,JOE
1732640400,2024-11-26T17:00:00,0.5117,0.5118,0.509,0.5118,746.67,382.14,JOE
1732644000,2024-11-26T18:00:00,0.5118,0.5039,0.4984,0.4993,1487.55,742.76,JOE
1732647600,2024-11-26T19:00:00,0.509,0.509,0.5027,0.5027,2202.0,1107.0,JOE
1732651200,2024-11-26T20:00:00,0.5034,0.5113,0.4994,0.5113,3992.13,2041.07,JOE
1732654800,2024-11-26T21:00:00,0.5124,0.5142,0.5075,0.5093,1118.0,571.08,JOE
1732658400,2024-11-26T22:00:00,0.5093,0.5276,0.5093,0.5206,1087.0,565.41,JOE
1732662000,2024-11-26T23:00:00,0.5206,0.5212,0.5165,0.5185,2739.0,1421.04,JOE
1732665600,2024-11-27T00:00:00,0.5185,0.5242,0.511,0.511,509.0,261.84,JOE
1732669200,2024-11-27T01:00:00,0.511,0.5252,0.5095,0.5227,4783.0,2487.06,JOE
1732672800,2024-11-27T02:00:00,0.5227,0.5267,0.5181,0.5243,1744.0,907.79,JOE
1732676400,2024-11-27T03:00:00,0.5243,0.5251,0.5136,0.5146,4613.0,2398.85,JOE
1732680000,2024-11-27T04:00:00,0.5146,0.5175,0.5146,0.5155,465.0,239.85,JOE
1732683600,2024-11-27T05:00:00,0.5155,0.5242,0.5155,0.5218,212.0,109.44,JOE
1732687200,2024-11-27T06:00:00,0.5218,0.524,0.5194,0.5194,580.0,303.17,JOE
1732690800,2024-11-27T07:00:00,0.5194,0.5256,0.5194,0.5249,353.0,184.67,JOE
1732694400,2024-11-27T08:00:00,0.5249,0.5301,0.5234,0.5271,432.0,226.76,JOE
1732698000,2024-11-27T09:00:00,0.5271,0.5283,0.5227,0.5283,1989.0,1040.69,JOE
1732701600,2024-11-27T10:00:00,0.5283,0.5453,0.5283,0.5453,1092.0,595.49,JOE
1732705200,2024-11-27T11:00:00,0.5453,0.547,0.5375,0.5381,3668.0,1992.39,JOE
1732708800,2024-11-27T12:00:00,0.5381,0.5381,0.5209,0.5241,1706.0,891.76,JOE
1732712400,2024-11-27T13:00:00,0.5255,0.5318,0.5271,0.5289,4206.47,2224.98,JOE
1732716000,2024-11-27T14:00:00,0.5289,0.5343,0.5296,0.5296,2424.97,1284.15,JOE
1732719600,2024-11-27T15:00:00,0.5296,0.5366,0.528,0.5366,6895.58,3700.05,JOE
1732723200,2024-11-27T16:00:00,0.5366,0.5373,0.5182,0.5182,4520.13,2342.19,JOE
1732726800,2024-11-27T17:00:00,0.5234,0.5382,0.5195,0.5382,1925.0,1027.68,JOE
1732730400,2024-11-27T18:00:00,0.5382,0.5463,0.5382,0.5461,26946.0,14663.58,JOE
1732734000,2024-11-27T19:00:00,0.5461,0.5565,0.5461,0.5565,802.0,444.49,JOE
1732737600,2024-11-27T20:00:00,0.5565,0.5706,0.5565,0.5701,3279.0,1856.58,JOE
1732741200,2024-11-27T21:00:00,0.5681,0.5794,0.564,0.5794,3748.33,2171.87,JOE
1732744800,2024-11-27T22:00:00,0.5785,0.5878,0.5743,0.5828,1235.0,713.65,JOE
1732748400,2024-11-27T23:00:00,0.5856,0.5844,0.5738,0.5738,7169.26,4113.91,JOE
1732752000,2024-11-28T00:00:00,0.5771,0.5771,0.567,0.5725,3158.0,1794.93,JOE
1732755600,2024-11-28T01:00:00,0.5725,0.5823,0.57,0.5814,515.0,299.42,JOE
1732759200,2024-11-28T02:00:00,0.5754,0.6025,0.5718,0.591,7505.04,4435.48,JOE
1732762800,2024-11-28T03:00:00,0.5925,0.5925,0.574,0.5821,1294.0,747.2,JOE
1732766400,2024-11-28T04:00:00,0.5821,0.5943,0.5821,0.5943,3520.0,2078.46,JOE
1732770000,2024-11-28T05:00:00,0.5943,0.5962,0.5893,0.5893,142.0,84.37,JOE
1732773600,2024-11-28T06:00:00,0.5893,0.5893,0.5808,0.583,2990.0,1743.26,JOE
1732777200,2024-11-28T07:00:00,0.583,0.5831,0.578,0.578,4058.0,2346.13,JOE
1732780800,2024-11-28T08:00:00,0.578,0.5789,0.578,0.5789,5401.0,3122.05,JOE
1732784400,2024-11-28T09:00:00,0.5789,0.5789,0.5673,0.5673,524.0,297.55,JOE
1732788000,2024-11-28T10:00:00,0.5673,0.5683,0.5602,0.5602,4627.0,2613.67,JOE
1732791600,2024-11-28T11:00:00,0.5602,0.5666,0.5573,0.5666,10350.0,5799.6,JOE
1732795200,2024-11-28T12:00:00,0.5666,0.5666,0.5548,0.5576,731.0,407.38,JOE
