timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,3.717,3.809,3.713,3.734,73157.96,274666.08,JTO
1732514400,2024-11-25T06:00:00,3.734,3.808,3.731,3.743,47580.37,179228.12,JTO
1732518000,2024-11-25T07:00:00,3.743,3.793,3.703,3.781,63909.44,239033.44,JTO
1732521600,2024-11-25T08:00:00,3.781,3.885,3.777,3.856,68563.0,264158.31,JTO
1732525200,2024-11-25T09:00:00,3.856,3.952,3.853,3.94,113430.12,442338.98,JTO
1732528800,2024-11-25T10:00:00,3.94,3.952,3.861,3.874,135487.68,530541.69,JTO
1732532400,2024-11-25T11:00:00,3.874,3.889,3.764,3.779,57731.1,219876.47,JTO
1732536000,2024-11-25T12:00:00,3.779,3.78,3.707,3.747,63344.41,237026.75,JTO
1732539600,2024-11-25T13:00:00,3.747,3.747,3.656,3.657,82469.83,304637.24,JTO
1732543200,2024-11-25T14:00:00,3.657,3.686,3.561,3.561,164703.17,597806.96,JTO
1732546800,2024-11-25T15:00:00,3.561,3.648,3.504,3.611,168171.93,601626.13,JTO
1732550400,2024-11-25T16:00:00,3.611,3.633,3.562,3.589,214663.52,772633.44,JTO
1732554000,2024-11-25T17:00:00,3.589,3.589,3.463,3.486,167083.34,586085.15,JTO
1732557600,2024-11-25T18:00:00,3.486,3.52,3.453,3.462,91525.03,319087.95,JTO
1732561200,2024-11-25T19:00:00,3.462,3.516,3.448,3.484,63412.75,220904.57,JTO
1732564800,2024-11-25T20:00:00,3.484,3.529,3.461,3.516,59665.69,209063.97,JTO
1732568400,2024-11-25T21:00:00,3.516,3.527,3.438,3.49,83235.9,288746.67,JTO
1732572000,2024-11-25T22:00:00,3.49,3.491,3.377,3.466,222365.62,764913.64,JTO
1732575600,2024-11-25T23:00:00,3.466,3.55,3.462,3.516,57484.21,201635.56,JTO
1732579200,2024-11-26T00:00:00,3.516,3.56,3.493,3.501,92958.05,328551.07,JTO
1732582800,2024-11-26T01:00:00,3.501,3.565,3.494,3.536,51792.39,183242.86,JTO
1732586400,2024-11-26T02:00:00,3.536,3.548,3.522,3.522,32591.43,115242.93,JTO
1732590000,2024-11-26T03:00:00,3.522,3.53,3.428,3.459,116198.48,402408.57,JTO
1732593600,2024-11-26T04:00:00,3.459,3.473,3.428,3.429,22797.68,78563.94,JTO
