timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,1.508,1.557,1.496,1.529,316930.42,482339.8,LDO
1732514400,2024-11-25T06:00:00,1.529,1.529,1.49,1.495,282539.82,426543.05,LDO
1732518000,2024-11-25T07:00:00,1.495,1.551,1.495,1.52,164725.06,250132.76,LDO
1732521600,2024-11-25T08:00:00,1.52,1.557,1.513,1.557,528277.41,811586.17,LDO
1732525200,2024-11-25T09:00:00,1.557,1.584,1.548,1.569,331101.1,517335.6,LDO
1732528800,2024-11-25T10:00:00,1.569,1.647,1.554,1.589,1044328.88,1666609.85,LDO
1732532400,2024-11-25T11:00:00,1.589,1.605,1.54,1.561,458190.13,721531.33,LDO
1732536000,2024-11-25T12:00:00,1.561,1.645,1.55,1.643,678916.32,1082561.37,LDO
1732539600,2024-11-25T13:00:00,1.643,1.677,1.574,1.619,2041922.74,3312183.58,LDO
1732543200,2024-11-25T14:00:00,1.619,1.664,1.551,1.56,2055353.98,3314813.62,LDO
1732546800,2024-11-25T15:00:00,1.56,1.784,1.545,1.75,1868445.45,3109700.83,LDO
1732550400,2024-11-25T16:00:00,1.75,1.777,1.685,1.704,1144876.08,1983358.53,LDO
1732554000,2024-11-25T17:00:00,1.704,1.704,1.639,1.655,1032405.62,1714891.34,LDO
1732557600,2024-11-25T18:00:00,1.655,1.709,1.641,1.679,500545.42,842055.98,LDO
1732561200,2024-11-25T19:00:00,1.679,1.73,1.654,1.704,409282.7,696557.49,LDO
1732564800,2024-11-25T20:00:00,1.704,1.744,1.687,1.723,589960.05,1013873.73,LDO
1732568400,2024-11-25T21:00:00,1.723,1.73,1.678,1.709,461627.11,784025.84,LDO
1732572000,2024-11-25T22:00:00,1.709,1.73,1.651,1.707,665252.42,1132595.38,LDO
1732575600,2024-11-25T23:00:00,1.707,1.71,1.641,1.65,732460.34,1233894.42,LDO
1732579200,2024-11-26T00:00:00,1.65,1.681,1.618,1.618,607276.04,1004467.38,LDO
1732582800,2024-11-26T01:00:00,1.618,1.674,1.616,1.651,370630.53,612106.2,LDO
1732586400,2024-11-26T02:00:00,1.651,1.665,1.632,1.643,238027.61,392430.58,LDO
1732590000,2024-11-26T03:00:00,1.643,1.643,1.603,1.612,387091.42,626155.08,LDO
1732593600,2024-11-26T04:00:00,1.612,1.63,1.602,1.621,98488.74,158993.99,LDO
1732597200,2024-11-26T05:00:00,1.621,1.643,1.615,1.64,101662.15,166156.32,LDO
1732600800,2024-11-26T06:00:00,1.64,1.649,1.623,1.624,84925.75,139083.55,LDO
1732604400,2024-11-26T07:00:00,1.624,1.637,1.605,1.621,229880.62,372990.91,LDO
1732608000,2024-11-26T08:00:00,1.621,1.621,1.582,1.61,453953.82,724679.79,LDO
1732611600,2024-11-26T09:00:00,1.61,1.644,1.601,1.614,178441.65,289580.54,LDO
1732615200,2024-11-26T10:00:00,1.614,1.615,1.569,1.577,169140.21,267591.01,LDO
1732618800,2024-11-26T11:00:00,1.577,1.603,1.528,1.568,545808.29,848142.91,LDO
1732622400,2024-11-26T12:00:00,1.568,1.604,1.556,1.574,272322.01,431909.23,LDO
1732626000,2024-11-26T13:00:00,1.574,1.625,1.564,1.586,305762.62,487658.31,LDO
1732629600,2024-11-26T14:00:00,1.586,1.609,1.561,1.591,343364.72,543663.91,LDO
1732633200,2024-11-26T15:00:00,1.591,1.591,1.521,1.521,958841.68,1473787.77,LDO
1732636800,2024-11-26T16:00:00,1.521,1.589,1.517,1.584,107328.31,166973.55,LDO
1732640400,2024-11-26T17:00:00,1.584,1.599,1.559,1.59,105011.89,165992.53,LDO
1732644000,2024-11-26T18:00:00,1.59,1.596,1.535,1.562,382157.84,596474.29,LDO
1732647600,2024-11-26T19:00:00,1.562,1.578,1.547,1.573,170592.91,267135.15,LDO
1732651200,2024-11-26T20:00:00,1.573,1.68,1.563,1.664,1013557.31,1652422.86,LDO
1732654800,2024-11-26T21:00:00,1.664,1.665,1.616,1.618,437639.31,717690.92,LDO
1732658400,2024-11-26T22:00:00,1.618,1.629,1.599,1.599,164475.96,265468.23,LDO
1732662000,2024-11-26T23:00:00,1.599,1.619,1.596,1.61,270783.59,434972.36,LDO
1732665600,2024-11-27T00:00:00,1.61,1.644,1.578,1.582,295791.09,474868.42,LDO
1732669200,2024-11-27T01:00:00,1.582,1.687,1.578,1.675,481792.38,789448.01,LDO
1732672800,2024-11-27T02:00:00,1.675,1.675,1.628,1.672,205926.48,339373.03,LDO
1732676400,2024-11-27T03:00:00,1.672,1.71,1.669,1.69,611250.86,1032272.23,LDO
1732680000,2024-11-27T04:00:00,1.69,1.791,1.685,1.735,1241242.99,2177100.12,LDO
1732683600,2024-11-27T05:00:00,1.735,1.759,1.713,1.716,480972.04,833512.14,LDO
1732687200,2024-11-27T06:00:00,1.716,1.794,1.71,1.745,466949.19,818020.35,LDO
1732690800,2024-11-27T07:00:00,1.745,1.753,1.698,1.701,305545.35,526025.56,LDO
1732694400,2024-11-27T08:00:00,1.701,1.709,1.674,1.676,346782.0,586240.11,LDO
1732698000,2024-11-27T09:00:00,1.676,1.678,1.653,1.66,180325.67,300035.0,LDO
1732701600,2024-11-27T10:00:00,1.66,1.749,1.659,1.72,302548.96,514213.73,LDO
1732705200,2024-11-27T11:00:00,1.72,1.722,1.661,1.679,181271.91,306839.74,LDO
1732708800,2024-11-27T12:00:00,1.679,1.737,1.678,1.723,451012.74,768597.79,LDO
1732712400,2024-11-27T13:00:00,1.723,1.734,1.706,1.734,573742.59,988667.26,LDO
1732716000,2024-11-27T14:00:00,1.734,1.753,1.709,1.725,255402.31,442227.6,LDO
1732719600,2024-11-27T15:00:00,1.725,1.793,1.718,1.75,811394.86,1432450.82,LDO
1732723200,2024-11-27T16:00:00,1.75,1.766,1.701,1.711,322885.71,559361.69,LDO
1732726800,2024-11-27T17:00:00,1.711,1.719,1.691,1.708,705478.56,1202868.11,LDO
1732730400,2024-11-27T18:00:00,1.708,1.717,1.698,1.711,470738.13,804492.13,LDO
1732734000,2024-11-27T19:00:00,1.711,1.736,1.702,1.714,252187.22,432340.35,LDO
1732737600,2024-11-27T20:00:00,1.714,1.748,1.713,1.744,222241.6,386232.05,LDO
1732741200,2024-11-27T21:00:00,1.744,1.787,1.739,1.786,772863.26,1364489.22,LDO
1732744800,2024-11-27T22:00:00,1.786,1.828,1.774,1.811,662103.4,1193343.58,LDO
1732748400,2024-11-27T23:00:00,1.811,1.818,1.77,1.795,539232.98,967702.34,LDO
1732752000,2024-11-28T00:00:00,1.795,1.853,1.772,1.784,762765.94,1377508.83,LDO
1732755600,2024-11-28T01:00:00,1.784,1.816,1.762,1.78,583631.69,1046144.69,LDO
1732759200,2024-11-28T02:00:00,1.78,1.783,1.733,1.739,734679.69,1285374.28,LDO
1732762800,2024-11-28T03:00:00,1.739,1.744,1.706,1.708,509388.83,876294.82,LDO
1732766400,2024-11-28T04:00:00,1.708,1.739,1.702,1.729,126439.12,217484.48,LDO
1732770000,2024-11-28T05:00:00,1.729,1.756,1.717,1.719,514340.15,893000.54,LDO
1732773600,2024-11-28T06:00:00,1.719,1.719,1.683,1.715,477566.2,811227.81,LDO
1732777200,2024-11-28T07:00:00,1.715,1.737,1.707,1.718,197653.18,341082.0,LDO
1732780800,2024-11-28T08:00:00,1.718,1.77,1.7,1.767,147080.35,256349.01,LDO
1732784400,2024-11-28T09:00:00,1.767,1.772,1.714,1.716,494686.04,853987.43,LDO
1732788000,2024-11-28T10:00:00,1.716,1.72,1.682,1.687,184562.52,314347.91,LDO
1732791600,2024-11-28T11:00:00,1.687,1.699,1.671,1.693,270364.27,456223.37,LDO
1732795200,2024-11-28T12:00:00,1.693,1.711,1.662,1.668,191266.87,322229.23,LDO
1732798800,2024-11-28T13:00:00,1.668,1.676,1.659,1.669,183621.46,305999.98,LDO
1732802400,2024-11-28T14:00:00,1.669,1.676,1.642,1.659,191487.16,317174.54,LDO
1732806000,2024-11-28T15:00:00,1.659,1.664,1.638,1.642,151656.4,250162.09,LDO
1732809600,2024-11-28T16:00:00,1.642,1.661,1.642,1.661,122193.47,202126.31,LDO
1732813200,2024-11-28T17:00:00,1.661,1.684,1.661,1.663,319465.41,535421.1,LDO
1732816800,2024-11-28T18:00:00,1.663,1.684,1.663,1.682,61843.0,103726.82,LDO
1732820400,2024-11-28T19:00:00,1.682,1.685,1.674,1.678,98657.41,165475.1,LDO
1732824000,2024-11-28T20:00:00,1.678,1.685,1.672,1.68,97868.79,164404.38,LDO
1732827600,2024-11-28T21:00:00,1.68,1.699,1.68,1.699,83219.11,141102.52,LDO
1732831200,2024-11-28T22:00:00,1.699,1.734,1.697,1.707,68816.26,118133.26,LDO
1732834800,2024-11-28T23:00:00,1.707,1.715,1.698,1.711,78897.15,134870.63,LDO
1732838400,2024-11-29T00:00:00,1.711,1.72,1.693,1.697,211058.05,359431.4,LDO
1732842000,2024-11-29T01:00:00,1.697,1.713,1.697,1.713,46130.82,78630.11,LDO
1732845600,2024-11-29T02:00:00,1.713,1.731,1.706,1.731,67484.2,116273.58,LDO
1732849200,2024-11-29T03:00:00,1.731,1.734,1.711,1.726,86178.91,148749.65,LDO
1732852800,2024-11-29T04:00:00,1.726,1.727,1.697,1.715,88287.76,151047.77,LDO
1732856400,2024-11-29T05:00:00,1.715,1.738,1.715,1.728,226881.54,392768.59,LDO
