timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,17.99,18.27,17.98,18.16,147617.35,2671551.69,LINK
1732514400,2024-11-25T06:00:00,18.16,18.28,17.95,18.0,155795.81,2820758.69,LINK
1732518000,2024-11-25T07:00:00,18.0,18.42,17.91,18.32,149499.72,2716664.75,LINK
1732521600,2024-11-25T08:00:00,18.32,18.64,18.23,18.47,340321.42,6272005.93,LINK
1732525200,2024-11-25T09:00:00,18.47,18.72,18.44,18.63,273003.29,5078484.94,LINK
1732528800,2024-11-25T10:00:00,18.63,19.01,18.51,18.77,505634.39,9531860.64,LINK
1732532400,2024-11-25T11:00:00,18.77,19.06,18.55,18.66,188901.93,3552220.73,LINK
1732536000,2024-11-25T12:00:00,18.66,18.85,18.57,18.72,217606.05,4073503.3,LINK
1732539600,2024-11-25T13:00:00,18.72,18.82,18.3,18.4,250489.33,4632521.87,LINK
1732543200,2024-11-25T14:00:00,18.4,18.75,17.82,17.84,355434.49,6495653.71,LINK
1732546800,2024-11-25T15:00:00,17.84,18.73,17.53,18.51,574223.26,10393141.24,LINK
1732550400,2024-11-25T16:00:00,18.51,18.78,18.23,18.37,357090.56,6615436.89,LINK
1732554000,2024-11-25T17:00:00,18.37,18.38,17.81,17.98,352572.92,6353568.85,LINK
1732557600,2024-11-25T18:00:00,17.98,18.07,17.62,17.73,315282.49,5646892.47,LINK
1732561200,2024-11-25T19:00:00,17.73,18.08,17.64,17.87,120608.07,2153222.48,LINK
1732564800,2024-11-25T20:00:00,17.87,18.19,17.78,18.0,136449.02,2457474.08,LINK
1732568400,2024-11-25T21:00:00,18.0,18.05,17.45,17.6,187520.58,3316704.71,LINK
1732572000,2024-11-25T22:00:00,17.6,17.71,17.15,17.65,248249.49,4328193.88,LINK
1732575600,2024-11-25T23:00:00,17.65,17.76,17.33,17.34,162484.83,2853600.77,LINK
1732579200,2024-11-26T00:00:00,17.34,17.68,17.26,17.38,167146.37,2919513.69,LINK
1732582800,2024-11-26T01:00:00,17.38,17.82,17.37,17.77,140503.95,2480760.56,LINK
1732586400,2024-11-26T02:00:00,17.77,17.84,17.67,17.76,107192.99,1903129.19,LINK
1732590000,2024-11-26T03:00:00,17.76,17.76,17.49,17.57,92065.87,1618259.91,LINK
1732593600,2024-11-26T04:00:00,17.57,17.61,17.39,17.46,109048.77,1908467.47,LINK
1732597200,2024-11-26T05:00:00,17.46,17.65,17.44,17.64,92509.64,1623330.7,LINK
1732600800,2024-11-26T06:00:00,17.64,17.67,17.46,17.48,53117.26,933273.59,LINK
1732604400,2024-11-26T07:00:00,17.48,17.49,17.13,17.23,193172.3,3341425.45,LINK
1732608000,2024-11-26T08:00:00,17.23,17.23,16.77,16.88,336458.99,5711310.77,LINK
1732611600,2024-11-26T09:00:00,16.88,17.07,16.76,16.93,120754.39,2045036.38,LINK
1732615200,2024-11-26T10:00:00,16.93,16.98,16.5,16.51,242367.06,4036731.05,LINK
1732618800,2024-11-26T11:00:00,16.51,16.65,16.19,16.55,390522.12,6405838.21,LINK
1732622400,2024-11-26T12:00:00,16.55,16.8,16.49,16.61,507599.13,8433436.51,LINK
1732626000,2024-11-26T13:00:00,16.61,16.93,16.51,16.79,291106.71,4890716.48,LINK
1732629600,2024-11-26T14:00:00,16.79,17.49,16.6,17.38,355934.05,6095661.59,LINK
1732633200,2024-11-26T15:00:00,17.38,17.39,16.92,16.93,215933.46,3705693.61,LINK
1732636800,2024-11-26T16:00:00,16.93,17.42,16.89,17.3,118534.75,2040445.71,LINK
1732640400,2024-11-26T17:00:00,17.3,17.3,17.09,17.18,75726.2,1301450.26,LINK
1732644000,2024-11-26T18:00:00,17.18,17.26,16.7,16.91,176425.04,2989248.01,LINK
1732647600,2024-11-26T19:00:00,16.91,17.07,16.82,17.07,116956.23,1980889.24,LINK
