timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,96.37,97.18,96.25,96.79,14098.05,1364371.7,LTC
1732514400,2024-11-25T06:00:00,96.79,97.33,96.32,96.61,10986.43,1062861.1,LTC
1732518000,2024-11-25T07:00:00,96.61,97.72,96.29,97.32,14470.19,1405266.88,LTC
1732521600,2024-11-25T08:00:00,97.32,98.33,97.08,98.08,14283.12,1397474.85,LTC
1732525200,2024-11-25T09:00:00,98.08,99.05,97.91,98.22,22232.12,2190142.53,LTC
1732528800,2024-11-25T10:00:00,98.22,98.54,97.38,98.48,30772.63,3023099.49,LTC
1732532400,2024-11-25T11:00:00,98.48,99.25,97.11,97.79,25956.33,2553246.84,LTC
1732536000,2024-11-25T12:00:00,97.79,97.98,97.05,97.62,10499.33,1024089.64,LTC
1732539600,2024-11-25T13:00:00,97.62,97.9,95.33,96.23,44974.49,4341819.2,LTC
1732543200,2024-11-25T14:00:00,96.23,97.28,93.93,93.93,32176.68,3073008.59,LTC
1732546800,2024-11-25T15:00:00,93.93,96.62,92.56,95.92,53697.68,5077694.46,LTC
1732550400,2024-11-25T16:00:00,95.92,96.78,94.85,95.58,39918.44,3832757.56,LTC
1732554000,2024-11-25T17:00:00,95.58,95.61,93.49,94.67,26035.87,2454417.15,LTC
1732557600,2024-11-25T18:00:00,94.67,95.56,94.22,94.72,13492.04,1280398.23,LTC
1732561200,2024-11-25T19:00:00,94.72,95.55,93.99,95.2,17408.89,1650894.6,LTC
1732564800,2024-11-25T20:00:00,95.2,96.0,94.45,95.38,19819.4,1890499.52,LTC
1732568400,2024-11-25T21:00:00,95.38,95.66,92.29,93.21,32478.46,3038138.92,LTC
1732572000,2024-11-25T22:00:00,93.21,93.75,90.93,93.22,30312.74,2799529.0,LTC
1732575600,2024-11-25T23:00:00,93.22,93.38,92.03,92.3,13678.4,1268155.89,LTC
1732579200,2024-11-26T00:00:00,92.3,94.35,91.69,93.26,27687.47,2584997.76,LTC
1732582800,2024-11-26T01:00:00,93.26,94.78,93.25,94.6,14617.24,1376375.72,LTC
1732586400,2024-11-26T02:00:00,94.6,95.34,94.18,94.87,35174.01,3335124.16,LTC
1732590000,2024-11-26T03:00:00,94.87,94.92,93.65,94.11,11857.35,1116860.04,LTC
1732593600,2024-11-26T04:00:00,94.11,94.34,93.29,93.75,10851.13,1017929.1,LTC
1732597200,2024-11-26T05:00:00,93.75,94.7,93.7,94.66,10434.19,983617.06,LTC
1732600800,2024-11-26T06:00:00,94.66,94.83,93.87,94.04,10263.25,970213.52,LTC
1732604400,2024-11-26T07:00:00,94.04,94.04,92.62,93.09,22635.57,2112319.03,LTC
1732608000,2024-11-26T08:00:00,93.09,93.13,90.66,91.61,41680.35,3817160.21,LTC
1732611600,2024-11-26T09:00:00,91.61,92.53,90.9,91.94,19531.45,1793608.71,LTC
1732615200,2024-11-26T10:00:00,91.94,92.17,89.37,89.39,43967.5,3978700.08,LTC
1732618800,2024-11-26T11:00:00,89.39,90.47,87.99,90.37,97069.02,8668817.05,LTC
1732622400,2024-11-26T12:00:00,90.37,91.01,89.35,90.1,24180.86,2179907.22,LTC
1732626000,2024-11-26T13:00:00,90.1,91.17,89.61,90.28,37092.0,3359608.41,LTC
1732629600,2024-11-26T14:00:00,90.28,91.82,89.38,91.32,39671.71,3600255.7,LTC
1732633200,2024-11-26T15:00:00,91.32,91.56,90.13,90.54,22457.56,2043116.65,LTC
1732636800,2024-11-26T16:00:00,90.54,92.21,90.12,91.79,13526.39,1236917.94,LTC
1732640400,2024-11-26T17:00:00,91.79,91.82,90.89,91.43,10389.29,949375.99,LTC
1732644000,2024-11-26T18:00:00,91.43,91.53,88.96,89.96,23004.3,2072783.9,LTC
1732647600,2024-11-26T19:00:00,89.96,90.31,89.27,90.2,19074.37,1715903.85,LTC
1732651200,2024-11-26T20:00:00,90.2,91.55,90.02,91.09,13517.2,1226162.14,LTC
1732654800,2024-11-26T21:00:00,91.09,91.79,90.55,91.37,11607.13,1058813.34,LTC
1732658400,2024-11-26T22:00:00,91.37,92.38,91.22,91.71,22397.19,2059215.98,LTC
