timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,0.7132,0.7189,0.6931,0.7096,1710295.77,1202877.59,MANA
1732514400,2024-11-25T06:00:00,0.7096,0.7131,0.6734,0.6799,1366524.71,942217.26,MANA
1732518000,2024-11-25T07:00:00,0.6799,0.6959,0.6794,0.6843,1395954.35,962237.75,MANA
1732521600,2024-11-25T08:00:00,0.6843,0.6854,0.6723,0.6802,704647.49,477913.77,MANA
1732525200,2024-11-25T09:00:00,0.6802,0.7061,0.6801,0.6935,745898.95,517198.93,MANA
1732528800,2024-11-25T10:00:00,0.6935,0.6975,0.6749,0.6814,497073.56,339225.6,MANA
1732532400,2024-11-25T11:00:00,0.6814,0.6857,0.6682,0.6719,608873.54,412127.75,MANA
1732536000,2024-11-25T12:00:00,0.6719,0.6973,0.668,0.6819,761091.32,521587.13,MANA
1732539600,2024-11-25T13:00:00,0.6819,0.6825,0.6592,0.6596,893955.89,599183.83,MANA
1732543200,2024-11-25T14:00:00,0.6596,0.6715,0.6506,0.6518,1290914.49,852381.98,MANA
1732546800,2024-11-25T15:00:00,0.6518,0.6774,0.6399,0.6632,2244677.76,1478588.19,MANA
1732550400,2024-11-25T16:00:00,0.6632,0.669,0.6472,0.6542,896794.8,588873.52,MANA
1732554000,2024-11-25T17:00:00,0.6542,0.6771,0.6258,0.6443,2392752.48,1554193.18,MANA
1732557600,2024-11-25T18:00:00,0.6443,0.6648,0.6422,0.6461,1038003.91,673949.42,MANA
1732561200,2024-11-25T19:00:00,0.6461,0.653,0.6436,0.6511,452967.02,293911.12,MANA
1732564800,2024-11-25T20:00:00,0.6511,0.6572,0.647,0.6548,675762.4,441703.61,MANA
1732568400,2024-11-25T21:00:00,0.6548,0.6564,0.631,0.6395,1739999.28,1111259.84,MANA
1732572000,2024-11-25T22:00:00,0.6395,0.6433,0.6155,0.6381,1311179.6,824785.07,MANA
1732575600,2024-11-25T23:00:00,0.6381,0.6385,0.6265,0.6287,699044.43,441799.14,MANA
1732579200,2024-11-26T00:00:00,0.6287,0.6393,0.6166,0.6174,760367.23,476885.8,MANA
1732582800,2024-11-26T01:00:00,0.6174,0.6315,0.6157,0.6309,661006.77,412247.25,MANA
1732586400,2024-11-26T02:00:00,0.6309,0.6351,0.6228,0.6239,405009.29,254664.6,MANA
1732590000,2024-11-26T03:00:00,0.6239,0.6256,0.6146,0.6252,984092.5,609155.41,MANA
1732593600,2024-11-26T04:00:00,0.6252,0.6252,0.6119,0.6164,575958.63,354899.31,MANA
1732597200,2024-11-26T05:00:00,0.6164,0.6296,0.6159,0.6246,664961.9,412038.03,MANA
1732600800,2024-11-26T06:00:00,0.6246,0.6297,0.6201,0.6215,475816.82,298208.15,MANA
1732604400,2024-11-26T07:00:00,0.6215,0.6216,0.6045,0.6075,567198.28,347701.95,MANA
1732608000,2024-11-26T08:00:00,0.6075,0.6098,0.5914,0.5951,1279018.65,769493.68,MANA
1732611600,2024-11-26T09:00:00,0.5951,0.6049,0.5866,0.5985,526199.12,314042.85,MANA
1732615200,2024-11-26T10:00:00,0.5985,0.6015,0.5779,0.5779,715016.16,419373.15,MANA
1732618800,2024-11-26T11:00:00,0.5779,0.5846,0.5639,0.5762,1327770.61,761256.71,MANA
1732622400,2024-11-26T12:00:00,0.5762,0.5826,0.5625,0.5696,830465.58,475728.87,MANA
1732626000,2024-11-26T13:00:00,0.5696,0.5827,0.5658,0.5747,542615.84,312954.62,MANA
1732629600,2024-11-26T14:00:00,0.5747,0.5918,0.5678,0.5886,588150.25,342247.43,MANA
1732633200,2024-11-26T15:00:00,0.5886,0.5897,0.5746,0.5782,480518.76,279649.94,MANA
1732636800,2024-11-26T16:00:00,0.5782,0.6031,0.5743,0.5885,562893.45,331264.54,MANA
1732640400,2024-11-26T17:00:00,0.5885,0.5914,0.582,0.5889,454459.9,266801.92,MANA
1732644000,2024-11-26T18:00:00,0.5889,0.5896,0.5662,0.5782,770201.38,446342.75,MANA
1732647600,2024-11-26T19:00:00,0.5782,0.5821,0.5721,0.5816,273281.78,157687.21,MANA
1732651200,2024-11-26T20:00:00,0.5816,0.5946,0.577,0.5888,347131.03,203906.33,MANA
1732654800,2024-11-26T21:00:00,0.5888,0.5888,0.579,0.5797,265700.21,155038.69,MANA
1732658400,2024-11-26T22:00:00,0.5797,0.5859,0.578,0.5787,262094.13,152497.83,MANA
1732662000,2024-11-26T23:00:00,0.5787,0.5849,0.5756,0.5838,352875.66,205308.21,MANA
1732665600,2024-11-27T00:00:00,0.5838,0.5871,0.564,0.5651,468889.57,270720.23,MANA
1732669200,2024-11-27T01:00:00,0.5651,0.5807,0.5631,0.5761,225616.87,129327.82,MANA
1732672800,2024-11-27T02:00:00,0.5761,0.5785,0.5686,0.5763,128021.22,73626.58,MANA
1732676400,2024-11-27T03:00:00,0.5763,0.5777,0.5687,0.569,142880.06,81816.68,MANA
1732680000,2024-11-27T04:00:00,0.569,0.5821,0.5678,0.5726,200502.21,115576.84,MANA
1732683600,2024-11-27T05:00:00,0.5726,0.5787,0.569,0.5743,103416.77,59382.13,MANA
1732687200,2024-11-27T06:00:00,0.5743,0.5844,0.5739,0.5811,188397.69,109643.55,MANA
1732690800,2024-11-27T07:00:00,0.5811,0.5984,0.58,0.5977,614679.49,361400.43,MANA
1732694400,2024-11-27T08:00:00,0.5977,0.6022,0.5887,0.5922,785003.06,466309.71,MANA
1732698000,2024-11-27T09:00:00,0.5922,0.5982,0.5828,0.5972,467667.26,274953.85,MANA
1732701600,2024-11-27T10:00:00,0.5972,0.6035,0.5907,0.5958,432083.58,258612.28,MANA
1732705200,2024-11-27T11:00:00,0.5958,0.5965,0.5893,0.5903,377093.05,223361.13,MANA
1732708800,2024-11-27T12:00:00,0.5903,0.5904,0.5748,0.5802,445265.66,258969.1,MANA
1732712400,2024-11-27T13:00:00,0.5802,0.5967,0.5791,0.5965,282872.29,166567.48,MANA
1732716000,2024-11-27T14:00:00,0.5965,0.6109,0.5945,0.6009,632103.79,380437.31,MANA
1732719600,2024-11-27T15:00:00,0.6009,0.6128,0.5951,0.6116,729068.05,441069.16,MANA
1732723200,2024-11-27T16:00:00,0.6116,0.6185,0.6038,0.6074,839124.13,510992.37,MANA
1732726800,2024-11-27T17:00:00,0.6074,0.6196,0.6037,0.616,478315.27,292356.63,MANA
1732730400,2024-11-27T18:00:00,0.616,0.6183,0.6102,0.613,259966.99,159822.26,MANA
1732734000,2024-11-27T19:00:00,0.613,0.6193,0.6095,0.6097,340754.18,208749.11,MANA
1732737600,2024-11-27T20:00:00,0.6097,0.6257,0.6096,0.6174,722075.8,443272.54,MANA
1732741200,2024-11-27T21:00:00,0.6174,0.6174,0.6063,0.6111,468780.0,286474.89,MANA
1732744800,2024-11-27T22:00:00,0.6111,0.6169,0.6007,0.6107,739841.11,451489.2,MANA
1732748400,2024-11-27T23:00:00,0.6107,0.6117,0.6042,0.609,337819.48,205679.25,MANA
1732752000,2024-11-28T00:00:00,0.609,0.609,0.5984,0.602,322755.55,194414.56,MANA
1732755600,2024-11-28T01:00:00,0.602,0.6064,0.5988,0.6052,320211.04,192879.24,MANA
1732759200,2024-11-28T02:00:00,0.6052,0.6052,0.5878,0.5897,626136.8,373657.46,MANA
1732762800,2024-11-28T03:00:00,0.5897,0.5918,0.5818,0.5873,314926.1,184719.48,MANA
1732766400,2024-11-28T04:00:00,0.5873,0.5948,0.5869,0.5948,167516.39,99006.75,MANA
1732770000,2024-11-28T05:00:00,0.5948,0.5969,0.5906,0.5939,82142.48,48717.13,MANA
1732773600,2024-11-28T06:00:00,0.5939,0.597,0.5886,0.5955,83200.04,49400.74,MANA
1732777200,2024-11-28T07:00:00,0.5955,0.5974,0.5896,0.5911,306334.89,182093.67,MANA
1732780800,2024-11-28T08:00:00,0.5911,0.5968,0.5875,0.5946,81159.33,48148.52,MANA
1732784400,2024-11-28T09:00:00,0.5946,0.5947,0.5884,0.5884,53596.33,31715.68,MANA
1732788000,2024-11-28T10:00:00,0.5884,0.5925,0.5861,0.5882,126597.88,74607.82,MANA
1732791600,2024-11-28T11:00:00,0.5882,0.593,0.5852,0.5908,134142.32,78889.34,MANA
1732795200,2024-11-28T12:00:00,0.5908,0.5924,0.5846,0.5891,409313.18,240618.44,MANA
1732798800,2024-11-28T13:00:00,0.5891,0.5901,0.5838,0.589,180441.58,106002.58,MANA
1732802400,2024-11-28T14:00:00,0.589,0.595,0.5868,0.5924,154582.72,91318.97,MANA
1732806000,2024-11-28T15:00:00,0.5924,0.5934,0.5788,0.5798,326499.56,190537.06,MANA
1732809600,2024-11-28T16:00:00,0.5798,0.5882,0.5798,0.5846,142837.18,83563.38,MANA
1732813200,2024-11-28T17:00:00,0.5846,0.5927,0.5842,0.5891,107289.72,63346.21,MANA
1732816800,2024-11-28T18:00:00,0.5891,0.6002,0.5886,0.6001,259555.13,154432.32,MANA
1732820400,2024-11-28T19:00:00,0.6001,0.6091,0.5997,0.6078,345320.28,209003.98,MANA
1732824000,2024-11-28T20:00:00,0.6078,0.6078,0.6006,0.602,172765.74,104499.95,MANA
1732827600,2024-11-28T21:00:00,0.602,0.6113,0.6019,0.6098,261666.32,159252.53,MANA
1732831200,2024-11-28T22:00:00,0.6098,0.6192,0.6097,0.6185,410799.36,252049.08,MANA
1732834800,2024-11-28T23:00:00,0.6185,0.6239,0.6151,0.6201,436446.69,270813.48,MANA
1732838400,2024-11-29T00:00:00,0.6201,0.6496,0.6137,0.632,1846482.87,1179007.4,MANA
1732842000,2024-11-29T01:00:00,0.632,0.6513,0.6269,0.6489,892560.15,572883.56,MANA
1732845600,2024-11-29T02:00:00,0.6489,0.6522,0.6354,0.6368,599884.32,384655.74,MANA
1732849200,2024-11-29T03:00:00,0.6368,0.6385,0.6294,0.6294,653167.36,414827.79,MANA
1732852800,2024-11-29T04:00:00,0.6294,0.6339,0.6203,0.6211,340166.7,213001.83,MANA
1732856400,2024-11-29T05:00:00,0.6211,0.6242,0.6179,0.6206,193478.45,119899.58,MANA
1732860000,2024-11-29T06:00:00,0.6206,0.6266,0.6167,0.6188,207762.4,129119.45,MANA
1732863600,2024-11-29T07:00:00,0.6188,0.6232,0.6082,0.6082,202098.12,124546.01,MANA
1732867200,2024-11-29T08:00:00,0.6082,0.618,0.6082,0.6162,101514.42,62481.74,MANA
1732870800,2024-11-29T09:00:00,0.6162,0.6233,0.6162,0.6219,123600.87,76614.16,MANA
