timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,1.44,1.455,1.444,1.445,661.8,956.49,MTL
1732514400,2024-11-25T06:00:00,1.445,1.452,1.412,1.412,8399.43,11860.53,MTL
1732518000,2024-11-25T07:00:00,1.412,1.431,1.406,1.406,11456.1,16112.9,MTL
1732521600,2024-11-25T08:00:00,1.406,1.421,1.406,1.418,13245.8,18779.13,MTL
1732525200,2024-11-25T09:00:00,1.418,1.44,1.422,1.436,7794.89,11196.91,MTL
1732528800,2024-11-25T10:00:00,1.436,1.435,1.413,1.433,9562.14,13699.37,MTL
1732532400,2024-11-25T11:00:00,1.433,1.443,1.423,1.428,6398.72,9137.33,MTL
1732536000,2024-11-25T12:00:00,1.428,1.447,1.424,1.447,6358.71,9202.09,MTL
1732539600,2024-11-25T13:00:00,1.447,1.441,1.397,1.405,10343.68,14538.01,MTL
1732543200,2024-11-25T14:00:00,1.405,1.389,1.361,1.361,4802.5,6534.53,MTL
1732546800,2024-11-25T15:00:00,1.361,1.401,1.366,1.401,9967.47,13964.44,MTL
1732550400,2024-11-25T16:00:00,1.401,1.409,1.38,1.382,3732.41,5159.45,MTL
1732554000,2024-11-25T17:00:00,1.382,1.38,1.365,1.372,1826.42,2506.01,MTL
1732557600,2024-11-25T18:00:00,1.372,1.371,1.367,1.368,230.34,315.09,MTL
1732561200,2024-11-25T19:00:00,1.368,1.379,1.361,1.371,24.2,33.18,MTL
1732564800,2024-11-25T20:00:00,1.371,1.39,1.374,1.385,3960.31,5485.31,MTL
1732568400,2024-11-25T21:00:00,1.385,1.368,1.345,1.355,3110.37,4215.19,MTL
1732572000,2024-11-25T22:00:00,1.355,1.368,1.337,1.361,4248.49,5782.6,MTL
1732575600,2024-11-25T23:00:00,1.361,1.354,1.333,1.354,13604.18,18424.99,MTL
1732579200,2024-11-26T00:00:00,1.354,1.442,1.347,1.442,43416.06,62614.93,MTL
1732582800,2024-11-26T01:00:00,1.442,1.459,1.422,1.429,44408.8,63461.53,MTL
1732586400,2024-11-26T02:00:00,1.429,1.437,1.423,1.437,12372.93,17784.07,MTL
1732590000,2024-11-26T03:00:00,1.437,1.447,1.425,1.436,10334.62,14835.43,MTL
1732593600,2024-11-26T04:00:00,1.436,1.467,1.433,1.465,11190.81,16393.49,MTL
1732597200,2024-11-26T05:00:00,1.465,1.496,1.459,1.49,8472.87,12626.3,MTL
1732600800,2024-11-26T06:00:00,1.49,1.509,1.463,1.501,25337.04,38036.09,MTL
1732604400,2024-11-26T07:00:00,1.501,1.503,1.434,1.451,9846.75,14287.27,MTL
1732608000,2024-11-26T08:00:00,1.451,1.454,1.416,1.424,7263.3,10343.85,MTL
1732611600,2024-11-26T09:00:00,1.424,1.437,1.408,1.416,6440.79,9120.17,MTL
1732615200,2024-11-26T10:00:00,1.416,1.404,1.383,1.383,4614.59,6379.94,MTL
1732618800,2024-11-26T11:00:00,1.383,1.426,1.361,1.411,20273.91,28602.47,MTL
1732622400,2024-11-26T12:00:00,1.411,1.412,1.346,1.353,31947.39,43211.75,MTL
1732626000,2024-11-26T13:00:00,1.353,1.395,1.349,1.391,7263.51,10100.15,MTL
1732629600,2024-11-26T14:00:00,1.391,1.421,1.392,1.407,2785.71,3918.74,MTL
1732633200,2024-11-26T15:00:00,1.407,1.401,1.386,1.393,1863.2,2594.54,MTL
1732636800,2024-11-26T16:00:00,1.393,1.426,1.411,1.426,200.92,286.51,MTL
1732640400,2024-11-26T17:00:00,1.426,1.42,1.408,1.41,471.23,664.44,MTL
1732644000,2024-11-26T18:00:00,1.41,1.398,1.373,1.398,2028.56,2834.99,MTL
1732647600,2024-11-26T19:00:00,1.398,1.391,1.373,1.383,1747.83,2416.6,MTL
1732651200,2024-11-26T20:00:00,1.383,1.407,1.372,1.407,692.77,974.98,MTL
1732654800,2024-11-26T21:00:00,1.407,1.427,1.416,1.427,741.49,1058.32,MTL
1732658400,2024-11-26T22:00:00,1.427,1.448,1.427,1.448,937.79,1358.36,MTL
1732662000,2024-11-26T23:00:00,1.448,1.453,1.436,1.449,3080.92,4465.25,MTL
1732665600,2024-11-27T00:00:00,1.449,1.449,1.396,1.407,10084.88,14189.38,MTL
1732669200,2024-11-27T01:00:00,1.407,1.434,1.414,1.424,8063.15,11484.73,MTL
1732672800,2024-11-27T02:00:00,1.424,1.435,1.424,1.43,1184.41,1693.59,MTL
1732676400,2024-11-27T03:00:00,1.43,1.425,1.413,1.413,1161.93,1642.25,MTL
1732680000,2024-11-27T04:00:00,1.413,1.418,1.412,1.415,5156.47,7296.5,MTL
1732683600,2024-11-27T05:00:00,1.415,1.418,1.405,1.405,157.42,221.16,MTL
1732687200,2024-11-27T06:00:00,1.405,1.421,1.41,1.417,1033.51,1464.7,MTL
1732690800,2024-11-27T07:00:00,1.417,1.432,1.421,1.427,929.4,1326.37,MTL
1732694400,2024-11-27T08:00:00,1.427,1.43,1.412,1.412,1830.97,2584.89,MTL
1732698000,2024-11-27T09:00:00,1.412,1.42,1.399,1.42,545.45,774.43,MTL
1732701600,2024-11-27T10:00:00,1.42,1.427,1.418,1.425,720.9,1027.56,MTL
1732705200,2024-11-27T11:00:00,1.425,1.429,1.41,1.429,425.45,607.88,MTL
1732708800,2024-11-27T12:00:00,1.429,1.431,1.408,1.415,996.61,1409.89,MTL
1732712400,2024-11-27T13:00:00,1.415,1.435,1.427,1.435,372.73,534.88,MTL
1732716000,2024-11-27T14:00:00,1.435,1.445,1.43,1.43,182.62,261.18,MTL
1732719600,2024-11-27T15:00:00,1.43,1.451,1.441,1.447,1160.05,1678.77,MTL
1732723200,2024-11-27T16:00:00,1.447,1.449,1.436,1.436,1854.79,2663.0,MTL
1732726800,2024-11-27T17:00:00,1.436,1.46,1.444,1.456,1224.54,1782.87,MTL
1732730400,2024-11-27T18:00:00,1.456,1.461,1.454,1.455,10097.28,14690.91,MTL
1732734000,2024-11-27T19:00:00,1.455,1.466,1.458,1.459,2196.04,3204.72,MTL
1732737600,2024-11-27T20:00:00,1.459,1.46,1.457,1.458,148.0,215.79,MTL
1732741200,2024-11-27T21:00:00,1.458,1.46,1.45,1.457,563.21,820.46,MTL
1732744800,2024-11-27T22:00:00,1.457,1.473,1.447,1.473,2137.2,3148.42,MTL
1732748400,2024-11-27T23:00:00,1.473,1.48,1.461,1.48,553.3,818.7,MTL
1732752000,2024-11-28T00:00:00,1.48,1.49,1.446,1.446,6402.57,9257.86,MTL
1732755600,2024-11-28T01:00:00,1.446,1.455,1.442,1.45,1295.4,1878.92,MTL
1732759200,2024-11-28T02:00:00,1.45,1.442,1.429,1.429,322.9,461.47,MTL
1732762800,2024-11-28T03:00:00,1.429,1.448,1.426,1.442,1540.4,2221.35,MTL
1732766400,2024-11-28T04:00:00,1.442,1.449,1.444,1.446,373.54,540.12,MTL
1732770000,2024-11-28T05:00:00,1.446,1.442,1.434,1.44,496.49,714.76,MTL
1732773600,2024-11-28T06:00:00,1.44,1.446,1.44,1.446,29.2,42.21,MTL
1732777200,2024-11-28T07:00:00,1.446,1.443,1.443,1.443,55.0,79.36,MTL
1732780800,2024-11-28T08:00:00,1.443,1.445,1.433,1.433,89.8,128.71,MTL
1732784400,2024-11-28T09:00:00,1.433,1.435,1.426,1.435,212.6,305.03,MTL
1732788000,2024-11-28T10:00:00,1.435,1.437,1.433,1.437,618.85,889.54,MTL
1732791600,2024-11-28T11:00:00,1.437,1.445,1.435,1.437,1196.08,1718.87,MTL
1732795200,2024-11-28T12:00:00,1.437,1.443,1.435,1.439,317.7,457.04,MTL
1732798800,2024-11-28T13:00:00,1.439,1.459,1.442,1.457,2489.62,3628.4,MTL
1732802400,2024-11-28T14:00:00,1.457,1.467,1.446,1.452,4886.35,7096.28,MTL
1732806000,2024-11-28T15:00:00,1.452,1.446,1.429,1.429,2184.46,3122.03,MTL
1732809600,2024-11-28T16:00:00,1.429,1.443,1.429,1.442,391.7,564.84,MTL
1732813200,2024-11-28T17:00:00,1.442,1.46,1.44,1.454,661.5,961.62,MTL
1732816800,2024-11-28T18:00:00,1.454,1.466,1.46,1.464,513.66,752.0,MTL
1732820400,2024-11-28T19:00:00,1.464,1.469,1.461,1.467,1041.31,1527.53,MTL
1732824000,2024-11-28T20:00:00,1.467,1.472,1.446,1.446,8.1,11.71,MTL
1732827600,2024-11-28T21:00:00,1.446,1.482,1.451,1.457,282.91,412.08,MTL
1732831200,2024-11-28T22:00:00,1.457,1.473,1.462,1.473,30.13,44.39,MTL
1732834800,2024-11-28T23:00:00,1.473,1.479,1.464,1.478,1293.78,1912.35,MTL
1732838400,2024-11-29T00:00:00,1.478,1.476,1.444,1.444,1673.6,2416.69,MTL
1732842000,2024-11-29T01:00:00,1.444,1.462,1.451,1.462,231.9,339.06,MTL
1732845600,2024-11-29T02:00:00,1.462,1.48,1.465,1.465,459.6,673.42,MTL
1732849200,2024-11-29T03:00:00,1.465,1.463,1.459,1.46,204.53,298.57,MTL
