timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,7.065,7.095,6.953,6.99,156583.68,1097185.28,NEAR
1732514400,2024-11-25T06:00:00,6.99,7.037,6.85,6.851,119463.4,828313.93,NEAR
1732518000,2024-11-25T07:00:00,6.851,6.943,6.851,6.892,134132.59,925392.41,NEAR
1732521600,2024-11-25T08:00:00,6.892,6.917,6.804,6.854,177281.23,1214131.1,NEAR
1732525200,2024-11-25T09:00:00,6.854,6.949,6.845,6.876,147100.93,1015897.91,NEAR
1732528800,2024-11-25T10:00:00,6.876,6.877,6.764,6.811,111214.39,757807.34,NEAR
1732532400,2024-11-25T11:00:00,6.811,6.859,6.73,6.786,377886.07,2563504.19,NEAR
1732536000,2024-11-25T12:00:00,6.786,6.893,6.757,6.82,249878.38,1700030.55,NEAR
1732539600,2024-11-25T13:00:00,6.82,6.848,6.683,6.727,234163.13,1582450.72,NEAR
1732543200,2024-11-25T14:00:00,6.727,6.82,6.553,6.554,211618.67,1418105.79,NEAR
1732546800,2024-11-25T15:00:00,6.554,6.768,6.459,6.711,328454.29,2173682.22,NEAR
1732550400,2024-11-25T16:00:00,6.711,6.791,6.626,6.7,248874.26,1667836.04,NEAR
1732554000,2024-11-25T17:00:00,6.7,6.704,6.532,6.61,390845.9,2574835.46,NEAR
1732557600,2024-11-25T18:00:00,6.61,6.655,6.536,6.574,192877.59,1272997.82,NEAR
1732561200,2024-11-25T19:00:00,6.574,6.686,6.539,6.628,111990.84,741214.33,NEAR
1732564800,2024-11-25T20:00:00,6.628,6.76,6.601,6.76,101498.26,679882.24,NEAR
1732568400,2024-11-25T21:00:00,6.76,6.762,6.524,6.583,437408.94,2886812.9,NEAR
1732572000,2024-11-25T22:00:00,6.583,6.637,6.338,6.468,1441544.26,9290122.63,NEAR
1732575600,2024-11-25T23:00:00,6.468,6.549,6.421,6.457,181962.26,1181973.64,NEAR
1732579200,2024-11-26T00:00:00,6.457,6.668,6.41,6.546,317071.6,2087454.82,NEAR
1732582800,2024-11-26T01:00:00,6.546,6.658,6.544,6.625,103591.7,684789.61,NEAR
1732586400,2024-11-26T02:00:00,6.625,6.653,6.574,6.585,102089.45,675886.5,NEAR
1732590000,2024-11-26T03:00:00,6.585,6.595,6.472,6.48,101379.77,660088.67,NEAR
1732593600,2024-11-26T04:00:00,6.48,6.534,6.432,6.483,80926.08,524411.73,NEAR
1732597200,2024-11-26T05:00:00,6.483,6.603,6.477,6.599,91798.67,600260.97,NEAR
1732600800,2024-11-26T06:00:00,6.599,6.614,6.499,6.506,67936.1,446080.6,NEAR
1732604400,2024-11-26T07:00:00,6.506,6.506,6.367,6.402,122679.61,790550.99,NEAR
1732608000,2024-11-26T08:00:00,6.402,6.405,6.223,6.263,342830.41,2159194.81,NEAR
1732611600,2024-11-26T09:00:00,6.263,6.365,6.254,6.325,110184.3,695415.07,NEAR
1732615200,2024-11-26T10:00:00,6.325,6.343,6.127,6.13,146460.44,908875.64,NEAR
1732618800,2024-11-26T11:00:00,6.13,6.185,5.975,6.123,243116.99,1474648.72,NEAR
1732622400,2024-11-26T12:00:00,6.123,6.199,6.054,6.087,1013394.66,6180130.99,NEAR
1732626000,2024-11-26T13:00:00,6.087,6.186,6.042,6.104,131590.38,806862.35,NEAR
1732629600,2024-11-26T14:00:00,6.104,6.235,6.036,6.194,241922.12,1482616.61,NEAR
1732633200,2024-11-26T15:00:00,6.194,6.201,6.048,6.049,125160.19,765816.83,NEAR
1732636800,2024-11-26T16:00:00,6.049,6.481,6.024,6.177,181960.51,1135567.57,NEAR
1732640400,2024-11-26T17:00:00,6.177,6.179,6.107,6.151,84256.32,518369.68,NEAR
1732644000,2024-11-26T18:00:00,6.151,6.184,5.962,6.057,225533.29,1365340.73,NEAR
1732647600,2024-11-26T19:00:00,6.057,6.114,6.032,6.11,164722.44,997437.49,NEAR
1732651200,2024-11-26T20:00:00,6.11,6.233,6.108,6.198,122686.19,757235.98,NEAR
1732654800,2024-11-26T21:00:00,6.198,6.254,6.142,6.203,96633.57,599868.06,NEAR
1732658400,2024-11-26T22:00:00,6.203,6.49,6.195,6.439,480908.07,3073691.75,NEAR
1732662000,2024-11-26T23:00:00,6.439,6.588,6.391,6.519,352976.17,2291081.0,NEAR
1732665600,2024-11-27T00:00:00,6.519,6.694,6.415,6.439,247071.61,1626015.7,NEAR
