timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,15.12,15.3,15.12,15.22,1336.75,20343.56,NEO
1732514400,2024-11-25T06:00:00,15.22,15.22,14.97,14.98,833.74,12493.4,NEO
1732518000,2024-11-25T07:00:00,14.98,15.12,14.98,15.02,332.09,4986.98,NEO
1732521600,2024-11-25T08:00:00,15.02,15.21,15.04,15.17,1034.82,15698.66,NEO
1732525200,2024-11-25T09:00:00,15.17,15.46,15.21,15.41,1770.65,27284.78,NEO
1732528800,2024-11-25T10:00:00,15.41,15.42,15.1,15.39,2256.62,34727.97,NEO
1732532400,2024-11-25T11:00:00,15.39,15.45,15.07,15.16,2511.44,38084.58,NEO
1732536000,2024-11-25T12:00:00,15.15,15.19,15.02,15.14,2449.8,37058.64,NEO
1732539600,2024-11-25T13:00:00,15.14,15.12,14.86,14.98,1004.31,15046.13,NEO
1732543200,2024-11-25T14:00:00,14.97,15.11,14.62,14.64,1391.97,20587.33,NEO
1732546800,2024-11-25T15:00:00,14.64,15.02,14.36,15.02,1059.14,15467.19,NEO
1732550400,2024-11-25T16:00:00,15.01,15.03,14.75,14.94,1792.46,26772.45,NEO
1732554000,2024-11-25T17:00:00,14.94,14.83,14.59,14.75,3905.46,57602.57,NEO
1732557600,2024-11-25T18:00:00,14.75,14.85,14.69,14.74,4515.08,66573.62,NEO
1732561200,2024-11-25T19:00:00,14.74,14.83,14.61,14.77,5191.15,76681.6,NEO
1732564800,2024-11-25T20:00:00,14.77,14.91,14.73,14.83,4797.27,71133.15,NEO
1732568400,2024-11-25T21:00:00,14.83,14.71,14.37,14.55,5056.7,73599.57,NEO
1732572000,2024-11-25T22:00:00,14.55,14.7,14.29,14.42,5769.46,83211.14,NEO
1732575600,2024-11-25T23:00:00,14.42,14.38,14.14,14.31,3982.18,56970.58,NEO
1732579200,2024-11-26T00:00:00,14.31,14.5,14.27,14.29,5013.91,71652.29,NEO
1732582800,2024-11-26T01:00:00,14.29,14.64,14.44,14.6,5081.33,74204.89,NEO
1732586400,2024-11-26T02:00:00,14.6,14.64,14.53,14.56,3890.33,56653.4,NEO
1732590000,2024-11-26T03:00:00,14.56,14.55,14.36,14.46,4154.77,60073.96,NEO
1732593600,2024-11-26T04:00:00,14.46,14.5,14.34,14.42,4064.52,58621.26,NEO
1732597200,2024-11-26T05:00:00,14.42,14.67,14.44,14.66,4248.6,62266.95,NEO
1732600800,2024-11-26T06:00:00,14.66,14.63,14.48,14.55,4115.8,59880.08,NEO
1732604400,2024-11-26T07:00:00,14.55,14.43,14.22,14.3,3735.93,53436.1,NEO
1732608000,2024-11-26T08:00:00,14.3,14.22,13.9,13.93,5499.28,76626.38,NEO
1732611600,2024-11-26T09:00:00,13.93,14.09,13.81,13.94,3487.2,48596.08,NEO
1732615200,2024-11-26T10:00:00,13.94,13.75,13.55,13.55,5016.43,67967.08,NEO
1732618800,2024-11-26T11:00:00,13.55,13.66,13.35,13.64,9404.33,128248.12,NEO
1732622400,2024-11-26T12:00:00,13.64,13.61,13.42,13.54,4283.65,57979.73,NEO
1732626000,2024-11-26T13:00:00,13.54,13.61,13.43,13.44,2687.24,36104.05,NEO
1732629600,2024-11-26T14:00:00,13.44,13.82,13.54,13.78,1980.17,27282.97,NEO
1732633200,2024-11-26T15:00:00,13.78,13.71,13.59,13.63,581.21,7920.8,NEO
1732636800,2024-11-26T16:00:00,13.63,13.89,13.73,13.87,694.0,9628.56,NEO
1732640400,2024-11-26T17:00:00,13.88,13.89,13.85,13.86,291.13,4038.92,NEO
1732644000,2024-11-26T18:00:00,13.84,13.67,13.49,13.52,563.49,7620.62,NEO
