timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,0.2938,0.3014,0.2936,0.2975,9657,2872.96,NFP
1732514400,2024-11-25T06:00:00,0.2975,0.2975,0.2916,0.2916,6644,1937.68,NFP
1732518000,2024-11-25T07:00:00,0.2916,0.2954,0.2915,0.2935,1321,387.67,NFP
1732521600,2024-11-25T08:00:00,0.2935,0.3028,0.293,0.2999,13568,4068.62,NFP
1732525200,2024-11-25T09:00:00,0.2999,0.3037,0.3007,0.3037,6470,1964.64,NFP
1732528800,2024-11-25T10:00:00,0.3037,0.3031,0.2972,0.3021,1969,594.8,NFP
1732532400,2024-11-25T11:00:00,0.3021,0.3027,0.2968,0.2968,4380,1299.99,NFP
1732536000,2024-11-25T12:00:00,0.2968,0.2969,0.2939,0.2939,15138,4449.66,NFP
1732539600,2024-11-25T13:00:00,0.2939,0.2946,0.2868,0.2897,25712,7448.32,NFP
1732543200,2024-11-25T14:00:00,0.2897,0.2861,0.2794,0.2803,20133,5643.89,NFP
1732546800,2024-11-25T15:00:00,0.2803,0.2938,0.2814,0.2938,29316,8614.09,NFP
1732550400,2024-11-25T16:00:00,0.2938,0.2983,0.2897,0.2916,21621,6305.21,NFP
1732554000,2024-11-25T17:00:00,0.2916,0.2895,0.2857,0.2876,18545,5332.76,NFP
1732557600,2024-11-25T18:00:00,0.2876,0.2882,0.2854,0.2854,12618,3600.95,NFP
1732561200,2024-11-25T19:00:00,0.2854,0.2896,0.2839,0.2896,3813,1104.11,NFP
1732564800,2024-11-25T20:00:00,0.2896,0.2903,0.2903,0.2903,0,0.0,NFP
1732568400,2024-11-25T21:00:00,0.2903,0.2868,0.283,0.283,5425,1535.48,NFP
1732572000,2024-11-25T22:00:00,0.283,0.2888,0.2822,0.2879,27665,7964.41,NFP
1732575600,2024-11-25T23:00:00,0.2879,0.2865,0.2837,0.2846,3746,1066.26,NFP
1732579200,2024-11-26T00:00:00,0.2846,0.289,0.2871,0.289,2507,724.53,NFP
1732582800,2024-11-26T01:00:00,0.289,0.2923,0.2913,0.2923,4476,1308.15,NFP
1732586400,2024-11-26T02:00:00,0.2923,0.2943,0.2914,0.2943,3685,1084.42,NFP
1732590000,2024-11-26T03:00:00,0.2943,0.2939,0.2892,0.292,1804,526.8,NFP
1732593600,2024-11-26T04:00:00,0.292,0.2924,0.2896,0.2924,6753,1974.68,NFP
1732597200,2024-11-26T05:00:00,0.2924,0.2963,0.2935,0.2963,4954,1468.05,NFP
1732600800,2024-11-26T06:00:00,0.2963,0.3006,0.2931,0.294,29875,8783.3,NFP
1732604400,2024-11-26T07:00:00,0.294,0.2917,0.2851,0.2861,29755,8511.89,NFP
1732608000,2024-11-26T08:00:00,0.2861,0.2841,0.2766,0.2766,34000,9405.38,NFP
1732611600,2024-11-26T09:00:00,0.2766,0.2815,0.275,0.2787,18671,5203.82,NFP
1732615200,2024-11-26T10:00:00,0.2787,0.2749,0.2684,0.2693,22817,6145.02,NFP
1732618800,2024-11-26T11:00:00,0.2693,0.2715,0.2641,0.2696,28690,7734.92,NFP
1732622400,2024-11-26T12:00:00,0.2696,0.2727,0.2672,0.2681,31280,8386.87,NFP
1732626000,2024-11-26T13:00:00,0.2681,0.27,0.2635,0.2663,59605,15873.49,NFP
1732629600,2024-11-26T14:00:00,0.2663,0.2724,0.2668,0.2715,31043,8426.85,NFP
1732633200,2024-11-26T15:00:00,0.2715,0.2701,0.2637,0.2637,19826,5227.13,NFP
1732636800,2024-11-26T16:00:00,0.2637,0.27,0.2653,0.27,12633,3410.34,NFP
1732640400,2024-11-26T17:00:00,0.27,0.2732,0.2685,0.2713,16539,4487.62,NFP
1732644000,2024-11-26T18:00:00,0.2713,0.2681,0.2616,0.2644,24145,6383.92,NFP
1732647600,2024-11-26T19:00:00,0.2644,0.265,0.2613,0.265,21114,5594.66,NFP
1732651200,2024-11-26T20:00:00,0.265,0.2693,0.2629,0.2693,30397,8185.4,NFP
1732654800,2024-11-26T21:00:00,0.2693,0.2721,0.2693,0.2702,15655,4230.76,NFP
1732658400,2024-11-26T22:00:00,0.2702,0.2749,0.2703,0.2739,17925,4910.29,NFP
1732662000,2024-11-26T23:00:00,0.2739,0.2766,0.2748,0.2766,4117,1138.89,NFP
