timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,1.068,1.082,1.067,1.071,516899.1,554899.73,ONDO
1732514400,2024-11-25T06:00:00,1.071,1.08,1.054,1.056,410844.47,436585.06,ONDO
1732518000,2024-11-25T07:00:00,1.056,1.074,1.053,1.068,432039.16,459080.57,ONDO
1732521600,2024-11-25T08:00:00,1.068,1.08,1.063,1.076,252722.29,270999.23,ONDO
1732525200,2024-11-25T09:00:00,1.076,1.093,1.074,1.078,633221.11,687502.31,ONDO
1732528800,2024-11-25T10:00:00,1.078,1.082,1.067,1.076,528141.36,567458.25,ONDO
1732532400,2024-11-25T11:00:00,1.076,1.081,1.057,1.064,477236.38,510311.64,ONDO
1732536000,2024-11-25T12:00:00,1.064,1.069,1.056,1.065,535780.04,569050.79,ONDO
1732539600,2024-11-25T13:00:00,1.065,1.07,1.038,1.044,606970.68,637153.47,ONDO
1732543200,2024-11-25T14:00:00,1.044,1.055,1.011,1.012,1001167.6,1039706.65,ONDO
1732546800,2024-11-25T15:00:00,1.012,1.059,0.9985,1.051,2761952.69,2820215.21,ONDO
1732550400,2024-11-25T16:00:00,1.051,1.067,1.027,1.035,1260033.4,1319657.5,ONDO
1732554000,2024-11-25T17:00:00,1.035,1.035,1.015,1.027,771703.22,789449.1,ONDO
1732557600,2024-11-25T18:00:00,1.027,1.035,1.018,1.025,608738.72,625957.37,ONDO
1732561200,2024-11-25T19:00:00,1.025,1.04,1.021,1.031,598817.68,616688.92,ONDO
1732564800,2024-11-25T20:00:00,1.031,1.055,1.026,1.048,603012.25,628636.26,ONDO
1732568400,2024-11-25T21:00:00,1.048,1.052,1.011,1.022,868424.38,891509.56,ONDO
1732572000,2024-11-25T22:00:00,1.022,1.028,0.991,1.023,1152138.43,1159670.93,ONDO
1732575600,2024-11-25T23:00:00,1.023,1.029,1.007,1.01,1171964.04,1193928.08,ONDO
1732579200,2024-11-26T00:00:00,1.01,1.032,1.001,1.013,1039021.68,1060810.38,ONDO
1732582800,2024-11-26T01:00:00,1.013,1.032,1.013,1.03,704815.39,722287.15,ONDO
1732586400,2024-11-26T02:00:00,1.03,1.042,1.028,1.038,549906.06,568478.8,ONDO
1732590000,2024-11-26T03:00:00,1.038,1.039,1.023,1.029,431450.03,443861.37,ONDO
1732593600,2024-11-26T04:00:00,1.029,1.036,1.02,1.033,351137.88,361148.77,ONDO
1732597200,2024-11-26T05:00:00,1.033,1.039,1.027,1.039,595566.85,615438.78,ONDO
1732600800,2024-11-26T06:00:00,1.039,1.054,1.034,1.039,968680.27,1012074.22,ONDO
1732604400,2024-11-26T07:00:00,1.039,1.039,1.008,1.018,1019929.5,1044725.7,ONDO
1732608000,2024-11-26T08:00:00,1.018,1.018,0.9883,0.996,1209710.93,1208539.33,ONDO
1732611600,2024-11-26T09:00:00,0.996,1.008,0.9863,0.9995,677519.55,677240.35,ONDO
1732615200,2024-11-26T10:00:00,0.9995,1.004,0.9666,0.967,1205935.38,1184209.36,ONDO
1732618800,2024-11-26T11:00:00,0.967,0.9794,0.9493,0.9763,1863733.21,1792701.51,ONDO
1732622400,2024-11-26T12:00:00,0.9763,0.9829,0.956,0.9661,1379631.72,1337930.74,ONDO
1732626000,2024-11-26T13:00:00,0.9661,0.9797,0.96,0.9703,890647.54,865598.65,ONDO
1732629600,2024-11-26T14:00:00,0.9703,1.005,0.9586,1.002,1275578.84,1247238.49,ONDO
