timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,2.164,2.198,2.162,2.187,177867.13,388597.52,OP
1732514400,2024-11-25T06:00:00,2.187,2.197,2.159,2.166,155358.69,338066.81,OP
1732518000,2024-11-25T07:00:00,2.166,2.226,2.154,2.195,193983.98,425681.81,OP
1732521600,2024-11-25T08:00:00,2.195,2.234,2.195,2.234,206982.42,457293.48,OP
1732525200,2024-11-25T09:00:00,2.234,2.298,2.23,2.278,464584.53,1056593.9,OP
1732528800,2024-11-25T10:00:00,2.278,2.379,2.258,2.328,855612.11,1990448.78,OP
1732532400,2024-11-25T11:00:00,2.328,2.343,2.253,2.276,383008.26,881932.87,OP
1732536000,2024-11-25T12:00:00,2.276,2.298,2.248,2.26,366992.75,833902.99,OP
1732539600,2024-11-25T13:00:00,2.26,2.287,2.212,2.261,383126.95,862076.35,OP
1732543200,2024-11-25T14:00:00,2.261,2.325,2.185,2.192,947672.41,2131858.33,OP
1732546800,2024-11-25T15:00:00,2.192,2.407,2.159,2.402,1169009.57,2665634.58,OP
1732550400,2024-11-25T16:00:00,2.402,2.43,2.29,2.32,1023912.02,2420241.29,OP
1732554000,2024-11-25T17:00:00,2.32,2.369,2.275,2.346,1236303.86,2866743.89,OP
1732557600,2024-11-25T18:00:00,2.346,2.36,2.301,2.326,397138.85,927466.01,OP
1732561200,2024-11-25T19:00:00,2.326,2.389,2.3,2.357,327039.77,770560.44,OP
1732564800,2024-11-25T20:00:00,2.357,2.4,2.344,2.395,571759.77,1360444.81,OP
1732568400,2024-11-25T21:00:00,2.395,2.395,2.304,2.347,471574.44,1109270.68,OP
1732572000,2024-11-25T22:00:00,2.347,2.381,2.274,2.368,444818.37,1038339.2,OP
1732575600,2024-11-25T23:00:00,2.368,2.368,2.29,2.3,451292.12,1051836.98,OP
1732579200,2024-11-26T00:00:00,2.3,2.361,2.276,2.302,487144.29,1131200.5,OP
1732582800,2024-11-26T01:00:00,2.302,2.354,2.29,2.311,404119.22,939482.6,OP
1732586400,2024-11-26T02:00:00,2.311,2.311,2.282,2.299,291647.95,669595.35,OP
1732590000,2024-11-26T03:00:00,2.299,2.3,2.247,2.264,419008.31,947812.65,OP
1732593600,2024-11-26T04:00:00,2.264,2.277,2.239,2.253,181881.54,410224.95,OP
1732597200,2024-11-26T05:00:00,2.253,2.282,2.247,2.281,150103.73,339817.47,OP
1732600800,2024-11-26T06:00:00,2.281,2.341,2.269,2.289,377574.47,868660.83,OP
1732604400,2024-11-26T07:00:00,2.289,2.304,2.242,2.256,796530.23,1808824.86,OP
1732608000,2024-11-26T08:00:00,2.256,2.257,2.197,2.216,361681.93,804679.75,OP
1732611600,2024-11-26T09:00:00,2.216,2.253,2.181,2.192,343447.92,761256.01,OP
1732615200,2024-11-26T10:00:00,2.192,2.201,2.145,2.148,330489.15,717680.91,OP
1732618800,2024-11-26T11:00:00,2.148,2.17,2.105,2.142,551718.16,1173500.62,OP
1732622400,2024-11-26T12:00:00,2.142,2.188,2.127,2.156,2276027.59,4920261.9,OP
1732626000,2024-11-26T13:00:00,2.156,2.193,2.141,2.153,445211.11,962818.57,OP
1732629600,2024-11-26T14:00:00,2.153,2.235,2.13,2.215,494487.43,1081566.19,OP
1732633200,2024-11-26T15:00:00,2.215,2.231,2.157,2.158,367565.98,804819.76,OP
1732636800,2024-11-26T16:00:00,2.158,2.221,2.151,2.212,171000.84,373882.87,OP
1732640400,2024-11-26T17:00:00,2.212,2.228,2.184,2.215,103604.35,228851.5,OP
1732644000,2024-11-26T18:00:00,2.215,2.225,2.122,2.148,428746.63,925807.01,OP
1732647600,2024-11-26T19:00:00,2.148,2.177,2.137,2.175,178194.77,384007.43,OP
1732651200,2024-11-26T20:00:00,2.175,2.215,2.159,2.198,273661.64,598684.53,OP
1732654800,2024-11-26T21:00:00,2.198,2.219,2.178,2.194,173361.94,381145.47,OP
1732658400,2024-11-26T22:00:00,2.194,2.234,2.188,2.204,158861.33,352042.25,OP
1732662000,2024-11-26T23:00:00,2.204,2.213,2.189,2.204,159418.78,350799.94,OP
1732665600,2024-11-27T00:00:00,2.204,2.235,2.159,2.163,242270.37,530153.73,OP
1732669200,2024-11-27T01:00:00,2.163,2.208,2.156,2.203,125374.72,273798.79,OP
