timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,40.35,41.21,40.42,40.69,986.18,40125.55,ORDI
1732514400,2024-11-25T06:00:00,40.69,40.8,39.9,39.99,530.66,21218.73,ORDI
1732518000,2024-11-25T07:00:00,39.99,40.96,39.96,40.73,230.51,9389.2,ORDI
1732521600,2024-11-25T08:00:00,40.68,41.16,40.49,41.16,82.96,3383.24,ORDI
1732525200,2024-11-25T09:00:00,41.15,41.58,41.06,41.07,291.54,11974.19,ORDI
1732528800,2024-11-25T10:00:00,41.07,41.01,40.25,40.83,424.22,17323.01,ORDI
1732532400,2024-11-25T11:00:00,40.83,40.81,40.0,40.09,257.84,10336.28,ORDI
1732536000,2024-11-25T12:00:00,40.09,40.5,39.92,40.5,248.26,10053.31,ORDI
1732539600,2024-11-25T13:00:00,40.5,40.47,39.61,39.73,303.46,12055.4,ORDI
1732543200,2024-11-25T14:00:00,39.73,39.19,38.33,38.35,375.04,14382.77,ORDI
1732546800,2024-11-25T15:00:00,38.35,39.7,38.28,39.61,1716.59,67994.52,ORDI
1732550400,2024-11-25T16:00:00,39.61,41.36,39.42,39.73,1374.71,54622.46,ORDI
1732554000,2024-11-25T17:00:00,39.73,39.45,38.71,39.24,772.84,30325.67,ORDI
1732557600,2024-11-25T18:00:00,39.24,39.66,39.05,39.58,235.49,9321.27,ORDI
1732561200,2024-11-25T19:00:00,39.58,40.06,39.3,39.95,217.38,8684.85,ORDI
1732564800,2024-11-25T20:00:00,39.95,40.2,39.8,39.88,192.37,7672.18,ORDI
1732568400,2024-11-25T21:00:00,39.88,39.64,38.89,39.47,380.38,15012.03,ORDI
1732572000,2024-11-25T22:00:00,39.47,39.82,38.77,39.44,541.48,21353.73,ORDI
1732575600,2024-11-25T23:00:00,39.44,40.07,38.86,39.43,1234.52,48678.25,ORDI
1732579200,2024-11-26T00:00:00,39.43,41.06,39.45,40.27,864.91,34832.47,ORDI
1732582800,2024-11-26T01:00:00,40.27,41.11,40.53,41.11,306.43,12596.1,ORDI
1732586400,2024-11-26T02:00:00,41.11,42.68,40.92,41.61,2494.16,103772.36,ORDI
1732590000,2024-11-26T03:00:00,41.61,41.61,40.77,41.19,2254.69,92879.86,ORDI
1732593600,2024-11-26T04:00:00,41.19,41.15,40.57,40.59,673.87,27351.8,ORDI
1732597200,2024-11-26T05:00:00,40.59,40.91,40.5,40.77,269.48,10986.05,ORDI
1732600800,2024-11-26T06:00:00,40.77,40.75,39.81,39.84,1167.36,46503.84,ORDI
1732604400,2024-11-26T07:00:00,39.84,39.6,39.11,39.38,330.71,13024.45,ORDI
1732608000,2024-11-26T08:00:00,39.38,39.24,38.78,38.95,539.43,21011.64,ORDI
1732611600,2024-11-26T09:00:00,38.95,39.38,38.81,39.13,284.31,11125.56,ORDI
1732615200,2024-11-26T10:00:00,39.1,39.14,38.2,38.23,242.08,9293.94,ORDI
1732618800,2024-11-26T11:00:00,38.29,38.34,37.0,37.77,3366.64,127165.35,ORDI
1732622400,2024-11-26T12:00:00,37.77,37.79,37.05,37.13,1377.46,51147.51,ORDI
1732626000,2024-11-26T13:00:00,37.04,37.62,37.04,37.32,295.58,11038.96,ORDI
1732629600,2024-11-26T14:00:00,37.34,38.1,37.41,38.02,1074.19,40843.6,ORDI
