timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,5.372,5.45,5.371,5.434,374.78,2036.43,PENDLE
1732514400,2024-11-25T06:00:00,5.438,5.44,5.358,5.363,1646.3,8829.9,PENDLE
1732518000,2024-11-25T07:00:00,5.363,5.471,5.361,5.418,1138.9,6170.43,PENDLE
1732521600,2024-11-25T08:00:00,5.394,5.475,5.392,5.475,1639.93,8942.8,PENDLE
1732525200,2024-11-25T09:00:00,5.475,5.613,5.475,5.613,2984.52,16681.03,PENDLE
1732528800,2024-11-25T10:00:00,5.613,5.72,5.592,5.664,3278.04,18494.7,PENDLE
1732532400,2024-11-25T11:00:00,5.664,5.671,5.566,5.586,2315.8,13033.7,PENDLE
1732536000,2024-11-25T12:00:00,5.586,5.619,5.559,5.596,2139.53,11953.01,PENDLE
1732539600,2024-11-25T13:00:00,5.591,5.6,5.449,5.513,6897.8,38025.83,PENDLE
1732543200,2024-11-25T14:00:00,5.513,5.472,5.318,5.329,15951.5,85007.73,PENDLE
1732546800,2024-11-25T15:00:00,5.329,5.597,5.304,5.597,11860.3,66385.49,PENDLE
1732550400,2024-11-25T16:00:00,5.597,5.611,5.41,5.436,2941.9,15993.05,PENDLE
1732554000,2024-11-25T17:00:00,5.436,5.42,5.316,5.361,4711.6,25257.77,PENDLE
1732557600,2024-11-25T18:00:00,5.361,5.37,5.316,5.336,3423.7,18267.8,PENDLE
1732561200,2024-11-25T19:00:00,5.331,5.385,5.301,5.351,1933.18,10362.7,PENDLE
1732564800,2024-11-25T20:00:00,5.351,5.454,5.349,5.454,3378.98,18141.9,PENDLE
1732568400,2024-11-25T21:00:00,5.458,5.392,5.269,5.332,7818.4,41686.02,PENDLE
1732572000,2024-11-25T22:00:00,5.332,5.371,5.225,5.322,12372.1,65840.25,PENDLE
1732575600,2024-11-25T23:00:00,5.313,5.358,5.235,5.237,1354.67,7174.04,PENDLE
1732579200,2024-11-26T00:00:00,5.237,5.326,5.205,5.26,1851.49,9794.44,PENDLE
1732582800,2024-11-26T01:00:00,5.252,5.35,5.303,5.325,1206.5,6424.83,PENDLE
1732586400,2024-11-26T02:00:00,5.331,5.348,5.302,5.302,2047.96,10916.38,PENDLE
1732590000,2024-11-26T03:00:00,5.307,5.3,5.25,5.255,5745.3,30193.5,PENDLE
1732593600,2024-11-26T04:00:00,5.255,5.258,5.187,5.204,2220.63,11594.6,PENDLE
1732597200,2024-11-26T05:00:00,5.204,5.247,5.201,5.247,255.68,1334.4,PENDLE
1732600800,2024-11-26T06:00:00,5.247,5.268,5.213,5.213,1455.2,7585.41,PENDLE
1732604400,2024-11-26T07:00:00,5.226,5.226,5.089,5.107,2325.38,11937.96,PENDLE
1732608000,2024-11-26T08:00:00,5.123,5.087,4.98,4.999,5457.6,27281.87,PENDLE
1732611600,2024-11-26T09:00:00,4.999,5.048,4.963,5.006,5207.3,26065.54,PENDLE
1732615200,2024-11-26T10:00:00,4.986,4.993,4.886,4.886,2664.77,13127.61,PENDLE
1732618800,2024-11-26T11:00:00,4.874,4.901,4.798,4.887,10497.7,51302.52,PENDLE
1732622400,2024-11-26T12:00:00,4.887,4.888,4.815,4.856,4623.1,22448.35,PENDLE
1732626000,2024-11-26T13:00:00,4.856,4.903,4.832,4.877,4054.3,19774.69,PENDLE
1732629600,2024-11-26T14:00:00,4.879,4.999,4.829,4.972,6519.16,31906.44,PENDLE
1732633200,2024-11-26T15:00:00,4.972,4.979,4.869,4.869,2829.34,13871.45,PENDLE
1732636800,2024-11-26T16:00:00,4.869,4.972,4.849,4.933,5357.08,26168.79,PENDLE
1732640400,2024-11-26T17:00:00,4.933,4.941,4.874,4.909,18336.27,89970.31,PENDLE
1732644000,2024-11-26T18:00:00,4.909,4.912,4.765,4.843,6406.3,31163.0,PENDLE
1732647600,2024-11-26T19:00:00,4.822,4.88,4.775,4.88,4396.8,21458.44,PENDLE
1732651200,2024-11-26T20:00:00,4.875,4.949,4.875,4.943,21573.57,106089.09,PENDLE
1732654800,2024-11-26T21:00:00,4.943,4.951,4.896,4.93,1402.81,6899.96,PENDLE
1732658400,2024-11-26T22:00:00,4.93,4.992,4.928,4.98,2147.63,10674.5,PENDLE
1732662000,2024-11-26T23:00:00,4.98,5.031,4.945,5.02,6180.49,31014.86,PENDLE
1732665600,2024-11-27T00:00:00,5.02,5.068,4.958,4.958,2103.11,10591.2,PENDLE
1732669200,2024-11-27T01:00:00,4.958,5.054,4.945,5.048,1796.44,9018.78,PENDLE
1732672800,2024-11-27T02:00:00,5.059,5.08,5.026,5.08,3254.8,16535.6,PENDLE
1732676400,2024-11-27T03:00:00,5.104,5.159,5.074,5.121,3613.3,18516.91,PENDLE
1732680000,2024-11-27T04:00:00,5.114,5.319,5.113,5.255,7221.8,37948.56,PENDLE
1732683600,2024-11-27T05:00:00,5.25,5.262,5.215,5.248,58638.83,307848.44,PENDLE
1732687200,2024-11-27T06:00:00,5.248,5.401,5.248,5.394,858.09,4548.11,PENDLE
1732690800,2024-11-27T07:00:00,5.379,5.428,5.34,5.34,2672.1,14268.46,PENDLE
1732694400,2024-11-27T08:00:00,5.362,5.374,5.324,5.324,1407.74,7528.36,PENDLE
1732698000,2024-11-27T09:00:00,5.324,5.324,5.234,5.271,1729.22,9094.75,PENDLE
1732701600,2024-11-27T10:00:00,5.271,5.356,5.271,5.356,724.96,3853.73,PENDLE
1732705200,2024-11-27T11:00:00,5.356,5.358,5.303,5.322,2306.58,12267.23,PENDLE
1732708800,2024-11-27T12:00:00,5.322,5.358,5.271,5.358,23018.75,122027.71,PENDLE
1732712400,2024-11-27T13:00:00,5.358,5.403,5.336,5.403,2706.13,14526.67,PENDLE
1732716000,2024-11-27T14:00:00,5.427,5.476,5.403,5.456,1956.0,10671.79,PENDLE
1732719600,2024-11-27T15:00:00,5.421,5.494,5.406,5.47,15939.53,87145.18,PENDLE
1732723200,2024-11-27T16:00:00,5.47,5.548,5.423,5.476,7441.86,41060.62,PENDLE
1732726800,2024-11-27T17:00:00,5.476,5.525,5.475,5.525,8768.71,48124.77,PENDLE
1732730400,2024-11-27T18:00:00,5.525,5.549,5.485,5.549,1453.07,8030.19,PENDLE
1732734000,2024-11-27T19:00:00,5.549,5.592,5.52,5.54,4234.64,23586.57,PENDLE
1732737600,2024-11-27T20:00:00,5.54,5.565,5.529,5.529,5332.25,29599.59,PENDLE
1732741200,2024-11-27T21:00:00,5.529,5.58,5.498,5.539,18799.49,104670.12,PENDLE
1732744800,2024-11-27T22:00:00,5.539,5.628,5.539,5.628,6861.3,38310.88,PENDLE
1732748400,2024-11-27T23:00:00,5.628,5.65,5.581,5.635,2983.6,16712.47,PENDLE
1732752000,2024-11-28T00:00:00,5.635,5.655,5.597,5.597,1261.82,7104.3,PENDLE
1732755600,2024-11-28T01:00:00,5.601,5.598,5.518,5.559,4947.4,27502.44,PENDLE
1732759200,2024-11-28T02:00:00,5.559,5.525,5.457,5.462,7237.8,39530.87,PENDLE
1732762800,2024-11-28T03:00:00,5.453,5.453,5.387,5.413,4507.59,24529.07,PENDLE
1732766400,2024-11-28T04:00:00,5.46,5.512,5.461,5.502,1247.3,6862.79,PENDLE
1732770000,2024-11-28T05:00:00,5.496,5.525,5.454,5.454,555.08,3046.05,PENDLE
1732773600,2024-11-28T06:00:00,5.449,5.45,5.418,5.434,992.1,5390.59,PENDLE
1732777200,2024-11-28T07:00:00,5.434,5.438,5.422,5.422,295.7,1603.42,PENDLE
1732780800,2024-11-28T08:00:00,5.444,5.6,5.431,5.6,1656.1,9187.0,PENDLE
1732784400,2024-11-28T09:00:00,5.6,5.6,5.47,5.473,1205.36,6625.91,PENDLE
1732788000,2024-11-28T10:00:00,5.467,5.491,5.447,5.447,1919.2,10453.05,PENDLE
1732791600,2024-11-28T11:00:00,5.447,5.507,5.47,5.488,768.5,4217.26,PENDLE
1732795200,2024-11-28T12:00:00,5.488,5.556,5.49,5.506,937.4,5161.34,PENDLE
1732798800,2024-11-28T13:00:00,5.506,5.519,5.442,5.45,908.9,4953.92,PENDLE
1732802400,2024-11-28T14:00:00,5.438,5.46,5.36,5.39,2390.51,12877.63,PENDLE
1732806000,2024-11-28T15:00:00,5.39,5.391,5.321,5.321,1063.28,5686.81,PENDLE
1732809600,2024-11-28T16:00:00,5.321,5.346,5.32,5.33,2257.49,12042.13,PENDLE
1732813200,2024-11-28T17:00:00,5.327,5.368,5.321,5.368,1766.3,9481.27,PENDLE
1732816800,2024-11-28T18:00:00,5.37,5.439,5.37,5.429,2504.91,13601.86,PENDLE
1732820400,2024-11-28T19:00:00,5.444,5.45,5.422,5.438,1077.1,5856.96,PENDLE
1732824000,2024-11-28T20:00:00,5.438,5.431,5.398,5.426,557.6,3025.64,PENDLE
1732827600,2024-11-28T21:00:00,5.402,5.522,5.402,5.519,1311.72,7169.9,PENDLE
1732831200,2024-11-28T22:00:00,5.519,5.575,5.51,5.55,1671.18,9290.03,PENDLE
1732834800,2024-11-28T23:00:00,5.553,5.553,5.492,5.494,1626.0,8933.82,PENDLE
1732838400,2024-11-29T00:00:00,5.526,5.527,5.441,5.441,508.36,2776.59,PENDLE
1732842000,2024-11-29T01:00:00,5.441,5.441,5.411,5.434,451.09,2443.28,PENDLE
1732845600,2024-11-29T02:00:00,5.452,5.537,5.495,5.537,2822.2,15625.76,PENDLE
1732849200,2024-11-29T03:00:00,5.537,5.534,5.509,5.526,401.9,2220.94,PENDLE
1732852800,2024-11-29T04:00:00,5.536,5.636,5.479,5.499,6788.41,37574.42,PENDLE
1732856400,2024-11-29T05:00:00,5.499,5.529,5.499,5.522,683.78,3771.53,PENDLE
1732860000,2024-11-29T06:00:00,5.522,5.523,5.478,5.486,946.06,5189.68,PENDLE
1732863600,2024-11-29T07:00:00,5.472,5.458,5.412,5.435,3014.8,16386.74,PENDLE
1732867200,2024-11-29T08:00:00,5.435,5.509,5.455,5.501,198.8,1093.67,PENDLE
1732870800,2024-11-29T09:00:00,5.495,5.505,5.475,5.499,553.46,3041.61,PENDLE
1732874400,2024-11-29T10:00:00,5.513,5.542,5.488,5.508,1237.1,6814.13,PENDLE
1732878000,2024-11-29T11:00:00,5.508,5.566,5.531,5.563,690.3,3840.32,PENDLE
1732881600,2024-11-29T12:00:00,5.563,5.548,5.453,5.495,2162.8,11884.95,PENDLE
1732885200,2024-11-29T13:00:00,5.495,5.594,5.512,5.587,2068.8,11559.35,PENDLE
1732888800,2024-11-29T14:00:00,5.582,5.596,5.548,5.587,6556.8,36540.79,PENDLE
1732892400,2024-11-29T15:00:00,5.587,5.607,5.549,5.555,1469.01,8179.91,PENDLE
1732896000,2024-11-29T16:00:00,5.555,5.555,5.501,5.543,4337.86,23995.59,PENDLE
1732899600,2024-11-29T17:00:00,5.543,5.543,5.489,5.509,2357.25,13042.34,PENDLE
1732903200,2024-11-29T18:00:00,5.512,5.602,5.47,5.476,5837.0,31961.72,PENDLE
1732906800,2024-11-29T19:00:00,5.476,5.507,5.467,5.506,1256.9,6920.8,PENDLE
1732910400,2024-11-29T20:00:00,5.494,5.562,5.494,5.562,1916.2,10574.9,PENDLE
1732914000,2024-11-29T21:00:00,5.562,5.576,5.521,5.576,607.47,3374.91,PENDLE
1732917600,2024-11-29T22:00:00,5.576,5.59,5.576,5.577,2699.72,15037.8,PENDLE
1732921200,2024-11-29T23:00:00,5.577,5.628,5.577,5.617,2268.65,12747.17,PENDLE
1732924800,2024-11-30T00:00:00,5.629,5.623,5.53,5.552,6400.6,35538.36,PENDLE
1732928400,2024-11-30T01:00:00,5.552,5.625,5.485,5.623,4749.6,26707.41,PENDLE
1732932000,2024-11-30T02:00:00,5.623,5.747,5.62,5.713,5952.3,34006.93,PENDLE
1732935600,2024-11-30T03:00:00,5.713,5.861,5.716,5.857,2988.3,17502.33,PENDLE
1732939200,2024-11-30T04:00:00,5.857,5.879,5.8,5.815,1274.7,7412.15,PENDLE
1732942800,2024-11-30T05:00:00,5.811,5.882,5.783,5.876,5733.13,33490.15,PENDLE
1732946400,2024-11-30T06:00:00,5.865,5.879,5.791,5.797,3917.4,22707.95,PENDLE
1732950000,2024-11-30T07:00:00,5.803,5.859,5.802,5.849,3660.07,21282.55,PENDLE
1732953600,2024-11-30T08:00:00,5.849,5.849,5.75,5.789,8174.19,47338.77,PENDLE
1732957200,2024-11-30T09:00:00,5.789,5.789,5.736,5.758,1992.5,11510.5,PENDLE
1732960800,2024-11-30T10:00:00,5.758,5.768,5.602,5.602,2456.82,13920.32,PENDLE
1732964400,2024-11-30T11:00:00,5.602,5.692,5.602,5.656,5774.39,32733.58,PENDLE
1732968000,2024-11-30T12:00:00,5.642,5.693,5.656,5.693,3983.1,22674.33,PENDLE
1732971600,2024-11-30T13:00:00,5.693,5.718,5.683,5.683,2795.2,15883.93,PENDLE
1732975200,2024-11-30T14:00:00,5.72,5.748,5.696,5.7,1931.86,11034.38,PENDLE
1732978800,2024-11-30T15:00:00,5.7,5.809,5.696,5.791,4668.57,26939.38,PENDLE
1732982400,2024-11-30T16:00:00,5.791,5.799,5.744,5.777,2372.44,13737.57,PENDLE
1732986000,2024-11-30T17:00:00,5.777,5.79,5.752,5.763,1291.31,7433.83,PENDLE
1732989600,2024-11-30T18:00:00,5.763,5.766,5.747,5.749,820.63,4723.16,PENDLE
1732993200,2024-11-30T19:00:00,5.749,5.773,5.734,5.771,621.45,3573.65,PENDLE
1732996800,2024-11-30T20:00:00,5.771,5.815,5.766,5.811,1429.25,8254.16,PENDLE
1733000400,2024-11-30T21:00:00,5.811,5.824,5.788,5.824,4271.92,24816.25,PENDLE
1733004000,2024-11-30T22:00:00,5.824,5.831,5.764,5.772,798.75,4622.79,PENDLE
1733007600,2024-11-30T23:00:00,5.772,5.82,5.766,5.766,2047.23,11871.6,PENDLE
1733011200,2024-12-01T00:00:00,5.757,5.791,5.698,5.698,1828.0,10415.87,PENDLE
1733014800,2024-12-01T01:00:00,5.698,5.737,5.632,5.714,2069.9,11827.46,PENDLE
1733018400,2024-12-01T02:00:00,5.714,5.694,5.596,5.609,1844.2,10344.09,PENDLE
1733022000,2024-12-01T03:00:00,5.617,5.727,5.612,5.712,3664.05,20851.42,PENDLE
1733025600,2024-12-01T04:00:00,5.724,5.796,5.735,5.758,1719.5,9901.62,PENDLE
1733029200,2024-12-01T05:00:00,5.758,5.763,5.712,5.74,1896.0,10883.53,PENDLE
