timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,5.627,5.691,5.627,5.675,4044.38,22825.91,RUNE
1732514400,2024-11-25T06:00:00,5.678,5.68,5.629,5.629,7515.93,42306.34,RUNE
1732518000,2024-11-25T07:00:00,5.638,5.747,5.638,5.713,4737.81,26833.62,RUNE
1732521600,2024-11-25T08:00:00,5.713,5.777,5.7,5.777,1796.26,10330.53,RUNE
1732525200,2024-11-25T09:00:00,5.777,5.939,5.777,5.887,15713.42,92691.97,RUNE
1732528800,2024-11-25T10:00:00,5.887,5.912,5.845,5.881,15675.34,92319.15,RUNE
1732532400,2024-11-25T11:00:00,5.881,5.898,5.725,5.751,11373.6,66196.2,RUNE
1732536000,2024-11-25T12:00:00,5.751,5.807,5.743,5.761,6759.93,38995.12,RUNE
1732539600,2024-11-25T13:00:00,5.761,5.812,5.571,5.652,9435.17,53368.84,RUNE
1732543200,2024-11-25T14:00:00,5.652,5.689,5.482,5.493,8773.89,48662.42,RUNE
1732546800,2024-11-25T15:00:00,5.467,5.632,5.44,5.619,58162.63,326837.41,RUNE
1732550400,2024-11-25T16:00:00,5.628,5.689,5.548,5.595,6371.52,35786.18,RUNE
1732554000,2024-11-25T17:00:00,5.592,5.55,5.434,5.48,7940.46,43512.02,RUNE
1732557600,2024-11-25T18:00:00,5.481,5.528,5.464,5.477,5839.55,32130.54,RUNE
1732561200,2024-11-25T19:00:00,5.477,5.537,5.45,5.517,9325.3,51113.2,RUNE
1732564800,2024-11-25T20:00:00,5.517,5.602,5.486,5.567,4670.05,25823.54,RUNE
1732568400,2024-11-25T21:00:00,5.597,5.53,5.411,5.486,23483.42,128840.0,RUNE
1732572000,2024-11-25T22:00:00,5.486,5.529,5.392,5.498,21741.76,119540.09,RUNE
1732575600,2024-11-25T23:00:00,5.498,5.46,5.403,5.432,4385.43,23823.11,RUNE
1732579200,2024-11-26T00:00:00,5.426,5.59,5.4,5.525,4124.68,22677.81,RUNE
1732582800,2024-11-26T01:00:00,5.525,5.625,5.525,5.61,3695.4,20700.14,RUNE
1732586400,2024-11-26T02:00:00,5.612,5.624,5.589,5.623,6243.2,35102.72,RUNE
1732590000,2024-11-26T03:00:00,5.616,5.616,5.548,5.575,1698.29,9474.24,RUNE
1732593600,2024-11-26T04:00:00,5.575,5.575,5.541,5.554,31834.78,176785.91,RUNE
1732597200,2024-11-26T05:00:00,5.554,5.599,5.55,5.591,3774.46,21071.65,RUNE
1732600800,2024-11-26T06:00:00,5.591,5.622,5.545,5.555,1742.43,9747.85,RUNE
1732604400,2024-11-26T07:00:00,5.553,5.509,5.437,5.456,4889.6,26677.1,RUNE
1732608000,2024-11-26T08:00:00,5.456,5.421,5.292,5.312,15907.85,84499.81,RUNE
1732611600,2024-11-26T09:00:00,5.312,5.382,5.308,5.342,10314.58,55103.33,RUNE
1732615200,2024-11-26T10:00:00,5.345,5.345,5.193,5.193,7482.26,39278.33,RUNE
1732618800,2024-11-26T11:00:00,5.193,5.227,5.064,5.19,12360.88,63211.76,RUNE
1732622400,2024-11-26T12:00:00,5.182,5.199,5.091,5.136,21642.18,111149.73,RUNE
1732626000,2024-11-26T13:00:00,5.136,5.195,5.136,5.163,11890.75,61393.43,RUNE
1732629600,2024-11-26T14:00:00,5.163,5.32,5.213,5.316,10658.84,56665.32,RUNE
1732633200,2024-11-26T15:00:00,5.326,5.326,5.177,5.214,14265.12,74580.34,RUNE
1732636800,2024-11-26T16:00:00,5.214,5.315,5.2,5.285,9168.91,48029.01,RUNE
1732640400,2024-11-26T17:00:00,5.285,5.285,5.239,5.266,6185.65,32515.95,RUNE
1732644000,2024-11-26T18:00:00,5.266,5.281,5.114,5.203,9320.99,48104.48,RUNE
1732647600,2024-11-26T19:00:00,5.203,5.21,5.139,5.192,13349.22,69023.36,RUNE
1732651200,2024-11-26T20:00:00,5.192,5.297,5.192,5.254,6416.95,33644.89,RUNE
1732654800,2024-11-26T21:00:00,5.254,5.254,5.187,5.228,3962.85,20627.25,RUNE
1732658400,2024-11-26T22:00:00,5.228,5.291,5.212,5.269,45778.22,241662.71,RUNE
1732662000,2024-11-26T23:00:00,5.269,5.269,5.23,5.261,6253.8,32813.47,RUNE
1732665600,2024-11-27T00:00:00,5.261,5.301,5.193,5.21,6922.97,36409.95,RUNE
1732669200,2024-11-27T01:00:00,5.21,5.291,5.177,5.288,5314.7,27697.31,RUNE
1732672800,2024-11-27T02:00:00,5.288,5.315,5.227,5.315,4967.13,26172.23,RUNE
1732676400,2024-11-27T03:00:00,5.315,5.333,5.277,5.289,5286.78,28026.44,RUNE
1732680000,2024-11-27T04:00:00,5.289,5.367,5.28,5.321,3231.91,17207.97,RUNE
1732683600,2024-11-27T05:00:00,5.326,5.373,5.337,5.347,5216.35,27891.61,RUNE
1732687200,2024-11-27T06:00:00,5.34,5.426,5.34,5.39,2677.88,14445.58,RUNE
1732690800,2024-11-27T07:00:00,5.39,5.468,5.39,5.466,3236.44,17600.02,RUNE
1732694400,2024-11-27T08:00:00,5.466,5.488,5.45,5.463,2867.16,15669.37,RUNE
1732698000,2024-11-27T09:00:00,5.441,5.442,5.416,5.425,1945.87,10556.64,RUNE
1732701600,2024-11-27T10:00:00,5.422,5.559,5.422,5.545,3666.19,20310.89,RUNE
1732705200,2024-11-27T11:00:00,5.546,5.526,5.478,5.491,6514.48,35771.2,RUNE
