timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,0.8021,0.8219,0.779,0.8146,4482767.03,3588918.56,SAND
1732514400,2024-11-25T06:00:00,0.8146,0.8165,0.764,0.7689,3263974.96,2586537.93,SAND
1732518000,2024-11-25T07:00:00,0.7689,0.7873,0.7532,0.7614,2389525.65,1834008.21,SAND
1732521600,2024-11-25T08:00:00,0.7614,0.7622,0.7375,0.7477,2133536.43,1595145.29,SAND
1732525200,2024-11-25T09:00:00,0.7477,0.7883,0.7471,0.7719,1992983.0,1532166.55,SAND
1732528800,2024-11-25T10:00:00,0.7719,0.7794,0.7515,0.7613,1560644.25,1193232.68,SAND
1732532400,2024-11-25T11:00:00,0.7613,0.7682,0.7377,0.7414,983292.61,740922.7,SAND
1732536000,2024-11-25T12:00:00,0.7414,0.7873,0.7358,0.7486,2856661.51,2185176.6,SAND
1732539600,2024-11-25T13:00:00,0.7486,0.7694,0.7168,0.7235,2427378.43,1800469.01,SAND
1732543200,2024-11-25T14:00:00,0.7235,0.7364,0.7034,0.7076,3230601.75,2325899.67,SAND
1732546800,2024-11-25T15:00:00,0.7076,0.8003,0.7006,0.7701,4807153.11,3606538.42,SAND
1732550400,2024-11-25T16:00:00,0.7701,0.7816,0.7376,0.7396,3027615.7,2289704.9,SAND
1732554000,2024-11-25T17:00:00,0.7396,0.7397,0.6954,0.7128,2859716.59,2044763.94,SAND
1732557600,2024-11-25T18:00:00,0.7128,0.7373,0.7123,0.7195,2744380.6,1982534.71,SAND
1732561200,2024-11-25T19:00:00,0.7195,0.7336,0.7165,0.7253,1929307.82,1399992.7,SAND
1732564800,2024-11-25T20:00:00,0.7253,0.7349,0.713,0.7232,1433123.84,1037434.84,SAND
1732568400,2024-11-25T21:00:00,0.7232,0.7263,0.6857,0.6994,2143342.59,1499408.24,SAND
1732572000,2024-11-25T22:00:00,0.6994,0.7114,0.6752,0.7,2572452.25,1787585.91,SAND
