timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,72.12,73.36,71.92,72.97,1950.77,142069.42,TRB
1732514400,2024-11-25T06:00:00,72.97,73.24,71.8,71.85,952.79,69082.42,TRB
1732518000,2024-11-25T07:00:00,71.85,73.18,71.52,72.56,1414.21,102206.27,TRB
1732521600,2024-11-25T08:00:00,72.56,72.9,72.17,72.9,1145.13,82966.84,TRB
1732525200,2024-11-25T09:00:00,72.9,74.02,72.9,73.02,1428.66,105008.52,TRB
1732528800,2024-11-25T10:00:00,73.02,73.63,72.2,73.56,1344.25,98156.83,TRB
1732532400,2024-11-25T11:00:00,73.56,73.74,72.14,72.53,2825.5,205990.46,TRB
1732536000,2024-11-25T12:00:00,72.53,73.23,72.26,73.0,1873.0,136264.72,TRB
1732539600,2024-11-25T13:00:00,73.0,73.36,70.65,71.49,4618.56,331104.5,TRB
1732543200,2024-11-25T14:00:00,71.49,72.45,69.83,70.11,2109.35,149705.98,TRB
1732546800,2024-11-25T15:00:00,70.11,73.0,68.65,72.26,5751.07,404200.83,TRB
1732550400,2024-11-25T16:00:00,72.26,73.4,71.4,72.42,2873.13,208756.19,TRB
1732554000,2024-11-25T17:00:00,72.42,72.42,70.37,71.24,4014.73,286389.96,TRB
1732557600,2024-11-25T18:00:00,71.24,72.36,71.06,71.61,765.26,54912.9,TRB
1732561200,2024-11-25T19:00:00,71.61,73.13,71.16,72.61,522.19,37680.48,TRB
1732564800,2024-11-25T20:00:00,72.61,73.26,72.07,72.86,1270.86,92487.25,TRB
1732568400,2024-11-25T21:00:00,72.86,72.87,70.41,71.43,1562.51,111710.22,TRB
1732572000,2024-11-25T22:00:00,71.43,71.88,69.0,71.24,2077.94,147340.26,TRB
1732575600,2024-11-25T23:00:00,71.24,71.79,70.59,71.06,3008.16,213220.2,TRB
1732579200,2024-11-26T00:00:00,71.06,73.0,70.15,71.8,4702.8,338903.33,TRB
1732582800,2024-11-26T01:00:00,71.8,73.19,71.77,72.72,2113.97,153719.25,TRB
1732586400,2024-11-26T02:00:00,72.72,74.02,72.52,73.88,2150.02,157929.48,TRB
1732590000,2024-11-26T03:00:00,73.88,74.2,72.44,73.77,2649.08,194522.38,TRB
1732593600,2024-11-26T04:00:00,73.77,74.43,72.79,73.52,2476.11,181806.94,TRB
1732597200,2024-11-26T05:00:00,73.52,74.0,73.32,73.78,847.77,62448.26,TRB
1732600800,2024-11-26T06:00:00,73.78,73.8,72.58,72.75,874.67,64060.09,TRB
