timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,7.597,7.597,6.991,7.495,95.06,669.31,UNIBOT
1732514400,2024-11-25T06:00:00,7.495,7.495,7.463,7.483,16.07,120.07,UNIBOT
1732518000,2024-11-25T07:00:00,7.483,7.541,7.01,7.541,115.94,873.43,UNIBOT
1732521600,2024-11-25T08:00:00,7.541,7.541,7.112,7.494,17.23,126.35,UNIBOT
1732525200,2024-11-25T09:00:00,7.494,7.7,7.12,7.7,64.47,486.02,UNIBOT
1732528800,2024-11-25T10:00:00,7.7,7.7,7.335,7.382,20.49,154.17,UNIBOT
1732532400,2024-11-25T11:00:00,7.382,7.7,7.382,7.7,13.54,104.09,UNIBOT
1732536000,2024-11-25T12:00:00,7.7,7.914,7.7,7.914,2.102,16.6,UNIBOT
1732539600,2024-11-25T13:00:00,7.914,8.014,7.857,7.857,5.421,42.92,UNIBOT
1732543200,2024-11-25T14:00:00,7.857,7.99,7.329,7.341,6.597,49.2,UNIBOT
1732546800,2024-11-25T15:00:00,7.341,7.887,7.308,7.495,31.62,239.59,UNIBOT
1732550400,2024-11-25T16:00:00,7.495,7.891,7.303,7.891,9.733,72.84,UNIBOT
1732554000,2024-11-25T17:00:00,7.891,7.891,7.35,7.884,20.5,153.9,UNIBOT
1732557600,2024-11-25T18:00:00,7.884,7.888,7.495,7.888,6.633,50.95,UNIBOT
1732561200,2024-11-25T19:00:00,7.888,7.888,7.303,7.327,7.475,56.85,UNIBOT
1732564800,2024-11-25T20:00:00,7.327,7.888,7.311,7.311,2.092,15.74,UNIBOT
1732568400,2024-11-25T21:00:00,7.311,7.89,7.227,7.6,144.53,1097.95,UNIBOT
1732572000,2024-11-25T22:00:00,7.6,7.813,7.304,7.813,6.12,46.49,UNIBOT
1732575600,2024-11-25T23:00:00,7.813,7.813,7.813,7.813,0.0,0.0,UNIBOT
1732579200,2024-11-26T00:00:00,7.813,7.813,7.813,7.813,0.0,0.0,UNIBOT
1732582800,2024-11-26T01:00:00,7.813,7.813,7.813,7.813,0.0,0.0,UNIBOT
1732586400,2024-11-26T02:00:00,7.813,7.878,7.813,7.878,1.738,13.68,UNIBOT
1732590000,2024-11-26T03:00:00,7.878,7.956,7.516,7.956,1.267,9.734,UNIBOT
1732593600,2024-11-26T04:00:00,7.956,8.093,7.956,8.093,13.21,106.62,UNIBOT
1732597200,2024-11-26T05:00:00,8.093,8.184,7.597,7.938,16.45,133.26,UNIBOT
1732600800,2024-11-26T06:00:00,7.938,7.938,7.7,7.7,0.539,4.15,UNIBOT
1732604400,2024-11-26T07:00:00,7.7,7.896,7.7,7.896,4.201,33.17,UNIBOT
1732608000,2024-11-26T08:00:00,7.896,7.896,7.7,7.743,4.383,33.83,UNIBOT
1732611600,2024-11-26T09:00:00,7.743,7.778,7.5,7.778,8.89,67.92,UNIBOT
1732615200,2024-11-26T10:00:00,7.778,7.778,7.509,7.509,1.123,8.583,UNIBOT
1732618800,2024-11-26T11:00:00,7.509,7.72,7.027,7.034,64.18,481.16,UNIBOT
1732622400,2024-11-26T12:00:00,7.034,7.034,7.01,7.01,0.98,6.881,UNIBOT
1732626000,2024-11-26T13:00:00,7.01,7.303,7.01,7.303,0.439,3.206,UNIBOT
1732629600,2024-11-26T14:00:00,7.303,7.582,7.01,7.06,8.062,57.59,UNIBOT
1732633200,2024-11-26T15:00:00,7.06,7.597,7.024,7.597,26.72,195.07,UNIBOT
1732636800,2024-11-26T16:00:00,7.597,7.62,7.01,7.62,23.77,176.7,UNIBOT
1732640400,2024-11-26T17:00:00,7.62,7.71,7.618,7.71,29.01,222.9,UNIBOT
1732644000,2024-11-26T18:00:00,7.71,7.778,7.209,7.733,17.83,134.5,UNIBOT
1732647600,2024-11-26T19:00:00,7.733,7.733,7.309,7.309,0.539,3.94,UNIBOT
1732651200,2024-11-26T20:00:00,7.309,7.309,7.309,7.309,0.0,0.0,UNIBOT
1732654800,2024-11-26T21:00:00,7.309,7.781,7.309,7.781,19.41,148.42,UNIBOT
1732658400,2024-11-26T22:00:00,7.781,7.95,7.308,7.308,102.18,791.14,UNIBOT
1732662000,2024-11-26T23:00:00,7.308,8.0,7.308,8.0,1.535,12.17,UNIBOT
1732665600,2024-11-27T00:00:00,8.0,8.0,7.303,7.303,56.07,438.52,UNIBOT
1732669200,2024-11-27T01:00:00,7.303,7.303,7.303,7.303,0.539,3.937,UNIBOT
1732672800,2024-11-27T02:00:00,7.303,7.976,7.303,7.329,16.38,121.29,UNIBOT
1732676400,2024-11-27T03:00:00,7.329,7.329,7.329,7.329,0.0,0.0,UNIBOT
1732680000,2024-11-27T04:00:00,7.329,7.329,7.303,7.303,0.927,6.77,UNIBOT
1732683600,2024-11-27T05:00:00,7.303,8.4,7.303,8.4,93.78,737.23,UNIBOT
1732687200,2024-11-27T06:00:00,8.4,8.6,7.816,8.466,49.65,413.68,UNIBOT
1732690800,2024-11-27T07:00:00,8.466,8.513,7.801,8.387,55.31,448.21,UNIBOT
1732694400,2024-11-27T08:00:00,8.387,8.478,7.781,8.42,37.55,303.44,UNIBOT
1732698000,2024-11-27T09:00:00,8.42,8.478,7.808,8.478,6.024,48.45,UNIBOT
1732701600,2024-11-27T10:00:00,8.478,8.478,7.858,7.879,7.869,63.79,UNIBOT
1732705200,2024-11-27T11:00:00,7.879,8.462,7.879,8.462,2.539,21.25,UNIBOT
1732708800,2024-11-27T12:00:00,8.462,8.601,7.918,8.601,21.17,178.59,UNIBOT
1732712400,2024-11-27T13:00:00,8.601,8.8,8.184,8.759,101.46,876.68,UNIBOT
1732716000,2024-11-27T14:00:00,8.759,8.8,8.566,8.8,123.55,1077.05,UNIBOT
1732719600,2024-11-27T15:00:00,8.8,9.059,8.683,9.058,30.84,271.96,UNIBOT
1732723200,2024-11-27T16:00:00,9.058,9.259,8.855,9.095,81.53,739.16,UNIBOT
1732726800,2024-11-27T17:00:00,9.095,10.0,9.017,9.93,612.05,5859.41,UNIBOT
1732730400,2024-11-27T18:00:00,9.93,9.93,9.501,9.55,340.24,3311.42,UNIBOT
1732734000,2024-11-27T19:00:00,9.55,9.796,9.46,9.5,330.48,3151.85,UNIBOT
1732737600,2024-11-27T20:00:00,9.5,9.8,9.44,9.684,58.89,570.61,UNIBOT
1732741200,2024-11-27T21:00:00,9.684,9.998,8.9,9.752,112.33,1080.58,UNIBOT
1732744800,2024-11-27T22:00:00,9.752,10.31,9.752,9.937,343.11,3458.92,UNIBOT
1732748400,2024-11-27T23:00:00,9.937,10.26,9.869,10.0,184.72,1855.5,UNIBOT
1732752000,2024-11-28T00:00:00,10.0,10.24,9.846,9.846,92.17,922.63,UNIBOT
1732755600,2024-11-28T01:00:00,9.846,9.905,9.64,9.717,49.4,481.64,UNIBOT
1732759200,2024-11-28T02:00:00,9.717,9.868,9.578,9.578,53.58,516.73,UNIBOT
1732762800,2024-11-28T03:00:00,9.578,9.857,9.325,9.544,207.98,2009.89,UNIBOT
1732766400,2024-11-28T04:00:00,9.544,10.8,9.231,10.8,1604.63,15521.64,UNIBOT
1732770000,2024-11-28T05:00:00,10.8,10.8,9.321,9.786,173.5,1660.62,UNIBOT
1732773600,2024-11-28T06:00:00,9.786,9.786,9.301,9.468,56.46,533.71,UNIBOT
1732777200,2024-11-28T07:00:00,9.468,9.468,8.976,8.979,132.81,1213.42,UNIBOT
1732780800,2024-11-28T08:00:00,8.979,9.201,8.949,9.189,51.17,465.9,UNIBOT
1732784400,2024-11-28T09:00:00,9.189,9.313,9.074,9.31,35.01,323.52,UNIBOT
1732788000,2024-11-28T10:00:00,9.31,9.349,8.935,8.935,15.37,142.23,UNIBOT
1732791600,2024-11-28T11:00:00,8.935,9.403,8.935,9.403,17.66,164.97,UNIBOT
1732795200,2024-11-28T12:00:00,9.403,9.576,8.959,9.524,27.23,255.69,UNIBOT
1732798800,2024-11-28T13:00:00,9.524,9.621,9.008,9.024,37.07,348.85,UNIBOT
1732802400,2024-11-28T14:00:00,9.024,9.525,8.906,9.446,11.64,106.12,UNIBOT
1732806000,2024-11-28T15:00:00,9.446,9.446,8.901,9.375,15.33,140.63,UNIBOT
1732809600,2024-11-28T16:00:00,9.375,9.401,8.9,9.367,5.276,48.73,UNIBOT
1732813200,2024-11-28T17:00:00,9.367,9.368,8.7,9.204,15.69,140.53,UNIBOT
1732816800,2024-11-28T18:00:00,9.204,9.255,8.535,8.634,52.6,464.28,UNIBOT
1732820400,2024-11-28T19:00:00,8.634,9.558,8.593,9.558,69.38,630.33,UNIBOT
1732824000,2024-11-28T20:00:00,9.558,9.558,8.762,8.861,32.18,288.68,UNIBOT
1732827600,2024-11-28T21:00:00,8.861,9.447,8.851,9.447,7.704,72.17,UNIBOT
1732831200,2024-11-28T22:00:00,9.447,9.469,8.863,8.869,7.338,67.84,UNIBOT
1732834800,2024-11-28T23:00:00,8.869,9.466,8.869,9.466,11.39,102.87,UNIBOT
1732838400,2024-11-29T00:00:00,9.466,9.492,8.88,8.88,58.77,532.96,UNIBOT
1732842000,2024-11-29T01:00:00,8.88,9.354,8.88,9.191,44.35,405.71,UNIBOT
1732845600,2024-11-29T02:00:00,9.191,9.322,8.88,9.322,1.535,13.88,UNIBOT
1732849200,2024-11-29T03:00:00,9.322,9.322,9.219,9.219,5.0,46.09,UNIBOT
1732852800,2024-11-29T04:00:00,9.219,9.439,9.124,9.439,1.085,10.07,UNIBOT
1732856400,2024-11-29T05:00:00,9.439,9.439,9.121,9.357,9.587,90.11,UNIBOT
1732860000,2024-11-29T06:00:00,9.357,9.365,8.964,8.989,3.992,36.56,UNIBOT
1732863600,2024-11-29T07:00:00,8.989,9.382,8.989,9.378,5.57,51.79,UNIBOT
1732867200,2024-11-29T08:00:00,9.378,9.391,9.352,9.352,1.381,12.95,UNIBOT
1732870800,2024-11-29T09:00:00,9.352,9.7,8.694,9.496,23.14,208.76,UNIBOT
1732874400,2024-11-29T10:00:00,9.496,9.496,8.963,8.963,0.512,4.589,UNIBOT
1732878000,2024-11-29T11:00:00,8.963,9.476,8.744,8.744,1.985,18.22,UNIBOT
1732881600,2024-11-29T12:00:00,8.744,9.478,8.6,8.6,248.22,2140.31,UNIBOT
1732885200,2024-11-29T13:00:00,8.6,9.344,8.6,9.316,74.3,669.55,UNIBOT
