timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,0.2745,0.2781,0.2741,0.278,16268.49,4521.64,W
1732514400,2024-11-25T06:00:00,0.278,0.2805,0.2751,0.2751,3420.54,953.53,W
1732518000,2024-11-25T07:00:00,0.2751,0.2817,0.2751,0.2812,15424.31,4312.78,W
1732521600,2024-11-25T08:00:00,0.2812,0.2835,0.2796,0.2835,37269.49,10502.51,W
1732525200,2024-11-25T09:00:00,0.2835,0.2853,0.2835,0.2836,18902.36,5381.76,W
1732528800,2024-11-25T10:00:00,0.2836,0.2837,0.2775,0.2809,23727.1,6663.19,W
1732532400,2024-11-25T11:00:00,0.2809,0.2825,0.2795,0.2796,20571.75,5763.93,W
1732536000,2024-11-25T12:00:00,0.2796,0.2835,0.2795,0.2822,3292.24,926.51,W
1732539600,2024-11-25T13:00:00,0.2822,0.2822,0.2751,0.2795,40284.53,11191.03,W
1732543200,2024-11-25T14:00:00,0.2795,0.2807,0.2702,0.2718,65148.98,17987.94,W
1732546800,2024-11-25T15:00:00,0.2718,0.2838,0.2654,0.2808,60004.74,16643.8,W
1732550400,2024-11-25T16:00:00,0.2808,0.2811,0.2753,0.2789,22827.17,6392.49,W
1732554000,2024-11-25T17:00:00,0.2789,0.2789,0.2722,0.2724,6046.17,1658.04,W
1732557600,2024-11-25T18:00:00,0.2724,0.2788,0.2724,0.2727,7154.74,1978.39,W
1732561200,2024-11-25T19:00:00,0.2727,0.2776,0.2727,0.2772,22657.62,6214.3,W
1732564800,2024-11-25T20:00:00,0.2772,0.28,0.2768,0.2797,10817.62,3026.21,W
1732568400,2024-11-25T21:00:00,0.2797,0.2813,0.271,0.2735,25590.75,7018.92,W
1732572000,2024-11-25T22:00:00,0.2735,0.2764,0.2679,0.2761,37279.17,10243.21,W
1732575600,2024-11-25T23:00:00,0.2761,0.2793,0.2739,0.2749,18027.34,4988.01,W
1732579200,2024-11-26T00:00:00,0.2749,0.2793,0.2715,0.2791,39600.01,10950.76,W
1732582800,2024-11-26T01:00:00,0.2791,0.2856,0.2779,0.2856,34436.15,9654.86,W
1732586400,2024-11-26T02:00:00,0.2856,0.2894,0.2851,0.2851,62577.29,17946.41,W
1732590000,2024-11-26T03:00:00,0.2851,0.2872,0.2796,0.2872,23482.32,6626.82,W
1732593600,2024-11-26T04:00:00,0.2872,0.2872,0.2812,0.282,14796.14,4163.74,W
1732597200,2024-11-26T05:00:00,0.282,0.288,0.2818,0.2854,20520.7,5837.34,W
1732600800,2024-11-26T06:00:00,0.2854,0.2858,0.284,0.2844,4326.21,1231.26,W
1732604400,2024-11-26T07:00:00,0.2844,0.2844,0.2725,0.2729,13472.19,3716.59,W
1732608000,2024-11-26T08:00:00,0.2729,0.2731,0.2657,0.2667,15479.83,4145.73,W
1732611600,2024-11-26T09:00:00,0.2667,0.2719,0.2654,0.2693,46925.21,12705.25,W
1732615200,2024-11-26T10:00:00,0.2693,0.2693,0.2605,0.2605,32678.56,8583.88,W
1732618800,2024-11-26T11:00:00,0.2605,0.263,0.2548,0.259,32535.79,8322.44,W
1732622400,2024-11-26T12:00:00,0.259,0.2643,0.2582,0.2586,27082.69,7090.99,W
1732626000,2024-11-26T13:00:00,0.2586,0.2628,0.2581,0.2608,38177.04,9960.13,W
1732629600,2024-11-26T14:00:00,0.2608,0.2678,0.2603,0.2678,19362.44,5104.96,W
1732633200,2024-11-26T15:00:00,0.2678,0.2678,0.2603,0.2631,27771.91,7289.18,W
1732636800,2024-11-26T16:00:00,0.2631,0.2671,0.2605,0.267,41287.67,10957.89,W
1732640400,2024-11-26T17:00:00,0.267,0.267,0.263,0.263,15570.46,4118.83,W
1732644000,2024-11-26T18:00:00,0.263,0.2631,0.2557,0.2582,28046.49,7242.0,W
1732647600,2024-11-26T19:00:00,0.2582,0.2598,0.256,0.2594,14252.82,3690.55,W
1732651200,2024-11-26T20:00:00,0.2594,0.2633,0.2582,0.2632,1712.43,446.27,W
1732654800,2024-11-26T21:00:00,0.2632,0.273,0.2611,0.2628,38153.97,10115.44,W
1732658400,2024-11-26T22:00:00,0.2628,0.2678,0.2628,0.2656,1974.1,526.16,W
1732662000,2024-11-26T23:00:00,0.2656,0.2663,0.2652,0.266,2685.66,714.47,W
1732665600,2024-11-27T00:00:00,0.266,0.2707,0.263,0.263,11834.83,3174.86,W
1732669200,2024-11-27T01:00:00,0.263,0.2681,0.2606,0.2681,3515.06,937.54,W
1732672800,2024-11-27T02:00:00,0.2681,0.275,0.2651,0.275,18161.9,4922.68,W
1732676400,2024-11-27T03:00:00,0.275,0.2775,0.2727,0.2727,17242.85,4727.72,W
1732680000,2024-11-27T04:00:00,0.2727,0.2794,0.2727,0.2764,14189.37,3917.04,W
1732683600,2024-11-27T05:00:00,0.2764,0.2784,0.2694,0.2752,19229.15,5270.91,W
1732687200,2024-11-27T06:00:00,0.2752,0.2818,0.2752,0.278,25032.2,7006.19,W
1732690800,2024-11-27T07:00:00,0.278,0.2789,0.2773,0.2773,7386.19,2055.32,W
