timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,0.7245,0.7317,0.7245,0.7313,20531.98,14935.42,ZETA
1732514400,2024-11-25T06:00:00,0.7313,0.7381,0.723,0.7264,68583.87,49982.31,ZETA
1732518000,2024-11-25T07:00:00,0.7264,0.7398,0.7259,0.7328,156925.47,115128.39,ZETA
1732521600,2024-11-25T08:00:00,0.7328,0.7558,0.7328,0.7531,60797.75,45251.75,ZETA
1732525200,2024-11-25T09:00:00,0.7531,0.7569,0.7433,0.7479,78519.58,58825.59,ZETA
1732528800,2024-11-25T10:00:00,0.7479,0.7787,0.7479,0.7567,640877.87,489966.36,ZETA
1732532400,2024-11-25T11:00:00,0.7567,0.7604,0.7421,0.7559,164214.59,123721.41,ZETA
1732536000,2024-11-25T12:00:00,0.7559,0.779,0.7531,0.7763,289643.8,222150.26,ZETA
1732539600,2024-11-25T13:00:00,0.7763,0.7763,0.7446,0.7598,445282.48,337910.09,ZETA
1732543200,2024-11-25T14:00:00,0.7598,0.7729,0.7326,0.7358,224176.94,169812.71,ZETA
1732546800,2024-11-25T15:00:00,0.7358,0.7651,0.7228,0.7588,203868.01,152027.4,ZETA
1732550400,2024-11-25T16:00:00,0.7588,0.7701,0.7441,0.7521,107645.9,81768.39,ZETA
1732554000,2024-11-25T17:00:00,0.7521,0.7521,0.7284,0.7378,60693.22,44797.52,ZETA
1732557600,2024-11-25T18:00:00,0.7378,0.7454,0.7314,0.737,180823.86,134170.89,ZETA
1732561200,2024-11-25T19:00:00,0.737,0.75,0.7327,0.7464,22328.4,16576.33,ZETA
1732564800,2024-11-25T20:00:00,0.7464,0.7601,0.743,0.7598,49474.77,37321.94,ZETA
1732568400,2024-11-25T21:00:00,0.7598,0.76,0.7328,0.7419,48193.7,35868.73,ZETA
1732572000,2024-11-25T22:00:00,0.7419,0.7488,0.715,0.7461,140975.97,103249.93,ZETA
1732575600,2024-11-25T23:00:00,0.7461,0.7528,0.7394,0.745,56611.68,42288.51,ZETA
1732579200,2024-11-26T00:00:00,0.745,0.7544,0.7297,0.736,111941.1,83457.26,ZETA
1732582800,2024-11-26T01:00:00,0.736,0.7729,0.7331,0.7678,279891.39,212525.4,ZETA
1732586400,2024-11-26T02:00:00,0.7678,0.7762,0.7589,0.7598,109237.52,83900.23,ZETA
1732590000,2024-11-26T03:00:00,0.7598,0.7682,0.7495,0.7639,248647.06,188678.86,ZETA
1732593600,2024-11-26T04:00:00,0.7639,0.7713,0.755,0.7643,101106.23,77216.73,ZETA
1732597200,2024-11-26T05:00:00,0.7643,0.7792,0.7636,0.7735,109878.69,84907.89,ZETA
1732600800,2024-11-26T06:00:00,0.7735,0.7789,0.768,0.7694,57047.31,44031.68,ZETA
1732604400,2024-11-26T07:00:00,0.7694,0.7694,0.742,0.7493,109291.6,82548.22,ZETA
1732608000,2024-11-26T08:00:00,0.7493,0.7493,0.722,0.7305,214526.27,156669.82,ZETA
1732611600,2024-11-26T09:00:00,0.7305,0.7388,0.7179,0.7275,48600.54,35550.59,ZETA
1732615200,2024-11-26T10:00:00,0.7275,0.73,0.7067,0.7067,66376.28,47706.18,ZETA
1732618800,2024-11-26T11:00:00,0.7067,0.7145,0.6894,0.7048,248197.29,173582.78,ZETA
1732622400,2024-11-26T12:00:00,0.7048,0.7061,0.6802,0.6917,92208.18,63622.65,ZETA
1732626000,2024-11-26T13:00:00,0.6917,0.702,0.6869,0.6918,32289.15,22416.17,ZETA
1732629600,2024-11-26T14:00:00,0.6918,0.7116,0.6843,0.7082,152360.14,106075.96,ZETA
1732633200,2024-11-26T15:00:00,0.7082,0.7082,0.6909,0.6919,38776.02,27059.05,ZETA
1732636800,2024-11-26T16:00:00,0.6919,0.7177,0.6885,0.7149,30766.2,21716.2,ZETA
1732640400,2024-11-26T17:00:00,0.7149,0.7215,0.7073,0.7161,94924.76,68278.1,ZETA
1732644000,2024-11-26T18:00:00,0.7161,0.7166,0.6902,0.7006,98286.37,69395.29,ZETA
1732647600,2024-11-26T19:00:00,0.7006,0.7028,0.6935,0.701,30847.71,21584.67,ZETA
1732651200,2024-11-26T20:00:00,0.701,0.7164,0.7004,0.713,26903.84,19038.23,ZETA
1732654800,2024-11-26T21:00:00,0.713,0.7188,0.7061,0.7137,40474.16,28809.18,ZETA
1732658400,2024-11-26T22:00:00,0.7137,0.7355,0.7128,0.728,197508.92,144570.16,ZETA
1732662000,2024-11-26T23:00:00,0.728,0.7372,0.7217,0.731,99371.98,72368.58,ZETA
1732665600,2024-11-27T00:00:00,0.731,0.7388,0.7087,0.7096,144959.58,104367.0,ZETA
1732669200,2024-11-27T01:00:00,0.7096,0.7344,0.7066,0.7336,228053.01,164303.28,ZETA
1732672800,2024-11-27T02:00:00,0.7336,0.7386,0.7206,0.7378,91222.51,66674.17,ZETA
1732676400,2024-11-27T03:00:00,0.7378,0.741,0.7254,0.7254,121501.43,89473.34,ZETA
1732680000,2024-11-27T04:00:00,0.7254,0.7432,0.7248,0.7316,99167.86,72993.86,ZETA
1732683600,2024-11-27T05:00:00,0.7316,0.7361,0.7246,0.7318,45906.53,33574.87,ZETA
1732687200,2024-11-27T06:00:00,0.7318,0.7469,0.7318,0.7356,49679.32,36771.62,ZETA
1732690800,2024-11-27T07:00:00,0.7356,0.7486,0.7345,0.7476,57755.33,42951.94,ZETA
1732694400,2024-11-27T08:00:00,0.7476,0.7709,0.7464,0.7622,66673.97,50273.6,ZETA
1732698000,2024-11-27T09:00:00,0.7622,0.766,0.7525,0.764,140345.86,106496.23,ZETA
1732701600,2024-11-27T10:00:00,0.764,0.7951,0.7633,0.7778,243208.96,189146.66,ZETA
1732705200,2024-11-27T11:00:00,0.7778,0.7945,0.7746,0.7853,198220.69,155554.94,ZETA
1732708800,2024-11-27T12:00:00,0.7853,0.7929,0.7657,0.776,136060.07,105617.34,ZETA
1732712400,2024-11-27T13:00:00,0.776,0.7874,0.7676,0.7823,135933.13,105759.84,ZETA
1732716000,2024-11-27T14:00:00,0.7823,0.7878,0.7768,0.7874,66816.67,52270.7,ZETA
1732719600,2024-11-27T15:00:00,0.7874,0.7962,0.7821,0.7907,166415.77,131423.04,ZETA
1732723200,2024-11-27T16:00:00,0.7907,0.8035,0.7831,0.7861,230881.85,184305.41,ZETA
1732726800,2024-11-27T17:00:00,0.7861,0.7946,0.7821,0.7937,69955.48,55748.62,ZETA
1732730400,2024-11-27T18:00:00,0.7937,0.7957,0.7864,0.7864,106923.87,84730.61,ZETA
1732734000,2024-11-27T19:00:00,0.7864,0.7915,0.7842,0.7866,39501.5,31126.01,ZETA
1732737600,2024-11-27T20:00:00,0.7866,0.7924,0.7864,0.7895,136835.83,107975.47,ZETA
1732741200,2024-11-27T21:00:00,0.7895,0.7921,0.7747,0.7768,87212.22,68278.91,ZETA
1732744800,2024-11-27T22:00:00,0.7768,0.7808,0.7702,0.7808,77749.74,60362.19,ZETA
1732748400,2024-11-27T23:00:00,0.7808,0.799,0.7806,0.7967,83595.36,65975.39,ZETA
1732752000,2024-11-28T00:00:00,0.7967,0.8306,0.7843,0.8204,424235.52,346978.58,ZETA
1732755600,2024-11-28T01:00:00,0.8204,0.8256,0.8061,0.8123,114074.71,93102.33,ZETA
1732759200,2024-11-28T02:00:00,0.8123,0.8136,0.785,0.7865,200336.25,159735.64,ZETA
1732762800,2024-11-28T03:00:00,0.7865,0.7897,0.7714,0.7806,52921.9,41276.45,ZETA
1732766400,2024-11-28T04:00:00,0.7806,0.7962,0.7777,0.7957,58904.82,46560.92,ZETA
1732770000,2024-11-28T05:00:00,0.7957,0.801,0.782,0.7842,43762.54,34516.82,ZETA
1732773600,2024-11-28T06:00:00,0.7842,0.79,0.7744,0.7885,37075.62,29031.84,ZETA
1732777200,2024-11-28T07:00:00,0.7885,0.7942,0.7805,0.7849,91607.16,71881.34,ZETA
1732780800,2024-11-28T08:00:00,0.7849,0.7971,0.7766,0.7936,59629.04,46752.18,ZETA
1732784400,2024-11-28T09:00:00,0.7936,0.7959,0.7787,0.7792,57547.56,45182.18,ZETA
1732788000,2024-11-28T10:00:00,0.7792,0.7886,0.7745,0.779,59577.68,46620.03,ZETA
1732791600,2024-11-28T11:00:00,0.779,0.7908,0.7732,0.7893,37205.96,29066.67,ZETA
1732795200,2024-11-28T12:00:00,0.7893,0.7978,0.7775,0.7904,99350.9,77866.35,ZETA
1732798800,2024-11-28T13:00:00,0.7904,0.8159,0.7813,0.8138,133636.52,107106.7,ZETA
1732802400,2024-11-28T14:00:00,0.8138,0.8138,0.7998,0.807,107427.37,86679.72,ZETA
1732806000,2024-11-28T15:00:00,0.807,0.8097,0.7909,0.7962,86539.87,68816.03,ZETA
1732809600,2024-11-28T16:00:00,0.7962,0.8118,0.7956,0.8003,85869.69,68953.32,ZETA
1732813200,2024-11-28T17:00:00,0.8003,0.8097,0.7974,0.7996,42596.73,34213.91,ZETA
1732816800,2024-11-28T18:00:00,0.7996,0.8112,0.7996,0.8088,59000.0,47557.38,ZETA
1732820400,2024-11-28T19:00:00,0.8088,0.8131,0.8045,0.8131,23727.43,19194.87,ZETA
1732824000,2024-11-28T20:00:00,0.8131,0.8182,0.7967,0.8002,44210.14,35760.3,ZETA
1732827600,2024-11-28T21:00:00,0.8002,0.8149,0.8002,0.8149,25339.69,20515.06,ZETA
1732831200,2024-11-28T22:00:00,0.8149,0.8264,0.8101,0.8252,60446.37,49465.58,ZETA
1732834800,2024-11-28T23:00:00,0.8252,0.8287,0.8192,0.8266,73728.72,60806.49,ZETA
1732838400,2024-11-29T00:00:00,0.8266,0.8266,0.7918,0.7935,187428.73,150789.53,ZETA
1732842000,2024-11-29T01:00:00,0.7935,0.7996,0.7856,0.7927,102536.61,81206.17,ZETA
1732845600,2024-11-29T02:00:00,0.7927,0.7992,0.7903,0.7951,86198.21,68460.87,ZETA
1732849200,2024-11-29T03:00:00,0.7951,0.7979,0.79,0.7918,23492.15,18635.09,ZETA
1732852800,2024-11-29T04:00:00,0.7918,0.7926,0.7852,0.7913,48760.1,38440.25,ZETA
1732856400,2024-11-29T05:00:00,0.7913,0.7988,0.7891,0.7897,37054.94,29435.78,ZETA
1732860000,2024-11-29T06:00:00,0.7897,0.7922,0.7837,0.7839,138896.84,109222.22,ZETA
1732863600,2024-11-29T07:00:00,0.7839,0.788,0.7771,0.7771,26141.4,20442.47,ZETA
1732867200,2024-11-29T08:00:00,0.7771,0.7864,0.775,0.7787,77144.22,60340.39,ZETA
1732870800,2024-11-29T09:00:00,0.7787,0.7882,0.777,0.7858,18896.51,14813.53,ZETA
1732874400,2024-11-29T10:00:00,0.7858,0.7917,0.7852,0.7906,16693.51,13165.77,ZETA
1732878000,2024-11-29T11:00:00,0.7906,0.8017,0.7888,0.7967,66117.24,52681.77,ZETA
1732881600,2024-11-29T12:00:00,0.7967,0.8079,0.794,0.7977,67681.77,54243.98,ZETA
