timestamp,datetime,open,high,low,close,volumefrom,volumeto,symbol
1732510800,2024-11-25T05:00:00,4.37,4.526,4.366,4.495,17107.07,76620.92,ZRO
1732514400,2024-11-25T06:00:00,4.495,4.498,4.385,4.387,112363.7,495935.72,ZRO
1732518000,2024-11-25T07:00:00,4.387,4.469,4.335,4.447,10334.95,45629.18,ZRO
1732521600,2024-11-25T08:00:00,4.447,4.5,4.431,4.484,9116.85,40760.2,ZRO
1732525200,2024-11-25T09:00:00,4.484,4.604,4.48,4.546,14297.25,65234.32,ZRO
1732528800,2024-11-25T10:00:00,4.546,4.578,4.489,4.575,18991.44,86693.26,ZRO
1732532400,2024-11-25T11:00:00,4.575,4.684,4.539,4.668,46256.37,213580.55,ZRO
1732536000,2024-11-25T12:00:00,4.668,4.687,4.512,4.56,49679.92,228210.71,ZRO
1732539600,2024-11-25T13:00:00,4.56,4.566,4.397,4.435,13392.5,59807.71,ZRO
1732543200,2024-11-25T14:00:00,4.435,4.469,4.272,4.287,31411.03,138021.42,ZRO
1732546800,2024-11-25T15:00:00,4.287,4.543,4.23,4.513,31582.27,137179.88,ZRO
1732550400,2024-11-25T16:00:00,4.513,4.522,4.316,4.358,19472.07,86168.77,ZRO
1732554000,2024-11-25T17:00:00,4.358,4.361,4.222,4.289,11753.66,50353.27,ZRO
1732557600,2024-11-25T18:00:00,4.289,4.351,4.275,4.29,10270.58,44289.23,ZRO
1732561200,2024-11-25T19:00:00,4.29,4.416,4.278,4.373,23259.73,100520.14,ZRO
1732564800,2024-11-25T20:00:00,4.373,4.457,4.362,4.424,53771.37,237048.18,ZRO
1732568400,2024-11-25T21:00:00,4.424,4.431,4.297,4.346,17620.28,76834.22,ZRO
1732572000,2024-11-25T22:00:00,4.346,4.441,4.222,4.387,32927.51,144202.1,ZRO
1732575600,2024-11-25T23:00:00,4.387,4.419,4.329,4.357,18010.78,78854.49,ZRO
1732579200,2024-11-26T00:00:00,4.357,4.459,4.295,4.339,59122.58,259610.46,ZRO
1732582800,2024-11-26T01:00:00,4.339,4.395,4.317,4.358,11884.15,51856.64,ZRO
1732586400,2024-11-26T02:00:00,4.358,4.39,4.339,4.342,6700.75,29223.52,ZRO
1732590000,2024-11-26T03:00:00,4.342,4.394,4.287,4.385,31086.39,134571.96,ZRO
1732593600,2024-11-26T04:00:00,4.385,4.398,4.326,4.352,3825.62,16678.18,ZRO
1732597200,2024-11-26T05:00:00,4.352,4.373,4.256,4.341,114431.31,493058.21,ZRO
1732600800,2024-11-26T06:00:00,4.341,4.386,4.315,4.316,14675.45,63922.64,ZRO
1732604400,2024-11-26T07:00:00,4.316,4.316,4.224,4.249,6774.5,28968.41,ZRO
1732608000,2024-11-26T08:00:00,4.249,4.259,4.124,4.239,23142.32,96826.4,ZRO
1732611600,2024-11-26T09:00:00,4.239,4.351,4.238,4.3,20754.28,89057.71,ZRO
1732615200,2024-11-26T10:00:00,4.3,4.302,4.201,4.201,12819.35,54400.17,ZRO
1732618800,2024-11-26T11:00:00,4.201,4.373,4.154,4.305,71118.32,303420.46,ZRO
1732622400,2024-11-26T12:00:00,4.305,4.369,4.218,4.258,24633.83,105675.63,ZRO
1732626000,2024-11-26T13:00:00,4.258,4.341,4.223,4.269,6562.64,28225.1,ZRO
1732629600,2024-11-26T14:00:00,4.269,4.428,4.214,4.38,35490.87,154914.17,ZRO
1732633200,2024-11-26T15:00:00,4.38,4.394,4.185,4.185,32221.78,138198.2,ZRO
1732636800,2024-11-26T16:00:00,4.185,4.319,4.169,4.253,9996.32,42336.41,ZRO
1732640400,2024-11-26T17:00:00,4.253,4.337,4.229,4.323,6180.5,26570.94,ZRO
1732644000,2024-11-26T18:00:00,4.323,4.323,4.136,4.217,21885.25,92075.52,ZRO
1732647600,2024-11-26T19:00:00,4.217,4.225,4.163,4.214,7546.22,31707.67,ZRO
1732651200,2024-11-26T20:00:00,4.214,4.332,4.2,4.307,19937.85,85005.26,ZRO
1732654800,2024-11-26T21:00:00,4.307,4.322,4.252,4.287,9218.72,39471.91,ZRO
1732658400,2024-11-26T22:00:00,4.287,4.375,4.278,4.325,10771.22,46756.41,ZRO
1732662000,2024-11-26T23:00:00,4.325,4.404,4.314,4.378,18462.12,80798.78,ZRO
1732665600,2024-11-27T00:00:00,4.378,4.405,4.245,4.267,25649.03,109954.63,ZRO
1732669200,2024-11-27T01:00:00,4.267,4.321,4.238,4.314,8969.52,38478.73,ZRO
1732672800,2024-11-27T02:00:00,4.314,4.416,4.264,4.408,13443.73,58626.33,ZRO
1732676400,2024-11-27T03:00:00,4.408,4.415,4.346,4.359,17786.39,77920.18,ZRO
1732680000,2024-11-27T04:00:00,4.359,4.576,4.354,4.43,26212.81,117866.95,ZRO
1732683600,2024-11-27T05:00:00,4.43,4.446,4.383,4.385,6848.38,30190.31,ZRO
1732687200,2024-11-27T06:00:00,4.385,4.471,4.385,4.406,7782.72,34567.23,ZRO
