time,project,amount_usd
2024-11-18 00:00:00.000 UTC,pumpdotfun,3.057558380648576e+09
2024-12-09 00:00:00.000 UTC,meteora,3.6580958166692247e+09
2024-01-29 00:00:00.000 UTC,lifinity,7.063430031675771e+08
2022-08-22 00:00:00.000 UTC,raydium,8.181785502307898e+07
2024-05-20 00:00:00.000 UTC,goosefx_ssl,183433.40765904932
2024-09-09 00:00:00.000 UTC,pumpdotfun,2.440167374802974e+08
2024-07-01 00:00:00.000 UTC,raydium,7.797365839418102e+09
2023-02-20 00:00:00.000 UTC,phoenix,0
2023-04-17 00:00:00.000 UTC,raydium,4.9347052582795605e+07
2024-09-23 00:00:00.000 UTC,whirlpool,2.6740786672386975e+09
2024-06-10 00:00:00.000 UTC,meteora,1.2425833685235765e+09
2025-01-06 00:00:00.000 UTC,pumpdotfun,2.23769796821733e+09
2022-09-05 00:00:00.000 UTC,raydium,8.689743110188425e+07
2023-10-23 00:00:00.000 UTC,lifinity,8.174018742423414e+07
2023-07-03 00:00:00.000 UTC,phoenix,9.51586636334331e+06
2024-09-16 00:00:00.000 UTC,meteora,8.149286478219732e+08
2024-06-17 00:00:00.000 UTC,pumpdotfun,4.432537251381677e+08
2025-01-27 00:00:00.000 UTC,phoenix,8.408152457579302e+08
2023-02-06 00:00:00.000 UTC,raydium,4.9780596586586624e+07
2024-10-28 00:00:00.000 UTC,phoenix,5.547225830078198e+08
2024-07-01 00:00:00.000 UTC,whirlpool,2.980968426150988e+09
2024-04-01 00:00:00.000 UTC,lifinity,1.459215141560311e+09
2022-07-25 00:00:00.000 UTC,lifinity,3.650251084769008e+07
2023-09-25 00:00:00.000 UTC,phoenix,9.832343325436102e+06
2024-09-02 00:00:00.000 UTC,whirlpool,2.148316199629152e+09
2024-08-12 00:00:00.000 UTC,goosefx_ssl,1.6659489672493655e+06
2023-10-30 00:00:00.000 UTC,meteora,6.2233624599446796e+07
2023-03-13 00:00:00.000 UTC,meteora,4.504488885198926e+06
2022-09-19 00:00:00.000 UTC,meteora,37683.67252292965
2023-09-11 00:00:00.000 UTC,phoenix,1.0921402367094552e+07
2022-10-10 00:00:00.000 UTC,meteora,36982.99648415307
2024-09-02 00:00:00.000 UTC,raydium,2.6848275759579983e+09
2023-05-15 00:00:00.000 UTC,whirlpool,8.292624711241692e+07
2023-02-27 00:00:00.000 UTC,lifinity,2.4590016646662932e+07
2024-01-22 00:00:00.000 UTC,lifinity,5.947440475420073e+08
2023-10-16 00:00:00.000 UTC,phoenix,2.3508666403014794e+07
2024-01-29 00:00:00.000 UTC,whirlpool,2.7335019662664094e+09
2023-01-30 00:00:00.000 UTC,whirlpool,1.658380862116142e+08
2024-10-07 00:00:00.000 UTC,lifinity,7.007941524392666e+08
2024-06-24 00:00:00.000 UTC,meteora,9.040764837884679e+08
2024-03-18 00:00:00.000 UTC,phoenix,1.493244660420087e+09
2023-02-13 00:00:00.000 UTC,lifinity,5.0279380851743415e+07
2023-07-17 00:00:00.000 UTC,whirlpool,1.3516323610792887e+08
2024-11-04 00:00:00.000 UTC,phoenix,8.264233772583104e+08
2023-07-03 00:00:00.000 UTC,whirlpool,1.3881317690299523e+08
2024-08-26 00:00:00.000 UTC,goosefx_ssl,412802.4671163063
2024-06-03 00:00:00.000 UTC,pumpdotfun,4.8378031088516444e+08
2024-11-25 00:00:00.000 UTC,phoenix,9.649570783680189e+08
2022-12-26 00:00:00.000 UTC,lifinity,1.9579230475242686e+07
2025-02-10 00:00:00.000 UTC,pumpdotfun,4.998527884803001e+08
2022-07-04 00:00:00.000 UTC,lifinity,2.82548482320765e+07
2023-02-27 00:00:00.000 UTC,raydium,3.564886697007199e+07
2022-11-07 00:00:00.000 UTC,whirlpool,4.183775524987285e+08
2024-11-11 00:00:00.000 UTC,raydium,3.67515218524636e+10
2024-12-02 00:00:00.000 UTC,lifinity,6.547136852126448e+09
2025-02-03 00:00:00.000 UTC,raydium,3.298467287978448e+10
2023-10-16 00:00:00.000 UTC,whirlpool,1.7323217810782826e+08
2023-07-24 00:00:00.000 UTC,phoenix,7.547052653453629e+06
2023-03-20 00:00:00.000 UTC,lifinity,5.514192007822903e+07
2024-09-02 00:00:00.000 UTC,goosefx_ssl,258525.16149061685
2024-06-24 00:00:00.000 UTC,whirlpool,2.1010163157434525e+09
2023-12-25 00:00:00.000 UTC,goosefx_ssl,1.002440968935865e+07
2023-01-30 00:00:00.000 UTC,raydium,4.934349918545294e+07
2024-11-25 00:00:00.000 UTC,raydium,2.8277414678175797e+10
2024-12-02 00:00:00.000 UTC,whirlpool,7.225304322520777e+09
2022-10-03 00:00:00.000 UTC,meteora,1527.2688062659522
2024-08-26 00:00:00.000 UTC,phoenix,4.0870911250494015e+08
2023-10-30 00:00:00.000 UTC,lifinity,1.1228221105303809e+08
2023-04-24 00:00:00.000 UTC,whirlpool,1.2900227647834969e+08
2024-03-11 00:00:00.000 UTC,goosefx_ssl,1.6261758079487595e+06
2023-05-08 00:00:00.000 UTC,meteora,1.6924283958923607e+06
2023-05-29 00:00:00.000 UTC,lifinity,3.244200093740199e+07
2024-04-15 00:00:00.000 UTC,meteora,1.3890195147873287e+09
2023-05-01 00:00:00.000 UTC,raydium,1.1535668442384593e+08
2023-07-31 00:00:00.000 UTC,raydium,3.332205218867472e+07
2024-05-27 00:00:00.000 UTC,phoenix,6.694893051908973e+08
2022-09-19 00:00:00.000 UTC,lifinity,2.767653788226616e+07
2023-04-17 00:00:00.000 UTC,phoenix,676117.6501518035
2024-06-17 00:00:00.000 UTC,goosefx_ssl,247450.91154753327
2024-04-08 00:00:00.000 UTC,whirlpool,3.7331341426737623e+09
2023-12-25 00:00:00.000 UTC,phoenix,3.553375673782457e+08
2023-05-15 00:00:00.000 UTC,meteora,1.4186061576633672e+06
2022-08-29 00:00:00.000 UTC,whirlpool,1.2050766710549468e+08
2022-09-05 00:00:00.000 UTC,meteora,86718.60621225789
2023-07-24 00:00:00.000 UTC,whirlpool,9.096243231776583e+07
2022-10-03 00:00:00.000 UTC,lifinity,1.2290721895657446e+07
2024-08-19 00:00:00.000 UTC,raydium,3.7077639847278414e+09
2024-08-12 00:00:00.000 UTC,pumpdotfun,4.9127540489242655e+08
2023-05-08 00:00:00.000 UTC,whirlpool,1.3336131218629907e+08
2023-08-14 00:00:00.000 UTC,meteora,5.026976236151235e+06
2023-10-02 00:00:00.000 UTC,phoenix,1.5601824704102254e+07
2024-08-26 00:00:00.000 UTC,pumpdotfun,2.9901087387008643e+08
2024-04-01 00:00:00.000 UTC,meteora,2.182521060233881e+09
2024-01-08 00:00:00.000 UTC,whirlpool,2.1713135082209306e+09
2024-01-15 00:00:00.000 UTC,lifinity,5.042514051942705e+08
2024-08-12 00:00:00.000 UTC,phoenix,4.1895706199692607e+08
2024-07-01 00:00:00.000 UTC,lifinity,8.261638851350398e+08
2024-05-27 00:00:00.000 UTC,pumpdotfun,5.0121531988767964e+08
2024-09-09 00:00:00.000 UTC,whirlpool,1.8831433793317552e+09
2024-06-10 00:00:00.000 UTC,whirlpool,2.2924782441632385e+09
2024-03-18 00:00:00.000 UTC,raydium,1.2057581887772928e+10
2023-12-25 00:00:00.000 UTC,whirlpool,2.770461872178287e+09
2024-06-24 00:00:00.000 UTC,raydium,7.918874504322104e+09
2024-12-23 00:00:00.000 UTC,pumpdotfun,1.6656374869208221e+09
2024-04-01 00:00:00.000 UTC,whirlpool,4.450390701622198e+09
2023-05-29 00:00:00.000 UTC,whirlpool,1.0386156351673111e+08
2023-08-07 00:00:00.000 UTC,raydium,3.54368031773705e+07
2022-10-10 00:00:00.000 UTC,lifinity,2.345619930570598e+07
2023-02-20 00:00:00.000 UTC,raydium,4.586992013135307e+07
2024-01-01 00:00:00.000 UTC,whirlpool,2.019274664251854e+09
2024-09-02 00:00:00.000 UTC,pumpdotfun,2.5970679669813585e+08
2024-11-25 00:00:00.000 UTC,whirlpool,1.0348642469639193e+10
2024-01-01 00:00:00.000 UTC,raydium,1.4615956362766774e+09
2022-11-07 00:00:00.000 UTC,raydium,3.728878708790188e+08
2024-09-30 00:00:00.000 UTC,lifinity,7.976185903300377e+08
2024-05-27 00:00:00.000 UTC,goosefx_ssl,8.497833385065893e+06
2022-09-12 00:00:00.000 UTC,meteora,5640.4361824226635
2023-10-09 00:00:00.000 UTC,goosefx_ssl,72040.92083193018
2023-07-17 00:00:00.000 UTC,phoenix,1.156966831195773e+07
2023-02-13 00:00:00.000 UTC,meteora,2.0453968915286006e+06
2023-07-03 00:00:00.000 UTC,raydium,5.6744797895287186e+07
2023-07-24 00:00:00.000 UTC,raydium,3.5536042819281206e+07
2024-09-09 00:00:00.000 UTC,raydium,2.731826164921182e+09
2024-11-11 00:00:00.000 UTC,pumpdotfun,2.264635088680263e+09
2024-08-19 00:00:00.000 UTC,goosefx_ssl,508887.06223514146
2023-03-06 00:00:00.000 UTC,meteora,5.374376199039475e+06
2023-08-07 00:00:00.000 UTC,meteora,5.367177334697697e+06
2022-12-19 00:00:00.000 UTC,lifinity,9.690926029356405e+06
2024-09-23 00:00:00.000 UTC,meteora,1.1511574232509835e+09
2024-07-01 00:00:00.000 UTC,meteora,1.0849512531545494e+09
2025-02-03 00:00:00.000 UTC,phoenix,6.629142548200827e+08
2024-01-15 00:00:00.000 UTC,meteora,3.1300968511559397e+08
2022-11-14 00:00:00.000 UTC,whirlpool,1.0995492664165416e+08
2024-12-09 00:00:00.000 UTC,lifinity,5.638836795819679e+09
2022-08-29 00:00:00.000 UTC,raydium,7.266781636233771e+07
2022-11-14 00:00:00.000 UTC,raydium,9.220320856418146e+07
2024-11-11 00:00:00.000 UTC,phoenix,1.5942157459320774e+09
2025-02-10 00:00:00.000 UTC,raydium,1.0571458924880695e+11
2023-02-06 00:00:00.000 UTC,whirlpool,1.3112937898958546e+08
2023-08-14 00:00:00.000 UTC,lifinity,3.224634320910359e+07
2022-06-27 00:00:00.000 UTC,lifinity,1.5027870594036445e+07
2024-06-03 00:00:00.000 UTC,raydium,9.858967239383774e+09
2024-03-25 00:00:00.000 UTC,whirlpool,4.3988779114144e+09
2024-03-11 00:00:00.000 UTC,phoenix,1.533559720026679e+09
2023-12-18 00:00:00.000 UTC,phoenix,4.230155754765977e+08
2024-01-29 00:00:00.000 UTC,meteora,1.2064427569321737e+09
2023-06-26 00:00:00.000 UTC,phoenix,9.938919548477167e+06
2022-11-28 00:00:00.000 UTC,lifinity,1.5298388743135592e+07
2022-11-21 00:00:00.000 UTC,meteora,17000.67988190471
2024-09-16 00:00:00.000 UTC,whirlpool,2.0845965876261501e+09
2023-10-09 00:00:00.000 UTC,phoenix,1.3257545253538324e+07
2024-06-17 00:00:00.000 UTC,raydium,8.408147332046393e+09
2025-02-03 00:00:00.000 UTC,pumpdotfun,1.9208635437620895e+09
2023-02-20 00:00:00.000 UTC,whirlpool,1.5289551624419713e+08
2022-11-28 00:00:00.000 UTC,meteora,5865.675319211761
2022-12-12 00:00:00.000 UTC,meteora,9333.469719156412
2024-07-08 00:00:00.000 UTC,lifinity,6.380791361092222e+08
2023-03-13 00:00:00.000 UTC,lifinity,5.9071901111524336e+07
2024-02-05 00:00:00.000 UTC,lifinity,4.476744025395795e+08
2023-10-16 00:00:00.000 UTC,raydium,7.944433836799297e+07
2024-05-06 00:00:00.000 UTC,goosefx_ssl,361976.708824402
2024-08-05 00:00:00.000 UTC,goosefx_ssl,5.156610674670479e+06
2023-09-04 00:00:00.000 UTC,lifinity,2.180430488273481e+07
2024-12-02 00:00:00.000 UTC,meteora,3.121191799415015e+09
2024-04-22 00:00:00.000 UTC,lifinity,9.561548860248199e+08
2025-01-06 00:00:00.000 UTC,phoenix,4.8263068313761544e+08
2023-04-17 00:00:00.000 UTC,meteora,1.5862719250236384e+06
2022-07-11 00:00:00.000 UTC,whirlpool,1.6582685661372223e+08
2022-07-18 00:00:00.000 UTC,lifinity,3.9462773174023665e+07
2023-10-23 00:00:00.000 UTC,goosefx_ssl,3.367454976455177e+06
2024-06-03 00:00:00.000 UTC,phoenix,5.715322747001635e+08
2023-01-23 00:00:00.000 UTC,whirlpool,1.9166505355895066e+08
2024-05-06 00:00:00.000 UTC,whirlpool,2.0121238303227582e+09
2022-10-17 00:00:00.000 UTC,meteora,7041.366349714637
2024-11-11 00:00:00.000 UTC,meteora,3.6824529851892242e+09
2024-07-08 00:00:00.000 UTC,phoenix,4.8763062882130426e+08
2023-06-05 00:00:00.000 UTC,lifinity,9.088308220019342e+07
2024-11-18 00:00:00.000 UTC,raydium,4.142507512892833e+10
2024-10-21 00:00:00.000 UTC,lifinity,2.1310611858649461e+09
2024-05-20 00:00:00.000 UTC,pumpdotfun,5.436668502030987e+08
2023-08-28 00:00:00.000 UTC,whirlpool,6.839134841291499e+07
2024-04-29 00:00:00.000 UTC,meteora,1.252773804603289e+09
2024-12-16 00:00:00.000 UTC,lifinity,6.460138397098319e+09
