week,blockchain,volume_usd,traders
2025-01-20T00:00:00Z,sonic,2.086689956623015e+08,6389
2024-09-02T00:00:00Z,ethereum,1.0798072841694313e+10,95151
2024-09-30T00:00:00Z,avalanche_c,6.493169338313761e+08,7542
2024-12-30T00:00:00Z,base,1.231922135449411e+10,2.992062e+06
2024-05-20T00:00:00Z,zkevm,9.340691177614477e+06,5154
2024-05-27T00:00:00Z,blast,6.123853940819811e+08,48587
2024-05-27T00:00:00Z,zksync,2.3032626529738355e+08,248898
2023-04-24T00:00:00Z,arbitrum,3.5227972116582727e+09,171885
2025-01-13T00:00:00Z,linea,1.8451251703306282e+08,7395
2024-09-02T00:00:00Z,fantom,3.478142312201007e+07,10001
2024-06-10T00:00:00Z,mantle,4.4466680904454544e+07,4865
2025-01-20T00:00:00Z,nova,234896.96908050944,135
2023-12-11T00:00:00Z,flare,2.3119503920440683e+06,559
2024-05-13T00:00:00Z,zora,194563.06166649036,2879
2025-01-20T00:00:00Z,zkevm,8.096654057884869e+06,455
2024-04-29T00:00:00Z,flare,771006.8232981986,324
2023-03-20T00:00:00Z,bnb,1.9623423735196812e+09,538815
2024-01-22T00:00:00Z,scroll,2.3547515941325553e+07,57397
2023-09-04T00:00:00Z,zkevm,6.231043363494799e+06,8003
2024-02-05T00:00:00Z,mantle,6.596928716403726e+07,9388
2023-11-27T00:00:00Z,optimism,3.000147777505607e+08,60744
2023-10-23T00:00:00Z,base,3.248776378283696e+08,55760
2022-07-18T00:00:00Z,fantom,2.6264316593921518e+08,23887
2023-08-21T00:00:00Z,celo,2.914200672823818e+06,4424
2024-09-30T00:00:00Z,sei,5.3636834930295296e+07,3238
2022-09-12T00:00:00Z,avalanche_c,3.1403349023475176e+08,17220
2024-03-18T00:00:00Z,zksync,9.153538476580065e+08,613617
2024-04-29T00:00:00Z,optimism,8.38383334586454e+08,321129
2023-07-10T00:00:00Z,fantom,1.9310803122498482e+08,22167
2024-12-09T00:00:00Z,fantom,7.339196717239903e+07,17463
2023-04-17T00:00:00Z,ronin,2.7584082524175063e+07,10992
2022-08-01T00:00:00Z,fantom,1.7118569575231382e+08,21813
2023-08-14T00:00:00Z,gnosis,1.9974127633242956e+06,2583
2023-05-15T00:00:00Z,nova,4.2098605252107885e+06,19456
2022-08-22T00:00:00Z,arbitrum,3.3429122182193035e+08,32837
2023-10-16T00:00:00Z,ronin,7.079336626681375e+06,5680
2023-11-06T00:00:00Z,fantom,2.212515974552675e+07,11673
2025-02-03T00:00:00Z,avalanche_c,1.1526279840411994e+09,11553
2023-08-21T00:00:00Z,optimism,2.4310130299411166e+08,66024
2024-03-11T00:00:00Z,ethereum,2.08808271871012e+10,286328
2024-10-21T00:00:00Z,sei,2.0028006710347507e+07,5542
2024-11-04T00:00:00Z,sei,5.116494419084714e+07,2454
2022-11-14T00:00:00Z,ronin,1.256956244621282e+07,9652
2024-12-16T00:00:00Z,flare,1.9448148111941516e+07,647
2024-12-09T00:00:00Z,nova,411916.11416233703,247
2024-09-09T00:00:00Z,boba,1295.524120929143,8
2024-09-30T00:00:00Z,ethereum,1.0826881601262133e+10,110804
2023-02-27T00:00:00Z,bnb,1.7188526498554077e+09,576349
2023-06-26T00:00:00Z,ronin,1.43190441009061e+07,7025
2023-05-29T00:00:00Z,ronin,1.314101157282686e+07,11902
2023-05-08T00:00:00Z,polygon,6.687206626797172e+08,97412
2024-01-22T00:00:00Z,kaia,305686.3006523107,1261
2024-09-16T00:00:00Z,flare,471414.2212910012,398
2024-02-05T00:00:00Z,scroll,2.4215741507618263e+07,43610
2024-01-22T00:00:00Z,arbitrum,2.777012573487491e+09,82994
