token_pair,seven_day_volume,thirty_day_volume,all_time_volume,break_1,fee_rate,all_time_fees,tokenA_fees,tokenB_fees,break_2,lps,tvl,tokenA_balance,tokenB_balance,tokenA_price,tokenB_price
<nil>,2.3868662427510732e+08,2.462727722636201e+09,8.323104868464138e+11,|,<nil>,8.744189918685807e+06,5.7406398742286766e+13,6.484532792500659e+13,|,<nil>,<nil>,<nil>,<nil>,<nil>,<nil>
"D4QW2-USDC<a href=""https://solscan.io/address/FwHnMYZGbvL6emsaL1xwc4apADGmKcT12GpuXAFwvFJx"" target=""blank""> (FwHn...) </a>",0,8.451908804900148e+10,1.7177692082690076e+11,|,1e-06,171776.92082690174,925668.1391483877,171739.34638898002,|,<nil>,0.014152056184,0.354518000000000000,0.014149000000000000,<nil>,1.000216
"SOL-USDC<a href=""https://solscan.io/address/Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE"" target=""blank""> (Czfq...) </a>",3.3816996224662933e+09,2.1829544046208015e+10,6.416061907537163e+10,|,0.0004,2.5664247630150154e+07,131935.69343090104,2.563627890808282e+07,|,26144,3.2339768031688526e+07,117990.227112187000000000,9019411.254676000000000000,197.63,1.000216
"BAE-USDC<a href=""https://solscan.io/address/DaxPY9ExZmTM5zHWdMx8GoBcCSTktjN1LxrxVGuis1yE"" target=""blank""> (DaxP...) </a>",0,3.469834293832919e+10,4.971431363086293e+10,|,1e-06,49714.31363086234,13171.489883446706,49700.16566112413,|,<nil>,210.178513755,88.627717000000000000,210.133125000000000000,<nil>,1.000216
"SOL-USDC<a href=""https://solscan.io/address/FpCMFDFGYotvufJ7HrFHsWEiiQCGbkLCtwHiDnh7o28Q"" target=""blank""> (FpCM...) </a>",1.352023318144514e+08,8.667394240687265e+08,2.8707125477371307e+10,|,0.0002,5.741425095474381e+06,41209.31523425347,5.73701082150391e+06,|,8795,688341.0711649589,2053.833062599000000000,282381.048697000000000000,197.63,1.000216
"USDC-OMARS<a href=""https://solscan.io/address/9kaLjEwiB8UgNxHUEfASugGVSSHdifJa9z6sCLrTHtom"" target=""blank""> (9kaL...) </a>",0,0,1.7202957336640285e+10,|,1e-06,17202.95733664032,17197.738252073977,29.98552461496105,|,<nil>,0.0028806220800000003,0.002880000000000000,0.000002914000000000,1.000216,<nil>
"SOL-USDC<a href=""https://solscan.io/address/7qbRF6YsyGuLUVs6Y1q64bdVrfe4ZcUUz1JRdoVNUJnm"" target=""blank""> (7qbR...) </a>",2.638201884545492e+08,1.916607486425989e+09,1.462058993236298e+10,|,0.0005,7.31029496618346e+06,123591.67964038276,7.299491780991145e+06,|,9638,5.3472359549666215e+06,22813.844734199000000000,838354.735524000000000000,197.63,1.000216
"HELEN-USDC<a href=""https://solscan.io/address/2SGwaJDNtZfVrRYdzAZv3xMPwz6YeXp8wJQQZgxridrR"" target=""blank""> (2SGw...) </a>",0,0,1.4304795979768095e+10,|,1e-06,14304.795979768065,4260.926730157684,14300.341152938294,|,<nil>,0.001625351,0.001687000000000000,0.001625000000000000,<nil>,1.000216
"NGMIX-USDC<a href=""https://solscan.io/address/6GHNRh1xMf9pTgELDtzsetKTvuirHyiQVMQwgKLYX3J7"" target=""blank""> (6GHN...) </a>",0,0,1.2986078221889029e+10,|,1e-06,12986.078221888998,1201.7239201481425,12981.56306770923,|,<nil>,0.001667360072,0.000001634000000000,0.001667000000000000,<nil>,1.000216
"USDC-UCIT<a href=""https://solscan.io/address/C3nGKmfM3CHhNuPza2P5crszq25zbvUaHkziCGrEeT9c"" target=""blank""> (C3nG...) </a>",0.023240758464000002,0.049485181868,1.2390792864507418e+10,|,1e-06,12390.792864507386,12391.225750569363,5890.586084700009,|,<nil>,99.070333570824,99.048939000000000000,1721453.960000000000000000,1.000216,<nil>
"ETF50-USDC<a href=""https://solscan.io/address/77hagJXEnGn2wC2tSPtBtqsXfBSrMjkhg4s7hdfUk6y4"" target=""blank""> (77ha...) </a>",0,1.2350972499107353e+10,1.2350972499107353e+10,|,1e-06,12350.972499107354,81.99570201283385,12344.74713013934,|,<nil>,49.720693350496,0.379362000000000000,49.709956000000000000,<nil>,1.000216
"FATCA-USDC<a href=""https://solscan.io/address/EtC1kqNNKBU1e2XYiUr5RWxpYvJoPCd1jmZrzcdwTjPX"" target=""blank""> (EtC1...) </a>",36.552584850336004,1.1962547437071863e+10,1.1962547437071863e+10,|,1e-06,11962.547437071888,61.73671936734174,11955.183228347763,|,<nil>,1124.46276650596,9805.004940000000000000,1124.219935000000000000,<nil>,1.000216
"GGSS-USDC<a href=""https://solscan.io/address/Ei6Q23MSQikjweYzxbCBcfTpfz3j2G7qQXvnusQ4VM1F"" target=""blank""> (Ei6Q...) </a>",4.231371941373,7.555830962635571e+08,1.1645142204471157e+10,|,1e-06,11645.142204471202,488.0801302919191,11642.455575620832,|,<nil>,16.481098148424,8451.333175258000000000,16.477539000000000000,<nil>,1.000216
"USDC-FABS<a href=""https://solscan.io/address/3BFV8sBLVF4xUUdTwDC7JogLnadVbtAsGZK86VvPhsJ4"" target=""blank""> (3BFV...) </a>",342.91692553345905,4.099048838498401e+09,1.0499842902305622e+10,|,1e-06,10499.842902305643,10497.997750367284,1.499790266755154e+08,|,<nil>,640.845514738352,640.707122000000000000,40580454613.952140000000000000,1.000216,<nil>
"SOL-USDC<a href=""https://solscan.io/address/83v8iPyZihDEjDdY8RdZddyZNyUtXngz69Lgo9Kt5d6d"" target=""blank""> (83v8...) </a>",9.0026389123043e+07,4.306120489182487e+08,1.0201845977563908e+10,|,0.0001,1.0201845977561794e+06,7898.744536283517,1.0195724872563033e+06,|,4833,284928.47381347825,691.322526434000000000,148270.376513000000000000,197.63,1.000216
"USDC-USDT<a href=""https://solscan.io/address/4fuUiYxTQ6QCrdSq9ouBYcTM7bqSwYTSyLueGZLTy4T4"" target=""blank""> (4fuU...) </a>",3.589185800609639e+07,1.0235900905181754e+09,1.005962487366471e+10,|,0.0001,1.0059624873664686e+06,1.0051263757830344e+06,1.0054217001146589e+06,|,4690,2.5750974067361224e+06,1656544.353249000000000000,916947.274666000000000000,1.000216,1.001361
"ASSHO-USDC<a href=""https://solscan.io/address/HrcMFy1292h4mAPrTqBBvMsJrbzQohuRU82wHqFddGLT"" target=""blank""> (HrcM...) </a>",0,9.95231011264614e+09,9.95231011264614e+09,|,1e-06,9952.310112646175,476.7033973023298,9952.442056705875,|,<nil>,20.389004073816,1.675466000000000000,20.384601000000000000,<nil>,1.000216
"SOL-JITOS<a href=""https://solscan.io/address/Hp53XEtt4S8SvPCXarsLSdGfZBuUr5mMmZmX2DRNXQKp"" target=""blank""> (Hp53...) </a>",3.338968048434962e+08,1.6520190159284089e+09,9.929859433024809e+09,|,0.0001,992985.9433024295,6657.68039629359,5978.685845636172,|,2215,4.087775974988237e+07,1481.090195055000000000,174439.318725323000000000,197.63,232.66
"PERCY-USDC<a href=""https://solscan.io/address/8poxhwW1qFx6Erz6j9zPqNtUtMSAJqx5fPBgGfpSy83t"" target=""blank""> (8pox...) </a>",0,9.69506608967343e+09,9.69506608967343e+09,|,1e-06,9695.06608967343,201.42168920582105,9691.531791403597,|,<nil>,14.024247583304,0.248299000000000000,14.021219000000000000,<nil>,1.000216
"USDC-F6A89<a href=""https://solscan.io/address/DbUtMSTgbyZScyEopYnA6Ui6B7Wp9ZKZUMQma5hU77ru"" target=""blank""> (DbUt...) </a>",8.434644048167,91.52707395786702,9.668671450505447e+09,|,1e-06,9668.671450505452,9669.767730146314,1.4813767174672722e+06,|,<nil>,139.9433712404,139.913150000000000000,884480427.980689000000000000,1.000216,<nil>
"WSB-USDC<a href=""https://solscan.io/address/ke93bAEh2iRJe9vGL35gQfc3EFvRfzT3MMDAMPg8mNV"" target=""blank""> (ke93...) </a>",0,7.290606158007178e+08,9.62018068802925e+09,|,1e-06,9620.18068802923,1777.6287090798594,9615.90445162977,|,<nil>,0.0009001944,0.000906000000000000,0.000900000000000000,<nil>,1.000216
"SAN-USDC<a href=""https://solscan.io/address/5oG9xaMsJhfRZ8b2TnxiTBJ3Hn93j3h3uanH6SGsPeKA"" target=""blank""> (5oG9...) </a>",20099.773525289256,31169.434306528536,9.487898927335205e+09,|,0,0,0,0,|,1,625.169896536024,21682.119028000000000000,625.034889000000000000,<nil>,1.000216
"6P6XG-USDC<a href=""https://solscan.io/address/2oci5wkvZ1wWKgLUBa19dSV96tBxbJg55bMnNBKYcWrt"" target=""blank""> (2oci...) </a>",0,8.699712379345568e+09,8.699712379345568e+09,|,1e-06,8699.712379345583,0.042140760663999965,8694.45965322423,|,<nil>,130.47514549299999,0.001639000000000000,130.417375000000000000,18.06,1.000216
"SOL-USDT<a href=""https://solscan.io/address/FwewVm8u6tFPGewAyHmWAqad9hmF7mvqxK4mJ7iNqqGC"" target=""blank""> (Fwew...) </a>",7.040762726330748e+07,7.278367078057445e+08,8.16250821104139e+09,|,0.0002,1.6325016422085112e+06,9630.348948366674,1.63134571365569e+06,|,3867,455035.95615901204,1681.096274054000000000,122633.994651000000000000,197.63,1.001361
"JLP-USDC<a href=""https://solscan.io/address/6NUiVmsNjsi4AfsMsEiaezsaV9N4N1ZrD4jEnuWNRvyb"" target=""blank""> (6NUi...) </a>",8.051353515725355e+08,2.2377247504063253e+09,7.784335608703929e+09,|,0.0002,1.5568671217408096e+06,402973.77760627156,1.5563267758440012e+06,|,1820,1.1357389942376105e+07,1916334.556200000000000000,2905726.912521000000000000,4.41,1.000216
"USDC-DPL<a href=""https://solscan.io/address/2VijhcqxLJGCdW9wp7YFTEjbMWUBhmJTLi3eEtp2wQNP"" target=""blank""> (2Vij...) </a>",3.7490709515820004,7.389047610044873e+07,7.764161691359633e+09,|,1e-06,7764.161691359634,7763.477022785876,1632.871938439369,|,<nil>,5.01734851324,5.016265000000000000,150259.636031000000000000,1.000216,<nil>
