time,project,tvl
2024-12-15 00:00:00,raydium,1.371449218564821e+09
2024-11-07 00:00:00,whirlpool,2.348281120125948e+08
2024-12-17 00:00:00,whirlpool,2.699449476717959e+08
2024-12-16 00:00:00,lifinity,2.389009719041911e+07
2024-11-03 00:00:00,pumpdotfun,104165.54414867985
2024-12-22 00:00:00,phoenix,1.9939615011290353e+07
2024-11-18 00:00:00,meteora,8.110024434746577e+08
2024-12-04 00:00:00,meteora,9.393673038018558e+08
2025-01-18 00:00:00,pumpdotfun,1.6748740325479086e+06
2025-01-12 00:00:00,pumpdotfun,1.3184486475578744e+06
2024-11-09 00:00:00,whirlpool,2.4255984685076398e+08
2024-12-09 00:00:00,pumpdotfun,921425.8302928087
2024-11-22 00:00:00,meteora,1.4896431990080316e+09
2024-11-11 00:00:00,raydium,1.0698438371222754e+09
2024-11-24 00:00:00,phoenix,1.901814303268309e+07
2024-11-08 00:00:00,phoenix,2.1364398112588145e+07
2025-01-12 00:00:00,goosefx_ssl,2349.230991891146
2024-12-17 00:00:00,meteora,9.792066994949893e+08
2024-10-29 00:00:00,phoenix,1.820123608334747e+07
2024-11-16 00:00:00,pumpdotfun,340846.8455091651
2024-11-03 00:00:00,meteora,6.818888240551419e+08
2024-11-23 00:00:00,lifinity,7.55525920662377e+07
2024-10-31 00:00:00,whirlpool,2.4021523903571138e+08
2024-10-31 00:00:00,pumpdotfun,84272.0737600106
2024-10-28 00:00:00,phoenix,1.838112276536566e+07
2024-12-31 00:00:00,phoenix,1.8089419903583687e+07
2024-10-31 00:00:00,phoenix,1.886757491676186e+07
2024-12-13 00:00:00,raydium,1.3896893216814923e+09
2024-11-26 00:00:00,pumpdotfun,642537.534816363
2024-11-23 00:00:00,phoenix,1.7765153038390614e+07
2024-11-14 00:00:00,goosefx_ssl,9123.966136114783
2024-12-02 00:00:00,whirlpool,2.332218386563502e+08
2024-11-24 00:00:00,pumpdotfun,641700.0308961333
2024-12-01 00:00:00,phoenix,1.8120139938852865e+07
2025-01-06 00:00:00,lifinity,2.6725270397075366e+07
2024-12-07 00:00:00,raydium,1.4412813973846622e+09
2024-11-10 00:00:00,phoenix,1.9537796227711942e+07
2025-01-12 00:00:00,whirlpool,2.3101374214575544e+08
2024-12-26 00:00:00,lifinity,2.5237028273300227e+07
2024-11-07 00:00:00,lifinity,4.908680358809066e+07
2024-11-27 00:00:00,raydium,1.3416137144914625e+09
2024-11-26 00:00:00,raydium,1.347252544920668e+09
2025-01-18 00:00:00,whirlpool,2.482423299128681e+08
2024-11-29 00:00:00,phoenix,1.9456135164733294e+07
2024-11-26 00:00:00,meteora,1.0739261185560734e+09
2024-12-21 00:00:00,pumpdotfun,950571.2437745463
2025-01-20 00:00:00,phoenix,1.9154555817146786e+07
2024-11-24 00:00:00,raydium,1.4261181144022222e+09
2024-12-12 00:00:00,lifinity,2.1778824938133466e+08
2024-11-04 00:00:00,meteora,7.86527264980693e+08
2024-12-19 00:00:00,pumpdotfun,977072.576550615
2025-01-04 00:00:00,phoenix,1.9086449061263766e+07
2024-12-23 00:00:00,phoenix,1.893083145640554e+07
2024-12-29 00:00:00,phoenix,1.929449922369402e+07
2024-11-16 00:00:00,whirlpool,2.089135839192902e+08
2024-12-15 00:00:00,lifinity,2.342697309356476e+07
2024-10-27 00:00:00,phoenix,1.756770512175007e+07
2024-11-01 00:00:00,meteora,6.077990563174607e+08
2024-10-31 00:00:00,goosefx_ssl,11802.299663685186
2024-12-24 00:00:00,goosefx_ssl,2984.6800081823135
2025-01-01 00:00:00,phoenix,1.808810056199141e+07
2024-12-26 00:00:00,phoenix,1.9504251762994558e+07
2024-12-09 00:00:00,lifinity,1.6482477777027678e+08
2024-12-27 00:00:00,whirlpool,2.447190759939915e+08
2025-01-15 00:00:00,whirlpool,2.3435454116893405e+08
2024-11-04 00:00:00,raydium,7.701136743552877e+08
2024-12-18 00:00:00,lifinity,2.468536622092498e+07
2024-11-10 00:00:00,whirlpool,2.3554820498251608e+08
2024-12-15 00:00:00,goosefx_ssl,3932.667546318179
2024-12-09 00:00:00,goosefx_ssl,5658.212322335185
2024-10-29 00:00:00,meteora,1.008753464588725e+09
2024-12-06 00:00:00,lifinity,1.431528049150004e+08
2024-10-26 00:00:00,meteora,9.184672703662254e+08
2024-12-16 00:00:00,pumpdotfun,999933.0829644557
2024-12-10 00:00:00,pumpdotfun,861851.6593931871
2024-12-12 00:00:00,goosefx_ssl,4006.749456906302
2024-12-15 00:00:00,meteora,1.0051715190799812e+09
2024-12-13 00:00:00,pumpdotfun,961426.9910226517
2024-12-18 00:00:00,goosefx_ssl,3517.610409351162
2024-11-04 00:00:00,lifinity,2.4188245704061863e+08
2024-12-22 00:00:00,goosefx_ssl,2945.184630482927
2024-12-14 00:00:00,raydium,1.3990146038332858e+09
2024-11-27 00:00:00,meteora,9.761093704282933e+08
2024-10-28 00:00:00,raydium,8.032950619423332e+08
2025-01-21 00:00:00,raydium,1.5997650566375344e+09
2024-12-16 00:00:00,meteora,8.816946799750837e+08
2024-11-22 00:00:00,pumpdotfun,586492.9378269769
2024-11-20 00:00:00,whirlpool,2.909791107571254e+08
2024-12-08 00:00:00,phoenix,1.9867333145949297e+07
2024-11-15 00:00:00,whirlpool,1.9892642200489205e+08
2025-01-04 00:00:00,meteora,6.748482268462664e+08
2024-11-12 00:00:00,whirlpool,2.5708375918353158e+08
2024-12-11 00:00:00,pumpdotfun,867718.5979297434
2025-01-07 00:00:00,meteora,5.424958233574257e+08
2025-01-15 00:00:00,raydium,1.3142012650509815e+09
2024-10-28 00:00:00,meteora,1.2614817042134507e+09
2024-10-26 00:00:00,raydium,7.363615263398582e+08
2024-12-28 00:00:00,phoenix,1.9301459744309243e+07
2024-11-28 00:00:00,pumpdotfun,717952.4563745967
2025-01-07 00:00:00,lifinity,2.701962944611162e+07
2024-12-28 00:00:00,whirlpool,2.2937030369101596e+08
2025-01-10 00:00:00,phoenix,1.5819632640574705e+07
2024-11-27 00:00:00,lifinity,7.296859127043386e+07
2024-12-30 00:00:00,lifinity,2.508249300053443e+07
2025-01-22 00:00:00,whirlpool,2.41314767156754e+08
2024-11-14 00:00:00,whirlpool,2.0520941310614178e+08
2024-12-12 00:00:00,pumpdotfun,943503.6125309394
2024-12-10 00:00:00,goosefx_ssl,5121.920082008464
2024-12-04 00:00:00,whirlpool,2.7722852475450796e+08
2025-01-11 00:00:00,goosefx_ssl,2643.2065872906483
2025-01-16 00:00:00,phoenix,1.709890448223727e+07
2024-11-23 00:00:00,pumpdotfun,617375.7040487783
2024-11-03 00:00:00,lifinity,2.3769617749145046e+08
2024-11-16 00:00:00,meteora,1.131577515653144e+09
2024-11-24 00:00:00,meteora,1.344060160803156e+09
2024-12-01 00:00:00,goosefx_ssl,6395.430389787856
2025-01-18 00:00:00,raydium,1.482947422453151e+09
2025-01-11 00:00:00,pumpdotfun,1.2948185489129229e+06
2024-12-06 00:00:00,pumpdotfun,869114.4395105318
2024-12-04 00:00:00,goosefx_ssl,5313.312899291326
2024-11-11 00:00:00,phoenix,2.03463298511307e+07
2024-11-29 00:00:00,raydium,1.3954591430323114e+09
2024-12-10 00:00:00,whirlpool,2.5890215454163602e+08
2024-12-23 00:00:00,meteora,6.274095184824556e+08
2025-01-17 00:00:00,pumpdotfun,1.58894704162861e+06
2024-10-27 00:00:00,lifinity,2.141023623087561e+08
2024-12-01 00:00:00,meteora,9.911555535181549e+08
2024-11-12 00:00:00,meteora,9.991607245536978e+08
2024-11-01 00:00:00,phoenix,1.8298619139777087e+07
2025-01-03 00:00:00,phoenix,1.849796515097227e+07
2024-12-07 00:00:00,lifinity,1.2776498871622293e+08
2025-01-06 00:00:00,phoenix,1.7326526385179307e+07
2025-01-20 00:00:00,whirlpool,2.618490030959647e+08
2024-12-04 00:00:00,lifinity,1.1165950219408958e+08
2024-11-01 00:00:00,raydium,7.98419180501213e+08
2024-11-13 00:00:00,pumpdotfun,276021.86155625206
2024-11-16 00:00:00,goosefx_ssl,8281.298688277748
2024-12-20 00:00:00,meteora,4.687672807539639e+08
2024-12-10 00:00:00,meteora,9.259663465360035e+08
2024-11-10 00:00:00,raydium,9.897832986063087e+08
2024-12-02 00:00:00,raydium,1.4001070992289941e+09
2025-01-09 00:00:00,phoenix,1.6250925672201412e+07
2024-12-07 00:00:00,meteora,1.0234841816319666e+09
2024-11-05 00:00:00,phoenix,1.693317653281946e+07
2025-01-07 00:00:00,whirlpool,2.6178490166401216e+08
2025-01-12 00:00:00,raydium,1.2934605324051924e+09
2024-12-26 00:00:00,meteora,6.525496266761515e+08
2025-01-14 00:00:00,pumpdotfun,1.319524665593802e+06
2024-10-30 00:00:00,phoenix,1.8583069973217368e+07
2024-12-01 00:00:00,lifinity,9.37855748457785e+07
2024-11-27 00:00:00,whirlpool,2.157308124807725e+08
2025-01-15 00:00:00,pumpdotfun,1.3736178194926507e+06
2024-11-07 00:00:00,pumpdotfun,165472.30429114468
2024-11-02 00:00:00,phoenix,1.7063164230450198e+07
2024-11-07 00:00:00,raydium,9.100936075028474e+08
2024-11-09 00:00:00,meteora,9.556218399786782e+08
2024-11-21 00:00:00,lifinity,2.480258982021638e+08
2024-11-01 00:00:00,pumpdotfun,90018.36198911643
2024-12-06 00:00:00,whirlpool,2.6611436513011324e+08
2024-12-02 00:00:00,meteora,8.508717371759154e+08
2024-12-25 00:00:00,whirlpool,2.4488485328726226e+08
2025-01-17 00:00:00,lifinity,2.879578190575383e+07
2024-11-24 00:00:00,lifinity,8.12770608789389e+07
2024-11-25 00:00:00,meteora,6.524621455259594e+08
2025-01-22 00:00:00,phoenix,1.973274403463445e+07
2024-11-13 00:00:00,lifinity,2.33909479885405e+08
2024-12-22 00:00:00,whirlpool,2.3766773828429222e+08
2025-01-19 00:00:00,goosefx_ssl,2796.6663772054235
2024-11-21 00:00:00,goosefx_ssl,6383.664255571523
2025-01-08 00:00:00,lifinity,2.6982765839860186e+07
2025-01-05 00:00:00,lifinity,2.6616275244746093e+07
2024-12-24 00:00:00,raydium,1.219695380866744e+09
2024-12-25 00:00:00,meteora,7.357468605337294e+08
2024-12-07 00:00:00,pumpdotfun,885311.9460605665
2024-11-05 00:00:00,goosefx_ssl,7430.816226317056
2024-11-15 00:00:00,phoenix,1.8737834300939217e+07
2025-01-19 00:00:00,lifinity,8.146216554108661e+07
2024-10-25 00:00:00,goosefx_ssl,1341.6644993011532
2024-11-28 00:00:00,meteora,8.93398947800572e+08
2024-12-15 00:00:00,whirlpool,2.4907614646727186e+08
2024-11-17 00:00:00,phoenix,1.9433323295951523e+07
2024-11-06 00:00:00,goosefx_ssl,10023.052794881276
2025-01-22 00:00:00,pumpdotfun,2.0027650348862866e+06
2024-10-30 00:00:00,pumpdotfun,75182.39546459545
2025-01-12 00:00:00,lifinity,2.7450716042516917e+07
2024-11-11 00:00:00,pumpdotfun,241415.73343310706
2024-11-20 00:00:00,phoenix,1.860825127898011e+07
2024-11-06 00:00:00,lifinity,4.1716187421302274e+07
2024-11-28 00:00:00,phoenix,2.2299604430318862e+07
2024-11-27 00:00:00,phoenix,1.9084130288421746e+07
2024-11-08 00:00:00,pumpdotfun,187258.9838166652
2024-12-28 00:00:00,meteora,8.304458098011657e+08
2024-11-04 00:00:00,pumpdotfun,110786.09196015848
2024-11-14 00:00:00,lifinity,2.4630373811330584e+08
2024-11-17 00:00:00,lifinity,2.95406716975725e+08
2025-01-16 00:00:00,goosefx_ssl,2439.349519235958
