project,_col1,usd_volume
carbon_defi,2024-09-23 00:00:00.000 UTC,1.4145029326283163e+06
openocean,2024-03-25 00:00:00.000 UTC,1.6580491810778908e+07
fenix,2024-10-28 00:00:00.000 UTC,11944.287264642484
torus,2024-04-15 00:00:00.000 UTC,6.97091515444848
akronswap,2024-12-30 00:00:00.000 UTC,388.64953195758915
velodrome,2024-04-29 00:00:00.000 UTC,1.888036590703897e+08
sobal,2024-10-07 00:00:00.000 UTC,0.7403366879212578
swapbased,2024-08-26 00:00:00.000 UTC,95124.06071822718
soswap,2024-12-23 00:00:00.000 UTC,322.265349338972
quickswap,2024-07-29 00:00:00.000 UTC,2.4684648909372136e+08
citadelswap,2024-09-02 00:00:00.000 UTC,3959.6805528045124
sparkdex,2025-02-03 00:00:00.000 UTC,1.902206664935006e+07
ramses,2024-04-29 00:00:00.000 UTC,4.172200024784761e+08
kyberswap,2025-02-03 00:00:00.000 UTC,1.0524821629209486e+06
woofi,2024-09-30 00:00:00.000 UTC,5.042562396843026e+07
oasisswap,2024-11-04 00:00:00.000 UTC,4292.713930109127
moonbase,2024-08-19 00:00:00.000 UTC,13.657594306384047
gmx,2024-09-16 00:00:00.000 UTC,5.2946556846261015e+06
verse_dex,2024-06-24 00:00:00.000 UTC,379176.91384225833
nuri,2024-04-15 00:00:00.000 UTC,10.455840229708873
zipswap,2024-07-01 00:00:00.000 UTC,11473.463127653189
jelly_swap,2024-11-25 00:00:00.000 UTC,1.9474526504605714e+07
curve,2024-03-11 00:00:00.000 UTC,2.920864576069789e+09
wombat_exchange,2024-03-25 00:00:00.000 UTC,1.8717871947073143e+07
dracula_finance,2024-10-07 00:00:00.000 UTC,475.5478836969175
akronswap,2024-10-28 00:00:00.000 UTC,2074.4180849370746
nomiswap,2024-05-06 00:00:00.000 UTC,369048.3651892315
wombat,2024-06-17 00:00:00.000 UTC,406006.7162687641
torus,2024-07-08 00:00:00.000 UTC,2.8759349547150572
akronswap,2024-10-07 00:00:00.000 UTC,5693.856671786774
sharkswap,2025-02-03 00:00:00.000 UTC,110961.54442881863
swapbased,2024-10-21 00:00:00.000 UTC,165558.6270259547
spacefi,2024-04-15 00:00:00.000 UTC,6.441535897516868e+06
zkswap_finance,2024-09-16 00:00:00.000 UTC,6.015168534320763e+06
velocimeter,2024-02-12 00:00:00.000 UTC,0.5057176003839999
glacier,2024-05-27 00:00:00.000 UTC,825.2980546617061
nuri,2024-07-08 00:00:00.000 UTC,4.283923056599409e+07
syncswap,2024-12-02 00:00:00.000 UTC,1.130237486641566e+07
bancor,2025-01-20 00:00:00.000 UTC,5.655253725678816e+06
zebra,2024-12-30 00:00:00.000 UTC,126924.19185230063
velocore,2024-12-09 00:00:00.000 UTC,17204.054623979264
icecreamswap,2024-06-24 00:00:00.000 UTC,1456.5721538365847
dfyn,2024-10-21 00:00:00.000 UTC,173105.1521206721
dooar,2024-12-02 00:00:00.000 UTC,4.935903757671274e+06
klay_swap,2024-12-30 00:00:00.000 UTC,2.4796769263708387e+06
apeswap,2024-08-05 00:00:00.000 UTC,8.041519124570638e+06
gridex,2024-05-13 00:00:00.000 UTC,248.34633760971792
xchange,2024-05-06 00:00:00.000 UTC,137680.52310710706
biswap,2024-12-09 00:00:00.000 UTC,1.4200194367854642e+07
tropicalswap,2024-07-01 00:00:00.000 UTC,861.7111805191563
spartadex,2024-06-24 00:00:00.000 UTC,126339.36929092545
zkswap_finance,2024-02-12 00:00:00.000 UTC,3.2964195192975197e+07
echodex,2024-02-19 00:00:00.000 UTC,84515.3935920538
bancor,2024-07-08 00:00:00.000 UTC,3.063735971747909e+06
infusion,2024-11-18 00:00:00.000 UTC,234393.91771637154
autotronic,2024-07-01 00:00:00.000 UTC,10.965956624516352
defi_kingdoms,2024-07-08 00:00:00.000 UTC,113058.74323827877
hyperjump,2025-01-27 00:00:00.000 UTC,0.0814184889122471
lynex,2024-07-01 00:00:00.000 UTC,1.0993457183083901e+08
biswap,2024-02-12 00:00:00.000 UTC,3.009207336122882e+07
kyberswap,2024-10-28 00:00:00.000 UTC,595630.7680242627
throne_exchange,2024-03-04 00:00:00.000 UTC,20.871278241691623
honeyswap,2024-09-30 00:00:00.000 UTC,197939.45665857784
ezkalibur,2025-01-13 00:00:00.000 UTC,32034.47902974048
verse_dex,2024-03-18 00:00:00.000 UTC,543552.8847150314
blazeswap,2024-08-19 00:00:00.000 UTC,686.2672490076627
pharaoh,2024-09-30 00:00:00.000 UTC,8.134411132661855e+07
solidly,2024-11-18 00:00:00.000 UTC,5.660349551886724e+07
xchange,2025-01-20 00:00:00.000 UTC,14118.330780316981
spookyswap,2024-08-26 00:00:00.000 UTC,9.906016616709506e+06
icecreamswap,2024-03-18 00:00:00.000 UTC,270.1936320933162
vesync,2024-11-11 00:00:00.000 UTC,142295.7212819292
scale,2024-03-04 00:00:00.000 UTC,491136.98198642395
arbswap,2025-01-13 00:00:00.000 UTC,17164.122213916387
oku,2024-07-15 00:00:00.000 UTC,1.695240270198898e+07
scrollswap,2024-03-25 00:00:00.000 UTC,124628.47206482833
wombatexchange,2024-11-04 00:00:00.000 UTC,16063.748850636486
synthetix,2024-02-12 00:00:00.000 UTC,3.1572105354814054e+06
nile,2024-07-15 00:00:00.000 UTC,1.04972584439405e+08
gemswap,2024-03-18 00:00:00.000 UTC,10050.757487482024
trader_joe,2024-03-18 00:00:00.000 UTC,2.0773452476430693e+09
