token_pair,one_day_volume,dau_1d,prev_volume_1d,volume_change_1d_pct,seven_day_volume,dau_7d,prev_volume_7d,volume_change_7d_pct,thirty_day_volume,dau_30d,prev_volume_30d,volume_change_30d_pct
_C-WETH,7.528669698013842e+08,15922,4.7003933859206754e+08,0.6017105548154427,4.4727379566643e+09,56288,6.382386325228145e+09,-0.2992060134334758,2.116463455981278e+10,178844,1.1384564728891571e+10,0.8590640102472692
_C-_T,3.6042057475922984e+08,4508,3.2533474244868207e+08,0.10784532892635089,1.9893180181884677e+09,19094,2.64706918993313e+09,-0.24848280288483057,9.52034727037146e+09,49076,6.635299006039439e+09,0.43480305283997817
_T-WETH,2.5584869028114522e+08,10041,1.9738284760391146e+08,0.29620528524625034,1.4952353635747023e+09,43342,3.224044356524978e+09,-0.5362236997302559,1.1405013992666037e+10,143325,7.878664001147491e+09,0.44758222853582136
cbBTC-WBTC,8.722891157017106e+07,200,1.041508465592238e+08,-0.16247525150388809,6.519069127441946e+08,644,7.432488221820968e+08,-0.12289546476472361,3.731491030331014e+09,1884,2.0525333554318538e+09,0.8179928820430337
WETH-wstETH,1.6235153131673437e+08,504,7.593912890948303e+07,1.1379166925953563,6.470869242890534e+08,3637,5.836454520594317e+08,0.10869864916408468,2.0888724081237466e+09,9279,1.821686214727114e+09,0.14666971250954808
_C-WBTC,1.092789133578619e+08,763,8.777009092539786e+07,0.24505867779886376,6.017875638624303e+08,3050,1.0192800409473928e+09,-0.4095954598472415,4.265316742388381e+09,8669,1.5625851718659177e+09,1.729653921709158
WBTC-WETH,1.0471810483406681e+08,1173,7.468199760390258e+07,0.4021867142530031,5.476910955957264e+08,6739,9.722550672465042e+08,-0.43667961829520036,3.905902548360368e+09,22018,2.190077239489886e+09,0.7834542444129199
weETH-WETH,7.592906255488054e+07,326,6.5400482102695525e+07,0.16098628196123155,3.7432669373524237e+08,1325,4.5583127029265094e+08,-0.17880426787105091,1.6033728488292668e+09,3899,1.0992817862556942e+09,0.4585640086793183
ETH-stETH,3.688670785718145e+07,162,2.5810069202026516e+07,0.42915958761882117,3.7134946767237115e+08,1090,9.584854401843709e+08,-0.6125663968344269,2.1816713449757357e+09,3071,1.305111830284507e+09,0.6716355597666628
s_e-_T,4.536075811771837e+07,184,3.4906555879215464e+07,0.29949108341357983,2.965085751126918e+08,1009,2.28894068294791e+08,0.29539650075519025,7.033706931348317e+08,3019,5.0496043201678026e+08,0.3929223926033438
DAI-_T,5.784207540846124e+07,316,3.335324099190708e+07,0.7342265305640373,2.349047330469688e+08,1463,4.054041169538653e+08,-0.4205664836065274,1.4688362623056958e+09,4599,1.185120269320829e+09,0.23939848159669008
