token,current_funding_rate,predicted_funding_rate,mark_price,open_interest,volume_24h,avg_24h_funding_rate,funding_difference,annualized_funding
BTC,1.25e-05,1.25e-05,95662.0,8828.57638,765870311.4008898,3.6244999999999996e-05,0.0,0.45625000000000004
ETH,1.25e-05,3.055e-05,95662.0,8828.57638,765870341.9679297,1.4865e-05,1.8049999999999998e-05,0.45625000000000004
ATOM,1.25e-05,1.25e-05,95662.0,8828.57638,765870341.9679297,-3.01875e-06,0.0,0.45625000000000004
MATIC,1.25e-05,0.0,95662.0,8828.57638,765870341.9679297,0.0,-1.25e-05,0.45625000000000004
DYDX,1.25e-05,1.25e-05,95662.0,8828.57638,765870341.9679297,1.25e-05,0.0,0.45625000000000004
SOL,1.25e-05,1.25e-05,95662.0,8828.57638,765870341.9679297,2.6297916666666668e-05,0.0,0.45625000000000004
AVAX,1.25e-05,1.25e-05,95662.0,8828.57638,765870983.8757697,1.4152916666666668e-05,0.0,0.45625000000000004
BNB,1.25e-05,1.25e-05,95663.0,8828.57638,765870983.8757697,1.25e-05,0.0,0.45625000000000004
APE,1.25e-05,1.25e-05,95663.0,8828.57638,765870983.8757697,1.25e-05,0.0,0.45625000000000004
OP,1.25e-05,1.25e-05,95663.0,8828.57638,765870983.8757697,1.25e-05,0.0,0.45625000000000004
LTC,1.25e-05,1.25e-05,95663.0,8828.57638,765870983.8757697,1.25e-05,0.0,0.45625000000000004
ARB,1.25e-05,1.25e-05,95663.0,8828.57638,765870983.8757697,1.25e-05,0.0,0.45625000000000004
DOGE,1.25e-05,1.25e-05,95663.0,8828.57638,765870983.8757697,1.25e-05,0.0,0.45625000000000004
INJ,1.25e-05,1.25e-05,95663.0,8828.58266,765871283.8148497,1.25e-05,0.0,0.45625000000000004
SUI,1.25e-05,1.25e-05,95644.0,8828.58266,765871459.5753298,2.0720833333333338e-06,0.0,0.45625000000000004
kPEPE,1.25e-05,6.432e-05,95644.0,8828.58266,765871642.0223498,2.7733333333333334e-05,5.1819999999999995e-05,0.45625000000000004
CRV,1.25e-05,1.25e-05,95644.0,8828.58266,765871642.0223498,5.266250000000001e-06,0.0,0.45625000000000004
LDO,1.25e-05,1.25e-05,95644.0,8828.58266,765871642.0223498,1.2974583333333334e-05,0.0,0.45625000000000004
LINK,1.25e-05,1.25e-05,95645.0,8828.58266,765871642.0223498,1.25e-05,0.0,0.45625000000000004
STX,1.25e-05,1.25e-05,95645.0,8828.58266,765871642.0223498,1.25e-05,0.0,0.45625000000000004
RNDR,1.25e-05,0.0,95645.0,8828.58266,765871642.0223498,0.0,-1.25e-05,0.45625000000000004
CFX,1.25e-05,1.25e-05,95656.0,8828.58266,765871642.0223498,1.0777083333333334e-05,0.0,0.45625000000000004
FTM,1.25e-05,1.25e-05,95656.0,8828.58266,765871642.0223498,1.0297500000000001e-05,0.0,0.45625000000000004
GMX,1.25e-05,1.25e-05,95656.0,8828.57824,765872887.6292299,1.25e-05,0.0,0.45625000000000004
SNX,1.25e-05,1.25e-05,95647.0,8828.57824,765872887.6292299,1.25e-05,0.0,0.45625000000000004
XRP,1.25e-05,1.25e-05,95647.0,8828.57824,765872887.6292299,1.25e-05,0.0,0.45625000000000004
BCH,1.25e-05,1.25e-05,95647.0,8828.57824,765872887.6292299,1.25e-05,0.0,0.45625000000000004
APT,1.25e-05,1.25e-05,95647.0,8828.57824,765872887.6292299,1.25e-05,0.0,0.45625000000000004
AAVE,1.25e-05,7.193e-05,95647.0,8828.57824,765872887.6292299,4.435708333333333e-05,5.943e-05,0.45625000000000004
COMP,1.25e-05,-3.233e-05,95647.0,8828.57824,765872887.6292299,1.06225e-05,-4.4829999999999996e-05,0.45625000000000004
MKR,1.25e-05,2.94e-05,95647.0,8828.62022,765922816.02341,2.54975e-05,1.6899999999999997e-05,0.45625000000000004
WLD,1.25e-05,6.571e-05,95648.0,8828.62022,765922816.02341,2.097125e-05,5.321000000000001e-05,0.45625000000000004
FXS,1.25e-05,1.25e-05,95648.0,8828.62022,765922816.02341,1.7258333333333334e-05,0.0,0.45625000000000004
HPOS,1.25e-05,1.25e-05,95648.0,8828.62022,765922816.02341,6.718958333333333e-05,0.0,0.45625000000000004
RLB,1.25e-05,1.25e-05,95648.0,8828.62086,765922846.5904499,1.25e-05,0.0,0.45625000000000004
UNIBOT,1.25e-05,0.0,95648.0,8828.62088,765922847.5456699,0.0,-1.25e-05,0.45625000000000004
YGG,1.25e-05,1.25e-05,95648.0,8828.62088,765922847.5456699,1.25e-05,0.0,0.45625000000000004
TRX,1.25e-05,1.124e-05,95648.0,8828.62088,765922847.5456699,3.2062500000000004e-06,-1.2599999999999998e-06,0.45625000000000004
kSHIB,1.25e-05,1.25e-05,95648.0,8828.63418,765923482.7669699,-3.2462499999999996e-06,0.0,0.45625000000000004
UNI,1.25e-05,1.25e-05,95648.0,8828.63418,765923482.7669699,3.0089166666666666e-05,0.0,0.45625000000000004
SEI,1.25e-05,1.25e-05,95648.0,8828.63418,765923482.7669699,1.2297916666666666e-05,0.0,0.45625000000000004
RUNE,1.25e-05,3.308e-05,95648.0,8828.63418,765923482.7669699,1.5605833333333336e-05,2.0580000000000003e-05,0.45625000000000004
OX,1.25e-05,0.0,95648.0,8828.63418,765923482.7669699,0.0,-1.25e-05,0.45625000000000004
FRIEND,1.25e-05,0.0,95648.0,8828.63418,765923482.7669699,0.0,-1.25e-05,0.45625000000000004
SHIA,1.25e-05,0.0,95654.0,8828.63418,765923482.7669699,0.0,-1.25e-05,0.45625000000000004
CYBER,1.25e-05,1.25e-05,95654.0,8829.2088,765956595.46827,1.25e-05,0.0,0.45625000000000004
ZRO,1.25e-05,1.25e-05,95654.0,8829.2088,765956773.13919,1.25e-05,0.0,0.45625000000000004
BLZ,1.25e-05,0.0,95668.0,8829.2088,765956773.13919,0.0,-1.25e-05,0.45625000000000004
DOT,1.25e-05,1.25e-05,95668.0,8829.2088,765956773.13919,1.2340833333333334e-05,0.0,0.45625000000000004
BANANA,1.25e-05,1.25e-05,95673.0,8829.00356,765966575.60683,1.4211666666666666e-05,0.0,0.45625000000000004
TRB,1.25e-05,1.25e-05,95673.0,8829.00356,765971665.97421,1.25e-05,0.0,0.45625000000000004
FTT,1.25e-05,1.25e-05,95673.0,8829.00356,765971665.97421,3.10125e-06,0.0,0.45625000000000004
LOOM,1.25e-05,0.0,95672.0,8829.00356,765971665.97421,0.0,-1.25e-05,0.45625000000000004
OGN,1.25e-05,1.25e-05,95673.0,8829.00356,765971665.97421,1.25e-05,0.0,0.45625000000000004
RDNT,1.25e-05,1.25e-05,95675.0,8829.00356,765971665.97421,1.2113333333333333e-05,0.0,0.45625000000000004
ARK,1.25e-05,1.25e-05,95675.0,8829.00356,765971665.97421,7.189166666666666e-06,0.0,0.45625000000000004
BNT,1.25e-05,1.25e-05,95675.0,8829.0335,765973095.93855,1.25e-05,0.0,0.45625000000000004
CANTO,1.25e-05,0.0,95675.0,8829.0335,765973095.93855,0.0,-1.25e-05,0.45625000000000004
REQ,1.25e-05,0.00011113,95670.0,8829.0335,765973095.93855,1.4746666666666667e-05,9.863e-05,0.45625000000000004
BIGTIME,1.25e-05,1.25e-05,95670.0,8829.0335,765973095.93855,1.25e-05,0.0,0.45625000000000004
KAS,1.25e-05,1.25e-05,95670.0,8829.0335,765973095.93855,2.753583333333333e-05,0.0,0.45625000000000004
ORBS,1.25e-05,1.25e-05,95670.0,8829.03414,765973126.50559,1.233125e-05,0.0,0.45625000000000004
BLUR,1.25e-05,1.25e-05,95670.0,8829.13414,765977902.60559,1.25e-05,0.0,0.45625000000000004
